Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	6.885351700	6.886349432	3180.300	6409.100	6029.297	6201.562
2	Spectrogram 1	1	6.886349432	6.887347165	3180.300	6409.100	6029.297	6201.562
3	Spectrogram 1	1	6.887347165	6.888344897	3180.300	6409.100	5254.102	5340.234
4	Spectrogram 1	1	6.888344897	6.889342630	3180.300	6409.100	5254.102	5340.234
5	Spectrogram 1	1	6.889342630	6.890340362	3180.300	6409.100	5254.102	5340.234
6	Spectrogram 1	1	6.890340362	6.891338095	3180.300	6409.100	5254.102	5340.234
7	Spectrogram 1	1	6.891338095	6.892335827	3180.300	6409.100	5254.102	5340.234
8	Spectrogram 1	1	6.892335827	6.893333559	3180.300	6409.100	5254.102	5340.234
9	Spectrogram 1	1	6.893333559	6.894331292	3180.300	6409.100	5684.766	5770.898
10	Spectrogram 1	1	6.894331292	6.895329024	3180.300	6409.100	5684.766	5770.898
11	Spectrogram 1	1	6.895329024	6.896326757	3180.300	6409.100	5684.766	5770.898
12	Spectrogram 1	1	6.896326757	6.897324489	3180.300	6409.100	5684.766	5770.898
13	Spectrogram 1	1	6.897324489	6.898322222	3180.300	6409.100	5684.766	5770.898
14	Spectrogram 1	1	6.898322222	6.899319954	3180.300	6409.100	5684.766	5770.898
15	Spectrogram 1	1	6.899319954	6.900317686	3180.300	6409.100	5943.164	5943.164
16	Spectrogram 1	1	6.900317686	6.901315419	3180.300	6409.100	5943.164	5943.164
17	Spectrogram 1	1	6.901315419	6.902313151	3180.300	6409.100	5943.164	5943.164
18	Spectrogram 1	1	6.902313151	6.903310884	3180.300	6409.100	5943.164	5943.164
19	Spectrogram 1	1	6.903310884	6.904308616	3180.300	6409.100	5943.164	5943.164
20	Spectrogram 1	1	6.904308616	6.905306349	3180.300	6409.100	5943.164	5943.164
21	Spectrogram 1	1	6.905306349	6.906304081	3180.300	6409.100	5598.633	5598.633
22	Spectrogram 1	1	6.906304081	6.907301813	3180.300	6409.100	5598.633	5598.633
23	Spectrogram 1	1	6.907301813	6.908299546	3180.300	6409.100	5598.633	5598.633
24	Spectrogram 1	1	6.908299546	6.909297278	3180.300	6409.100	5598.633	5598.633
25	Spectrogram 1	1	6.909297278	6.910295011	3180.300	6409.100	5598.633	5598.633
26	Spectrogram 1	1	6.910295011	6.911292743	3180.300	6409.100	5598.633	5598.633
27	Spectrogram 1	1	6.911292743	6.912290476	3180.300	6409.100	5598.633	5598.633
28	Spectrogram 1	1	6.912290476	6.913288208	3180.300	6409.100	5598.633	5598.633
29	Spectrogram 1	1	6.913288208	6.914285940	3180.300	6409.100	5598.633	5598.633
30	Spectrogram 1	1	6.914285940	6.915283673	3180.300	6409.100	5598.633	5598.633
31	Spectrogram 1	1	6.915283673	6.916281405	3180.300	6409.100	5598.633	5598.633
32	Spectrogram 1	1	6.916281405	6.917279138	3180.300	6409.100	5684.766	5684.766
33	Spectrogram 1	1	6.917279138	6.918276870	3180.300	6409.100	5684.766	5684.766
34	Spectrogram 1	1	6.918276870	6.919274602	3180.300	6409.100	5684.766	5684.766
35	Spectrogram 1	1	6.919274602	6.920272335	3180.300	6409.100	5684.766	5684.766
36	Spectrogram 1	1	6.920272335	6.921270067	3180.300	6409.100	5684.766	5684.766
37	Spectrogram 1	1	6.921270067	6.922267800	3180.300	6409.100	5684.766	5684.766
38	Spectrogram 1	1	6.922267800	6.923265532	3180.300	6409.100	5684.766	5684.766
39	Spectrogram 1	1	6.923265532	6.924263265	3180.300	6409.100	5684.766	5684.766
40	Spectrogram 1	1	6.924263265	6.925260997	3180.300	6409.100	5684.766	5684.766
41	Spectrogram 1	1	6.925260997	6.926258729	3180.300	6409.100	5684.766	5684.766
42	Spectrogram 1	1	6.926258729	6.927256462	3180.300	6409.100	5684.766	5684.766
43	Spectrogram 1	1	6.927256462	6.928254194	3180.300	6409.100	5684.766	5684.766
44	Spectrogram 1	1	6.928254194	6.929251927	3180.300	6409.100	5598.633	5598.633
45	Spectrogram 1	1	6.929251927	6.930249659	3180.300	6409.100	5598.633	5598.633
46	Spectrogram 1	1	6.930249659	6.931247392	3180.300	6409.100	5598.633	5598.633
47	Spectrogram 1	1	6.931247392	6.932245124	3180.300	6409.100	5598.633	5598.633
48	Spectrogram 1	1	6.932245124	6.933242856	3180.300	6409.100	5598.633	5598.633
49	Spectrogram 1	1	6.933242856	6.934240589	3180.300	6409.100	5598.633	5598.633
50	Spectrogram 1	1	6.934240589	6.935238321	3180.300	6409.100	5426.367	5426.367
51	Spectrogram 1	1	6.935238321	6.936236054	3180.300	6409.100	5426.367	5426.367
52	Spectrogram 1	1	6.936236054	6.937233786	3180.300	6409.100	5426.367	5426.367
53	Spectrogram 1	1	6.937233786	6.938231519	3180.300	6409.100	5426.367	5426.367
54	Spectrogram 1	1	6.938231519	6.939229251	3180.300	6409.100	5426.367	5426.367
55	Spectrogram 1	1	6.939229251	6.940226983	3180.300	6409.100	5426.367	5426.367
56	Spectrogram 1	1	6.940226983	6.941224716	3180.300	6409.100	5254.102	5254.102
57	Spectrogram 1	1	6.941224716	6.942222448	3180.300	6409.100	5254.102	5254.102
58	Spectrogram 1	1	6.942222448	6.943220181	3180.300	6409.100	5254.102	5254.102
59	Spectrogram 1	1	6.943220181	6.944217913	3180.300	6409.100	5254.102	5254.102
60	Spectrogram 1	1	6.944217913	6.945215646	3180.300	6409.100	5254.102	5254.102
61	Spectrogram 1	1	6.945215646	6.946213378	3180.300	6409.100	5081.836	4995.703
62	Spectrogram 1	1	6.946213378	6.947211110	3180.300	6409.100	5081.836	4995.703
63	Spectrogram 1	1	6.947211110	6.948208843	3180.300	6409.100	5081.836	4995.703
64	Spectrogram 1	1	6.948208843	6.949206575	3180.300	6409.100	5081.836	4995.703
65	Spectrogram 1	1	6.949206575	6.950204308	3180.300	6409.100	5081.836	4995.703
66	Spectrogram 1	1	6.950204308	6.951202040	3180.300	6409.100	5081.836	4995.703
67	Spectrogram 1	1	6.951202040	6.952199773	3180.300	6409.100	4823.438	4823.438
68	Spectrogram 1	1	6.952199773	6.953197505	3180.300	6409.100	4823.438	4823.438
69	Spectrogram 1	1	6.953197505	6.954195237	3180.300	6409.100	4823.438	4823.438
70	Spectrogram 1	1	6.954195237	6.955192970	3180.300	6409.100	4823.438	4823.438
71	Spectrogram 1	1	6.955192970	6.956190702	3180.300	6409.100	4823.438	4823.438
72	Spectrogram 1	1	6.956190702	6.957188435	3180.300	6409.100	4823.438	4823.438
73	Spectrogram 1	1	6.957188435	6.958186167	3180.300	6409.100	4909.570	4909.570
74	Spectrogram 1	1	6.958186167	6.959183900	3180.300	6409.100	4909.570	4909.570
75	Spectrogram 1	1	6.959183900	6.960181632	3180.300	6409.100	4909.570	4909.570
76	Spectrogram 1	1	6.960181632	6.961179364	3180.300	6409.100	4909.570	4909.570
77	Spectrogram 1	1	6.961179364	6.962177097	3180.300	6409.100	4909.570	4909.570
78	Spectrogram 1	1	6.962177097	6.963174829	3180.300	6409.100	4909.570	4909.570
79	Spectrogram 1	1	6.963174829	6.964172562	3180.300	6409.100	4995.703	4995.703
80	Spectrogram 1	1	6.964172562	6.965170294	3180.300	6409.100	4995.703	4995.703
81	Spectrogram 1	1	6.965170294	6.966168027	3180.300	6409.100	4995.703	4995.703
82	Spectrogram 1	1	6.966168027	6.967165759	3180.300	6409.100	4995.703	4995.703
83	Spectrogram 1	1	6.967165759	6.968163491	3180.300	6409.100	4995.703	4995.703
84	Spectrogram 1	1	6.968163491	6.969161224	3180.300	6409.100	4995.703	4995.703
85	Spectrogram 1	1	6.969161224	6.970158956	3180.300	6409.100	5167.969	5167.969
86	Spectrogram 1	1	6.970158956	6.971156689	3180.300	6409.100	5167.969	5167.969
87	Spectrogram 1	1	6.971156689	6.972154421	3180.300	6409.100	5167.969	5167.969
88	Spectrogram 1	1	6.972154421	6.973152154	3180.300	6409.100	5167.969	5167.969
89	Spectrogram 1	1	6.973152154	6.974149886	3180.300	6409.100	5167.969	5167.969
90	Spectrogram 1	1	6.974149886	6.975147618	3180.300	6409.100	5167.969	5167.969
91	Spectrogram 1	1	6.975147618	6.976145351	3180.300	6409.100	5254.102	5254.102
92	Spectrogram 1	1	6.976145351	6.977143083	3180.300	6409.100	5254.102	5254.102
93	Spectrogram 1	1	6.977143083	6.978140816	3180.300	6409.100	5254.102	5254.102
94	Spectrogram 1	1	6.978140816	6.979138548	3180.300	6409.100	5254.102	5254.102
95	Spectrogram 1	1	6.979138548	6.980136280	3180.300	6409.100	5254.102	5254.102
96	Spectrogram 1	1	6.980136280	6.981134013	3180.300	6409.100	5254.102	5254.102
97	Spectrogram 1	1	6.981134013	6.982131745	3180.300	6409.100	5254.102	5254.102
98	Spectrogram 1	1	6.982131745	6.983129478	3180.300	6409.100	5254.102	5254.102
99	Spectrogram 1	1	6.983129478	6.984127210	3180.300	6409.100	5254.102	5254.102
100	Spectrogram 1	1	6.984127210	6.985124943	3180.300	6409.100	5254.102	5254.102
101	Spectrogram 1	1	6.985124943	6.986122675	3180.300	6409.100	5254.102	5254.102
102	Spectrogram 1	1	6.986122675	6.987120407	3180.300	6409.100	5167.969	5167.969
103	Spectrogram 1	1	6.987120407	6.988118140	3180.300	6409.100	5167.969	5167.969
104	Spectrogram 1	1	6.988118140	6.989115872	3180.300	6409.100	5167.969	5167.969
105	Spectrogram 1	1	6.989115872	6.990113605	3180.300	6409.100	5167.969	5167.969
106	Spectrogram 1	1	6.990113605	6.991111337	3180.300	6409.100	5167.969	5167.969
107	Spectrogram 1	1	6.991111337	6.992109070	3180.300	6409.100	5167.969	5167.969
108	Spectrogram 1	1	6.992109070	6.993106802	3180.300	6409.100	5254.102	5254.102
109	Spectrogram 1	1	6.993106802	6.994104534	3180.300	6409.100	5254.102	5254.102
110	Spectrogram 1	1	6.994104534	6.995102267	3180.300	6409.100	5254.102	5254.102
111	Spectrogram 1	1	6.995102267	6.996099999	3180.300	6409.100	5254.102	5254.102
112	Spectrogram 1	1	6.996099999	6.997097732	3180.300	6409.100	5254.102	5254.102
113	Spectrogram 1	1	6.997097732	6.998095464	3180.300	6409.100	5254.102	5254.102
114	Spectrogram 1	1	6.998095464	6.999093197	3180.300	6409.100	5254.102	5254.102
115	Spectrogram 1	1	6.999093197	7.000090929	3180.300	6409.100	5254.102	5254.102
116	Spectrogram 1	1	7.000090929	7.001088661	3180.300	6409.100	5254.102	5254.102
117	Spectrogram 1	1	7.001088661	7.002086394	3180.300	6409.100	5254.102	5254.102
118	Spectrogram 1	1	7.002086394	7.003084126	3180.300	6409.100	5254.102	5254.102
119	Spectrogram 1	1	7.003084126	7.004081859	3180.300	6409.100	5254.102	5254.102
120	Spectrogram 1	1	7.004081859	7.005079591	3180.300	6409.100	4823.438	4823.438
121	Spectrogram 1	1	7.005079591	7.006077324	3180.300	6409.100	4823.438	4823.438
122	Spectrogram 1	1	7.006077324	7.007075056	3180.300	6409.100	4823.438	4823.438
123	Spectrogram 1	1	7.007075056	7.008072788	3180.300	6409.100	4823.438	4823.438
124	Spectrogram 1	1	7.008072788	7.009070521	3180.300	6409.100	4823.438	4823.438
125	Spectrogram 1	1	7.009070521	7.010068253	3180.300	6409.100	3617.578	3531.445
126	Spectrogram 1	1	7.010068253	7.011065986	3180.300	6409.100	3617.578	3531.445
127	Spectrogram 1	1	7.011065986	7.012063718	3180.300	6409.100	3617.578	3531.445
128	Spectrogram 1	1	7.012063718	7.013061451	3180.300	6409.100	3617.578	3531.445
129	Spectrogram 1	1	7.013061451	7.014059183	3180.300	6409.100	3617.578	3531.445
130	Spectrogram 1	1	7.014059183	7.015056915	3180.300	6409.100	3617.578	3531.445
131	Spectrogram 1	1	7.015056915	7.016054648	3180.300	6409.100	3617.578	3617.578
132	Spectrogram 1	1	7.016054648	7.017052380	3180.300	6409.100	3617.578	3617.578
133	Spectrogram 1	1	7.017052380	7.018050113	3180.300	6409.100	3617.578	3617.578
134	Spectrogram 1	1	7.018050113	7.019047845	3180.300	6409.100	3617.578	3617.578
135	Spectrogram 1	1	7.019047845	7.020045578	3180.300	6409.100	3617.578	3617.578
136	Spectrogram 1	1	7.020045578	7.021043310	3180.300	6409.100	3617.578	3617.578
137	Spectrogram 1	1	7.021043310	7.022041042	3180.300	6409.100	4737.305	3617.578
138	Spectrogram 1	1	7.022041042	7.023038775	3180.300	6409.100	4737.305	3617.578
139	Spectrogram 1	1	7.023038775	7.024036507	3180.300	6409.100	4737.305	3617.578
140	Spectrogram 1	1	7.024036507	7.025034240	3180.300	6409.100	4737.305	3617.578
141	Spectrogram 1	1	7.025034240	7.026031972	3180.300	6409.100	4737.305	3617.578
142	Spectrogram 1	1	7.026031972	7.027029705	3180.300	6409.100	4737.305	3617.578
