Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	47.268154793	47.269152525	2887.500	6300.000	4392.773	4048.242
2	Spectrogram 1	1	47.269152525	47.270150258	2887.500	6300.000	4392.773	4048.242
3	Spectrogram 1	1	47.270150258	47.271147990	2887.500	6300.000	4392.773	4048.242
4	Spectrogram 1	1	47.271147990	47.272145723	2887.500	6300.000	4392.773	4048.242
5	Spectrogram 1	1	47.272145723	47.273143455	2887.500	6300.000	4392.773	4048.242
6	Spectrogram 1	1	47.273143455	47.274141188	2887.500	6300.000	4220.508	4306.641
7	Spectrogram 1	1	47.274141188	47.275138920	2887.500	6300.000	4220.508	4306.641
8	Spectrogram 1	1	47.275138920	47.276136652	2887.500	6300.000	4220.508	4306.641
9	Spectrogram 1	1	47.276136652	47.277134385	2887.500	6300.000	4220.508	4306.641
10	Spectrogram 1	1	47.277134385	47.278132117	2887.500	6300.000	4220.508	4306.641
11	Spectrogram 1	1	47.278132117	47.279129850	2887.500	6300.000	4220.508	4306.641
12	Spectrogram 1	1	47.279129850	47.280127582	2887.500	6300.000	4565.039	4565.039
13	Spectrogram 1	1	47.280127582	47.281125315	2887.500	6300.000	4565.039	4565.039
14	Spectrogram 1	1	47.281125315	47.282123047	2887.500	6300.000	4565.039	4565.039
15	Spectrogram 1	1	47.282123047	47.283120779	2887.500	6300.000	4565.039	4565.039
16	Spectrogram 1	1	47.283120779	47.284118512	2887.500	6300.000	4565.039	4565.039
17	Spectrogram 1	1	47.284118512	47.285116244	2887.500	6300.000	4565.039	4565.039
18	Spectrogram 1	1	47.285116244	47.286113977	2887.500	6300.000	4565.039	4565.039
19	Spectrogram 1	1	47.286113977	47.287111709	2887.500	6300.000	4565.039	4565.039
20	Spectrogram 1	1	47.287111709	47.288109442	2887.500	6300.000	4565.039	4565.039
21	Spectrogram 1	1	47.288109442	47.289107174	2887.500	6300.000	4565.039	4565.039
22	Spectrogram 1	1	47.289107174	47.290104906	2887.500	6300.000	4565.039	4565.039
23	Spectrogram 1	1	47.290104906	47.291102639	2887.500	6300.000	4651.172	4651.172
24	Spectrogram 1	1	47.291102639	47.292100371	2887.500	6300.000	4651.172	4651.172
25	Spectrogram 1	1	47.292100371	47.293098104	2887.500	6300.000	4651.172	4651.172
26	Spectrogram 1	1	47.293098104	47.294095836	2887.500	6300.000	4651.172	4651.172
27	Spectrogram 1	1	47.294095836	47.295093569	2887.500	6300.000	4651.172	4651.172
28	Spectrogram 1	1	47.295093569	47.296091301	2887.500	6300.000	4651.172	4651.172
29	Spectrogram 1	1	47.296091301	47.297089033	2887.500	6300.000	4909.570	4909.570
30	Spectrogram 1	1	47.297089033	47.298086766	2887.500	6300.000	4909.570	4909.570
31	Spectrogram 1	1	47.298086766	47.299084498	2887.500	6300.000	4909.570	4909.570
32	Spectrogram 1	1	47.299084498	47.300082231	2887.500	6300.000	4909.570	4909.570
33	Spectrogram 1	1	47.300082231	47.301079963	2887.500	6300.000	4909.570	4909.570
34	Spectrogram 1	1	47.301079963	47.302077695	2887.500	6300.000	4909.570	4909.570
35	Spectrogram 1	1	47.302077695	47.303075428	2887.500	6300.000	4995.703	5081.836
36	Spectrogram 1	1	47.303075428	47.304073160	2887.500	6300.000	4995.703	5081.836
37	Spectrogram 1	1	47.304073160	47.305070893	2887.500	6300.000	4995.703	5081.836
38	Spectrogram 1	1	47.305070893	47.306068625	2887.500	6300.000	4995.703	5081.836
39	Spectrogram 1	1	47.306068625	47.307066358	2887.500	6300.000	4995.703	5081.836
40	Spectrogram 1	1	47.307066358	47.308064090	2887.500	6300.000	4995.703	5081.836
41	Spectrogram 1	1	47.308064090	47.309061822	2887.500	6300.000	5081.836	5081.836
42	Spectrogram 1	1	47.309061822	47.310059555	2887.500	6300.000	5081.836	5081.836
43	Spectrogram 1	1	47.310059555	47.311057287	2887.500	6300.000	5081.836	5081.836
44	Spectrogram 1	1	47.311057287	47.312055020	2887.500	6300.000	5081.836	5081.836
45	Spectrogram 1	1	47.312055020	47.313052752	2887.500	6300.000	5081.836	5081.836
46	Spectrogram 1	1	47.313052752	47.314050485	2887.500	6300.000	4995.703	4995.703
47	Spectrogram 1	1	47.314050485	47.315048217	2887.500	6300.000	4995.703	4995.703
48	Spectrogram 1	1	47.315048217	47.316045949	2887.500	6300.000	4995.703	4995.703
49	Spectrogram 1	1	47.316045949	47.317043682	2887.500	6300.000	4995.703	4995.703
50	Spectrogram 1	1	47.317043682	47.318041414	2887.500	6300.000	4995.703	4995.703
51	Spectrogram 1	1	47.318041414	47.319039147	2887.500	6300.000	4995.703	4995.703
52	Spectrogram 1	1	47.319039147	47.320036879	2887.500	6300.000	4909.570	4909.570
53	Spectrogram 1	1	47.320036879	47.321034612	2887.500	6300.000	4909.570	4909.570
54	Spectrogram 1	1	47.321034612	47.322032344	2887.500	6300.000	4909.570	4909.570
55	Spectrogram 1	1	47.322032344	47.323030076	2887.500	6300.000	4909.570	4909.570
56	Spectrogram 1	1	47.323030076	47.324027809	2887.500	6300.000	4909.570	4909.570
57	Spectrogram 1	1	47.324027809	47.325025541	2887.500	6300.000	4909.570	4909.570
58	Spectrogram 1	1	47.325025541	47.326023274	2887.500	6300.000	4823.438	4823.438
59	Spectrogram 1	1	47.326023274	47.327021006	2887.500	6300.000	4823.438	4823.438
60	Spectrogram 1	1	47.327021006	47.328018739	2887.500	6300.000	4823.438	4823.438
61	Spectrogram 1	1	47.328018739	47.329016471	2887.500	6300.000	4823.438	4823.438
62	Spectrogram 1	1	47.329016471	47.330014203	2887.500	6300.000	4823.438	4823.438
63	Spectrogram 1	1	47.330014203	47.331011936	2887.500	6300.000	4823.438	4823.438
64	Spectrogram 1	1	47.331011936	47.332009668	2887.500	6300.000	4823.438	4823.438
65	Spectrogram 1	1	47.332009668	47.333007401	2887.500	6300.000	4823.438	4823.438
66	Spectrogram 1	1	47.333007401	47.334005133	2887.500	6300.000	4823.438	4823.438
67	Spectrogram 1	1	47.334005133	47.335002866	2887.500	6300.000	4823.438	4823.438
68	Spectrogram 1	1	47.335002866	47.336000598	2887.500	6300.000	4823.438	4823.438
69	Spectrogram 1	1	47.336000598	47.336998330	2887.500	6300.000	4823.438	4823.438
70	Spectrogram 1	1	47.336998330	47.337996063	2887.500	6300.000	4651.172	4651.172
71	Spectrogram 1	1	47.337996063	47.338993795	2887.500	6300.000	4651.172	4651.172
72	Spectrogram 1	1	47.338993795	47.339991528	2887.500	6300.000	4651.172	4651.172
73	Spectrogram 1	1	47.339991528	47.340989260	2887.500	6300.000	4651.172	4651.172
74	Spectrogram 1	1	47.340989260	47.341986993	2887.500	6300.000	4651.172	4651.172
75	Spectrogram 1	1	47.341986993	47.342984725	2887.500	6300.000	4651.172	4651.172
76	Spectrogram 1	1	47.342984725	47.343982457	2887.500	6300.000	4651.172	4651.172
77	Spectrogram 1	1	47.343982457	47.344980190	2887.500	6300.000	4651.172	4651.172
78	Spectrogram 1	1	47.344980190	47.345977922	2887.500	6300.000	4651.172	4651.172
79	Spectrogram 1	1	47.345977922	47.346975655	2887.500	6300.000	4651.172	4651.172
80	Spectrogram 1	1	47.346975655	47.347973387	2887.500	6300.000	4651.172	4651.172
81	Spectrogram 1	1	47.347973387	47.348971120	2887.500	6300.000	4565.039	4565.039
82	Spectrogram 1	1	47.348971120	47.349968852	2887.500	6300.000	4565.039	4565.039
83	Spectrogram 1	1	47.349968852	47.350966584	2887.500	6300.000	4565.039	4565.039
84	Spectrogram 1	1	47.350966584	47.351964317	2887.500	6300.000	4565.039	4565.039
85	Spectrogram 1	1	47.351964317	47.352962049	2887.500	6300.000	4565.039	4565.039
86	Spectrogram 1	1	47.352962049	47.353959782	2887.500	6300.000	4565.039	4565.039
87	Spectrogram 1	1	47.353959782	47.354957514	2887.500	6300.000	4565.039	4651.172
88	Spectrogram 1	1	47.354957514	47.355955247	2887.500	6300.000	4565.039	4651.172
89	Spectrogram 1	1	47.355955247	47.356952979	2887.500	6300.000	4565.039	4651.172
90	Spectrogram 1	1	47.356952979	47.357950711	2887.500	6300.000	4565.039	4651.172
91	Spectrogram 1	1	47.357950711	47.358948444	2887.500	6300.000	4565.039	4651.172
92	Spectrogram 1	1	47.358948444	47.359946176	2887.500	6300.000	4565.039	4651.172
93	Spectrogram 1	1	47.359946176	47.360943909	2887.500	6300.000	4995.703	5081.836
94	Spectrogram 1	1	47.360943909	47.361941641	2887.500	6300.000	4995.703	5081.836
95	Spectrogram 1	1	47.361941641	47.362939373	2887.500	6300.000	4995.703	5081.836
96	Spectrogram 1	1	47.362939373	47.363937106	2887.500	6300.000	4995.703	5081.836
97	Spectrogram 1	1	47.363937106	47.364934838	2887.500	6300.000	4995.703	5081.836
98	Spectrogram 1	1	47.364934838	47.365932571	2887.500	6300.000	4995.703	5081.836
99	Spectrogram 1	1	47.365932571	47.366930303	2887.500	6300.000	4823.438	4651.172
100	Spectrogram 1	1	47.366930303	47.367928036	2887.500	6300.000	4823.438	4651.172
101	Spectrogram 1	1	47.367928036	47.368925768	2887.500	6300.000	4823.438	4651.172
102	Spectrogram 1	1	47.368925768	47.369923500	2887.500	6300.000	4823.438	4651.172
103	Spectrogram 1	1	47.369923500	47.370921233	2887.500	6300.000	4823.438	4651.172
104	Spectrogram 1	1	47.370921233	47.371918965	2887.500	6300.000	4823.438	4651.172
105	Spectrogram 1	1	47.371918965	47.372916698	2887.500	6300.000	5081.836	5081.836
106	Spectrogram 1	1	47.372916698	47.373914430	2887.500	6300.000	5081.836	5081.836
107	Spectrogram 1	1	47.373914430	47.374912163	2887.500	6300.000	5081.836	5081.836
108	Spectrogram 1	1	47.374912163	47.375909895	2887.500	6300.000	5081.836	5081.836
109	Spectrogram 1	1	47.375909895	47.376907627	2887.500	6300.000	5081.836	5081.836
110	Spectrogram 1	1	47.376907627	47.377905360	2887.500	6300.000	4995.703	4995.703
111	Spectrogram 1	1	47.377905360	47.378903092	2887.500	6300.000	4995.703	4995.703
112	Spectrogram 1	1	47.378903092	47.379900825	2887.500	6300.000	4995.703	4995.703
113	Spectrogram 1	1	47.379900825	47.380898557	2887.500	6300.000	4995.703	4995.703
114	Spectrogram 1	1	47.380898557	47.381896290	2887.500	6300.000	4995.703	4995.703
115	Spectrogram 1	1	47.381896290	47.382894022	2887.500	6300.000	4995.703	4995.703
116	Spectrogram 1	1	47.382894022	47.383891754	2887.500	6300.000	5167.969	5167.969
117	Spectrogram 1	1	47.383891754	47.384889487	2887.500	6300.000	5167.969	5167.969
118	Spectrogram 1	1	47.384889487	47.385887219	2887.500	6300.000	5167.969	5167.969
119	Spectrogram 1	1	47.385887219	47.386884952	2887.500	6300.000	5167.969	5167.969
120	Spectrogram 1	1	47.386884952	47.387882684	2887.500	6300.000	5167.969	5167.969
121	Spectrogram 1	1	47.387882684	47.388880417	2887.500	6300.000	5167.969	5167.969
122	Spectrogram 1	1	47.388880417	47.389878149	2887.500	6300.000	5081.836	5081.836
123	Spectrogram 1	1	47.389878149	47.390875881	2887.500	6300.000	5081.836	5081.836
124	Spectrogram 1	1	47.390875881	47.391873614	2887.500	6300.000	5081.836	5081.836
125	Spectrogram 1	1	47.391873614	47.392871346	2887.500	6300.000	5081.836	5081.836
126	Spectrogram 1	1	47.392871346	47.393869079	2887.500	6300.000	5081.836	5081.836
127	Spectrogram 1	1	47.393869079	47.394866811	2887.500	6300.000	5081.836	5081.836
128	Spectrogram 1	1	47.394866811	47.395864544	2887.500	6300.000	4995.703	5081.836
129	Spectrogram 1	1	47.395864544	47.396862276	2887.500	6300.000	4995.703	5081.836
130	Spectrogram 1	1	47.396862276	47.397860008	2887.500	6300.000	4995.703	5081.836
131	Spectrogram 1	1	47.397860008	47.398857741	2887.500	6300.000	4995.703	5081.836
132	Spectrogram 1	1	47.398857741	47.399855473	2887.500	6300.000	4995.703	5081.836
133	Spectrogram 1	1	47.399855473	47.400853206	2887.500	6300.000	4995.703	5081.836
134	Spectrogram 1	1	47.400853206	47.401850938	2887.500	6300.000	4737.305	4909.570
135	Spectrogram 1	1	47.401850938	47.402848671	2887.500	6300.000	4737.305	4909.570
136	Spectrogram 1	1	47.402848671	47.403846403	2887.500	6300.000	4737.305	4909.570
137	Spectrogram 1	1	47.403846403	47.404844135	2887.500	6300.000	4737.305	4909.570
138	Spectrogram 1	1	47.404844135	47.405841868	2887.500	6300.000	4737.305	4909.570
139	Spectrogram 1	1	47.405841868	47.406839600	2887.500	6300.000	4737.305	4909.570
