Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	8.837548311	8.838546043	2341.216	5704.054	4220.508	3703.711
2	Spectrogram 1	1	8.838546043	8.839543776	2341.216	5704.054	4306.641	4306.641
3	Spectrogram 1	1	8.839543776	8.840541508	2341.216	5704.054	4306.641	4306.641
4	Spectrogram 1	1	8.840541508	8.841539241	2341.216	5704.054	4306.641	4306.641
5	Spectrogram 1	1	8.841539241	8.842536973	2341.216	5704.054	4306.641	4306.641
6	Spectrogram 1	1	8.842536973	8.843534706	2341.216	5704.054	4306.641	4306.641
7	Spectrogram 1	1	8.843534706	8.844532438	2341.216	5704.054	5081.836	5081.836
8	Spectrogram 1	1	8.844532438	8.845530170	2341.216	5704.054	5081.836	5081.836
9	Spectrogram 1	1	8.845530170	8.846527903	2341.216	5704.054	5081.836	5081.836
10	Spectrogram 1	1	8.846527903	8.847525635	2341.216	5704.054	5081.836	5081.836
11	Spectrogram 1	1	8.847525635	8.848523368	2341.216	5704.054	5081.836	5081.836
12	Spectrogram 1	1	8.848523368	8.849521100	2341.216	5704.054	5081.836	5081.836
13	Spectrogram 1	1	8.849521100	8.850518833	2341.216	5704.054	4737.305	5426.367
14	Spectrogram 1	1	8.850518833	8.851516565	2341.216	5704.054	4737.305	5426.367
15	Spectrogram 1	1	8.851516565	8.852514297	2341.216	5704.054	4737.305	5426.367
16	Spectrogram 1	1	8.852514297	8.853512030	2341.216	5704.054	4737.305	5426.367
17	Spectrogram 1	1	8.853512030	8.854509762	2341.216	5704.054	4737.305	5426.367
18	Spectrogram 1	1	8.854509762	8.855507495	2341.216	5704.054	4737.305	5426.367
19	Spectrogram 1	1	8.855507495	8.856505227	2341.216	5704.054	3962.109	3962.109
20	Spectrogram 1	1	8.856505227	8.857502960	2341.216	5704.054	3962.109	3962.109
21	Spectrogram 1	1	8.857502960	8.858500692	2341.216	5704.054	3962.109	3962.109
22	Spectrogram 1	1	8.858500692	8.859498424	2341.216	5704.054	3962.109	3962.109
23	Spectrogram 1	1	8.859498424	8.860496157	2341.216	5704.054	3962.109	3962.109
24	Spectrogram 1	1	8.860496157	8.861493889	2341.216	5704.054	3962.109	3962.109
25	Spectrogram 1	1	8.861493889	8.862491622	2341.216	5704.054	4220.508	4220.508
26	Spectrogram 1	1	8.862491622	8.863489354	2341.216	5704.054	4220.508	4220.508
27	Spectrogram 1	1	8.863489354	8.864487087	2341.216	5704.054	4220.508	4220.508
28	Spectrogram 1	1	8.864487087	8.865484819	2341.216	5704.054	4220.508	4220.508
29	Spectrogram 1	1	8.865484819	8.866482551	2341.216	5704.054	4220.508	4220.508
30	Spectrogram 1	1	8.866482551	8.867480284	2341.216	5704.054	4220.508	4220.508
31	Spectrogram 1	1	8.867480284	8.868478016	2341.216	5704.054	4392.773	4392.773
32	Spectrogram 1	1	8.868478016	8.869475749	2341.216	5704.054	4392.773	4392.773
33	Spectrogram 1	1	8.869475749	8.870473481	2341.216	5704.054	4392.773	4392.773
34	Spectrogram 1	1	8.870473481	8.871471213	2341.216	5704.054	4392.773	4392.773
35	Spectrogram 1	1	8.871471213	8.872468946	2341.216	5704.054	4392.773	4392.773
36	Spectrogram 1	1	8.872468946	8.873466678	2341.216	5704.054	4478.906	4565.039
37	Spectrogram 1	1	8.873466678	8.874464411	2341.216	5704.054	4478.906	4565.039
38	Spectrogram 1	1	8.874464411	8.875462143	2341.216	5704.054	4478.906	4565.039
39	Spectrogram 1	1	8.875462143	8.876459876	2341.216	5704.054	4478.906	4565.039
40	Spectrogram 1	1	8.876459876	8.877457608	2341.216	5704.054	4478.906	4565.039
41	Spectrogram 1	1	8.877457608	8.878455340	2341.216	5704.054	4478.906	4565.039
42	Spectrogram 1	1	8.878455340	8.879453073	2341.216	5704.054	4565.039	4565.039
43	Spectrogram 1	1	8.879453073	8.880450805	2341.216	5704.054	4565.039	4565.039
44	Spectrogram 1	1	8.880450805	8.881448538	2341.216	5704.054	4565.039	4565.039
45	Spectrogram 1	1	8.881448538	8.882446270	2341.216	5704.054	4565.039	4565.039
46	Spectrogram 1	1	8.882446270	8.883444003	2341.216	5704.054	4565.039	4565.039
