Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.094172599	5.095170331	3409.000	6659.400	5426.367	5340.234
2	Spectrogram 1	1	5.095170331	5.096168064	3409.000	6659.400	5426.367	5340.234
3	Spectrogram 1	1	5.096168064	5.097165796	3409.000	6659.400	5426.367	5340.234
4	Spectrogram 1	1	5.097165796	5.098163529	3409.000	6659.400	5426.367	5340.234
5	Spectrogram 1	1	5.098163529	5.099161261	3409.000	6659.400	5426.367	5340.234
6	Spectrogram 1	1	5.099161261	5.100158994	3409.000	6659.400	5426.367	5340.234
7	Spectrogram 1	1	5.100158994	5.101156726	3409.000	6659.400	5684.766	5684.766
8	Spectrogram 1	1	5.101156726	5.102154458	3409.000	6659.400	5684.766	5684.766
9	Spectrogram 1	1	5.102154458	5.103152191	3409.000	6659.400	5684.766	5684.766
10	Spectrogram 1	1	5.103152191	5.104149923	3409.000	6659.400	5684.766	5684.766
11	Spectrogram 1	1	5.104149923	5.105147656	3409.000	6659.400	5684.766	5684.766
12	Spectrogram 1	1	5.105147656	5.106145388	3409.000	6659.400	5770.898	5770.898
13	Spectrogram 1	1	5.106145388	5.107143121	3409.000	6659.400	5770.898	5770.898
14	Spectrogram 1	1	5.107143121	5.108140853	3409.000	6659.400	5770.898	5770.898
15	Spectrogram 1	1	5.108140853	5.109138585	3409.000	6659.400	5770.898	5770.898
16	Spectrogram 1	1	5.109138585	5.110136318	3409.000	6659.400	5770.898	5770.898
17	Spectrogram 1	1	5.110136318	5.111134050	3409.000	6659.400	5770.898	5770.898
18	Spectrogram 1	1	5.111134050	5.112131783	3409.000	6659.400	5770.898	5770.898
19	Spectrogram 1	1	5.112131783	5.113129515	3409.000	6659.400	5770.898	5770.898
20	Spectrogram 1	1	5.113129515	5.114127248	3409.000	6659.400	5770.898	5770.898
21	Spectrogram 1	1	5.114127248	5.115124980	3409.000	6659.400	5770.898	5770.898
22	Spectrogram 1	1	5.115124980	5.116122712	3409.000	6659.400	5770.898	5770.898
23	Spectrogram 1	1	5.116122712	5.117120445	3409.000	6659.400	5770.898	5770.898
24	Spectrogram 1	1	5.117120445	5.118118177	3409.000	6659.400	5684.766	5684.766
25	Spectrogram 1	1	5.118118177	5.119115910	3409.000	6659.400	5684.766	5684.766
26	Spectrogram 1	1	5.119115910	5.120113642	3409.000	6659.400	5684.766	5684.766
27	Spectrogram 1	1	5.120113642	5.121111375	3409.000	6659.400	5684.766	5684.766
28	Spectrogram 1	1	5.121111375	5.122109107	3409.000	6659.400	5684.766	5684.766
29	Spectrogram 1	1	5.122109107	5.123106839	3409.000	6659.400	5684.766	5684.766
30	Spectrogram 1	1	5.123106839	5.124104572	3409.000	6659.400	5598.633	5598.633
31	Spectrogram 1	1	5.124104572	5.125102304	3409.000	6659.400	5598.633	5598.633
32	Spectrogram 1	1	5.125102304	5.126100037	3409.000	6659.400	5598.633	5598.633
33	Spectrogram 1	1	5.126100037	5.127097769	3409.000	6659.400	5598.633	5598.633
34	Spectrogram 1	1	5.127097769	5.128095501	3409.000	6659.400	5598.633	5598.633
35	Spectrogram 1	1	5.128095501	5.129093234	3409.000	6659.400	5598.633	5598.633
36	Spectrogram 1	1	5.129093234	5.130090966	3409.000	6659.400	5512.500	5426.367
37	Spectrogram 1	1	5.130090966	5.131088699	3409.000	6659.400	5512.500	5426.367
38	Spectrogram 1	1	5.131088699	5.132086431	3409.000	6659.400	5512.500	5426.367
39	Spectrogram 1	1	5.132086431	5.133084164	3409.000	6659.400	5512.500	5426.367
40	Spectrogram 1	1	5.133084164	5.134081896	3409.000	6659.400	5512.500	5426.367
41	Spectrogram 1	1	5.134081896	5.135079628	3409.000	6659.400	5340.234	5340.234
42	Spectrogram 1	1	5.135079628	5.136077361	3409.000	6659.400	5340.234	5340.234
43	Spectrogram 1	1	5.136077361	5.137075093	3409.000	6659.400	5340.234	5340.234
44	Spectrogram 1	1	5.137075093	5.138072826	3409.000	6659.400	5340.234	5340.234
45	Spectrogram 1	1	5.138072826	5.139070558	3409.000	6659.400	5340.234	5340.234
