Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	9.074444268	9.075442000	2631.800	6145.900	3962.109	3962.109
2	Spectrogram 1	1	9.075442000	9.076439733	2631.800	6145.900	3962.109	3962.109
3	Spectrogram 1	1	9.076439733	9.077437465	2631.800	6145.900	4392.773	4392.773
4	Spectrogram 1	1	9.077437465	9.078435198	2631.800	6145.900	4392.773	4392.773
5	Spectrogram 1	1	9.078435198	9.079432930	2631.800	6145.900	4392.773	4392.773
6	Spectrogram 1	1	9.079432930	9.080430663	2631.800	6145.900	4392.773	4392.773
7	Spectrogram 1	1	9.080430663	9.081428395	2631.800	6145.900	4392.773	4392.773
8	Spectrogram 1	1	9.081428395	9.082426127	2631.800	6145.900	5340.234	5426.367
9	Spectrogram 1	1	9.082426127	9.083423860	2631.800	6145.900	5340.234	5426.367
10	Spectrogram 1	1	9.083423860	9.084421592	2631.800	6145.900	5340.234	5426.367
11	Spectrogram 1	1	9.084421592	9.085419325	2631.800	6145.900	5340.234	5426.367
12	Spectrogram 1	1	9.085419325	9.086417057	2631.800	6145.900	5340.234	5426.367
13	Spectrogram 1	1	9.086417057	9.087414790	2631.800	6145.900	5340.234	5426.367
14	Spectrogram 1	1	9.087414790	9.088412522	2631.800	6145.900	5512.500	5512.500
15	Spectrogram 1	1	9.088412522	9.089410254	2631.800	6145.900	5512.500	5512.500
16	Spectrogram 1	1	9.089410254	9.090407987	2631.800	6145.900	5512.500	5512.500
17	Spectrogram 1	1	9.090407987	9.091405719	2631.800	6145.900	5512.500	5512.500
18	Spectrogram 1	1	9.091405719	9.092403452	2631.800	6145.900	5512.500	5512.500
19	Spectrogram 1	1	9.092403452	9.093401184	2631.800	6145.900	5512.500	5512.500
20	Spectrogram 1	1	9.093401184	9.094398917	2631.800	6145.900	5426.367	5340.234
21	Spectrogram 1	1	9.094398917	9.095396649	2631.800	6145.900	5426.367	5340.234
22	Spectrogram 1	1	9.095396649	9.096394381	2631.800	6145.900	5426.367	5340.234
23	Spectrogram 1	1	9.096394381	9.097392114	2631.800	6145.900	5426.367	5340.234
24	Spectrogram 1	1	9.097392114	9.098389846	2631.800	6145.900	5426.367	5340.234
25	Spectrogram 1	1	9.098389846	9.099387579	2631.800	6145.900	5426.367	5340.234
26	Spectrogram 1	1	9.099387579	9.100385311	2631.800	6145.900	5340.234	5512.500
27	Spectrogram 1	1	9.100385311	9.101383044	2631.800	6145.900	5340.234	5512.500
28	Spectrogram 1	1	9.101383044	9.102380776	2631.800	6145.900	5340.234	5512.500
29	Spectrogram 1	1	9.102380776	9.103378508	2631.800	6145.900	5340.234	5512.500
30	Spectrogram 1	1	9.103378508	9.104376241	2631.800	6145.900	5340.234	5512.500
31	Spectrogram 1	1	9.104376241	9.105373973	2631.800	6145.900	5340.234	5512.500
32	Spectrogram 1	1	9.105373973	9.106371706	2631.800	6145.900	5254.102	5340.234
33	Spectrogram 1	1	9.106371706	9.107369438	2631.800	6145.900	5254.102	5340.234
34	Spectrogram 1	1	9.107369438	9.108367170	2631.800	6145.900	5254.102	5340.234
35	Spectrogram 1	1	9.108367170	9.109364903	2631.800	6145.900	5254.102	5340.234
36	Spectrogram 1	1	9.109364903	9.110362635	2631.800	6145.900	5254.102	5340.234
37	Spectrogram 1	1	9.110362635	9.111360368	2631.800	6145.900	5254.102	5340.234
38	Spectrogram 1	1	9.111360368	9.112358100	2631.800	6145.900	4909.570	4909.570
39	Spectrogram 1	1	9.112358100	9.113355833	2631.800	6145.900	4909.570	4909.570
40	Spectrogram 1	1	9.113355833	9.114353565	2631.800	6145.900	4909.570	4909.570
41	Spectrogram 1	1	9.114353565	9.115351297	2631.800	6145.900	4909.570	4909.570
42	Spectrogram 1	1	9.115351297	9.116349030	2631.800	6145.900	4909.570	4909.570
43	Spectrogram 1	1	9.116349030	9.117346762	2631.800	6145.900	4737.305	4737.305
44	Spectrogram 1	1	9.117346762	9.118344495	2631.800	6145.900	4737.305	4737.305
45	Spectrogram 1	1	9.118344495	9.119342227	2631.800	6145.900	4737.305	4737.305
46	Spectrogram 1	1	9.119342227	9.120339960	2631.800	6145.900	4737.305	4737.305
47	Spectrogram 1	1	9.120339960	9.121337692	2631.800	6145.900	4737.305	4737.305
48	Spectrogram 1	1	9.121337692	9.122335424	2631.800	6145.900	4737.305	4737.305
49	Spectrogram 1	1	9.122335424	9.123333157	2631.800	6145.900	4651.172	4651.172
50	Spectrogram 1	1	9.123333157	9.124330889	2631.800	6145.900	4651.172	4651.172
51	Spectrogram 1	1	9.124330889	9.125328622	2631.800	6145.900	4651.172	4651.172
52	Spectrogram 1	1	9.125328622	9.126326354	2631.800	6145.900	4651.172	4651.172
53	Spectrogram 1	1	9.126326354	9.127324087	2631.800	6145.900	4651.172	4651.172
54	Spectrogram 1	1	9.127324087	9.128321819	2631.800	6145.900	4651.172	4651.172
55	Spectrogram 1	1	9.128321819	9.129319551	2631.800	6145.900	4478.906	4478.906
56	Spectrogram 1	1	9.129319551	9.130317284	2631.800	6145.900	4478.906	4478.906
57	Spectrogram 1	1	9.130317284	9.131315016	2631.800	6145.900	4478.906	4478.906
58	Spectrogram 1	1	9.131315016	9.132312749	2631.800	6145.900	4478.906	4478.906
59	Spectrogram 1	1	9.132312749	9.133310481	2631.800	6145.900	4478.906	4478.906
60	Spectrogram 1	1	9.133310481	9.134308214	2631.800	6145.900	4478.906	4478.906
61	Spectrogram 1	1	9.134308214	9.135305946	2631.800	6145.900	4392.773	4392.773
62	Spectrogram 1	1	9.135305946	9.136303678	2631.800	6145.900	4392.773	4392.773
63	Spectrogram 1	1	9.136303678	9.137301411	2631.800	6145.900	4392.773	4392.773
64	Spectrogram 1	1	9.137301411	9.138299143	2631.800	6145.900	4392.773	4392.773
65	Spectrogram 1	1	9.138299143	9.139296876	2631.800	6145.900	4392.773	4392.773
66	Spectrogram 1	1	9.139296876	9.140294608	2631.800	6145.900	4392.773	4392.773
67	Spectrogram 1	1	9.140294608	9.141292341	2631.800	6145.900	4392.773	4392.773
68	Spectrogram 1	1	9.141292341	9.142290073	2631.800	6145.900	4392.773	4392.773
69	Spectrogram 1	1	9.142290073	9.143287805	2631.800	6145.900	4392.773	4392.773
70	Spectrogram 1	1	9.143287805	9.144285538	2631.800	6145.900	4392.773	4392.773
71	Spectrogram 1	1	9.144285538	9.145283270	2631.800	6145.900	4392.773	4392.773
72	Spectrogram 1	1	9.145283270	9.146281003	2631.800	6145.900	4392.773	4392.773
