Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.028682964	5.029680696	2982.172	6099.898	5254.102	5512.500
2	Spectrogram 1	1	5.029680696	5.030678429	2982.172	6099.898	4134.375	4134.375
3	Spectrogram 1	1	5.030678429	5.031676161	2982.172	6099.898	4134.375	4134.375
4	Spectrogram 1	1	5.031676161	5.032673894	2982.172	6099.898	4134.375	4134.375
5	Spectrogram 1	1	5.032673894	5.033671626	2982.172	6099.898	4134.375	4134.375
6	Spectrogram 1	1	5.033671626	5.034669359	2982.172	6099.898	4134.375	4134.375
7	Spectrogram 1	1	5.034669359	5.035667091	2982.172	6099.898	4134.375	4134.375
8	Spectrogram 1	1	5.035667091	5.036664823	2982.172	6099.898	4651.172	4651.172
9	Spectrogram 1	1	5.036664823	5.037662556	2982.172	6099.898	4651.172	4651.172
10	Spectrogram 1	1	5.037662556	5.038660288	2982.172	6099.898	4651.172	4651.172
11	Spectrogram 1	1	5.038660288	5.039658021	2982.172	6099.898	4651.172	4651.172
12	Spectrogram 1	1	5.039658021	5.040655753	2982.172	6099.898	4651.172	4651.172
13	Spectrogram 1	1	5.040655753	5.041653486	2982.172	6099.898	4651.172	4651.172
14	Spectrogram 1	1	5.041653486	5.042651218	2982.172	6099.898	4995.703	5081.836
15	Spectrogram 1	1	5.042651218	5.043648950	2982.172	6099.898	4995.703	5081.836
16	Spectrogram 1	1	5.043648950	5.044646683	2982.172	6099.898	4995.703	5081.836
17	Spectrogram 1	1	5.044646683	5.045644415	2982.172	6099.898	4995.703	5081.836
18	Spectrogram 1	1	5.045644415	5.046642148	2982.172	6099.898	4995.703	5081.836
19	Spectrogram 1	1	5.046642148	5.047639880	2982.172	6099.898	4995.703	5081.836
20	Spectrogram 1	1	5.047639880	5.048637613	2982.172	6099.898	5254.102	5254.102
21	Spectrogram 1	1	5.048637613	5.049635345	2982.172	6099.898	5254.102	5254.102
22	Spectrogram 1	1	5.049635345	5.050633077	2982.172	6099.898	5254.102	5254.102
23	Spectrogram 1	1	5.050633077	5.051630810	2982.172	6099.898	5254.102	5254.102
24	Spectrogram 1	1	5.051630810	5.052628542	2982.172	6099.898	5254.102	5254.102
25	Spectrogram 1	1	5.052628542	5.053626275	2982.172	6099.898	5254.102	5254.102
26	Spectrogram 1	1	5.053626275	5.054624007	2982.172	6099.898	5254.102	5254.102
27	Spectrogram 1	1	5.054624007	5.055621740	2982.172	6099.898	5254.102	5254.102
28	Spectrogram 1	1	5.055621740	5.056619472	2982.172	6099.898	5254.102	5254.102
29	Spectrogram 1	1	5.056619472	5.057617204	2982.172	6099.898	5254.102	5254.102
30	Spectrogram 1	1	5.057617204	5.058614937	2982.172	6099.898	5254.102	5254.102
31	Spectrogram 1	1	5.058614937	5.059612669	2982.172	6099.898	5167.969	5167.969
32	Spectrogram 1	1	5.059612669	5.060610402	2982.172	6099.898	5167.969	5167.969
33	Spectrogram 1	1	5.060610402	5.061608134	2982.172	6099.898	5167.969	5167.969
34	Spectrogram 1	1	5.061608134	5.062605866	2982.172	6099.898	5167.969	5167.969
35	Spectrogram 1	1	5.062605866	5.063603599	2982.172	6099.898	5167.969	5167.969
36	Spectrogram 1	1	5.063603599	5.064601331	2982.172	6099.898	5167.969	5167.969
37	Spectrogram 1	1	5.064601331	5.065599064	2982.172	6099.898	4995.703	4995.703
38	Spectrogram 1	1	5.065599064	5.066596796	2982.172	6099.898	4995.703	4995.703
39	Spectrogram 1	1	5.066596796	5.067594529	2982.172	6099.898	4995.703	4995.703
40	Spectrogram 1	1	5.067594529	5.068592261	2982.172	6099.898	4995.703	4995.703
41	Spectrogram 1	1	5.068592261	5.069589993	2982.172	6099.898	4995.703	4995.703
42	Spectrogram 1	1	5.069589993	5.070587726	2982.172	6099.898	4995.703	4995.703
43	Spectrogram 1	1	5.070587726	5.071585458	2982.172	6099.898	4823.438	4823.438
44	Spectrogram 1	1	5.071585458	5.072583191	2982.172	6099.898	4823.438	4823.438
45	Spectrogram 1	1	5.072583191	5.073580923	2982.172	6099.898	4823.438	4823.438
46	Spectrogram 1	1	5.073580923	5.074578656	2982.172	6099.898	4823.438	4823.438
47	Spectrogram 1	1	5.074578656	5.075576388	2982.172	6099.898	4823.438	4823.438
48	Spectrogram 1	1	5.075576388	5.076574120	2982.172	6099.898	4823.438	4823.438
49	Spectrogram 1	1	5.076574120	5.077571853	2982.172	6099.898	4651.172	4651.172
50	Spectrogram 1	1	5.077571853	5.078569585	2982.172	6099.898	4651.172	4651.172
51	Spectrogram 1	1	5.078569585	5.079567318	2982.172	6099.898	4651.172	4651.172
52	Spectrogram 1	1	5.079567318	5.080565050	2982.172	6099.898	4651.172	4651.172
53	Spectrogram 1	1	5.080565050	5.081562783	2982.172	6099.898	4651.172	4651.172
54	Spectrogram 1	1	5.081562783	5.082560515	2982.172	6099.898	4651.172	4651.172
55	Spectrogram 1	1	5.082560515	5.083558247	2982.172	6099.898	4392.773	4392.773
56	Spectrogram 1	1	5.083558247	5.084555980	2982.172	6099.898	4392.773	4392.773
57	Spectrogram 1	1	5.084555980	5.085553712	2982.172	6099.898	4392.773	4392.773
58	Spectrogram 1	1	5.085553712	5.086551445	2982.172	6099.898	4392.773	4392.773
59	Spectrogram 1	1	5.086551445	5.087549177	2982.172	6099.898	4392.773	4392.773
60	Spectrogram 1	1	5.087549177	5.088546910	2982.172	6099.898	4392.773	4392.773
61	Spectrogram 1	1	5.088546910	5.089544642	2982.172	6099.898	4306.641	4306.641
62	Spectrogram 1	1	5.089544642	5.090542374	2982.172	6099.898	4306.641	4306.641
63	Spectrogram 1	1	5.090542374	5.091540107	2982.172	6099.898	4306.641	4306.641
64	Spectrogram 1	1	5.091540107	5.092537839	2982.172	6099.898	4306.641	4306.641
65	Spectrogram 1	1	5.092537839	5.093535572	2982.172	6099.898	4306.641	4306.641
66	Spectrogram 1	1	5.093535572	5.094533304	2982.172	6099.898	4220.508	4220.508
67	Spectrogram 1	1	5.094533304	5.095531037	2982.172	6099.898	4220.508	4220.508
