Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	2.553776396	2.554774128	2959.091	6508.700	4134.375	4134.375
2	Spectrogram 1	1	2.554774128	2.555771861	2959.091	6508.700	4134.375	4134.375
3	Spectrogram 1	1	2.555771861	2.556769593	2959.091	6508.700	4134.375	4134.375
4	Spectrogram 1	1	2.556769593	2.557767326	2959.091	6508.700	4565.039	4565.039
5	Spectrogram 1	1	2.557767326	2.558765058	2959.091	6508.700	4565.039	4565.039
6	Spectrogram 1	1	2.558765058	2.559762791	2959.091	6508.700	4565.039	4565.039
7	Spectrogram 1	1	2.559762791	2.560760523	2959.091	6508.700	4565.039	4565.039
8	Spectrogram 1	1	2.560760523	2.561758255	2959.091	6508.700	4565.039	4565.039
9	Spectrogram 1	1	2.561758255	2.562755988	2959.091	6508.700	4565.039	4565.039
10	Spectrogram 1	1	2.562755988	2.563753720	2959.091	6508.700	5081.836	5081.836
11	Spectrogram 1	1	2.563753720	2.564751453	2959.091	6508.700	5081.836	5081.836
12	Spectrogram 1	1	2.564751453	2.565749185	2959.091	6508.700	5081.836	5081.836
13	Spectrogram 1	1	2.565749185	2.566746918	2959.091	6508.700	5081.836	5081.836
14	Spectrogram 1	1	2.566746918	2.567744650	2959.091	6508.700	5081.836	5081.836
15	Spectrogram 1	1	2.567744650	2.568742382	2959.091	6508.700	5081.836	5081.836
16	Spectrogram 1	1	2.568742382	2.569740115	2959.091	6508.700	5426.367	5426.367
17	Spectrogram 1	1	2.569740115	2.570737847	2959.091	6508.700	5426.367	5426.367
18	Spectrogram 1	1	2.570737847	2.571735580	2959.091	6508.700	5426.367	5426.367
19	Spectrogram 1	1	2.571735580	2.572733312	2959.091	6508.700	5426.367	5426.367
20	Spectrogram 1	1	2.572733312	2.573731045	2959.091	6508.700	5426.367	5426.367
21	Spectrogram 1	1	2.573731045	2.574728777	2959.091	6508.700	5426.367	5426.367
22	Spectrogram 1	1	2.574728777	2.575726509	2959.091	6508.700	5512.500	5512.500
23	Spectrogram 1	1	2.575726509	2.576724242	2959.091	6508.700	5512.500	5512.500
24	Spectrogram 1	1	2.576724242	2.577721974	2959.091	6508.700	5512.500	5512.500
25	Spectrogram 1	1	2.577721974	2.578719707	2959.091	6508.700	5512.500	5512.500
26	Spectrogram 1	1	2.578719707	2.579717439	2959.091	6508.700	5512.500	5512.500
27	Spectrogram 1	1	2.579717439	2.580715172	2959.091	6508.700	5512.500	5512.500
28	Spectrogram 1	1	2.580715172	2.581712904	2959.091	6508.700	5426.367	5426.367
29	Spectrogram 1	1	2.581712904	2.582710636	2959.091	6508.700	5426.367	5426.367
30	Spectrogram 1	1	2.582710636	2.583708369	2959.091	6508.700	5426.367	5426.367
31	Spectrogram 1	1	2.583708369	2.584706101	2959.091	6508.700	5426.367	5426.367
32	Spectrogram 1	1	2.584706101	2.585703834	2959.091	6508.700	5426.367	5426.367
33	Spectrogram 1	1	2.585703834	2.586701566	2959.091	6508.700	5340.234	5340.234
34	Spectrogram 1	1	2.586701566	2.587699298	2959.091	6508.700	5340.234	5340.234
35	Spectrogram 1	1	2.587699298	2.588697031	2959.091	6508.700	5340.234	5340.234
36	Spectrogram 1	1	2.588697031	2.589694763	2959.091	6508.700	5340.234	5340.234
37	Spectrogram 1	1	2.589694763	2.590692496	2959.091	6508.700	5340.234	5340.234
38	Spectrogram 1	1	2.590692496	2.591690228	2959.091	6508.700	5340.234	5340.234
39	Spectrogram 1	1	2.591690228	2.592687961	2959.091	6508.700	5254.102	5254.102
40	Spectrogram 1	1	2.592687961	2.593685693	2959.091	6508.700	5254.102	5254.102
41	Spectrogram 1	1	2.593685693	2.594683425	2959.091	6508.700	5254.102	5254.102
42	Spectrogram 1	1	2.594683425	2.595681158	2959.091	6508.700	5254.102	5254.102
43	Spectrogram 1	1	2.595681158	2.596678890	2959.091	6508.700	5254.102	5254.102
44	Spectrogram 1	1	2.596678890	2.597676623	2959.091	6508.700	5254.102	5254.102
45	Spectrogram 1	1	2.597676623	2.598674355	2959.091	6508.700	4995.703	4995.703
46	Spectrogram 1	1	2.598674355	2.599672088	2959.091	6508.700	4995.703	4995.703
47	Spectrogram 1	1	2.599672088	2.600669820	2959.091	6508.700	4995.703	4995.703
48	Spectrogram 1	1	2.600669820	2.601667552	2959.091	6508.700	4995.703	4995.703
49	Spectrogram 1	1	2.601667552	2.602665285	2959.091	6508.700	4995.703	4995.703
50	Spectrogram 1	1	2.602665285	2.603663017	2959.091	6508.700	4995.703	4995.703
51	Spectrogram 1	1	2.603663017	2.604660750	2959.091	6508.700	4737.305	4737.305
52	Spectrogram 1	1	2.604660750	2.605658482	2959.091	6508.700	4737.305	4737.305
53	Spectrogram 1	1	2.605658482	2.606656215	2959.091	6508.700	4737.305	4737.305
54	Spectrogram 1	1	2.606656215	2.607653947	2959.091	6508.700	4737.305	4737.305
55	Spectrogram 1	1	2.607653947	2.608651679	2959.091	6508.700	4737.305	4737.305
56	Spectrogram 1	1	2.608651679	2.609649412	2959.091	6508.700	4737.305	4737.305
57	Spectrogram 1	1	2.609649412	2.610647144	2959.091	6508.700	4565.039	4565.039
58	Spectrogram 1	1	2.610647144	2.611644877	2959.091	6508.700	4565.039	4565.039
59	Spectrogram 1	1	2.611644877	2.612642609	2959.091	6508.700	4565.039	4565.039
60	Spectrogram 1	1	2.612642609	2.613640342	2959.091	6508.700	4565.039	4565.039
61	Spectrogram 1	1	2.613640342	2.614638074	2959.091	6508.700	4565.039	4565.039
62	Spectrogram 1	1	2.614638074	2.615635806	2959.091	6508.700	4392.773	4392.773
