Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	18.225896267	18.226896267	2795.700	6107.500	3937.500	5250.000
2	Spectrogram 1	2	18.226896267	18.227896267	2795.700	6107.500	4687.500	4781.250
3	Spectrogram 1	2	18.227896267	18.228896267	2795.700	6107.500	4687.500	4781.250
4	Spectrogram 1	2	18.228896267	18.229896267	2795.700	6107.500	4687.500	4781.250
5	Spectrogram 1	2	18.229896267	18.230896267	2795.700	6107.500	4687.500	4781.250
6	Spectrogram 1	2	18.230896267	18.231896267	2795.700	6107.500	4687.500	4781.250
7	Spectrogram 1	2	18.231896267	18.232896267	2795.700	6107.500	5625.000	5625.000
8	Spectrogram 1	2	18.232896267	18.233896267	2795.700	6107.500	5625.000	5625.000
9	Spectrogram 1	2	18.233896267	18.234896267	2795.700	6107.500	5625.000	5625.000
10	Spectrogram 1	2	18.234896267	18.235896267	2795.700	6107.500	5625.000	5625.000
11	Spectrogram 1	2	18.235896267	18.236896267	2795.700	6107.500	5625.000	5625.000
12	Spectrogram 1	2	18.236896267	18.237896267	2795.700	6107.500	5625.000	5906.250
13	Spectrogram 1	2	18.237896267	18.238896267	2795.700	6107.500	5625.000	5906.250
14	Spectrogram 1	2	18.238896267	18.239896267	2795.700	6107.500	5625.000	5906.250
15	Spectrogram 1	2	18.239896267	18.240896267	2795.700	6107.500	5625.000	5906.250
16	Spectrogram 1	2	18.240896267	18.241896267	2795.700	6107.500	5625.000	5906.250
17	Spectrogram 1	2	18.241896267	18.242896267	2795.700	6107.500	5625.000	5906.250
18	Spectrogram 1	2	18.242896267	18.243896267	2795.700	6107.500	4781.250	4781.250
19	Spectrogram 1	2	18.243896267	18.244896267	2795.700	6107.500	4781.250	4781.250
20	Spectrogram 1	2	18.244896267	18.245896267	2795.700	6107.500	4781.250	4781.250
21	Spectrogram 1	2	18.245896267	18.246896267	2795.700	6107.500	4781.250	4781.250
22	Spectrogram 1	2	18.246896267	18.247896267	2795.700	6107.500	4781.250	4781.250
23	Spectrogram 1	2	18.247896267	18.248896267	2795.700	6107.500	4406.250	4312.500
24	Spectrogram 1	2	18.248896267	18.249896267	2795.700	6107.500	4406.250	4312.500
25	Spectrogram 1	2	18.249896267	18.250896267	2795.700	6107.500	4406.250	4312.500
26	Spectrogram 1	2	18.250896267	18.251896267	2795.700	6107.500	4406.250	4312.500
27	Spectrogram 1	2	18.251896267	18.252896267	2795.700	6107.500	4406.250	4312.500
28	Spectrogram 1	2	18.252896267	18.253896267	2795.700	6107.500	4500.000	4500.000
29	Spectrogram 1	2	18.253896267	18.254896267	2795.700	6107.500	4500.000	4500.000
30	Spectrogram 1	2	18.254896267	18.255896267	2795.700	6107.500	4500.000	4500.000
31	Spectrogram 1	2	18.255896267	18.256896267	2795.700	6107.500	4500.000	4500.000
32	Spectrogram 1	2	18.256896267	18.257896267	2795.700	6107.500	4500.000	4500.000
33	Spectrogram 1	2	18.257896267	18.258896267	2795.700	6107.500	4500.000	4500.000
34	Spectrogram 1	2	18.258896267	18.259896267	2795.700	6107.500	4687.500	4687.500
35	Spectrogram 1	2	18.259896267	18.260896267	2795.700	6107.500	4687.500	4687.500
36	Spectrogram 1	2	18.260896267	18.261896267	2795.700	6107.500	4687.500	4687.500
37	Spectrogram 1	2	18.261896267	18.262896267	2795.700	6107.500	4687.500	4687.500
38	Spectrogram 1	2	18.262896267	18.263896267	2795.700	6107.500	4687.500	4687.500
39	Spectrogram 1	2	18.263896267	18.264896267	2795.700	6107.500	4875.000	4875.000
