Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	1.774112755	1.775112755	2973.913	6182.927	4875.000	5250.000
2	Spectrogram 1	1	1.775112755	1.776112755	2973.913	6182.927	5250.000	5250.000
3	Spectrogram 1	1	1.776112755	1.777112755	2973.913	6182.927	5250.000	5250.000
4	Spectrogram 1	1	1.777112755	1.778112755	2973.913	6182.927	4875.000	5250.000
5	Spectrogram 1	1	1.778112755	1.779112755	2973.913	6182.927	4125.000	4125.000
6	Spectrogram 1	1	1.779112755	1.780112755	2973.913	6182.927	4875.000	4125.000
7	Spectrogram 1	1	1.780112755	1.781112755	2973.913	6182.927	4875.000	4125.000
8	Spectrogram 1	1	1.781112755	1.782112755	2973.913	6182.927	4125.000	4125.000
9	Spectrogram 1	1	1.782112755	1.783112755	2973.913	6182.927	4500.000	4500.000
10	Spectrogram 1	1	1.783112755	1.784112755	2973.913	6182.927	4875.000	4875.000
11	Spectrogram 1	1	1.784112755	1.785112755	2973.913	6182.927	4875.000	4875.000
12	Spectrogram 1	1	1.785112755	1.786112755	2973.913	6182.927	5250.000	5250.000
13	Spectrogram 1	1	1.786112755	1.787112755	2973.913	6182.927	5250.000	5250.000
14	Spectrogram 1	1	1.787112755	1.788112755	2973.913	6182.927	5250.000	5250.000
15	Spectrogram 1	1	1.788112755	1.789112755	2973.913	6182.927	5250.000	5250.000
16	Spectrogram 1	1	1.789112755	1.790112755	2973.913	6182.927	5625.000	5625.000
17	Spectrogram 1	1	1.790112755	1.791112755	2973.913	6182.927	5625.000	5625.000
18	Spectrogram 1	1	1.791112755	1.792112755	2973.913	6182.927	5625.000	5625.000
19	Spectrogram 1	1	1.792112755	1.793112755	2973.913	6182.927	5625.000	5625.000
20	Spectrogram 1	1	1.793112755	1.794112755	2973.913	6182.927	5625.000	5625.000
21	Spectrogram 1	1	1.794112755	1.795112755	2973.913	6182.927	5625.000	5625.000
22	Spectrogram 1	1	1.795112755	1.796112755	2973.913	6182.927	5625.000	5625.000
23	Spectrogram 1	1	1.796112755	1.797112755	2973.913	6182.927	5625.000	5625.000
24	Spectrogram 1	1	1.797112755	1.798112755	2973.913	6182.927	5625.000	5625.000
25	Spectrogram 1	1	1.798112755	1.799112755	2973.913	6182.927	5625.000	5625.000
26	Spectrogram 1	1	1.799112755	1.800112755	2973.913	6182.927	5625.000	5625.000
27	Spectrogram 1	1	1.800112755	1.801112755	2973.913	6182.927	5625.000	5625.000
28	Spectrogram 1	1	1.801112755	1.802112755	2973.913	6182.927	5625.000	5625.000
29	Spectrogram 1	1	1.802112755	1.803112755	2973.913	6182.927	5625.000	5625.000
30	Spectrogram 1	1	1.803112755	1.804112755	2973.913	6182.927	5625.000	5625.000
31	Spectrogram 1	1	1.804112755	1.805112755	2973.913	6182.927	5625.000	5625.000
32	Spectrogram 1	1	1.805112755	1.806112755	2973.913	6182.927	5625.000	5625.000
33	Spectrogram 1	1	1.806112755	1.807112755	2973.913	6182.927	5625.000	5625.000
34	Spectrogram 1	1	1.807112755	1.808112755	2973.913	6182.927	5625.000	5625.000
35	Spectrogram 1	1	1.808112755	1.809112755	2973.913	6182.927	5625.000	5625.000
36	Spectrogram 1	1	1.809112755	1.810112755	2973.913	6182.927	5250.000	5250.000
37	Spectrogram 1	1	1.810112755	1.811112755	2973.913	6182.927	5250.000	5250.000
38	Spectrogram 1	1	1.811112755	1.812112755	2973.913	6182.927	5250.000	5250.000
39	Spectrogram 1	1	1.812112755	1.813112755	2973.913	6182.927	5250.000	5250.000
40	Spectrogram 1	1	1.813112755	1.814112755	2973.913	6182.927	5250.000	5625.000
41	Spectrogram 1	1	1.814112755	1.815112755	2973.913	6182.927	5625.000	5625.000
42	Spectrogram 1	1	1.815112755	1.816112755	2973.913	6182.927	5250.000	5250.000
43	Spectrogram 1	1	1.816112755	1.817112755	2973.913	6182.927	5250.000	5250.000
44	Spectrogram 1	1	1.817112755	1.818112755	2973.913	6182.927	4875.000	4875.000
45	Spectrogram 1	1	1.818112755	1.819112755	2973.913	6182.927	4875.000	4875.000
46	Spectrogram 1	1	1.819112755	1.820112755	2973.913	6182.927	4875.000	4875.000
47	Spectrogram 1	1	1.820112755	1.821112755	2973.913	6182.927	4875.000	4875.000
48	Spectrogram 1	1	1.821112755	1.822112755	2973.913	6182.927	4875.000	4500.000
49	Spectrogram 1	1	1.822112755	1.823112755	2973.913	6182.927	4875.000	4875.000
50	Spectrogram 1	1	1.823112755	1.824112755	2973.913	6182.927	4875.000	4500.000
51	Spectrogram 1	1	1.824112755	1.825112755	2973.913	6182.927	4875.000	4500.000
52	Spectrogram 1	1	1.825112755	1.826112755	2973.913	6182.927	4500.000	4500.000
53	Spectrogram 1	1	1.826112755	1.827112755	2973.913	6182.927	4500.000	4500.000
54	Spectrogram 1	1	1.827112755	1.828112755	2973.913	6182.927	4500.000	4500.000
55	Spectrogram 1	1	1.828112755	1.829112755	2973.913	6182.927	4500.000	4500.000
56	Spectrogram 1	1	1.829112755	1.830112755	2973.913	6182.927	4500.000	4500.000
57	Spectrogram 1	1	1.830112755	1.831112755	2973.913	6182.927	4500.000	4500.000
58	Spectrogram 1	1	1.831112755	1.832112755	2973.913	6182.927	4500.000	4125.000
59	Spectrogram 1	1	1.832112755	1.833112755	2973.913	6182.927	4500.000	4125.000
60	Spectrogram 1	1	1.833112755	1.834112755	2973.913	6182.927	4500.000	4125.000
61	Spectrogram 1	1	1.834112755	1.835112755	2973.913	6182.927	4125.000	4125.000
62	Spectrogram 1	1	1.835112755	1.836112755	2973.913	6182.927	4125.000	4125.000
