Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.423159708	0.424157440	3081.223	6346.200	4306.641	4306.641
2	Spectrogram 1	1	0.424157440	0.425155173	3081.223	6346.200	4306.641	4306.641
3	Spectrogram 1	1	0.425155173	0.426152905	3081.223	6346.200	4306.641	4306.641
4	Spectrogram 1	1	0.426152905	0.427150638	3081.223	6346.200	4306.641	4306.641
5	Spectrogram 1	1	0.427150638	0.428148370	3081.223	6346.200	5081.836	5167.969
6	Spectrogram 1	1	0.428148370	0.429146103	3081.223	6346.200	5081.836	5167.969
7	Spectrogram 1	1	0.429146103	0.430143835	3081.223	6346.200	5081.836	5167.969
8	Spectrogram 1	1	0.430143835	0.431141567	3081.223	6346.200	5081.836	5167.969
9	Spectrogram 1	1	0.431141567	0.432139300	3081.223	6346.200	5081.836	5167.969
10	Spectrogram 1	1	0.432139300	0.433137032	3081.223	6346.200	5426.367	5426.367
11	Spectrogram 1	1	0.433137032	0.434134765	3081.223	6346.200	5426.367	5426.367
12	Spectrogram 1	1	0.434134765	0.435132497	3081.223	6346.200	5426.367	5426.367
13	Spectrogram 1	1	0.435132497	0.436130230	3081.223	6346.200	5426.367	5426.367
14	Spectrogram 1	1	0.436130230	0.437127962	3081.223	6346.200	5426.367	5426.367
15	Spectrogram 1	1	0.437127962	0.438125694	3081.223	6346.200	5426.367	5426.367
16	Spectrogram 1	1	0.438125694	0.439123427	3081.223	6346.200	5512.500	5512.500
17	Spectrogram 1	1	0.439123427	0.440121159	3081.223	6346.200	5512.500	5512.500
18	Spectrogram 1	1	0.440121159	0.441118892	3081.223	6346.200	5512.500	5512.500
19	Spectrogram 1	1	0.441118892	0.442116624	3081.223	6346.200	5512.500	5512.500
20	Spectrogram 1	1	0.442116624	0.443114357	3081.223	6346.200	5512.500	5512.500
21	Spectrogram 1	1	0.443114357	0.444112089	3081.223	6346.200	5512.500	5512.500
22	Spectrogram 1	1	0.444112089	0.445109821	3081.223	6346.200	5512.500	5512.500
23	Spectrogram 1	1	0.445109821	0.446107554	3081.223	6346.200	5512.500	5512.500
24	Spectrogram 1	1	0.446107554	0.447105286	3081.223	6346.200	5512.500	5512.500
25	Spectrogram 1	1	0.447105286	0.448103019	3081.223	6346.200	5512.500	5512.500
26	Spectrogram 1	1	0.448103019	0.449100751	3081.223	6346.200	5512.500	5512.500
27	Spectrogram 1	1	0.449100751	0.450098484	3081.223	6346.200	5512.500	5512.500
28	Spectrogram 1	1	0.450098484	0.451096216	3081.223	6346.200	5512.500	5512.500
29	Spectrogram 1	1	0.451096216	0.452093948	3081.223	6346.200	5512.500	5512.500
30	Spectrogram 1	1	0.452093948	0.453091681	3081.223	6346.200	5512.500	5512.500
31	Spectrogram 1	1	0.453091681	0.454089413	3081.223	6346.200	5512.500	5512.500
32	Spectrogram 1	1	0.454089413	0.455087146	3081.223	6346.200	5512.500	5512.500
33	Spectrogram 1	1	0.455087146	0.456084878	3081.223	6346.200	5512.500	5512.500
34	Spectrogram 1	1	0.456084878	0.457082610	3081.223	6346.200	5254.102	5254.102
35	Spectrogram 1	1	0.457082610	0.458080343	3081.223	6346.200	5254.102	5254.102
36	Spectrogram 1	1	0.458080343	0.459078075	3081.223	6346.200	5254.102	5254.102
37	Spectrogram 1	1	0.459078075	0.460075808	3081.223	6346.200	5254.102	5254.102
38	Spectrogram 1	1	0.460075808	0.461073540	3081.223	6346.200	5254.102	5254.102
39	Spectrogram 1	1	0.461073540	0.462071273	3081.223	6346.200	5426.367	5512.500
40	Spectrogram 1	1	0.462071273	0.463069005	3081.223	6346.200	5426.367	5512.500
41	Spectrogram 1	1	0.463069005	0.464066737	3081.223	6346.200	5426.367	5512.500
42	Spectrogram 1	1	0.464066737	0.465064470	3081.223	6346.200	5426.367	5512.500
43	Spectrogram 1	1	0.465064470	0.466062202	3081.223	6346.200	5426.367	5512.500
44	Spectrogram 1	1	0.466062202	0.467059935	3081.223	6346.200	5426.367	5512.500
45	Spectrogram 1	1	0.467059935	0.468057667	3081.223	6346.200	4995.703	4995.703
46	Spectrogram 1	1	0.468057667	0.469055400	3081.223	6346.200	4995.703	4995.703
47	Spectrogram 1	1	0.469055400	0.470053132	3081.223	6346.200	4995.703	4995.703
48	Spectrogram 1	1	0.470053132	0.471050864	3081.223	6346.200	4995.703	4995.703
49	Spectrogram 1	1	0.471050864	0.472048597	3081.223	6346.200	4995.703	4995.703
50	Spectrogram 1	1	0.472048597	0.473046329	3081.223	6346.200	4995.703	4995.703
51	Spectrogram 1	1	0.473046329	0.474044062	3081.223	6346.200	4995.703	5081.836
52	Spectrogram 1	1	0.474044062	0.475041794	3081.223	6346.200	4995.703	5081.836
53	Spectrogram 1	1	0.475041794	0.476039527	3081.223	6346.200	4995.703	5081.836
54	Spectrogram 1	1	0.476039527	0.477037259	3081.223	6346.200	4995.703	5081.836
55	Spectrogram 1	1	0.477037259	0.478034991	3081.223	6346.200	4995.703	5081.836
56	Spectrogram 1	1	0.478034991	0.479032724	3081.223	6346.200	4995.703	5081.836
57	Spectrogram 1	1	0.479032724	0.480030456	3081.223	6346.200	4823.438	5167.969
58	Spectrogram 1	1	0.480030456	0.481028189	3081.223	6346.200	4823.438	5167.969
59	Spectrogram 1	1	0.481028189	0.482025921	3081.223	6346.200	4823.438	5167.969
60	Spectrogram 1	1	0.482025921	0.483023654	3081.223	6346.200	4823.438	5167.969
61	Spectrogram 1	1	0.483023654	0.484021386	3081.223	6346.200	4823.438	5167.969
62	Spectrogram 1	1	0.484021386	0.485019118	3081.223	6346.200	4823.438	5167.969
63	Spectrogram 1	1	0.485019118	0.486016851	3081.223	6346.200	4306.641	4134.375
64	Spectrogram 1	1	0.486016851	0.487014583	3081.223	6346.200	4306.641	4134.375
65	Spectrogram 1	1	0.487014583	0.488012316	3081.223	6346.200	4306.641	4134.375
66	Spectrogram 1	1	0.488012316	0.489010048	3081.223	6346.200	4306.641	4134.375
67	Spectrogram 1	1	0.489010048	0.490007781	3081.223	6346.200	4306.641	4134.375
68	Spectrogram 1	1	0.490007781	0.491005513	3081.223	6346.200	4306.641	4134.375
69	Spectrogram 1	1	0.491005513	0.492003245	3081.223	6346.200	4134.375	4134.375
70	Spectrogram 1	1	0.492003245	0.493000978	3081.223	6346.200	4134.375	4134.375
71	Spectrogram 1	1	0.493000978	0.493998710	3081.223	6346.200	4134.375	4134.375
72	Spectrogram 1	1	0.493998710	0.494996443	3081.223	6346.200	4134.375	4134.375
73	Spectrogram 1	1	0.494996443	0.495994175	3081.223	6346.200	4134.375	4134.375
74	Spectrogram 1	1	0.495994175	0.496991908	3081.223	6346.200	4392.773	4048.242
75	Spectrogram 1	1	0.496991908	0.497989640	3081.223	6346.200	4392.773	4048.242
76	Spectrogram 1	1	0.497989640	0.498987372	3081.223	6346.200	4392.773	4048.242
77	Spectrogram 1	1	0.498987372	0.499985105	3081.223	6346.200	4392.773	4048.242
78	Spectrogram 1	1	0.499985105	0.500982837	3081.223	6346.200	4392.773	4048.242
79	Spectrogram 1	1	0.500982837	0.501980570	3081.223	6346.200	4392.773	4048.242
80	Spectrogram 1	1	0.501980570	0.502978302	3081.223	6346.200	4134.375	4134.375
81	Spectrogram 1	1	0.502978302	0.503976035	3081.223	6346.200	4134.375	4134.375
82	Spectrogram 1	1	0.503976035	0.504973767	3081.223	6346.200	4134.375	4134.375
83	Spectrogram 1	1	0.504973767	0.505971499	3081.223	6346.200	4134.375	4134.375
84	Spectrogram 1	1	0.505971499	0.506969232	3081.223	6346.200	4134.375	4134.375
85	Spectrogram 1	1	0.506969232	0.507966964	3081.223	6346.200	4134.375	4134.375
86	Spectrogram 1	1	0.507966964	0.508964697	3081.223	6346.200	4134.375	4134.375
87	Spectrogram 1	1	0.508964697	0.509962429	3081.223	6346.200	4134.375	4134.375
88	Spectrogram 1	1	0.509962429	0.510960162	3081.223	6346.200	4134.375	4134.375
89	Spectrogram 1	1	0.510960162	0.511957894	3081.223	6346.200	4134.375	4134.375
90	Spectrogram 1	1	0.511957894	0.512955626	3081.223	6346.200	4134.375	4134.375
91	Spectrogram 1	1	0.512955626	0.513953359	3081.223	6346.200	4134.375	4134.375
92	Spectrogram 1	1	0.513953359	0.514951091	3081.223	6346.200	4134.375	4048.242
93	Spectrogram 1	1	0.514951091	0.515948824	3081.223	6346.200	4134.375	4048.242
94	Spectrogram 1	1	0.515948824	0.516946556	3081.223	6346.200	4134.375	4048.242
95	Spectrogram 1	1	0.516946556	0.517944288	3081.223	6346.200	4134.375	4048.242
96	Spectrogram 1	1	0.517944288	0.518942021	3081.223	6346.200	4134.375	4048.242
97	Spectrogram 1	1	0.518942021	0.519939753	3081.223	6346.200	4134.375	4048.242
98	Spectrogram 1	1	0.519939753	0.520937486	3081.223	6346.200	4220.508	4048.242
99	Spectrogram 1	1	0.520937486	0.521935218	3081.223	6346.200	4220.508	4048.242
100	Spectrogram 1	1	0.521935218	0.522932951	3081.223	6346.200	4220.508	4048.242
101	Spectrogram 1	1	0.522932951	0.523930683	3081.223	6346.200	4220.508	4048.242
102	Spectrogram 1	1	0.523930683	0.524928415	3081.223	6346.200	4220.508	4048.242
103	Spectrogram 1	1	0.524928415	0.525926148	3081.223	6346.200	4134.375	4134.375
104	Spectrogram 1	1	0.525926148	0.526923880	3081.223	6346.200	4134.375	4134.375
105	Spectrogram 1	1	0.526923880	0.527921613	3081.223	6346.200	4134.375	4134.375
106	Spectrogram 1	1	0.527921613	0.528919345	3081.223	6346.200	4134.375	4134.375
107	Spectrogram 1	1	0.528919345	0.529917078	3081.223	6346.200	4134.375	4134.375
108	Spectrogram 1	1	0.529917078	0.530914810	3081.223	6346.200	4134.375	4134.375
109	Spectrogram 1	1	0.530914810	0.531912542	3081.223	6346.200	4134.375	4048.242
110	Spectrogram 1	1	0.531912542	0.532910275	3081.223	6346.200	4134.375	4048.242
111	Spectrogram 1	1	0.532910275	0.533908007	3081.223	6346.200	4134.375	4048.242
112	Spectrogram 1	1	0.533908007	0.534905740	3081.223	6346.200	4134.375	4048.242
113	Spectrogram 1	1	0.534905740	0.535903472	3081.223	6346.200	4134.375	4048.242
114	Spectrogram 1	1	0.535903472	0.536901205	3081.223	6346.200	4134.375	4048.242
115	Spectrogram 1	1	0.536901205	0.537898937	3081.223	6346.200	4048.242	4134.375
116	Spectrogram 1	1	0.537898937	0.538896669	3081.223	6346.200	4048.242	4134.375
117	Spectrogram 1	1	0.538896669	0.539894402	3081.223	6346.200	4048.242	4134.375
118	Spectrogram 1	1	0.539894402	0.540892134	3081.223	6346.200	4048.242	4134.375
119	Spectrogram 1	1	0.540892134	0.541889867	3081.223	6346.200	4048.242	4134.375
120	Spectrogram 1	1	0.541889867	0.542887599	3081.223	6346.200	4048.242	4134.375
121	Spectrogram 1	1	0.542887599	0.543885332	3081.223	6346.200	3703.711	3617.578
122	Spectrogram 1	1	0.543885332	0.544883064	3081.223	6346.200	3703.711	3617.578
123	Spectrogram 1	1	0.544883064	0.545880796	3081.223	6346.200	3703.711	3617.578
124	Spectrogram 1	1	0.545880796	0.546878529	3081.223	6346.200	3703.711	3617.578
125	Spectrogram 1	1	0.546878529	0.547876261	3081.223	6346.200	3703.711	3617.578
126	Spectrogram 1	1	0.547876261	0.548873994	3081.223	6346.200	3703.711	3617.578
127	Spectrogram 1	1	0.548873994	0.549871726	3081.223	6346.200	3703.711	3617.578
128	Spectrogram 1	1	0.549871726	0.550869459	3081.223	6346.200	3703.711	3617.578
129	Spectrogram 1	1	0.550869459	0.551867191	3081.223	6346.200	3703.711	3617.578
130	Spectrogram 1	1	0.551867191	0.552864923	3081.223	6346.200	3703.711	3617.578
131	Spectrogram 1	1	0.552864923	0.553862656	3081.223	6346.200	3703.711	3617.578
132	Spectrogram 1	1	0.553862656	0.554860388	3081.223	6346.200	3703.711	3617.578
133	Spectrogram 1	1	0.554860388	0.555858121	3081.223	6346.200	3531.445	3359.180
134	Spectrogram 1	1	0.555858121	0.556855853	3081.223	6346.200	3531.445	3359.180
135	Spectrogram 1	1	0.556855853	0.557853586	3081.223	6346.200	3531.445	3359.180
136	Spectrogram 1	1	0.557853586	0.558851318	3081.223	6346.200	3531.445	3359.180
137	Spectrogram 1	1	0.558851318	0.559849050	3081.223	6346.200	3531.445	3359.180
138	Spectrogram 1	1	0.559849050	0.560846783	3081.223	6346.200	3445.312	3273.047
139	Spectrogram 1	1	0.560846783	0.561844515	3081.223	6346.200	3445.312	3273.047
140	Spectrogram 1	1	0.561844515	0.562842248	3081.223	6346.200	3445.312	3273.047
141	Spectrogram 1	1	0.562842248	0.563839980	3081.223	6346.200	3445.312	3273.047
142	Spectrogram 1	1	0.563839980	0.564837713	3081.223	6346.200	3445.312	3273.047
143	Spectrogram 1	1	0.564837713	0.565835445	3081.223	6346.200	3445.312	3273.047
144	Spectrogram 1	1	0.565835445	0.566833177	3081.223	6346.200	3273.047	3186.914
145	Spectrogram 1	1	0.566833177	0.567830910	3081.223	6346.200	3273.047	3186.914
146	Spectrogram 1	1	0.567830910	0.568828642	3081.223	6346.200	3273.047	3186.914
147	Spectrogram 1	1	0.568828642	0.569826375	3081.223	6346.200	3273.047	3186.914
148	Spectrogram 1	1	0.569826375	0.570824107	3081.223	6346.200	3273.047	3186.914
149	Spectrogram 1	1	0.570824107	0.571821840	3081.223	6346.200	3273.047	3186.914
150	Spectrogram 1	1	0.571821840	0.572819572	3081.223	6346.200	3962.109	3273.047
151	Spectrogram 1	1	0.572819572	0.573817304	3081.223	6346.200	3962.109	3273.047
152	Spectrogram 1	1	0.573817304	0.574815037	3081.223	6346.200	3962.109	3273.047
153	Spectrogram 1	1	0.574815037	0.575812769	3081.223	6346.200	3962.109	3273.047
154	Spectrogram 1	1	0.575812769	0.576810502	3081.223	6346.200	3962.109	3273.047
155	Spectrogram 1	1	0.576810502	0.577808234	3081.223	6346.200	3962.109	3273.047
156	Spectrogram 1	1	0.577808234	0.578805967	3081.223	6346.200	4048.242	3875.977
157	Spectrogram 1	1	0.578805967	0.579803699	3081.223	6346.200	4048.242	3875.977
158	Spectrogram 1	1	0.579803699	0.580801431	3081.223	6346.200	4048.242	3875.977
159	Spectrogram 1	1	0.580801431	0.581799164	3081.223	6346.200	4048.242	3875.977
160	Spectrogram 1	1	0.581799164	0.582796896	3081.223	6346.200	4048.242	3875.977
161	Spectrogram 1	1	0.582796896	0.583794629	3081.223	6346.200	4048.242	3875.977
162	Spectrogram 1	1	0.583794629	0.584792361	3081.223	6346.200	3789.844	3359.180
163	Spectrogram 1	1	0.584792361	0.585790093	3081.223	6346.200	3789.844	3359.180
164	Spectrogram 1	1	0.585790093	0.586787826	3081.223	6346.200	3789.844	3359.180
165	Spectrogram 1	1	0.586787826	0.587785558	3081.223	6346.200	3789.844	3359.180
166	Spectrogram 1	1	0.587785558	0.588783291	3081.223	6346.200	3789.844	3359.180
167	Spectrogram 1	1	0.588783291	0.589781023	3081.223	6346.200	3703.711	3531.445
168	Spectrogram 1	1	0.589781023	0.590778756	3081.223	6346.200	3703.711	3531.445
169	Spectrogram 1	1	0.590778756	0.591776488	3081.223	6346.200	3703.711	3531.445
170	Spectrogram 1	1	0.591776488	0.592774220	3081.223	6346.200	3703.711	3531.445
171	Spectrogram 1	1	0.592774220	0.593771953	3081.223	6346.200	3703.711	3531.445
172	Spectrogram 1	1	0.593771953	0.594769685	3081.223	6346.200	3703.711	3531.445
173	Spectrogram 1	1	0.594769685	0.595767418	3081.223	6346.200	3703.711	3703.711
174	Spectrogram 1	1	0.595767418	0.596765150	3081.223	6346.200	3703.711	3703.711
175	Spectrogram 1	1	0.596765150	0.597762883	3081.223	6346.200	3703.711	3703.711
176	Spectrogram 1	1	0.597762883	0.598760615	3081.223	6346.200	3703.711	3703.711
177	Spectrogram 1	1	0.598760615	0.599758347	3081.223	6346.200	3703.711	3703.711
178	Spectrogram 1	1	0.599758347	0.600756080	3081.223	6346.200	3703.711	3703.711
179	Spectrogram 1	1	0.600756080	0.601753812	3081.223	6346.200	3789.844	3789.844
180	Spectrogram 1	1	0.601753812	0.602751545	3081.223	6346.200	3789.844	3789.844
181	Spectrogram 1	1	0.602751545	0.603749277	3081.223	6346.200	3789.844	3789.844
182	Spectrogram 1	1	0.603749277	0.604747010	3081.223	6346.200	3789.844	3789.844
183	Spectrogram 1	1	0.604747010	0.605744742	3081.223	6346.200	3789.844	3789.844
184	Spectrogram 1	1	0.605744742	0.606742474	3081.223	6346.200	3789.844	3789.844
185	Spectrogram 1	1	0.606742474	0.607740207	3081.223	6346.200	4048.242	4048.242
186	Spectrogram 1	1	0.607740207	0.608737939	3081.223	6346.200	4048.242	4048.242
187	Spectrogram 1	1	0.608737939	0.609735672	3081.223	6346.200	4048.242	4048.242
188	Spectrogram 1	1	0.609735672	0.610733404	3081.223	6346.200	4048.242	4048.242
189	Spectrogram 1	1	0.610733404	0.611731137	3081.223	6346.200	4048.242	4048.242
190	Spectrogram 1	1	0.611731137	0.612728869	3081.223	6346.200	4048.242	4048.242
191	Spectrogram 1	1	0.612728869	0.613726601	3081.223	6346.200	4478.906	4478.906
192	Spectrogram 1	1	0.613726601	0.614724334	3081.223	6346.200	4478.906	4478.906
193	Spectrogram 1	1	0.614724334	0.615722066	3081.223	6346.200	4478.906	4478.906
194	Spectrogram 1	1	0.615722066	0.616719799	3081.223	6346.200	4478.906	4478.906
195	Spectrogram 1	1	0.616719799	0.617717531	3081.223	6346.200	4478.906	4478.906
196	Spectrogram 1	1	0.617717531	0.618715264	3081.223	6346.200	4478.906	4478.906
197	Spectrogram 1	1	0.618715264	0.619712996	3081.223	6346.200	4478.906	4478.906
198	Spectrogram 1	1	0.619712996	0.620710728	3081.223	6346.200	4478.906	4478.906
199	Spectrogram 1	1	0.620710728	0.621708461	3081.223	6346.200	4478.906	4478.906
200	Spectrogram 1	1	0.621708461	0.622706193	3081.223	6346.200	4478.906	4478.906
201	Spectrogram 1	1	0.622706193	0.623703926	3081.223	6346.200	4478.906	4478.906
202	Spectrogram 1	1	0.623703926	0.624701658	3081.223	6346.200	4651.172	4651.172
203	Spectrogram 1	1	0.624701658	0.625699391	3081.223	6346.200	4651.172	4651.172
204	Spectrogram 1	1	0.625699391	0.626697123	3081.223	6346.200	4651.172	4651.172
205	Spectrogram 1	1	0.626697123	0.627694855	3081.223	6346.200	4651.172	4651.172
206	Spectrogram 1	1	0.627694855	0.628692588	3081.223	6346.200	4651.172	4651.172
207	Spectrogram 1	1	0.628692588	0.629690320	3081.223	6346.200	4651.172	4651.172
208	Spectrogram 1	1	0.629690320	0.630688053	3081.223	6346.200	4737.305	4737.305
209	Spectrogram 1	1	0.630688053	0.631685785	3081.223	6346.200	4737.305	4737.305
210	Spectrogram 1	1	0.631685785	0.632683518	3081.223	6346.200	4737.305	4737.305
211	Spectrogram 1	1	0.632683518	0.633681250	3081.223	6346.200	4737.305	4737.305
212	Spectrogram 1	1	0.633681250	0.634678982	3081.223	6346.200	4737.305	4737.305
