Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	23.018878489	23.019876221	2909.457	6026.200	4134.375	4134.375
2	Spectrogram 1	1	23.019876221	23.020873954	2909.457	6026.200	4306.641	4392.773
3	Spectrogram 1	1	23.020873954	23.021871686	2909.457	6026.200	4306.641	4392.773
4	Spectrogram 1	1	23.021871686	23.022869419	2909.457	6026.200	4306.641	4392.773
5	Spectrogram 1	1	23.022869419	23.023867151	2909.457	6026.200	4306.641	4392.773
6	Spectrogram 1	1	23.023867151	23.024864884	2909.457	6026.200	4306.641	4392.773
7	Spectrogram 1	1	23.024864884	23.025862616	2909.457	6026.200	4306.641	4392.773
8	Spectrogram 1	1	23.025862616	23.026860348	2909.457	6026.200	4995.703	4909.570
9	Spectrogram 1	1	23.026860348	23.027858081	2909.457	6026.200	4995.703	4909.570
10	Spectrogram 1	1	23.027858081	23.028855813	2909.457	6026.200	4995.703	4909.570
11	Spectrogram 1	1	23.028855813	23.029853546	2909.457	6026.200	4995.703	4909.570
12	Spectrogram 1	1	23.029853546	23.030851278	2909.457	6026.200	4995.703	4909.570
13	Spectrogram 1	1	23.030851278	23.031849011	2909.457	6026.200	5340.234	5340.234
14	Spectrogram 1	1	23.031849011	23.032846743	2909.457	6026.200	5340.234	5340.234
15	Spectrogram 1	1	23.032846743	23.033844475	2909.457	6026.200	5340.234	5340.234
16	Spectrogram 1	1	23.033844475	23.034842208	2909.457	6026.200	5340.234	5340.234
17	Spectrogram 1	1	23.034842208	23.035839940	2909.457	6026.200	5340.234	5340.234
18	Spectrogram 1	1	23.035839940	23.036837673	2909.457	6026.200	5340.234	5340.234
19	Spectrogram 1	1	23.036837673	23.037835405	2909.457	6026.200	5426.367	5426.367
20	Spectrogram 1	1	23.037835405	23.038833138	2909.457	6026.200	5426.367	5426.367
21	Spectrogram 1	1	23.038833138	23.039830870	2909.457	6026.200	5426.367	5426.367
22	Spectrogram 1	1	23.039830870	23.040828602	2909.457	6026.200	5426.367	5426.367
23	Spectrogram 1	1	23.040828602	23.041826335	2909.457	6026.200	5426.367	5426.367
24	Spectrogram 1	1	23.041826335	23.042824067	2909.457	6026.200	5426.367	5426.367
25	Spectrogram 1	1	23.042824067	23.043821800	2909.457	6026.200	5426.367	5426.367
26	Spectrogram 1	1	23.043821800	23.044819532	2909.457	6026.200	5426.367	5426.367
27	Spectrogram 1	1	23.044819532	23.045817265	2909.457	6026.200	5426.367	5426.367
28	Spectrogram 1	1	23.045817265	23.046814997	2909.457	6026.200	5426.367	5426.367
29	Spectrogram 1	1	23.046814997	23.047812729	2909.457	6026.200	5426.367	5426.367
30	Spectrogram 1	1	23.047812729	23.048810462	2909.457	6026.200	5426.367	5426.367
31	Spectrogram 1	1	23.048810462	23.049808194	2909.457	6026.200	5254.102	5254.102
32	Spectrogram 1	1	23.049808194	23.050805927	2909.457	6026.200	5254.102	5254.102
33	Spectrogram 1	1	23.050805927	23.051803659	2909.457	6026.200	5254.102	5254.102
34	Spectrogram 1	1	23.051803659	23.052801391	2909.457	6026.200	5254.102	5254.102
35	Spectrogram 1	1	23.052801391	23.053799124	2909.457	6026.200	5254.102	5254.102
36	Spectrogram 1	1	23.053799124	23.054796856	2909.457	6026.200	5254.102	5254.102
37	Spectrogram 1	1	23.054796856	23.055794589	2909.457	6026.200	5081.836	5167.969
38	Spectrogram 1	1	23.055794589	23.056792321	2909.457	6026.200	5081.836	5167.969
39	Spectrogram 1	1	23.056792321	23.057790054	2909.457	6026.200	5081.836	5167.969
40	Spectrogram 1	1	23.057790054	23.058787786	2909.457	6026.200	5081.836	5167.969
41	Spectrogram 1	1	23.058787786	23.059785518	2909.457	6026.200	5081.836	5167.969
42	Spectrogram 1	1	23.059785518	23.060783251	2909.457	6026.200	5081.836	5167.969
43	Spectrogram 1	1	23.060783251	23.061780983	2909.457	6026.200	4823.438	4823.438
44	Spectrogram 1	1	23.061780983	23.062778716	2909.457	6026.200	4823.438	4823.438
45	Spectrogram 1	1	23.062778716	23.063776448	2909.457	6026.200	4823.438	4823.438
46	Spectrogram 1	1	23.063776448	23.064774181	2909.457	6026.200	4823.438	4823.438
47	Spectrogram 1	1	23.064774181	23.065771913	2909.457	6026.200	4823.438	4823.438
48	Spectrogram 1	1	23.065771913	23.066769645	2909.457	6026.200	4392.773	4392.773
49	Spectrogram 1	1	23.066769645	23.067767378	2909.457	6026.200	4392.773	4392.773
50	Spectrogram 1	1	23.067767378	23.068765110	2909.457	6026.200	4392.773	4392.773
51	Spectrogram 1	1	23.068765110	23.069762843	2909.457	6026.200	4392.773	4392.773
52	Spectrogram 1	1	23.069762843	23.070760575	2909.457	6026.200	4392.773	4392.773
53	Spectrogram 1	1	23.070760575	23.071758308	2909.457	6026.200	4392.773	4392.773
54	Spectrogram 1	1	23.071758308	23.072756040	2909.457	6026.200	4134.375	4134.375
55	Spectrogram 1	1	23.072756040	23.073753772	2909.457	6026.200	4134.375	4134.375
56	Spectrogram 1	1	23.073753772	23.074751505	2909.457	6026.200	4134.375	4134.375
57	Spectrogram 1	1	23.074751505	23.075749237	2909.457	6026.200	4134.375	4134.375
58	Spectrogram 1	1	23.075749237	23.076746970	2909.457	6026.200	4134.375	4134.375
59	Spectrogram 1	1	23.076746970	23.077744702	2909.457	6026.200	4134.375	4134.375
60	Spectrogram 1	1	23.077744702	23.078742435	2909.457	6026.200	3962.109	3962.109
61	Spectrogram 1	1	23.078742435	23.079740167	2909.457	6026.200	3962.109	3962.109
62	Spectrogram 1	1	23.079740167	23.080737899	2909.457	6026.200	3962.109	3962.109
63	Spectrogram 1	1	23.080737899	23.081735632	2909.457	6026.200	3962.109	3962.109
64	Spectrogram 1	1	23.081735632	23.082733364	2909.457	6026.200	3962.109	3962.109
65	Spectrogram 1	1	23.082733364	23.083731097	2909.457	6026.200	3962.109	3962.109
66	Spectrogram 1	1	23.083731097	23.084728829	2909.457	6026.200	3875.977	3875.977
67	Spectrogram 1	1	23.084728829	23.085726562	2909.457	6026.200	3875.977	3875.977
68	Spectrogram 1	1	23.085726562	23.086724294	2909.457	6026.200	3875.977	3875.977
69	Spectrogram 1	1	23.086724294	23.087722026	2909.457	6026.200	3875.977	3875.977
70	Spectrogram 1	1	23.087722026	23.088719759	2909.457	6026.200	3875.977	3875.977
71	Spectrogram 1	1	23.088719759	23.089717491	2909.457	6026.200	3875.977	3875.977
72	Spectrogram 1	1	23.089717491	23.090715224	2909.457	6026.200	3875.977	3875.977
73	Spectrogram 1	1	23.090715224	23.091712956	2909.457	6026.200	3875.977	3875.977
74	Spectrogram 1	1	23.091712956	23.092710689	2909.457	6026.200	3875.977	3875.977
75	Spectrogram 1	1	23.092710689	23.093708421	2909.457	6026.200	3875.977	3875.977
76	Spectrogram 1	1	23.093708421	23.094706153	2909.457	6026.200	3875.977	3875.977
77	Spectrogram 1	1	23.094706153	23.095703886	2909.457	6026.200	3962.109	3962.109
78	Spectrogram 1	1	23.095703886	23.096701618	2909.457	6026.200	3962.109	3962.109
79	Spectrogram 1	1	23.096701618	23.097699351	2909.457	6026.200	3962.109	3962.109
80	Spectrogram 1	1	23.097699351	23.098697083	2909.457	6026.200	3962.109	3962.109
81	Spectrogram 1	1	23.098697083	23.099694816	2909.457	6026.200	3962.109	3962.109
82	Spectrogram 1	1	23.099694816	23.100692548	2909.457	6026.200	3962.109	3962.109
