Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	10.076018601	10.077018601	3116.883	6721.800	4781.250	4781.250
2	Spectrogram 1	1	10.077018601	10.078018601	3116.883	6721.800	4781.250	4968.750
3	Spectrogram 1	1	10.078018601	10.079018601	3116.883	6721.800	4781.250	4968.750
4	Spectrogram 1	1	10.079018601	10.080018601	3116.883	6721.800	4781.250	4968.750
5	Spectrogram 1	1	10.080018601	10.081018601	3116.883	6721.800	4781.250	4968.750
6	Spectrogram 1	1	10.081018601	10.082018601	3116.883	6721.800	4781.250	4968.750
7	Spectrogram 1	1	10.082018601	10.083018601	3116.883	6721.800	4781.250	4968.750
8	Spectrogram 1	1	10.083018601	10.084018601	3116.883	6721.800	5437.500	5437.500
9	Spectrogram 1	1	10.084018601	10.085018601	3116.883	6721.800	5437.500	5437.500
10	Spectrogram 1	1	10.085018601	10.086018601	3116.883	6721.800	5437.500	5437.500
11	Spectrogram 1	1	10.086018601	10.087018601	3116.883	6721.800	5437.500	5437.500
12	Spectrogram 1	1	10.087018601	10.088018601	3116.883	6721.800	5437.500	5437.500
13	Spectrogram 1	1	10.088018601	10.089018601	3116.883	6721.800	5812.500	5812.500
14	Spectrogram 1	1	10.089018601	10.090018601	3116.883	6721.800	5812.500	5812.500
15	Spectrogram 1	1	10.090018601	10.091018601	3116.883	6721.800	5812.500	5812.500
16	Spectrogram 1	1	10.091018601	10.092018601	3116.883	6721.800	5812.500	5812.500
17	Spectrogram 1	1	10.092018601	10.093018601	3116.883	6721.800	5812.500	5812.500
18	Spectrogram 1	1	10.093018601	10.094018601	3116.883	6721.800	6000.000	6000.000
19	Spectrogram 1	1	10.094018601	10.095018601	3116.883	6721.800	6000.000	6000.000
20	Spectrogram 1	1	10.095018601	10.096018601	3116.883	6721.800	6000.000	6000.000
21	Spectrogram 1	1	10.096018601	10.097018601	3116.883	6721.800	6000.000	6000.000
22	Spectrogram 1	1	10.097018601	10.098018601	3116.883	6721.800	6000.000	6000.000
23	Spectrogram 1	1	10.098018601	10.099018601	3116.883	6721.800	6000.000	6000.000
24	Spectrogram 1	1	10.099018601	10.100018601	3116.883	6721.800	6000.000	6000.000
25	Spectrogram 1	1	10.100018601	10.101018601	3116.883	6721.800	6000.000	6000.000
26	Spectrogram 1	1	10.101018601	10.102018601	3116.883	6721.800	6000.000	6000.000
27	Spectrogram 1	1	10.102018601	10.103018601	3116.883	6721.800	6000.000	6000.000
28	Spectrogram 1	1	10.103018601	10.104018601	3116.883	6721.800	6000.000	6000.000
29	Spectrogram 1	1	10.104018601	10.105018601	3116.883	6721.800	5625.000	5625.000
30	Spectrogram 1	1	10.105018601	10.106018601	3116.883	6721.800	5625.000	5625.000
31	Spectrogram 1	1	10.106018601	10.107018601	3116.883	6721.800	5625.000	5625.000
32	Spectrogram 1	1	10.107018601	10.108018601	3116.883	6721.800	5625.000	5625.000
33	Spectrogram 1	1	10.108018601	10.109018601	3116.883	6721.800	5625.000	5625.000
34	Spectrogram 1	1	10.109018601	10.110018601	3116.883	6721.800	5343.750	5343.750
35	Spectrogram 1	1	10.110018601	10.111018601	3116.883	6721.800	5343.750	5343.750
36	Spectrogram 1	1	10.111018601	10.112018601	3116.883	6721.800	5343.750	5343.750
37	Spectrogram 1	1	10.112018601	10.113018601	3116.883	6721.800	5343.750	5343.750
38	Spectrogram 1	1	10.113018601	10.114018601	3116.883	6721.800	5343.750	5343.750
39	Spectrogram 1	1	10.114018601	10.115018601	3116.883	6721.800	5343.750	5343.750
40	Spectrogram 1	1	10.115018601	10.116018601	3116.883	6721.800	5156.250	5156.250
41	Spectrogram 1	1	10.116018601	10.117018601	3116.883	6721.800	5156.250	5156.250
42	Spectrogram 1	1	10.117018601	10.118018601	3116.883	6721.800	5156.250	5156.250
43	Spectrogram 1	1	10.118018601	10.119018601	3116.883	6721.800	5156.250	5156.250
