Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	14.433460405	14.434458137	3084.900	6695.800	5081.836	6287.695
2	Spectrogram 1	1	14.434458137	14.435455870	3084.900	6695.800	5254.102	5254.102
3	Spectrogram 1	1	14.435455870	14.436453602	3084.900	6695.800	5254.102	5254.102
4	Spectrogram 1	1	14.436453602	14.437451335	3084.900	6695.800	5254.102	5254.102
5	Spectrogram 1	1	14.437451335	14.438449067	3084.900	6695.800	5254.102	5254.102
6	Spectrogram 1	1	14.438449067	14.439446800	3084.900	6695.800	5254.102	5254.102
7	Spectrogram 1	1	14.439446800	14.440444532	3084.900	6695.800	5770.898	5943.164
8	Spectrogram 1	1	14.440444532	14.441442264	3084.900	6695.800	5770.898	5943.164
9	Spectrogram 1	1	14.441442264	14.442439997	3084.900	6695.800	5770.898	5943.164
10	Spectrogram 1	1	14.442439997	14.443437729	3084.900	6695.800	5770.898	5943.164
11	Spectrogram 1	1	14.443437729	14.444435462	3084.900	6695.800	5770.898	5943.164
12	Spectrogram 1	1	14.444435462	14.445433194	3084.900	6695.800	5770.898	5943.164
13	Spectrogram 1	1	14.445433194	14.446430927	3084.900	6695.800	5770.898	5943.164
14	Spectrogram 1	1	14.446430927	14.447428659	3084.900	6695.800	5770.898	5943.164
15	Spectrogram 1	1	14.447428659	14.448426391	3084.900	6695.800	5770.898	5943.164
16	Spectrogram 1	1	14.448426391	14.449424124	3084.900	6695.800	5770.898	5943.164
17	Spectrogram 1	1	14.449424124	14.450421856	3084.900	6695.800	5770.898	5943.164
18	Spectrogram 1	1	14.450421856	14.451419589	3084.900	6695.800	5770.898	5943.164
19	Spectrogram 1	1	14.451419589	14.452417321	3084.900	6695.800	5340.234	5340.234
20	Spectrogram 1	1	14.452417321	14.453415054	3084.900	6695.800	5340.234	5340.234
21	Spectrogram 1	1	14.453415054	14.454412786	3084.900	6695.800	5340.234	5340.234
22	Spectrogram 1	1	14.454412786	14.455410518	3084.900	6695.800	5340.234	5340.234
23	Spectrogram 1	1	14.455410518	14.456408251	3084.900	6695.800	5340.234	5340.234
24	Spectrogram 1	1	14.456408251	14.457405983	3084.900	6695.800	5340.234	5340.234
25	Spectrogram 1	1	14.457405983	14.458403716	3084.900	6695.800	5254.102	5254.102
26	Spectrogram 1	1	14.458403716	14.459401448	3084.900	6695.800	5254.102	5254.102
27	Spectrogram 1	1	14.459401448	14.460399181	3084.900	6695.800	5254.102	5254.102
28	Spectrogram 1	1	14.460399181	14.461396913	3084.900	6695.800	5254.102	5254.102
29	Spectrogram 1	1	14.461396913	14.462394645	3084.900	6695.800	5254.102	5254.102
30	Spectrogram 1	1	14.462394645	14.463392378	3084.900	6695.800	5254.102	5254.102
31	Spectrogram 1	1	14.463392378	14.464390110	3084.900	6695.800	5254.102	5254.102
32	Spectrogram 1	1	14.464390110	14.465387843	3084.900	6695.800	5254.102	5254.102
33	Spectrogram 1	1	14.465387843	14.466385575	3084.900	6695.800	5254.102	5254.102
34	Spectrogram 1	1	14.466385575	14.467383307	3084.900	6695.800	5254.102	5254.102
35	Spectrogram 1	1	14.467383307	14.468381040	3084.900	6695.800	5254.102	5254.102
36	Spectrogram 1	1	14.468381040	14.469378772	3084.900	6695.800	5254.102	5254.102
37	Spectrogram 1	1	14.469378772	14.470376505	3084.900	6695.800	5254.102	5254.102
38	Spectrogram 1	1	14.470376505	14.471374237	3084.900	6695.800	5254.102	5254.102
39	Spectrogram 1	1	14.471374237	14.472371970	3084.900	6695.800	5254.102	5254.102
40	Spectrogram 1	1	14.472371970	14.473369702	3084.900	6695.800	5254.102	5254.102
41	Spectrogram 1	1	14.473369702	14.474367434	3084.900	6695.800	5254.102	5254.102
42	Spectrogram 1	1	14.474367434	14.475365167	3084.900	6695.800	5167.969	5167.969
43	Spectrogram 1	1	14.475365167	14.476362899	3084.900	6695.800	5167.969	5167.969
44	Spectrogram 1	1	14.476362899	14.477360632	3084.900	6695.800	5167.969	5167.969
45	Spectrogram 1	1	14.477360632	14.478358364	3084.900	6695.800	5167.969	5167.969
46	Spectrogram 1	1	14.478358364	14.479356097	3084.900	6695.800	5167.969	5167.969
47	Spectrogram 1	1	14.479356097	14.480353829	3084.900	6695.800	5167.969	5167.969
48	Spectrogram 1	1	14.480353829	14.481351561	3084.900	6695.800	4995.703	4995.703
49	Spectrogram 1	1	14.481351561	14.482349294	3084.900	6695.800	4995.703	4995.703
50	Spectrogram 1	1	14.482349294	14.483347026	3084.900	6695.800	4995.703	4995.703
