Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.704065149	0.705065149	3280.000	5942.461	5625.000	5812.500
2	Spectrogram 1	1	0.705065149	0.706065149	3280.000	5942.461	5625.000	5812.500
3	Spectrogram 1	1	0.706065149	0.707065149	3280.000	5942.461	5625.000	5812.500
4	Spectrogram 1	1	0.707065149	0.708065149	3280.000	5942.461	5062.500	5062.500
5	Spectrogram 1	1	0.708065149	0.709065149	3280.000	5942.461	5062.500	5062.500
6	Spectrogram 1	1	0.709065149	0.710065149	3280.000	5942.461	5062.500	5062.500
7	Spectrogram 1	1	0.710065149	0.711065149	3280.000	5942.461	5062.500	5062.500
8	Spectrogram 1	1	0.711065149	0.712065149	3280.000	5942.461	5062.500	5062.500
9	Spectrogram 1	1	0.712065149	0.713065149	3280.000	5942.461	5531.250	5812.500
10	Spectrogram 1	1	0.713065149	0.714065149	3280.000	5942.461	5531.250	5812.500
11	Spectrogram 1	1	0.714065149	0.715065149	3280.000	5942.461	5531.250	5812.500
12	Spectrogram 1	1	0.715065149	0.716065149	3280.000	5942.461	5531.250	5812.500
13	Spectrogram 1	1	0.716065149	0.717065149	3280.000	5942.461	5531.250	5812.500
14	Spectrogram 1	1	0.717065149	0.718065149	3280.000	5942.461	5437.500	5812.500
15	Spectrogram 1	1	0.718065149	0.719065149	3280.000	5942.461	5437.500	5812.500
16	Spectrogram 1	1	0.719065149	0.720065149	3280.000	5942.461	5437.500	5812.500
17	Spectrogram 1	1	0.720065149	0.721065149	3280.000	5942.461	5437.500	5812.500
18	Spectrogram 1	1	0.721065149	0.722065149	3280.000	5942.461	5437.500	5812.500
19	Spectrogram 1	1	0.722065149	0.723065149	3280.000	5942.461	5437.500	5812.500
20	Spectrogram 1	1	0.723065149	0.724065149	3280.000	5942.461	4781.250	4781.250
21	Spectrogram 1	1	0.724065149	0.725065149	3280.000	5942.461	4781.250	4781.250
22	Spectrogram 1	1	0.725065149	0.726065149	3280.000	5942.461	4781.250	4781.250
23	Spectrogram 1	1	0.726065149	0.727065149	3280.000	5942.461	4781.250	4781.250
24	Spectrogram 1	1	0.727065149	0.728065149	3280.000	5942.461	4781.250	4781.250
25	Spectrogram 1	1	0.728065149	0.729065149	3280.000	5942.461	4687.500	4687.500
26	Spectrogram 1	1	0.729065149	0.730065149	3280.000	5942.461	4687.500	4687.500
27	Spectrogram 1	1	0.730065149	0.731065149	3280.000	5942.461	4687.500	4687.500
28	Spectrogram 1	1	0.731065149	0.732065149	3280.000	5942.461	4687.500	4687.500
29	Spectrogram 1	1	0.732065149	0.733065149	3280.000	5942.461	4687.500	4687.500
30	Spectrogram 1	1	0.733065149	0.734065149	3280.000	5942.461	4781.250	4781.250
31	Spectrogram 1	1	0.734065149	0.735065149	3280.000	5942.461	4781.250	4781.250
32	Spectrogram 1	1	0.735065149	0.736065149	3280.000	5942.461	4781.250	4781.250
33	Spectrogram 1	1	0.736065149	0.737065149	3280.000	5942.461	4781.250	4781.250
34	Spectrogram 1	1	0.737065149	0.738065149	3280.000	5942.461	4781.250	4781.250
35	Spectrogram 1	1	0.738065149	0.739065149	3280.000	5942.461	4781.250	4781.250
36	Spectrogram 1	1	0.739065149	0.740065149	3280.000	5942.461	4781.250	4781.250
37	Spectrogram 1	1	0.740065149	0.741065149	3280.000	5942.461	4781.250	4781.250
38	Spectrogram 1	1	0.741065149	0.742065149	3280.000	5942.461	4781.250	4781.250
39	Spectrogram 1	1	0.742065149	0.743065149	3280.000	5942.461	4781.250	4781.250
40	Spectrogram 1	1	0.743065149	0.744065149	3280.000	5942.461	4781.250	4781.250
41	Spectrogram 1	1	0.744065149	0.745065149	3280.000	5942.461	4875.000	4875.000
42	Spectrogram 1	1	0.745065149	0.746065149	3280.000	5942.461	4875.000	4875.000
43	Spectrogram 1	1	0.746065149	0.747065149	3280.000	5942.461	4875.000	4875.000
44	Spectrogram 1	1	0.747065149	0.748065149	3280.000	5942.461	4875.000	4875.000
45	Spectrogram 1	1	0.748065149	0.749065149	3280.000	5942.461	4875.000	4875.000
46	Spectrogram 1	1	0.749065149	0.750065149	3280.000	5942.461	4781.250	4781.250
47	Spectrogram 1	1	0.750065149	0.751065149	3280.000	5942.461	4781.250	4781.250
48	Spectrogram 1	1	0.751065149	0.752065149	3280.000	5942.461	4781.250	4781.250
49	Spectrogram 1	1	0.752065149	0.753065149	3280.000	5942.461	4781.250	4781.250
50	Spectrogram 1	1	0.753065149	0.754065149	3280.000	5942.461	4781.250	4781.250
51	Spectrogram 1	1	0.754065149	0.755065149	3280.000	5942.461	4781.250	4781.250
52	Spectrogram 1	1	0.755065149	0.756065149	3280.000	5942.461	4593.750	4500.000
53	Spectrogram 1	1	0.756065149	0.757065149	3280.000	5942.461	4593.750	4500.000
54	Spectrogram 1	1	0.757065149	0.758065149	3280.000	5942.461	4593.750	4500.000
55	Spectrogram 1	1	0.758065149	0.759065149	3280.000	5942.461	4593.750	4500.000
56	Spectrogram 1	1	0.759065149	0.760065149	3280.000	5942.461	4593.750	4500.000
57	Spectrogram 1	1	0.760065149	0.761065149	3280.000	5942.461	4406.250	4406.250
58	Spectrogram 1	1	0.761065149	0.762065149	3280.000	5942.461	4406.250	4406.250
59	Spectrogram 1	1	0.762065149	0.763065149	3280.000	5942.461	4406.250	4406.250
60	Spectrogram 1	1	0.763065149	0.764065149	3280.000	5942.461	4406.250	4406.250
61	Spectrogram 1	1	0.764065149	0.765065149	3280.000	5942.461	4406.250	4406.250
62	Spectrogram 1	1	0.765065149	0.766065149	3280.000	5942.461	4312.500	4218.750
63	Spectrogram 1	1	0.766065149	0.767065149	3280.000	5942.461	4312.500	4218.750
64	Spectrogram 1	1	0.767065149	0.768065149	3280.000	5942.461	4312.500	4218.750
65	Spectrogram 1	1	0.768065149	0.769065149	3280.000	5942.461	4312.500	4218.750
66	Spectrogram 1	1	0.769065149	0.770065149	3280.000	5942.461	4312.500	4218.750
67	Spectrogram 1	1	0.770065149	0.771065149	3280.000	5942.461	4312.500	4218.750
68	Spectrogram 1	1	0.771065149	0.772065149	3280.000	5942.461	4218.750	4218.750
69	Spectrogram 1	1	0.772065149	0.773065149	3280.000	5942.461	4218.750	4218.750
70	Spectrogram 1	1	0.773065149	0.774065149	3280.000	5942.461	4218.750	4218.750
71	Spectrogram 1	1	0.774065149	0.775065149	3280.000	5942.461	4218.750	4218.750
72	Spectrogram 1	1	0.775065149	0.776065149	3280.000	5942.461	4218.750	4218.750
73	Spectrogram 1	1	0.776065149	0.777065149	3280.000	5942.461	4125.000	4125.000
74	Spectrogram 1	1	0.777065149	0.778065149	3280.000	5942.461	4125.000	4125.000
75	Spectrogram 1	1	0.778065149	0.779065149	3280.000	5942.461	4125.000	4125.000
76	Spectrogram 1	1	0.779065149	0.780065149	3280.000	5942.461	4125.000	4125.000
77	Spectrogram 1	1	0.780065149	0.781065149	3280.000	5942.461	4125.000	4125.000
78	Spectrogram 1	1	0.781065149	0.782065149	3280.000	5942.461	4125.000	4125.000
79	Spectrogram 1	1	0.782065149	0.783065149	3280.000	5942.461	4125.000	4125.000
80	Spectrogram 1	1	0.783065149	0.784065149	3280.000	5942.461	4125.000	4125.000
81	Spectrogram 1	1	0.784065149	0.785065149	3280.000	5942.461	4125.000	4125.000
82	Spectrogram 1	1	0.785065149	0.786065149	3280.000	5942.461	4125.000	4125.000
83	Spectrogram 1	1	0.786065149	0.787065149	3280.000	5942.461	4125.000	4125.000
84	Spectrogram 1	1	0.787065149	0.788065149	3280.000	5942.461	4031.250	4031.250
85	Spectrogram 1	1	0.788065149	0.789065149	3280.000	5942.461	4031.250	4031.250
86	Spectrogram 1	1	0.789065149	0.790065149	3280.000	5942.461	4031.250	4031.250
87	Spectrogram 1	1	0.790065149	0.791065149	3280.000	5942.461	4031.250	4031.250
88	Spectrogram 1	1	0.791065149	0.792065149	3280.000	5942.461	4031.250	4031.250
89	Spectrogram 1	1	0.792065149	0.793065149	3280.000	5942.461	4031.250	4031.250
90	Spectrogram 1	1	0.793065149	0.794065149	3280.000	5942.461	4031.250	4031.250
91	Spectrogram 1	1	0.794065149	0.795065149	3280.000	5942.461	4031.250	4031.250
92	Spectrogram 1	1	0.795065149	0.796065149	3280.000	5942.461	4031.250	4031.250
93	Spectrogram 1	1	0.796065149	0.797065149	3280.000	5942.461	4031.250	4031.250
94	Spectrogram 1	1	0.797065149	0.798065149	3280.000	5942.461	4218.750	4125.000
95	Spectrogram 1	1	0.798065149	0.799065149	3280.000	5942.461	4218.750	4125.000
96	Spectrogram 1	1	0.799065149	0.800065149	3280.000	5942.461	4218.750	4125.000
97	Spectrogram 1	1	0.800065149	0.801065149	3280.000	5942.461	4218.750	4125.000
98	Spectrogram 1	1	0.801065149	0.802065149	3280.000	5942.461	4218.750	4125.000
99	Spectrogram 1	1	0.802065149	0.803065149	3280.000	5942.461	4218.750	4125.000
100	Spectrogram 1	1	0.803065149	0.804065149	3280.000	5942.461	4312.500	4218.750
101	Spectrogram 1	1	0.804065149	0.805065149	3280.000	5942.461	4312.500	4218.750
102	Spectrogram 1	1	0.805065149	0.806065149	3280.000	5942.461	4312.500	4218.750
103	Spectrogram 1	1	0.806065149	0.807065149	3280.000	5942.461	4312.500	4218.750
104	Spectrogram 1	1	0.807065149	0.808065149	3280.000	5942.461	4312.500	4218.750
105	Spectrogram 1	1	0.808065149	0.809065149	3280.000	5942.461	4406.250	4406.250
106	Spectrogram 1	1	0.809065149	0.810065149	3280.000	5942.461	4406.250	4406.250
107	Spectrogram 1	1	0.810065149	0.811065149	3280.000	5942.461	4406.250	4406.250
108	Spectrogram 1	1	0.811065149	0.812065149	3280.000	5942.461	4406.250	4406.250
109	Spectrogram 1	1	0.812065149	0.813065149	3280.000	5942.461	4406.250	4406.250
110	Spectrogram 1	1	0.813065149	0.814065149	3280.000	5942.461	4406.250	4406.250
111	Spectrogram 1	1	0.814065149	0.815065149	3280.000	5942.461	4406.250	4406.250
112	Spectrogram 1	1	0.815065149	0.816065149	3280.000	5942.461	4406.250	4406.250
113	Spectrogram 1	1	0.816065149	0.817065149	3280.000	5942.461	4406.250	4406.250
114	Spectrogram 1	1	0.817065149	0.818065149	3280.000	5942.461	4406.250	4406.250
115	Spectrogram 1	1	0.818065149	0.819065149	3280.000	5942.461	4406.250	4406.250
116	Spectrogram 1	1	0.819065149	0.820065149	3280.000	5942.461	4406.250	4406.250
117	Spectrogram 1	1	0.820065149	0.821065149	3280.000	5942.461	4406.250	4406.250
118	Spectrogram 1	1	0.821065149	0.822065149	3280.000	5942.461	4406.250	4406.250
119	Spectrogram 1	1	0.822065149	0.823065149	3280.000	5942.461	4406.250	4406.250
120	Spectrogram 1	1	0.823065149	0.824065149	3280.000	5942.461	4406.250	4406.250
121	Spectrogram 1	1	0.824065149	0.825065149	3280.000	5942.461	4218.750	4218.750
122	Spectrogram 1	1	0.825065149	0.826065149	3280.000	5942.461	4218.750	4218.750
123	Spectrogram 1	1	0.826065149	0.827065149	3280.000	5942.461	4218.750	4218.750
124	Spectrogram 1	1	0.827065149	0.828065149	3280.000	5942.461	4218.750	4218.750
125	Spectrogram 1	1	0.828065149	0.829065149	3280.000	5942.461	4218.750	4218.750
126	Spectrogram 1	1	0.829065149	0.830065149	3280.000	5942.461	4125.000	4031.250
127	Spectrogram 1	1	0.830065149	0.831065149	3280.000	5942.461	4125.000	4031.250
128	Spectrogram 1	1	0.831065149	0.832065149	3280.000	5942.461	4125.000	4031.250
129	Spectrogram 1	1	0.832065149	0.833065149	3280.000	5942.461	4125.000	4031.250
130	Spectrogram 1	1	0.833065149	0.834065149	3280.000	5942.461	4125.000	4031.250
131	Spectrogram 1	1	0.834065149	0.835065149	3280.000	5942.461	4125.000	4031.250
132	Spectrogram 1	1	0.835065149	0.836065149	3280.000	5942.461	4031.250	4031.250
133	Spectrogram 1	1	0.836065149	0.837065149	3280.000	5942.461	4031.250	4031.250
134	Spectrogram 1	1	0.837065149	0.838065149	3280.000	5942.461	4031.250	4031.250
135	Spectrogram 1	1	0.838065149	0.839065149	3280.000	5942.461	4031.250	4031.250
136	Spectrogram 1	1	0.839065149	0.840065149	3280.000	5942.461	4031.250	4031.250
137	Spectrogram 1	1	0.840065149	0.841065149	3280.000	5942.461	4312.500	4312.500
138	Spectrogram 1	1	0.841065149	0.842065149	3280.000	5942.461	4312.500	4312.500
139	Spectrogram 1	1	0.842065149	0.843065149	3280.000	5942.461	4312.500	4312.500
140	Spectrogram 1	1	0.843065149	0.844065149	3280.000	5942.461	4312.500	4312.500
141	Spectrogram 1	1	0.844065149	0.845065149	3280.000	5942.461	4312.500	4312.500
142	Spectrogram 1	1	0.845065149	0.846065149	3280.000	5942.461	4031.250	3375.000
143	Spectrogram 1	1	0.846065149	0.847065149	3280.000	5942.461	4031.250	3375.000
144	Spectrogram 1	1	0.847065149	0.848065149	3280.000	5942.461	4031.250	3375.000
145	Spectrogram 1	1	0.848065149	0.849065149	3280.000	5942.461	4031.250	3375.000
146	Spectrogram 1	1	0.849065149	0.850065149	3280.000	5942.461	4031.250	3375.000
147	Spectrogram 1	1	0.850065149	0.851065149	3280.000	5942.461	4031.250	3375.000
148	Spectrogram 1	1	0.851065149	0.852065149	3280.000	5942.461	3375.000	3375.000
149	Spectrogram 1	1	0.852065149	0.853065149	3280.000	5942.461	3375.000	3375.000
150	Spectrogram 1	1	0.853065149	0.854065149	3280.000	5942.461	3375.000	3375.000
151	Spectrogram 1	1	0.854065149	0.855065149	3280.000	5942.461	3375.000	3375.000
152	Spectrogram 1	1	0.855065149	0.856065149	3280.000	5942.461	3375.000	3375.000
153	Spectrogram 1	1	0.856065149	0.857065149	3280.000	5942.461	3375.000	3375.000
154	Spectrogram 1	1	0.857065149	0.858065149	3280.000	5942.461	3375.000	3375.000
155	Spectrogram 1	1	0.858065149	0.859065149	3280.000	5942.461	3375.000	3375.000
156	Spectrogram 1	1	0.859065149	0.860065149	3280.000	5942.461	3375.000	3375.000
157	Spectrogram 1	1	0.860065149	0.861065149	3280.000	5942.461	3375.000	3375.000
158	Spectrogram 1	1	0.861065149	0.862065149	3280.000	5942.461	3468.750	3375.000
159	Spectrogram 1	1	0.862065149	0.863065149	3280.000	5942.461	3468.750	3375.000
160	Spectrogram 1	1	0.863065149	0.864065149	3280.000	5942.461	3468.750	3375.000
161	Spectrogram 1	1	0.864065149	0.865065149	3280.000	5942.461	3468.750	3375.000
162	Spectrogram 1	1	0.865065149	0.866065149	3280.000	5942.461	3468.750	3375.000
163	Spectrogram 1	1	0.866065149	0.867065149	3280.000	5942.461	3468.750	3375.000
164	Spectrogram 1	1	0.867065149	0.868065149	3280.000	5942.461	4125.000	3281.250
165	Spectrogram 1	1	0.868065149	0.869065149	3280.000	5942.461	4125.000	3281.250
166	Spectrogram 1	1	0.869065149	0.870065149	3280.000	5942.461	4125.000	3281.250
167	Spectrogram 1	1	0.870065149	0.871065149	3280.000	5942.461	4125.000	3281.250
168	Spectrogram 1	1	0.871065149	0.872065149	3280.000	5942.461	4125.000	3281.250
169	Spectrogram 1	1	0.872065149	0.873065149	3280.000	5942.461	4312.500	4406.250
170	Spectrogram 1	1	0.873065149	0.874065149	3280.000	5942.461	4312.500	4406.250
171	Spectrogram 1	1	0.874065149	0.875065149	3280.000	5942.461	4312.500	4406.250
172	Spectrogram 1	1	0.875065149	0.876065149	3280.000	5942.461	4312.500	4406.250
173	Spectrogram 1	1	0.876065149	0.877065149	3280.000	5942.461	4312.500	4406.250
174	Spectrogram 1	1	0.877065149	0.878065149	3280.000	5942.461	4406.250	4406.250
175	Spectrogram 1	1	0.878065149	0.879065149	3280.000	5942.461	4406.250	4406.250
176	Spectrogram 1	1	0.879065149	0.880065149	3280.000	5942.461	4406.250	4406.250
177	Spectrogram 1	1	0.880065149	0.881065149	3280.000	5942.461	4406.250	4406.250
178	Spectrogram 1	1	0.881065149	0.882065149	3280.000	5942.461	4406.250	4406.250
179	Spectrogram 1	1	0.882065149	0.883065149	3280.000	5942.461	4406.250	4406.250
180	Spectrogram 1	1	0.883065149	0.884065149	3280.000	5942.461	4406.250	4406.250
181	Spectrogram 1	1	0.884065149	0.885065149	3280.000	5942.461	4406.250	4406.250
182	Spectrogram 1	1	0.885065149	0.886065149	3280.000	5942.461	4406.250	4406.250
183	Spectrogram 1	1	0.886065149	0.887065149	3280.000	5942.461	4406.250	4406.250
184	Spectrogram 1	1	0.887065149	0.888065149	3280.000	5942.461	4406.250	4406.250
185	Spectrogram 1	1	0.888065149	0.889065149	3280.000	5942.461	3375.000	3281.250
186	Spectrogram 1	1	0.889065149	0.890065149	3280.000	5942.461	3375.000	3281.250
187	Spectrogram 1	1	0.890065149	0.891065149	3280.000	5942.461	3375.000	3281.250
188	Spectrogram 1	1	0.891065149	0.892065149	3280.000	5942.461	3375.000	3281.250
189	Spectrogram 1	1	0.892065149	0.893065149	3280.000	5942.461	3375.000	3281.250
190	Spectrogram 1	1	0.893065149	0.894065149	3280.000	5942.461	4125.000	4218.750
191	Spectrogram 1	1	0.894065149	0.895065149	3280.000	5942.461	4125.000	4218.750
192	Spectrogram 1	1	0.895065149	0.896065149	3280.000	5942.461	4125.000	4218.750
193	Spectrogram 1	1	0.896065149	0.897065149	3280.000	5942.461	4125.000	4218.750
194	Spectrogram 1	1	0.897065149	0.898065149	3280.000	5942.461	4125.000	4218.750
195	Spectrogram 1	1	0.898065149	0.899065149	3280.000	5942.461	4125.000	4218.750
196	Spectrogram 1	1	0.899065149	0.900065149	3280.000	5942.461	4031.250	4031.250
197	Spectrogram 1	1	0.900065149	0.901065149	3280.000	5942.461	4031.250	4031.250
198	Spectrogram 1	1	0.901065149	0.902065149	3280.000	5942.461	4031.250	4031.250
199	Spectrogram 1	1	0.902065149	0.903065149	3280.000	5942.461	4031.250	4031.250
200	Spectrogram 1	1	0.903065149	0.904065149	3280.000	5942.461	4031.250	4031.250
201	Spectrogram 1	1	0.904065149	0.905065149	3280.000	5942.461	4125.000	4125.000
202	Spectrogram 1	1	0.905065149	0.906065149	3280.000	5942.461	4125.000	4125.000
203	Spectrogram 1	1	0.906065149	0.907065149	3280.000	5942.461	4125.000	4125.000
204	Spectrogram 1	1	0.907065149	0.908065149	3280.000	5942.461	4125.000	4125.000
205	Spectrogram 1	1	0.908065149	0.909065149	3280.000	5942.461	4125.000	4125.000
206	Spectrogram 1	1	0.909065149	0.910065149	3280.000	5942.461	4312.500	4312.500
207	Spectrogram 1	1	0.910065149	0.911065149	3280.000	5942.461	4312.500	4312.500
208	Spectrogram 1	1	0.911065149	0.912065149	3280.000	5942.461	4312.500	4312.500
209	Spectrogram 1	1	0.912065149	0.913065149	3280.000	5942.461	4312.500	4312.500
210	Spectrogram 1	1	0.913065149	0.914065149	3280.000	5942.461	4312.500	4312.500
211	Spectrogram 1	1	0.914065149	0.915065149	3280.000	5942.461	4312.500	4312.500
212	Spectrogram 1	1	0.915065149	0.916065149	3280.000	5942.461	4500.000	4500.000
213	Spectrogram 1	1	0.916065149	0.917065149	3280.000	5942.461	4500.000	4500.000
214	Spectrogram 1	1	0.917065149	0.918065149	3280.000	5942.461	4500.000	4500.000
215	Spectrogram 1	1	0.918065149	0.919065149	3280.000	5942.461	4500.000	4500.000
216	Spectrogram 1	1	0.919065149	0.920065149	3280.000	5942.461	4500.000	4500.000
217	Spectrogram 1	1	0.920065149	0.921065149	3280.000	5942.461	4687.500	4687.500
218	Spectrogram 1	1	0.921065149	0.922065149	3280.000	5942.461	4687.500	4687.500
219	Spectrogram 1	1	0.922065149	0.923065149	3280.000	5942.461	4687.500	4687.500
220	Spectrogram 1	1	0.923065149	0.924065149	3280.000	5942.461	4687.500	4687.500
221	Spectrogram 1	1	0.924065149	0.925065149	3280.000	5942.461	4687.500	4687.500
222	Spectrogram 1	1	0.925065149	0.926065149	3280.000	5942.461	4781.250	4781.250
