Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	13.671600000	13.672600000	3156.400	6330.300	4312.500	4312.500
2	Spectrogram 1	1	13.672600000	13.673600000	3156.400	6330.300	4312.500	4312.500
3	Spectrogram 1	1	13.673600000	13.674600000	3156.400	6330.300	4312.500	4312.500
4	Spectrogram 1	1	13.674600000	13.675600000	3156.400	6330.300	4312.500	4312.500
5	Spectrogram 1	1	13.675600000	13.676600000	3156.400	6330.300	4312.500	4312.500
6	Spectrogram 1	1	13.676600000	13.677600000	3156.400	6330.300	4312.500	4312.500
7	Spectrogram 1	1	13.677600000	13.678600000	3156.400	6330.300	4781.250	4875.000
8	Spectrogram 1	1	13.678600000	13.679600000	3156.400	6330.300	4781.250	4875.000
9	Spectrogram 1	1	13.679600000	13.680600000	3156.400	6330.300	4781.250	4875.000
10	Spectrogram 1	1	13.680600000	13.681600000	3156.400	6330.300	4781.250	4875.000
11	Spectrogram 1	1	13.681600000	13.682600000	3156.400	6330.300	4781.250	4875.000
12	Spectrogram 1	1	13.682600000	13.683600000	3156.400	6330.300	5062.500	5062.500
13	Spectrogram 1	1	13.683600000	13.684600000	3156.400	6330.300	5062.500	5062.500
14	Spectrogram 1	1	13.684600000	13.685600000	3156.400	6330.300	5062.500	5062.500
15	Spectrogram 1	1	13.685600000	13.686600000	3156.400	6330.300	5062.500	5062.500
16	Spectrogram 1	1	13.686600000	13.687600000	3156.400	6330.300	5062.500	5062.500
17	Spectrogram 1	1	13.687600000	13.688600000	3156.400	6330.300	5156.250	5156.250
18	Spectrogram 1	1	13.688600000	13.689600000	3156.400	6330.300	5156.250	5156.250
19	Spectrogram 1	1	13.689600000	13.690600000	3156.400	6330.300	5156.250	5156.250
20	Spectrogram 1	1	13.690600000	13.691600000	3156.400	6330.300	5156.250	5156.250
21	Spectrogram 1	1	13.691600000	13.692600000	3156.400	6330.300	5156.250	5156.250
22	Spectrogram 1	1	13.692600000	13.693600000	3156.400	6330.300	5156.250	5156.250
23	Spectrogram 1	1	13.693600000	13.694600000	3156.400	6330.300	5156.250	5156.250
24	Spectrogram 1	1	13.694600000	13.695600000	3156.400	6330.300	5156.250	5156.250
25	Spectrogram 1	1	13.695600000	13.696600000	3156.400	6330.300	5156.250	5156.250
26	Spectrogram 1	1	13.696600000	13.697600000	3156.400	6330.300	5156.250	5156.250
27	Spectrogram 1	1	13.697600000	13.698600000	3156.400	6330.300	5156.250	5156.250
28	Spectrogram 1	1	13.698600000	13.699600000	3156.400	6330.300	5062.500	5062.500
29	Spectrogram 1	1	13.699600000	13.700600000	3156.400	6330.300	5062.500	5062.500
30	Spectrogram 1	1	13.700600000	13.701600000	3156.400	6330.300	5062.500	5062.500
31	Spectrogram 1	1	13.701600000	13.702600000	3156.400	6330.300	5062.500	5062.500
32	Spectrogram 1	1	13.702600000	13.703600000	3156.400	6330.300	5062.500	5062.500
33	Spectrogram 1	1	13.703600000	13.704600000	3156.400	6330.300	4968.750	5062.500
34	Spectrogram 1	1	13.704600000	13.705600000	3156.400	6330.300	4968.750	5062.500
35	Spectrogram 1	1	13.705600000	13.706600000	3156.400	6330.300	4968.750	5062.500
36	Spectrogram 1	1	13.706600000	13.707600000	3156.400	6330.300	4968.750	5062.500
37	Spectrogram 1	1	13.707600000	13.708600000	3156.400	6330.300	4968.750	5062.500
38	Spectrogram 1	1	13.708600000	13.709600000	3156.400	6330.300	4968.750	5062.500
39	Spectrogram 1	1	13.709600000	13.710600000	3156.400	6330.300	4593.750	4593.750
40	Spectrogram 1	1	13.710600000	13.711600000	3156.400	6330.300	4593.750	4593.750
41	Spectrogram 1	1	13.711600000	13.712600000	3156.400	6330.300	4593.750	4593.750
42	Spectrogram 1	1	13.712600000	13.713600000	3156.400	6330.300	4593.750	4593.750
43	Spectrogram 1	1	13.713600000	13.714600000	3156.400	6330.300	4593.750	4593.750
44	Spectrogram 1	1	13.714600000	13.715600000	3156.400	6330.300	4406.250	4406.250
45	Spectrogram 1	1	13.715600000	13.716600000	3156.400	6330.300	4406.250	4406.250
46	Spectrogram 1	1	13.716600000	13.717600000	3156.400	6330.300	4406.250	4406.250
47	Spectrogram 1	1	13.717600000	13.718600000	3156.400	6330.300	4406.250	4406.250
48	Spectrogram 1	1	13.718600000	13.719600000	3156.400	6330.300	4406.250	4406.250
49	Spectrogram 1	1	13.719600000	13.720600000	3156.400	6330.300	4312.500	4312.500
50	Spectrogram 1	1	13.720600000	13.721600000	3156.400	6330.300	4312.500	4312.500
51	Spectrogram 1	1	13.721600000	13.722600000	3156.400	6330.300	4312.500	4312.500
52	Spectrogram 1	1	13.722600000	13.723600000	3156.400	6330.300	4312.500	4312.500
53	Spectrogram 1	1	13.723600000	13.724600000	3156.400	6330.300	4312.500	4312.500
54	Spectrogram 1	1	13.724600000	13.725600000	3156.400	6330.300	4312.500	4312.500
55	Spectrogram 1	1	13.725600000	13.726600000	3156.400	6330.300	4218.750	4125.000
56	Spectrogram 1	1	13.726600000	13.727600000	3156.400	6330.300	4218.750	4125.000
57	Spectrogram 1	1	13.727600000	13.728600000	3156.400	6330.300	4218.750	4125.000
58	Spectrogram 1	1	13.728600000	13.729600000	3156.400	6330.300	4218.750	4125.000
59	Spectrogram 1	1	13.729600000	13.730600000	3156.400	6330.300	4218.750	4125.000
60	Spectrogram 1	1	13.730600000	13.731600000	3156.400	6330.300	4312.500	4312.500
61	Spectrogram 1	1	13.731600000	13.732600000	3156.400	6330.300	4312.500	4312.500
62	Spectrogram 1	1	13.732600000	13.733600000	3156.400	6330.300	4312.500	4312.500
63	Spectrogram 1	1	13.733600000	13.734600000	3156.400	6330.300	4312.500	4312.500
64	Spectrogram 1	1	13.734600000	13.735600000	3156.400	6330.300	4312.500	4312.500
65	Spectrogram 1	1	13.735600000	13.736600000	3156.400	6330.300	4031.250	3937.500
66	Spectrogram 1	1	13.736600000	13.737600000	3156.400	6330.300	4031.250	3937.500
67	Spectrogram 1	1	13.737600000	13.738600000	3156.400	6330.300	4031.250	3937.500
68	Spectrogram 1	1	13.738600000	13.739600000	3156.400	6330.300	4031.250	3937.500
69	Spectrogram 1	1	13.739600000	13.740600000	3156.400	6330.300	4031.250	3937.500
70	Spectrogram 1	1	13.740600000	13.741600000	3156.400	6330.300	4031.250	3937.500
71	Spectrogram 1	1	13.741600000	13.742600000	3156.400	6330.300	3937.500	3843.750
72	Spectrogram 1	1	13.742600000	13.743600000	3156.400	6330.300	3937.500	3843.750
73	Spectrogram 1	1	13.743600000	13.744600000	3156.400	6330.300	3937.500	3843.750
74	Spectrogram 1	1	13.744600000	13.745600000	3156.400	6330.300	3937.500	3843.750
75	Spectrogram 1	1	13.745600000	13.746600000	3156.400	6330.300	3937.500	3843.750
76	Spectrogram 1	1	13.746600000	13.747600000	3156.400	6330.300	3937.500	3937.500
77	Spectrogram 1	1	13.747600000	13.748600000	3156.400	6330.300	3937.500	3937.500
78	Spectrogram 1	1	13.748600000	13.749600000	3156.400	6330.300	3937.500	3937.500
79	Spectrogram 1	1	13.749600000	13.750600000	3156.400	6330.300	3937.500	3937.500
80	Spectrogram 1	1	13.750600000	13.751600000	3156.400	6330.300	3937.500	3937.500
81	Spectrogram 1	1	13.751600000	13.752600000	3156.400	6330.300	4031.250	3843.750
82	Spectrogram 1	1	13.752600000	13.753600000	3156.400	6330.300	4031.250	3843.750
83	Spectrogram 1	1	13.753600000	13.754600000	3156.400	6330.300	4031.250	3843.750
84	Spectrogram 1	1	13.754600000	13.755600000	3156.400	6330.300	4031.250	3843.750
85	Spectrogram 1	1	13.755600000	13.756600000	3156.400	6330.300	4031.250	3843.750
86	Spectrogram 1	1	13.756600000	13.757600000	3156.400	6330.300	4031.250	3843.750
87	Spectrogram 1	1	13.757600000	13.758600000	3156.400	6330.300	4031.250	3937.500
88	Spectrogram 1	1	13.758600000	13.759600000	3156.400	6330.300	4031.250	3937.500
89	Spectrogram 1	1	13.759600000	13.760600000	3156.400	6330.300	4031.250	3937.500
90	Spectrogram 1	1	13.760600000	13.761600000	3156.400	6330.300	4031.250	3937.500
91	Spectrogram 1	1	13.761600000	13.762600000	3156.400	6330.300	4031.250	3937.500
92	Spectrogram 1	1	13.762600000	13.763600000	3156.400	6330.300	4406.250	3843.750
93	Spectrogram 1	1	13.763600000	13.764600000	3156.400	6330.300	4406.250	3843.750
94	Spectrogram 1	1	13.764600000	13.765600000	3156.400	6330.300	4406.250	3843.750
