Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	4.982607884	4.983607884	3160.000	6760.000	5343.750	6187.500
2	Spectrogram 1	1	4.983607884	4.984607884	3160.000	6760.000	5812.500	5718.750
3	Spectrogram 1	1	4.984607884	4.985607884	3160.000	6760.000	5812.500	5718.750
4	Spectrogram 1	1	4.985607884	4.986607884	3160.000	6760.000	5812.500	5718.750
5	Spectrogram 1	1	4.986607884	4.987607884	3160.000	6760.000	5812.500	5718.750
6	Spectrogram 1	1	4.987607884	4.988607884	3160.000	6760.000	5812.500	5718.750
7	Spectrogram 1	1	4.988607884	4.989607884	3160.000	6760.000	5812.500	5718.750
8	Spectrogram 1	1	4.989607884	4.990607884	3160.000	6760.000	6093.750	6187.500
9	Spectrogram 1	1	4.990607884	4.991607884	3160.000	6760.000	6093.750	6187.500
10	Spectrogram 1	1	4.991607884	4.992607884	3160.000	6760.000	6093.750	6187.500
11	Spectrogram 1	1	4.992607884	4.993607884	3160.000	6760.000	6093.750	6187.500
12	Spectrogram 1	1	4.993607884	4.994607884	3160.000	6760.000	6093.750	6187.500
13	Spectrogram 1	1	4.994607884	4.995607884	3160.000	6760.000	4968.750	4218.750
14	Spectrogram 1	1	4.995607884	4.996607884	3160.000	6760.000	4968.750	4218.750
15	Spectrogram 1	1	4.996607884	4.997607884	3160.000	6760.000	4968.750	4218.750
16	Spectrogram 1	1	4.997607884	4.998607884	3160.000	6760.000	4968.750	4218.750
17	Spectrogram 1	1	4.998607884	4.999607884	3160.000	6760.000	4968.750	4218.750
18	Spectrogram 1	1	4.999607884	5.000607884	3160.000	6760.000	4687.500	4687.500
19	Spectrogram 1	1	5.000607884	5.001607884	3160.000	6760.000	4687.500	4687.500
20	Spectrogram 1	1	5.001607884	5.002607884	3160.000	6760.000	4687.500	4687.500
21	Spectrogram 1	1	5.002607884	5.003607884	3160.000	6760.000	4687.500	4687.500
22	Spectrogram 1	1	5.003607884	5.004607884	3160.000	6760.000	4687.500	4687.500
23	Spectrogram 1	1	5.004607884	5.005607884	3160.000	6760.000	4687.500	4687.500
24	Spectrogram 1	1	5.005607884	5.006607884	3160.000	6760.000	4968.750	4968.750
25	Spectrogram 1	1	5.006607884	5.007607884	3160.000	6760.000	4968.750	4968.750
26	Spectrogram 1	1	5.007607884	5.008607884	3160.000	6760.000	4968.750	4968.750
27	Spectrogram 1	1	5.008607884	5.009607884	3160.000	6760.000	4968.750	4968.750
28	Spectrogram 1	1	5.009607884	5.010607884	3160.000	6760.000	4968.750	4968.750
29	Spectrogram 1	1	5.010607884	5.011607884	3160.000	6760.000	5156.250	5156.250
30	Spectrogram 1	1	5.011607884	5.012607884	3160.000	6760.000	5156.250	5156.250
31	Spectrogram 1	1	5.012607884	5.013607884	3160.000	6760.000	5156.250	5156.250
32	Spectrogram 1	1	5.013607884	5.014607884	3160.000	6760.000	5156.250	5156.250
33	Spectrogram 1	1	5.014607884	5.015607884	3160.000	6760.000	5156.250	5156.250
34	Spectrogram 1	1	5.015607884	5.016607884	3160.000	6760.000	5156.250	5156.250
35	Spectrogram 1	1	5.016607884	5.017607884	3160.000	6760.000	5156.250	5156.250
36	Spectrogram 1	1	5.017607884	5.018607884	3160.000	6760.000	5156.250	5156.250
37	Spectrogram 1	1	5.018607884	5.019607884	3160.000	6760.000	5156.250	5156.250
38	Spectrogram 1	1	5.019607884	5.020607884	3160.000	6760.000	5156.250	5156.250
39	Spectrogram 1	1	5.020607884	5.021607884	3160.000	6760.000	5156.250	5156.250
40	Spectrogram 1	1	5.021607884	5.022607884	3160.000	6760.000	4968.750	4968.750
41	Spectrogram 1	1	5.022607884	5.023607884	3160.000	6760.000	4968.750	4968.750
42	Spectrogram 1	1	5.023607884	5.024607884	3160.000	6760.000	4968.750	4968.750
43	Spectrogram 1	1	5.024607884	5.025607884	3160.000	6760.000	4968.750	4968.750
44	Spectrogram 1	1	5.025607884	5.026607884	3160.000	6760.000	4968.750	4968.750
45	Spectrogram 1	1	5.026607884	5.027607884	3160.000	6760.000	4781.250	4781.250
46	Spectrogram 1	1	5.027607884	5.028607884	3160.000	6760.000	4781.250	4781.250
47	Spectrogram 1	1	5.028607884	5.029607884	3160.000	6760.000	4781.250	4781.250
48	Spectrogram 1	1	5.029607884	5.030607884	3160.000	6760.000	4781.250	4781.250
49	Spectrogram 1	1	5.030607884	5.031607884	3160.000	6760.000	4781.250	4781.250
50	Spectrogram 1	1	5.031607884	5.032607884	3160.000	6760.000	4500.000	4500.000
51	Spectrogram 1	1	5.032607884	5.033607884	3160.000	6760.000	4500.000	4500.000
52	Spectrogram 1	1	5.033607884	5.034607884	3160.000	6760.000	4500.000	4500.000
53	Spectrogram 1	1	5.034607884	5.035607884	3160.000	6760.000	4500.000	4500.000
54	Spectrogram 1	1	5.035607884	5.036607884	3160.000	6760.000	4500.000	4500.000
55	Spectrogram 1	1	5.036607884	5.037607884	3160.000	6760.000	4500.000	4500.000
56	Spectrogram 1	1	5.037607884	5.038607884	3160.000	6760.000	4406.250	4406.250
57	Spectrogram 1	1	5.038607884	5.039607884	3160.000	6760.000	4406.250	4406.250
58	Spectrogram 1	1	5.039607884	5.040607884	3160.000	6760.000	4406.250	4406.250
59	Spectrogram 1	1	5.040607884	5.041607884	3160.000	6760.000	4406.250	4406.250
60	Spectrogram 1	1	5.041607884	5.042607884	3160.000	6760.000	4406.250	4406.250
61	Spectrogram 1	1	5.042607884	5.043607884	3160.000	6760.000	4312.500	4312.500
62	Spectrogram 1	1	5.043607884	5.044607884	3160.000	6760.000	4312.500	4312.500
63	Spectrogram 1	1	5.044607884	5.045607884	3160.000	6760.000	4312.500	4312.500
64	Spectrogram 1	1	5.045607884	5.046607884	3160.000	6760.000	4312.500	4312.500
65	Spectrogram 1	1	5.046607884	5.047607884	3160.000	6760.000	4312.500	4312.500
66	Spectrogram 1	1	5.047607884	5.048607884	3160.000	6760.000	4218.750	4218.750
67	Spectrogram 1	1	5.048607884	5.049607884	3160.000	6760.000	4218.750	4218.750
68	Spectrogram 1	1	5.049607884	5.050607884	3160.000	6760.000	4218.750	4218.750
69	Spectrogram 1	1	5.050607884	5.051607884	3160.000	6760.000	4218.750	4218.750
70	Spectrogram 1	1	5.051607884	5.052607884	3160.000	6760.000	4218.750	4218.750
71	Spectrogram 1	1	5.052607884	5.053607884	3160.000	6760.000	4218.750	4218.750
72	Spectrogram 1	1	5.053607884	5.054607884	3160.000	6760.000	4312.500	4312.500
