Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	4.428621237	4.429618969	2937.800	6046.000	4823.438	4823.438
2	Spectrogram 1	1	4.429618969	4.430616702	2937.800	6046.000	4823.438	4823.438
3	Spectrogram 1	1	4.430616702	4.431614434	2937.800	6046.000	4823.438	4823.438
4	Spectrogram 1	1	4.431614434	4.432612167	2937.800	6046.000	4737.305	4737.305
5	Spectrogram 1	1	4.432612167	4.433609899	2937.800	6046.000	4737.305	4737.305
6	Spectrogram 1	1	4.433609899	4.434607632	2937.800	6046.000	4737.305	4737.305
7	Spectrogram 1	1	4.434607632	4.435605364	2937.800	6046.000	4737.305	4737.305
8	Spectrogram 1	1	4.435605364	4.436603096	2937.800	6046.000	4737.305	4737.305
9	Spectrogram 1	1	4.436603096	4.437600829	2937.800	6046.000	4737.305	4737.305
10	Spectrogram 1	1	4.437600829	4.438598561	2937.800	6046.000	5254.102	5254.102
11	Spectrogram 1	1	4.438598561	4.439596294	2937.800	6046.000	5254.102	5254.102
12	Spectrogram 1	1	4.439596294	4.440594026	2937.800	6046.000	5254.102	5254.102
13	Spectrogram 1	1	4.440594026	4.441591759	2937.800	6046.000	5254.102	5254.102
14	Spectrogram 1	1	4.441591759	4.442589491	2937.800	6046.000	5254.102	5254.102
15	Spectrogram 1	1	4.442589491	4.443587223	2937.800	6046.000	5254.102	5254.102
16	Spectrogram 1	1	4.443587223	4.444584956	2937.800	6046.000	5426.367	5426.367
17	Spectrogram 1	1	4.444584956	4.445582688	2937.800	6046.000	5426.367	5426.367
18	Spectrogram 1	1	4.445582688	4.446580421	2937.800	6046.000	5426.367	5426.367
19	Spectrogram 1	1	4.446580421	4.447578153	2937.800	6046.000	5426.367	5426.367
20	Spectrogram 1	1	4.447578153	4.448575886	2937.800	6046.000	5426.367	5426.367
21	Spectrogram 1	1	4.448575886	4.449573618	2937.800	6046.000	5426.367	5426.367
22	Spectrogram 1	1	4.449573618	4.450571350	2937.800	6046.000	5340.234	5340.234
23	Spectrogram 1	1	4.450571350	4.451569083	2937.800	6046.000	5340.234	5340.234
24	Spectrogram 1	1	4.451569083	4.452566815	2937.800	6046.000	5340.234	5340.234
25	Spectrogram 1	1	4.452566815	4.453564548	2937.800	6046.000	5340.234	5340.234
26	Spectrogram 1	1	4.453564548	4.454562280	2937.800	6046.000	5340.234	5340.234
27	Spectrogram 1	1	4.454562280	4.455560013	2937.800	6046.000	5340.234	5340.234
28	Spectrogram 1	1	4.455560013	4.456557745	2937.800	6046.000	5081.836	4995.703
29	Spectrogram 1	1	4.456557745	4.457555477	2937.800	6046.000	5081.836	4995.703
30	Spectrogram 1	1	4.457555477	4.458553210	2937.800	6046.000	5081.836	4995.703
31	Spectrogram 1	1	4.458553210	4.459550942	2937.800	6046.000	5081.836	4995.703
32	Spectrogram 1	1	4.459550942	4.460548675	2937.800	6046.000	5081.836	4995.703
33	Spectrogram 1	1	4.460548675	4.461546407	2937.800	6046.000	5081.836	4995.703
34	Spectrogram 1	1	4.461546407	4.462544139	2937.800	6046.000	4737.305	4737.305
35	Spectrogram 1	1	4.462544139	4.463541872	2937.800	6046.000	4737.305	4737.305
36	Spectrogram 1	1	4.463541872	4.464539604	2937.800	6046.000	4737.305	4737.305
37	Spectrogram 1	1	4.464539604	4.465537337	2937.800	6046.000	4737.305	4737.305
38	Spectrogram 1	1	4.465537337	4.466535069	2937.800	6046.000	4737.305	4737.305
39	Spectrogram 1	1	4.466535069	4.467532802	2937.800	6046.000	4478.906	4478.906
40	Spectrogram 1	1	4.467532802	4.468530534	2937.800	6046.000	4478.906	4478.906
41	Spectrogram 1	1	4.468530534	4.469528266	2937.800	6046.000	4478.906	4478.906
42	Spectrogram 1	1	4.469528266	4.470525999	2937.800	6046.000	4478.906	4478.906
43	Spectrogram 1	1	4.470525999	4.471523731	2937.800	6046.000	4478.906	4478.906
44	Spectrogram 1	1	4.471523731	4.472521464	2937.800	6046.000	4478.906	4478.906
45	Spectrogram 1	1	4.472521464	4.473519196	2937.800	6046.000	4306.641	4306.641
46	Spectrogram 1	1	4.473519196	4.474516929	2937.800	6046.000	4306.641	4306.641
47	Spectrogram 1	1	4.474516929	4.475514661	2937.800	6046.000	4306.641	4306.641
48	Spectrogram 1	1	4.475514661	4.476512393	2937.800	6046.000	4306.641	4306.641
49	Spectrogram 1	1	4.476512393	4.477510126	2937.800	6046.000	4306.641	4306.641
50	Spectrogram 1	1	4.477510126	4.478507858	2937.800	6046.000	4306.641	4306.641
51	Spectrogram 1	1	4.478507858	4.479505591	2937.800	6046.000	4220.508	4220.508
52	Spectrogram 1	1	4.479505591	4.480503323	2937.800	6046.000	4220.508	4220.508
53	Spectrogram 1	1	4.480503323	4.481501056	2937.800	6046.000	4220.508	4220.508
54	Spectrogram 1	1	4.481501056	4.482498788	2937.800	6046.000	4220.508	4220.508
55	Spectrogram 1	1	4.482498788	4.483496520	2937.800	6046.000	4220.508	4220.508
56	Spectrogram 1	1	4.483496520	4.484494253	2937.800	6046.000	4220.508	4220.508
57	Spectrogram 1	1	4.484494253	4.485491985	2937.800	6046.000	4134.375	4134.375
58	Spectrogram 1	1	4.485491985	4.486489718	2937.800	6046.000	4134.375	4134.375
59	Spectrogram 1	1	4.486489718	4.487487450	2937.800	6046.000	4134.375	4134.375
60	Spectrogram 1	1	4.487487450	4.488485183	2937.800	6046.000	4134.375	4134.375
61	Spectrogram 1	1	4.488485183	4.489482915	2937.800	6046.000	4134.375	4134.375
62	Spectrogram 1	1	4.489482915	4.490480647	2937.800	6046.000	4134.375	4134.375
63	Spectrogram 1	1	4.490480647	4.491478380	2937.800	6046.000	4048.242	4048.242
64	Spectrogram 1	1	4.491478380	4.492476112	2937.800	6046.000	4048.242	4048.242
65	Spectrogram 1	1	4.492476112	4.493473845	2937.800	6046.000	4048.242	4048.242
66	Spectrogram 1	1	4.493473845	4.494471577	2937.800	6046.000	4048.242	4048.242
67	Spectrogram 1	1	4.494471577	4.495469310	2937.800	6046.000	4048.242	4048.242
68	Spectrogram 1	1	4.495469310	4.496467042	2937.800	6046.000	4048.242	4048.242
69	Spectrogram 1	1	4.496467042	4.497464774	2937.800	6046.000	4048.242	4048.242
70	Spectrogram 1	1	4.497464774	4.498462507	2937.800	6046.000	4048.242	4048.242
71	Spectrogram 1	1	4.498462507	4.499460239	2937.800	6046.000	4048.242	4048.242
72	Spectrogram 1	1	4.499460239	4.500457972	2937.800	6046.000	4048.242	4048.242
73	Spectrogram 1	1	4.500457972	4.501455704	2937.800	6046.000	4048.242	4048.242
74	Spectrogram 1	1	4.501455704	4.502453437	2937.800	6046.000	4048.242	4048.242
75	Spectrogram 1	1	4.502453437	4.503451169	2937.800	6046.000	4048.242	4048.242
76	Spectrogram 1	1	4.503451169	4.504448901	2937.800	6046.000	4048.242	4048.242
77	Spectrogram 1	1	4.504448901	4.505446634	2937.800	6046.000	4048.242	4048.242
78	Spectrogram 1	1	4.505446634	4.506444366	2937.800	6046.000	4048.242	4048.242
79	Spectrogram 1	1	4.506444366	4.507442099	2937.800	6046.000	4048.242	4048.242
80	Spectrogram 1	1	4.507442099	4.508439831	2937.800	6046.000	3962.109	3962.109
81	Spectrogram 1	1	4.508439831	4.509437564	2937.800	6046.000	3962.109	3962.109
82	Spectrogram 1	1	4.509437564	4.510435296	2937.800	6046.000	3962.109	3962.109
83	Spectrogram 1	1	4.510435296	4.511433028	2937.800	6046.000	3962.109	3962.109
84	Spectrogram 1	1	4.511433028	4.512430761	2937.800	6046.000	3962.109	3962.109
85	Spectrogram 1	1	4.512430761	4.513428493	2937.800	6046.000	3962.109	3962.109
86	Spectrogram 1	1	4.513428493	4.514426226	2937.800	6046.000	3962.109	3962.109
87	Spectrogram 1	1	4.514426226	4.515423958	2937.800	6046.000	3962.109	3962.109
88	Spectrogram 1	1	4.515423958	4.516421691	2937.800	6046.000	3962.109	3962.109
89	Spectrogram 1	1	4.516421691	4.517419423	2937.800	6046.000	3962.109	3962.109
90	Spectrogram 1	1	4.517419423	4.518417155	2937.800	6046.000	3962.109	3962.109
91	Spectrogram 1	1	4.518417155	4.519414888	2937.800	6046.000	3962.109	3962.109
92	Spectrogram 1	1	4.519414888	4.520412620	2937.800	6046.000	4478.906	4565.039
93	Spectrogram 1	1	4.520412620	4.521410353	2937.800	6046.000	4478.906	4565.039
94	Spectrogram 1	1	4.521410353	4.522408085	2937.800	6046.000	4478.906	4565.039
95	Spectrogram 1	1	4.522408085	4.523405817	2937.800	6046.000	4478.906	4565.039
96	Spectrogram 1	1	4.523405817	4.524403550	2937.800	6046.000	4478.906	4565.039
97	Spectrogram 1	1	4.524403550	4.525401282	2937.800	6046.000	4478.906	4565.039
98	Spectrogram 1	1	4.525401282	4.526399015	2937.800	6046.000	4478.906	4478.906
99	Spectrogram 1	1	4.526399015	4.527396747	2937.800	6046.000	4478.906	4478.906
100	Spectrogram 1	1	4.527396747	4.528394480	2937.800	6046.000	4478.906	4478.906
