Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	9.765635874	9.766635874	2272.400	6259.600	3937.500	3375.000
2	Spectrogram 1	1	9.766635874	9.767635874	2272.400	6259.600	3937.500	3375.000
3	Spectrogram 1	1	9.767635874	9.768635874	2272.400	6259.600	4031.250	4218.750
4	Spectrogram 1	1	9.768635874	9.769635874	2272.400	6259.600	4031.250	4218.750
5	Spectrogram 1	1	9.769635874	9.770635874	2272.400	6259.600	4031.250	4218.750
6	Spectrogram 1	1	9.770635874	9.771635874	2272.400	6259.600	4031.250	4218.750
7	Spectrogram 1	1	9.771635874	9.772635874	2272.400	6259.600	4031.250	4218.750
8	Spectrogram 1	1	9.772635874	9.773635874	2272.400	6259.600	4031.250	4218.750
9	Spectrogram 1	1	9.773635874	9.774635874	2272.400	6259.600	5062.500	5531.250
10	Spectrogram 1	1	9.774635874	9.775635874	2272.400	6259.600	5062.500	5531.250
11	Spectrogram 1	1	9.775635874	9.776635874	2272.400	6259.600	5062.500	5531.250
12	Spectrogram 1	1	9.776635874	9.777635874	2272.400	6259.600	5062.500	5531.250
13	Spectrogram 1	1	9.777635874	9.778635874	2272.400	6259.600	5062.500	5531.250
14	Spectrogram 1	1	9.778635874	9.779635874	2272.400	6259.600	5062.500	5343.750
15	Spectrogram 1	1	9.779635874	9.780635874	2272.400	6259.600	5062.500	5343.750
16	Spectrogram 1	1	9.780635874	9.781635874	2272.400	6259.600	5062.500	5343.750
17	Spectrogram 1	1	9.781635874	9.782635874	2272.400	6259.600	5062.500	5343.750
18	Spectrogram 1	1	9.782635874	9.783635874	2272.400	6259.600	5062.500	5343.750
19	Spectrogram 1	1	9.783635874	9.784635874	2272.400	6259.600	4312.500	4218.750
20	Spectrogram 1	1	9.784635874	9.785635874	2272.400	6259.600	4312.500	4218.750
21	Spectrogram 1	1	9.785635874	9.786635874	2272.400	6259.600	4312.500	4218.750
22	Spectrogram 1	1	9.786635874	9.787635874	2272.400	6259.600	4312.500	4218.750
23	Spectrogram 1	1	9.787635874	9.788635874	2272.400	6259.600	4312.500	4218.750
24	Spectrogram 1	1	9.788635874	9.789635874	2272.400	6259.600	4312.500	4218.750
25	Spectrogram 1	1	9.789635874	9.790635874	2272.400	6259.600	4125.000	4125.000
26	Spectrogram 1	1	9.790635874	9.791635874	2272.400	6259.600	4125.000	4125.000
27	Spectrogram 1	1	9.791635874	9.792635874	2272.400	6259.600	4125.000	4125.000
28	Spectrogram 1	1	9.792635874	9.793635874	2272.400	6259.600	4125.000	4125.000
29	Spectrogram 1	1	9.793635874	9.794635874	2272.400	6259.600	4125.000	4125.000
30	Spectrogram 1	1	9.794635874	9.795635874	2272.400	6259.600	4125.000	4125.000
31	Spectrogram 1	1	9.795635874	9.796635874	2272.400	6259.600	4125.000	4125.000
32	Spectrogram 1	1	9.796635874	9.797635874	2272.400	6259.600	4125.000	4125.000
33	Spectrogram 1	1	9.797635874	9.798635874	2272.400	6259.600	4125.000	4125.000
34	Spectrogram 1	1	9.798635874	9.799635874	2272.400	6259.600	4125.000	4125.000
35	Spectrogram 1	1	9.799635874	9.800635874	2272.400	6259.600	4218.750	4218.750
36	Spectrogram 1	1	9.800635874	9.801635874	2272.400	6259.600	4218.750	4218.750
37	Spectrogram 1	1	9.801635874	9.802635874	2272.400	6259.600	4218.750	4218.750
38	Spectrogram 1	1	9.802635874	9.803635874	2272.400	6259.600	4218.750	4218.750
39	Spectrogram 1	1	9.803635874	9.804635874	2272.400	6259.600	4218.750	4218.750
40	Spectrogram 1	1	9.804635874	9.805635874	2272.400	6259.600	4218.750	4218.750
41	Spectrogram 1	1	9.805635874	9.806635874	2272.400	6259.600	4218.750	4218.750
42	Spectrogram 1	1	9.806635874	9.807635874	2272.400	6259.600	4218.750	4218.750
43	Spectrogram 1	1	9.807635874	9.808635874	2272.400	6259.600	4218.750	4218.750
44	Spectrogram 1	1	9.808635874	9.809635874	2272.400	6259.600	4218.750	4218.750
45	Spectrogram 1	1	9.809635874	9.810635874	2272.400	6259.600	4218.750	4218.750
46	Spectrogram 1	1	9.810635874	9.811635874	2272.400	6259.600	4218.750	4218.750
47	Spectrogram 1	1	9.811635874	9.812635874	2272.400	6259.600	4218.750	4218.750
48	Spectrogram 1	1	9.812635874	9.813635874	2272.400	6259.600	4218.750	4218.750
49	Spectrogram 1	1	9.813635874	9.814635874	2272.400	6259.600	4218.750	4218.750
50	Spectrogram 1	1	9.814635874	9.815635874	2272.400	6259.600	4218.750	4218.750
51	Spectrogram 1	1	9.815635874	9.816635874	2272.400	6259.600	4218.750	4218.750
52	Spectrogram 1	1	9.816635874	9.817635874	2272.400	6259.600	4218.750	4218.750
53	Spectrogram 1	1	9.817635874	9.818635874	2272.400	6259.600	4218.750	4218.750
54	Spectrogram 1	1	9.818635874	9.819635874	2272.400	6259.600	4218.750	4218.750
55	Spectrogram 1	1	9.819635874	9.820635874	2272.400	6259.600	4218.750	4218.750
56	Spectrogram 1	1	9.820635874	9.821635874	2272.400	6259.600	4218.750	4218.750
57	Spectrogram 1	1	9.821635874	9.822635874	2272.400	6259.600	4218.750	4218.750
58	Spectrogram 1	1	9.822635874	9.823635874	2272.400	6259.600	4218.750	4218.750
59	Spectrogram 1	1	9.823635874	9.824635874	2272.400	6259.600	4218.750	4218.750
60	Spectrogram 1	1	9.824635874	9.825635874	2272.400	6259.600	4218.750	4218.750
61	Spectrogram 1	1	9.825635874	9.826635874	2272.400	6259.600	4218.750	4218.750
62	Spectrogram 1	1	9.826635874	9.827635874	2272.400	6259.600	4218.750	4218.750
63	Spectrogram 1	1	9.827635874	9.828635874	2272.400	6259.600	4218.750	4218.750
64	Spectrogram 1	1	9.828635874	9.829635874	2272.400	6259.600	4218.750	4218.750
65	Spectrogram 1	1	9.829635874	9.830635874	2272.400	6259.600	4218.750	4218.750
66	Spectrogram 1	1	9.830635874	9.831635874	2272.400	6259.600	4218.750	4218.750
67	Spectrogram 1	1	9.831635874	9.832635874	2272.400	6259.600	4218.750	4218.750
68	Spectrogram 1	1	9.832635874	9.833635874	2272.400	6259.600	4218.750	4218.750
69	Spectrogram 1	1	9.833635874	9.834635874	2272.400	6259.600	4218.750	4218.750
70	Spectrogram 1	1	9.834635874	9.835635874	2272.400	6259.600	4218.750	4218.750
71	Spectrogram 1	1	9.835635874	9.836635874	2272.400	6259.600	4218.750	4218.750
72	Spectrogram 1	1	9.836635874	9.837635874	2272.400	6259.600	4218.750	4218.750
73	Spectrogram 1	1	9.837635874	9.838635874	2272.400	6259.600	4125.000	4125.000
74	Spectrogram 1	1	9.838635874	9.839635874	2272.400	6259.600	4125.000	4125.000
75	Spectrogram 1	1	9.839635874	9.840635874	2272.400	6259.600	4125.000	4125.000
76	Spectrogram 1	1	9.840635874	9.841635874	2272.400	6259.600	4125.000	4125.000
77	Spectrogram 1	1	9.841635874	9.842635874	2272.400	6259.600	4125.000	4125.000
78	Spectrogram 1	1	9.842635874	9.843635874	2272.400	6259.600	4125.000	4125.000
79	Spectrogram 1	1	9.843635874	9.844635874	2272.400	6259.600	4125.000	4125.000
80	Spectrogram 1	1	9.844635874	9.845635874	2272.400	6259.600	4125.000	4125.000
81	Spectrogram 1	1	9.845635874	9.846635874	2272.400	6259.600	4125.000	4125.000
82	Spectrogram 1	1	9.846635874	9.847635874	2272.400	6259.600	4125.000	4125.000
83	Spectrogram 1	1	9.847635874	9.848635874	2272.400	6259.600	4125.000	4125.000
84	Spectrogram 1	1	9.848635874	9.849635874	2272.400	6259.600	4125.000	4125.000
85	Spectrogram 1	1	9.849635874	9.850635874	2272.400	6259.600	4125.000	4125.000
86	Spectrogram 1	1	9.850635874	9.851635874	2272.400	6259.600	4125.000	4125.000
87	Spectrogram 1	1	9.851635874	9.852635874	2272.400	6259.600	4125.000	4125.000
88	Spectrogram 1	1	9.852635874	9.853635874	2272.400	6259.600	4125.000	4125.000
89	Spectrogram 1	1	9.853635874	9.854635874	2272.400	6259.600	4125.000	4125.000
90	Spectrogram 1	1	9.854635874	9.855635874	2272.400	6259.600	4125.000	4125.000
91	Spectrogram 1	1	9.855635874	9.856635874	2272.400	6259.600	4125.000	4125.000
92	Spectrogram 1	1	9.856635874	9.857635874	2272.400	6259.600	4125.000	4125.000
93	Spectrogram 1	1	9.857635874	9.858635874	2272.400	6259.600	4125.000	4125.000
94	Spectrogram 1	1	9.858635874	9.859635874	2272.400	6259.600	4125.000	4125.000
95	Spectrogram 1	1	9.859635874	9.860635874	2272.400	6259.600	4125.000	4125.000
96	Spectrogram 1	1	9.860635874	9.861635874	2272.400	6259.600	4125.000	4125.000
97	Spectrogram 1	1	9.861635874	9.862635874	2272.400	6259.600	4125.000	4125.000
98	Spectrogram 1	1	9.862635874	9.863635874	2272.400	6259.600	4125.000	4125.000
99	Spectrogram 1	1	9.863635874	9.864635874	2272.400	6259.600	4218.750	4218.750
100	Spectrogram 1	1	9.864635874	9.865635874	2272.400	6259.600	4218.750	4218.750
101	Spectrogram 1	1	9.865635874	9.866635874	2272.400	6259.600	4218.750	4218.750
102	Spectrogram 1	1	9.866635874	9.867635874	2272.400	6259.600	4218.750	4218.750
103	Spectrogram 1	1	9.867635874	9.868635874	2272.400	6259.600	4218.750	4218.750
104	Spectrogram 1	1	9.868635874	9.869635874	2272.400	6259.600	4218.750	4218.750
105	Spectrogram 1	1	9.869635874	9.870635874	2272.400	6259.600	4125.000	4125.000
106	Spectrogram 1	1	9.870635874	9.871635874	2272.400	6259.600	4125.000	4125.000
107	Spectrogram 1	1	9.871635874	9.872635874	2272.400	6259.600	4125.000	4125.000
108	Spectrogram 1	1	9.872635874	9.873635874	2272.400	6259.600	4125.000	4125.000
109	Spectrogram 1	1	9.873635874	9.874635874	2272.400	6259.600	4125.000	4125.000
110	Spectrogram 1	1	9.874635874	9.875635874	2272.400	6259.600	4406.250	4406.250
111	Spectrogram 1	1	9.875635874	9.876635874	2272.400	6259.600	4406.250	4406.250
112	Spectrogram 1	1	9.876635874	9.877635874	2272.400	6259.600	4406.250	4406.250
113	Spectrogram 1	1	9.877635874	9.878635874	2272.400	6259.600	4406.250	4406.250
114	Spectrogram 1	1	9.878635874	9.879635874	2272.400	6259.600	4406.250	4406.250
115	Spectrogram 1	1	9.879635874	9.880635874	2272.400	6259.600	4406.250	4406.250
116	Spectrogram 1	1	9.880635874	9.881635874	2272.400	6259.600	4406.250	4406.250
117	Spectrogram 1	1	9.881635874	9.882635874	2272.400	6259.600	4406.250	4406.250
118	Spectrogram 1	1	9.882635874	9.883635874	2272.400	6259.600	4406.250	4406.250
119	Spectrogram 1	1	9.883635874	9.884635874	2272.400	6259.600	4406.250	4406.250
120	Spectrogram 1	1	9.884635874	9.885635874	2272.400	6259.600	4406.250	4406.250
121	Spectrogram 1	1	9.885635874	9.886635874	2272.400	6259.600	4218.750	4218.750
122	Spectrogram 1	1	9.886635874	9.887635874	2272.400	6259.600	4218.750	4218.750
123	Spectrogram 1	1	9.887635874	9.888635874	2272.400	6259.600	4218.750	4218.750
124	Spectrogram 1	1	9.888635874	9.889635874	2272.400	6259.600	4218.750	4218.750
125	Spectrogram 1	1	9.889635874	9.890635874	2272.400	6259.600	4218.750	4218.750
126	Spectrogram 1	1	9.890635874	9.891635874	2272.400	6259.600	4218.750	4125.000
127	Spectrogram 1	1	9.891635874	9.892635874	2272.400	6259.600	4218.750	4125.000
128	Spectrogram 1	1	9.892635874	9.893635874	2272.400	6259.600	4218.750	4125.000
129	Spectrogram 1	1	9.893635874	9.894635874	2272.400	6259.600	4218.750	4125.000
130	Spectrogram 1	1	9.894635874	9.895635874	2272.400	6259.600	4218.750	4125.000
131	Spectrogram 1	1	9.895635874	9.896635874	2272.400	6259.600	4218.750	4218.750
132	Spectrogram 1	1	9.896635874	9.897635874	2272.400	6259.600	4218.750	4218.750
133	Spectrogram 1	1	9.897635874	9.898635874	2272.400	6259.600	4218.750	4218.750
134	Spectrogram 1	1	9.898635874	9.899635874	2272.400	6259.600	4218.750	4218.750
135	Spectrogram 1	1	9.899635874	9.900635874	2272.400	6259.600	4218.750	4218.750
136	Spectrogram 1	1	9.900635874	9.901635874	2272.400	6259.600	4218.750	4218.750
137	Spectrogram 1	1	9.901635874	9.902635874	2272.400	6259.600	4218.750	4218.750
138	Spectrogram 1	1	9.902635874	9.903635874	2272.400	6259.600	4218.750	4218.750
139	Spectrogram 1	1	9.903635874	9.904635874	2272.400	6259.600	4218.750	4218.750
140	Spectrogram 1	1	9.904635874	9.905635874	2272.400	6259.600	4218.750	4218.750
141	Spectrogram 1	1	9.905635874	9.906635874	2272.400	6259.600	4218.750	4218.750
142	Spectrogram 1	1	9.906635874	9.907635874	2272.400	6259.600	3281.250	3281.250
143	Spectrogram 1	1	9.907635874	9.908635874	2272.400	6259.600	3281.250	3281.250
144	Spectrogram 1	1	9.908635874	9.909635874	2272.400	6259.600	3281.250	3281.250
145	Spectrogram 1	1	9.909635874	9.910635874	2272.400	6259.600	3281.250	3281.250
146	Spectrogram 1	1	9.910635874	9.911635874	2272.400	6259.600	3281.250	3281.250
147	Spectrogram 1	1	9.911635874	9.912635874	2272.400	6259.600	3375.000	3375.000
148	Spectrogram 1	1	9.912635874	9.913635874	2272.400	6259.600	3375.000	3375.000
149	Spectrogram 1	1	9.913635874	9.914635874	2272.400	6259.600	3375.000	3375.000
150	Spectrogram 1	1	9.914635874	9.915635874	2272.400	6259.600	3375.000	3375.000
151	Spectrogram 1	1	9.915635874	9.916635874	2272.400	6259.600	3375.000	3375.000
152	Spectrogram 1	1	9.916635874	9.917635874	2272.400	6259.600	3375.000	3375.000
153	Spectrogram 1	1	9.917635874	9.918635874	2272.400	6259.600	3375.000	3375.000
154	Spectrogram 1	1	9.918635874	9.919635874	2272.400	6259.600	3375.000	3375.000
155	Spectrogram 1	1	9.919635874	9.920635874	2272.400	6259.600	3375.000	3375.000
156	Spectrogram 1	1	9.920635874	9.921635874	2272.400	6259.600	3375.000	3375.000
157	Spectrogram 1	1	9.921635874	9.922635874	2272.400	6259.600	3375.000	3375.000
158	Spectrogram 1	1	9.922635874	9.923635874	2272.400	6259.600	3375.000	3375.000
159	Spectrogram 1	1	9.923635874	9.924635874	2272.400	6259.600	3375.000	3375.000
160	Spectrogram 1	1	9.924635874	9.925635874	2272.400	6259.600	3375.000	3375.000
161	Spectrogram 1	1	9.925635874	9.926635874	2272.400	6259.600	3375.000	3375.000
162	Spectrogram 1	1	9.926635874	9.927635874	2272.400	6259.600	3375.000	3375.000
163	Spectrogram 1	1	9.927635874	9.928635874	2272.400	6259.600	3375.000	3375.000
164	Spectrogram 1	1	9.928635874	9.929635874	2272.400	6259.600	3375.000	3375.000
165	Spectrogram 1	1	9.929635874	9.930635874	2272.400	6259.600	3375.000	3375.000
166	Spectrogram 1	1	9.930635874	9.931635874	2272.400	6259.600	3375.000	3375.000
167	Spectrogram 1	1	9.931635874	9.932635874	2272.400	6259.600	3375.000	3375.000
168	Spectrogram 1	1	9.932635874	9.933635874	2272.400	6259.600	3375.000	3375.000
169	Spectrogram 1	1	9.933635874	9.934635874	2272.400	6259.600	4125.000	4125.000
170	Spectrogram 1	1	9.934635874	9.935635874	2272.400	6259.600	4125.000	4125.000
171	Spectrogram 1	1	9.935635874	9.936635874	2272.400	6259.600	4125.000	4125.000
172	Spectrogram 1	1	9.936635874	9.937635874	2272.400	6259.600	4125.000	4125.000
173	Spectrogram 1	1	9.937635874	9.938635874	2272.400	6259.600	4125.000	4125.000
174	Spectrogram 1	1	9.938635874	9.939635874	2272.400	6259.600	4218.750	4218.750
175	Spectrogram 1	1	9.939635874	9.940635874	2272.400	6259.600	4218.750	4218.750
176	Spectrogram 1	1	9.940635874	9.941635874	2272.400	6259.600	4218.750	4218.750
177	Spectrogram 1	1	9.941635874	9.942635874	2272.400	6259.600	4218.750	4218.750
178	Spectrogram 1	1	9.942635874	9.943635874	2272.400	6259.600	4218.750	4218.750
179	Spectrogram 1	1	9.943635874	9.944635874	2272.400	6259.600	4125.000	4125.000
180	Spectrogram 1	1	9.944635874	9.945635874	2272.400	6259.600	4125.000	4125.000
181	Spectrogram 1	1	9.945635874	9.946635874	2272.400	6259.600	4125.000	4125.000
182	Spectrogram 1	1	9.946635874	9.947635874	2272.400	6259.600	4125.000	4125.000
183	Spectrogram 1	1	9.947635874	9.948635874	2272.400	6259.600	4125.000	4125.000
184	Spectrogram 1	1	9.948635874	9.949635874	2272.400	6259.600	4125.000	4125.000
185	Spectrogram 1	1	9.949635874	9.950635874	2272.400	6259.600	3468.750	3375.000
186	Spectrogram 1	1	9.950635874	9.951635874	2272.400	6259.600	3468.750	3375.000
187	Spectrogram 1	1	9.951635874	9.952635874	2272.400	6259.600	3468.750	3375.000
188	Spectrogram 1	1	9.952635874	9.953635874	2272.400	6259.600	3468.750	3375.000
189	Spectrogram 1	1	9.953635874	9.954635874	2272.400	6259.600	3468.750	3375.000
190	Spectrogram 1	1	9.954635874	9.955635874	2272.400	6259.600	3375.000	3375.000
191	Spectrogram 1	1	9.955635874	9.956635874	2272.400	6259.600	3375.000	3375.000
192	Spectrogram 1	1	9.956635874	9.957635874	2272.400	6259.600	3375.000	3375.000
193	Spectrogram 1	1	9.957635874	9.958635874	2272.400	6259.600	3375.000	3375.000
194	Spectrogram 1	1	9.958635874	9.959635874	2272.400	6259.600	3375.000	3375.000
195	Spectrogram 1	1	9.959635874	9.960635874	2272.400	6259.600	3562.500	3562.500
196	Spectrogram 1	1	9.960635874	9.961635874	2272.400	6259.600	3562.500	3562.500
197	Spectrogram 1	1	9.961635874	9.962635874	2272.400	6259.600	3562.500	3562.500
198	Spectrogram 1	1	9.962635874	9.963635874	2272.400	6259.600	3562.500	3562.500
199	Spectrogram 1	1	9.963635874	9.964635874	2272.400	6259.600	3562.500	3562.500
200	Spectrogram 1	1	9.964635874	9.965635874	2272.400	6259.600	3562.500	3562.500
201	Spectrogram 1	1	9.965635874	9.966635874	2272.400	6259.600	3750.000	3750.000
202	Spectrogram 1	1	9.966635874	9.967635874	2272.400	6259.600	3750.000	3750.000
203	Spectrogram 1	1	9.967635874	9.968635874	2272.400	6259.600	3750.000	3750.000
204	Spectrogram 1	1	9.968635874	9.969635874	2272.400	6259.600	3750.000	3750.000
205	Spectrogram 1	1	9.969635874	9.970635874	2272.400	6259.600	3750.000	3750.000
206	Spectrogram 1	1	9.970635874	9.971635874	2272.400	6259.600	4031.250	3937.500
207	Spectrogram 1	1	9.971635874	9.972635874	2272.400	6259.600	4031.250	3937.500
208	Spectrogram 1	1	9.972635874	9.973635874	2272.400	6259.600	4031.250	3937.500
209	Spectrogram 1	1	9.973635874	9.974635874	2272.400	6259.600	4031.250	3937.500
210	Spectrogram 1	1	9.974635874	9.975635874	2272.400	6259.600	4031.250	3937.500
211	Spectrogram 1	1	9.975635874	9.976635874	2272.400	6259.600	4125.000	4125.000
212	Spectrogram 1	1	9.976635874	9.977635874	2272.400	6259.600	4125.000	4125.000
213	Spectrogram 1	1	9.977635874	9.978635874	2272.400	6259.600	4125.000	4125.000
214	Spectrogram 1	1	9.978635874	9.979635874	2272.400	6259.600	4125.000	4125.000
215	Spectrogram 1	1	9.979635874	9.980635874	2272.400	6259.600	4125.000	4125.000
216	Spectrogram 1	1	9.980635874	9.981635874	2272.400	6259.600	4125.000	4125.000
217	Spectrogram 1	1	9.981635874	9.982635874	2272.400	6259.600	4312.500	4312.500
218	Spectrogram 1	1	9.982635874	9.983635874	2272.400	6259.600	4312.500	4312.500
219	Spectrogram 1	1	9.983635874	9.984635874	2272.400	6259.600	4312.500	4312.500
