Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	3.385692426	3.386690158	3041.400	6662.935	5167.969	4909.570
2	Spectrogram 1	2	3.386690158	3.387687891	3041.400	6662.935	5167.969	4909.570
3	Spectrogram 1	2	3.387687891	3.388685623	3041.400	6662.935	5426.367	5426.367
4	Spectrogram 1	2	3.388685623	3.389683356	3041.400	6662.935	5426.367	5426.367
5	Spectrogram 1	2	3.389683356	3.390681088	3041.400	6662.935	5426.367	5426.367
6	Spectrogram 1	2	3.390681088	3.391678821	3041.400	6662.935	5426.367	5426.367
7	Spectrogram 1	2	3.391678821	3.392676553	3041.400	6662.935	5426.367	5426.367
8	Spectrogram 1	2	3.392676553	3.393674285	3041.400	6662.935	5770.898	5770.898
9	Spectrogram 1	2	3.393674285	3.394672018	3041.400	6662.935	5770.898	5770.898
10	Spectrogram 1	2	3.394672018	3.395669750	3041.400	6662.935	5770.898	5770.898
11	Spectrogram 1	2	3.395669750	3.396667483	3041.400	6662.935	5770.898	5770.898
12	Spectrogram 1	2	3.396667483	3.397665215	3041.400	6662.935	5770.898	5770.898
13	Spectrogram 1	2	3.397665215	3.398662948	3041.400	6662.935	5770.898	5770.898
14	Spectrogram 1	2	3.398662948	3.399660680	3041.400	6662.935	5254.102	5340.234
15	Spectrogram 1	2	3.399660680	3.400658412	3041.400	6662.935	5254.102	5340.234
16	Spectrogram 1	2	3.400658412	3.401656145	3041.400	6662.935	5254.102	5340.234
17	Spectrogram 1	2	3.401656145	3.402653877	3041.400	6662.935	5254.102	5340.234
18	Spectrogram 1	2	3.402653877	3.403651610	3041.400	6662.935	5254.102	5340.234
19	Spectrogram 1	2	3.403651610	3.404649342	3041.400	6662.935	5254.102	5340.234
20	Spectrogram 1	2	3.404649342	3.405647075	3041.400	6662.935	4565.039	4565.039
21	Spectrogram 1	2	3.405647075	3.406644807	3041.400	6662.935	4565.039	4565.039
22	Spectrogram 1	2	3.406644807	3.407642539	3041.400	6662.935	4565.039	4565.039
23	Spectrogram 1	2	3.407642539	3.408640272	3041.400	6662.935	4565.039	4565.039
24	Spectrogram 1	2	3.408640272	3.409638004	3041.400	6662.935	4565.039	4565.039
25	Spectrogram 1	2	3.409638004	3.410635737	3041.400	6662.935	4565.039	4565.039
26	Spectrogram 1	2	3.410635737	3.411633469	3041.400	6662.935	4478.906	4478.906
27	Spectrogram 1	2	3.411633469	3.412631202	3041.400	6662.935	4478.906	4478.906
28	Spectrogram 1	2	3.412631202	3.413628934	3041.400	6662.935	4478.906	4478.906
29	Spectrogram 1	2	3.413628934	3.414626666	3041.400	6662.935	4478.906	4478.906
30	Spectrogram 1	2	3.414626666	3.415624399	3041.400	6662.935	4478.906	4478.906
31	Spectrogram 1	2	3.415624399	3.416622131	3041.400	6662.935	4478.906	4478.906
32	Spectrogram 1	2	3.416622131	3.417619864	3041.400	6662.935	4565.039	4565.039
33	Spectrogram 1	2	3.417619864	3.418617596	3041.400	6662.935	4565.039	4565.039
34	Spectrogram 1	2	3.418617596	3.419615328	3041.400	6662.935	4565.039	4565.039
35	Spectrogram 1	2	3.419615328	3.420613061	3041.400	6662.935	4565.039	4565.039
36	Spectrogram 1	2	3.420613061	3.421610793	3041.400	6662.935	4565.039	4565.039
37	Spectrogram 1	2	3.421610793	3.422608526	3041.400	6662.935	4651.172	4651.172
38	Spectrogram 1	2	3.422608526	3.423606258	3041.400	6662.935	4651.172	4651.172
39	Spectrogram 1	2	3.423606258	3.424603991	3041.400	6662.935	4651.172	4651.172
40	Spectrogram 1	2	3.424603991	3.425601723	3041.400	6662.935	4651.172	4651.172
41	Spectrogram 1	2	3.425601723	3.426599455	3041.400	6662.935	4651.172	4651.172
42	Spectrogram 1	2	3.426599455	3.427597188	3041.400	6662.935	4651.172	4651.172
43	Spectrogram 1	2	3.427597188	3.428594920	3041.400	6662.935	4392.773	4392.773
44	Spectrogram 1	2	3.428594920	3.429592653	3041.400	6662.935	4392.773	4392.773
45	Spectrogram 1	2	3.429592653	3.430590385	3041.400	6662.935	4392.773	4392.773
46	Spectrogram 1	2	3.430590385	3.431588118	3041.400	6662.935	4392.773	4392.773
47	Spectrogram 1	2	3.431588118	3.432585850	3041.400	6662.935	4392.773	4392.773
48	Spectrogram 1	2	3.432585850	3.433583582	3041.400	6662.935	4392.773	4392.773
49	Spectrogram 1	2	3.433583582	3.434581315	3041.400	6662.935	4306.641	4306.641
50	Spectrogram 1	2	3.434581315	3.435579047	3041.400	6662.935	4306.641	4306.641
51	Spectrogram 1	2	3.435579047	3.436576780	3041.400	6662.935	4306.641	4306.641
52	Spectrogram 1	2	3.436576780	3.437574512	3041.400	6662.935	4306.641	4306.641
53	Spectrogram 1	2	3.437574512	3.438572245	3041.400	6662.935	4306.641	4306.641
54	Spectrogram 1	2	3.438572245	3.439569977	3041.400	6662.935	4306.641	4306.641
55	Spectrogram 1	2	3.439569977	3.440567709	3041.400	6662.935	4220.508	4220.508
56	Spectrogram 1	2	3.440567709	3.441565442	3041.400	6662.935	4220.508	4220.508
57	Spectrogram 1	2	3.441565442	3.442563174	3041.400	6662.935	4220.508	4220.508
58	Spectrogram 1	2	3.442563174	3.443560907	3041.400	6662.935	4220.508	4220.508
59	Spectrogram 1	2	3.443560907	3.444558639	3041.400	6662.935	4220.508	4220.508
60	Spectrogram 1	2	3.444558639	3.445556372	3041.400	6662.935	4220.508	4220.508
61	Spectrogram 1	2	3.445556372	3.446554104	3041.400	6662.935	4134.375	4134.375
62	Spectrogram 1	2	3.446554104	3.447551836	3041.400	6662.935	4134.375	4134.375
63	Spectrogram 1	2	3.447551836	3.448549569	3041.400	6662.935	4134.375	4134.375
64	Spectrogram 1	2	3.448549569	3.449547301	3041.400	6662.935	4134.375	4134.375
65	Spectrogram 1	2	3.449547301	3.450545034	3041.400	6662.935	4134.375	4134.375
66	Spectrogram 1	2	3.450545034	3.451542766	3041.400	6662.935	4134.375	4134.375
67	Spectrogram 1	2	3.451542766	3.452540499	3041.400	6662.935	4134.375	4134.375
68	Spectrogram 1	2	3.452540499	3.453538231	3041.400	6662.935	4134.375	4134.375
69	Spectrogram 1	2	3.453538231	3.454535963	3041.400	6662.935	4134.375	4134.375
70	Spectrogram 1	2	3.454535963	3.455533696	3041.400	6662.935	4134.375	4134.375
71	Spectrogram 1	2	3.455533696	3.456531428	3041.400	6662.935	4134.375	4134.375
72	Spectrogram 1	2	3.456531428	3.457529161	3041.400	6662.935	4048.242	4048.242
73	Spectrogram 1	2	3.457529161	3.458526893	3041.400	6662.935	4048.242	4048.242
74	Spectrogram 1	2	3.458526893	3.459524626	3041.400	6662.935	4048.242	4048.242
