Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	3.061794132	3.062791864	2837.658	6326.582	4823.438	4995.703
2	Spectrogram 1	1	3.062791864	3.063789597	2837.658	6326.582	4823.438	4995.703
3	Spectrogram 1	1	3.063789597	3.064787329	2837.658	6326.582	4823.438	4995.703
4	Spectrogram 1	1	3.064787329	3.065785062	2837.658	6326.582	4823.438	4995.703
5	Spectrogram 1	1	3.065785062	3.066782794	2837.658	6326.582	4823.438	4995.703
6	Spectrogram 1	1	3.066782794	3.067780527	2837.658	6326.582	4823.438	4995.703
7	Spectrogram 1	1	3.067780527	3.068778259	2837.658	6326.582	5340.234	5340.234
8	Spectrogram 1	1	3.068778259	3.069775991	2837.658	6326.582	5340.234	5340.234
9	Spectrogram 1	1	3.069775991	3.070773724	2837.658	6326.582	5340.234	5340.234
10	Spectrogram 1	1	3.070773724	3.071771456	2837.658	6326.582	5340.234	5340.234
11	Spectrogram 1	1	3.071771456	3.072769189	2837.658	6326.582	5340.234	5340.234
12	Spectrogram 1	1	3.072769189	3.073766921	2837.658	6326.582	5340.234	5340.234
13	Spectrogram 1	1	3.073766921	3.074764654	2837.658	6326.582	5426.367	5426.367
14	Spectrogram 1	1	3.074764654	3.075762386	2837.658	6326.582	5426.367	5426.367
15	Spectrogram 1	1	3.075762386	3.076760118	2837.658	6326.582	5426.367	5426.367
16	Spectrogram 1	1	3.076760118	3.077757851	2837.658	6326.582	5426.367	5426.367
17	Spectrogram 1	1	3.077757851	3.078755583	2837.658	6326.582	5426.367	5426.367
18	Spectrogram 1	1	3.078755583	3.079753316	2837.658	6326.582	5426.367	5426.367
19	Spectrogram 1	1	3.079753316	3.080751048	2837.658	6326.582	5512.500	5512.500
20	Spectrogram 1	1	3.080751048	3.081748781	2837.658	6326.582	5512.500	5512.500
21	Spectrogram 1	1	3.081748781	3.082746513	2837.658	6326.582	5512.500	5512.500
22	Spectrogram 1	1	3.082746513	3.083744245	2837.658	6326.582	5512.500	5512.500
23	Spectrogram 1	1	3.083744245	3.084741978	2837.658	6326.582	5512.500	5512.500
24	Spectrogram 1	1	3.084741978	3.085739710	2837.658	6326.582	5512.500	5512.500
25	Spectrogram 1	1	3.085739710	3.086737443	2837.658	6326.582	5426.367	5340.234
26	Spectrogram 1	1	3.086737443	3.087735175	2837.658	6326.582	5426.367	5340.234
27	Spectrogram 1	1	3.087735175	3.088732908	2837.658	6326.582	5426.367	5340.234
28	Spectrogram 1	1	3.088732908	3.089730640	2837.658	6326.582	5426.367	5340.234
29	Spectrogram 1	1	3.089730640	3.090728372	2837.658	6326.582	5426.367	5340.234
30	Spectrogram 1	1	3.090728372	3.091726105	2837.658	6326.582	5254.102	5167.969
31	Spectrogram 1	1	3.091726105	3.092723837	2837.658	6326.582	5254.102	5167.969
32	Spectrogram 1	1	3.092723837	3.093721570	2837.658	6326.582	5254.102	5167.969
33	Spectrogram 1	1	3.093721570	3.094719302	2837.658	6326.582	5254.102	5167.969
34	Spectrogram 1	1	3.094719302	3.095717034	2837.658	6326.582	5254.102	5167.969
35	Spectrogram 1	1	3.095717034	3.096714767	2837.658	6326.582	5254.102	5167.969
36	Spectrogram 1	1	3.096714767	3.097712499	2837.658	6326.582	4995.703	4995.703
37	Spectrogram 1	1	3.097712499	3.098710232	2837.658	6326.582	4995.703	4995.703
38	Spectrogram 1	1	3.098710232	3.099707964	2837.658	6326.582	4995.703	4995.703
39	Spectrogram 1	1	3.099707964	3.100705697	2837.658	6326.582	4995.703	4995.703
40	Spectrogram 1	1	3.100705697	3.101703429	2837.658	6326.582	4995.703	4995.703
41	Spectrogram 1	1	3.101703429	3.102701161	2837.658	6326.582	4995.703	4995.703
42	Spectrogram 1	1	3.102701161	3.103698894	2837.658	6326.582	4651.172	4651.172
43	Spectrogram 1	1	3.103698894	3.104696626	2837.658	6326.582	4651.172	4651.172
44	Spectrogram 1	1	3.104696626	3.105694359	2837.658	6326.582	4651.172	4651.172
45	Spectrogram 1	1	3.105694359	3.106692091	2837.658	6326.582	4651.172	4651.172
46	Spectrogram 1	1	3.106692091	3.107689824	2837.658	6326.582	4651.172	4651.172
47	Spectrogram 1	1	3.107689824	3.108687556	2837.658	6326.582	4651.172	4651.172
48	Spectrogram 1	1	3.108687556	3.109685288	2837.658	6326.582	4392.773	4392.773
49	Spectrogram 1	1	3.109685288	3.110683021	2837.658	6326.582	4392.773	4392.773
50	Spectrogram 1	1	3.110683021	3.111680753	2837.658	6326.582	4392.773	4392.773
51	Spectrogram 1	1	3.111680753	3.112678486	2837.658	6326.582	4392.773	4392.773
52	Spectrogram 1	1	3.112678486	3.113676218	2837.658	6326.582	4392.773	4392.773
53	Spectrogram 1	1	3.113676218	3.114673951	2837.658	6326.582	4392.773	4392.773
54	Spectrogram 1	1	3.114673951	3.115671683	2837.658	6326.582	4220.508	4220.508
55	Spectrogram 1	1	3.115671683	3.116669415	2837.658	6326.582	4220.508	4220.508
56	Spectrogram 1	1	3.116669415	3.117667148	2837.658	6326.582	4220.508	4220.508
57	Spectrogram 1	1	3.117667148	3.118664880	2837.658	6326.582	4220.508	4220.508
58	Spectrogram 1	1	3.118664880	3.119662613	2837.658	6326.582	4220.508	4220.508
59	Spectrogram 1	1	3.119662613	3.120660345	2837.658	6326.582	4220.508	4220.508
60	Spectrogram 1	1	3.120660345	3.121658078	2837.658	6326.582	4134.375	4134.375
61	Spectrogram 1	1	3.121658078	3.122655810	2837.658	6326.582	4134.375	4134.375
62	Spectrogram 1	1	3.122655810	3.123653542	2837.658	6326.582	4134.375	4134.375
63	Spectrogram 1	1	3.123653542	3.124651275	2837.658	6326.582	4134.375	4134.375
64	Spectrogram 1	1	3.124651275	3.125649007	2837.658	6326.582	4134.375	4134.375
65	Spectrogram 1	1	3.125649007	3.126646740	2837.658	6326.582	4048.242	4048.242
66	Spectrogram 1	1	3.126646740	3.127644472	2837.658	6326.582	4048.242	4048.242
67	Spectrogram 1	1	3.127644472	3.128642205	2837.658	6326.582	4048.242	4048.242
68	Spectrogram 1	1	3.128642205	3.129639937	2837.658	6326.582	4048.242	4048.242
69	Spectrogram 1	1	3.129639937	3.130637669	2837.658	6326.582	4048.242	4048.242
70	Spectrogram 1	1	3.130637669	3.131635402	2837.658	6326.582	4048.242	4048.242
71	Spectrogram 1	1	3.131635402	3.132633134	2837.658	6326.582	4048.242	4048.242
72	Spectrogram 1	1	3.132633134	3.133630867	2837.658	6326.582	4048.242	4048.242
73	Spectrogram 1	1	3.133630867	3.134628599	2837.658	6326.582	4048.242	4048.242
74	Spectrogram 1	1	3.134628599	3.135626332	2837.658	6326.582	4048.242	4048.242
75	Spectrogram 1	1	3.135626332	3.136624064	2837.658	6326.582	4048.242	4048.242
76	Spectrogram 1	1	3.136624064	3.137621796	2837.658	6326.582	4048.242	4048.242
77	Spectrogram 1	1	3.137621796	3.138619529	2837.658	6326.582	4048.242	4048.242
78	Spectrogram 1	1	3.138619529	3.139617261	2837.658	6326.582	4048.242	4048.242
79	Spectrogram 1	1	3.139617261	3.140614994	2837.658	6326.582	4048.242	4048.242
80	Spectrogram 1	1	3.140614994	3.141612726	2837.658	6326.582	4048.242	4048.242
81	Spectrogram 1	1	3.141612726	3.142610459	2837.658	6326.582	4048.242	4048.242
82	Spectrogram 1	1	3.142610459	3.143608191	2837.658	6326.582	4048.242	4048.242
83	Spectrogram 1	1	3.143608191	3.144605923	2837.658	6326.582	4048.242	4048.242
84	Spectrogram 1	1	3.144605923	3.145603656	2837.658	6326.582	4048.242	4048.242
85	Spectrogram 1	1	3.145603656	3.146601388	2837.658	6326.582	4048.242	4048.242
86	Spectrogram 1	1	3.146601388	3.147599121	2837.658	6326.582	4048.242	4048.242
87	Spectrogram 1	1	3.147599121	3.148596853	2837.658	6326.582	4048.242	4048.242
88	Spectrogram 1	1	3.148596853	3.149594586	2837.658	6326.582	4048.242	4048.242
89	Spectrogram 1	1	3.149594586	3.150592318	2837.658	6326.582	4392.773	4392.773
90	Spectrogram 1	1	3.150592318	3.151590050	2837.658	6326.582	4392.773	4392.773
91	Spectrogram 1	1	3.151590050	3.152587783	2837.658	6326.582	4392.773	4392.773
92	Spectrogram 1	1	3.152587783	3.153585515	2837.658	6326.582	4392.773	4392.773
93	Spectrogram 1	1	3.153585515	3.154583248	2837.658	6326.582	4392.773	4392.773
94	Spectrogram 1	1	3.154583248	3.155580980	2837.658	6326.582	4392.773	4392.773
95	Spectrogram 1	1	3.155580980	3.156578712	2837.658	6326.582	4392.773	4392.773
96	Spectrogram 1	1	3.156578712	3.157576445	2837.658	6326.582	4392.773	4392.773
97	Spectrogram 1	1	3.157576445	3.158574177	2837.658	6326.582	4392.773	4392.773
98	Spectrogram 1	1	3.158574177	3.159571910	2837.658	6326.582	4392.773	4392.773
99	Spectrogram 1	1	3.159571910	3.160569642	2837.658	6326.582	4392.773	4392.773
100	Spectrogram 1	1	3.160569642	3.161567375	2837.658	6326.582	4392.773	4392.773
101	Spectrogram 1	1	3.161567375	3.162565107	2837.658	6326.582	4392.773	4392.773
102	Spectrogram 1	1	3.162565107	3.163562839	2837.658	6326.582	4392.773	4392.773
103	Spectrogram 1	1	3.163562839	3.164560572	2837.658	6326.582	4392.773	4392.773
104	Spectrogram 1	1	3.164560572	3.165558304	2837.658	6326.582	4392.773	4392.773
105	Spectrogram 1	1	3.165558304	3.166556037	2837.658	6326.582	4392.773	4392.773
106	Spectrogram 1	1	3.166556037	3.167553769	2837.658	6326.582	4392.773	4392.773
107	Spectrogram 1	1	3.167553769	3.168551502	2837.658	6326.582	4392.773	4392.773
108	Spectrogram 1	1	3.168551502	3.169549234	2837.658	6326.582	4392.773	4392.773
109	Spectrogram 1	1	3.169549234	3.170546966	2837.658	6326.582	4392.773	4392.773
110	Spectrogram 1	1	3.170546966	3.171544699	2837.658	6326.582	4392.773	4392.773
111	Spectrogram 1	1	3.171544699	3.172542431	2837.658	6326.582	4392.773	4392.773
112	Spectrogram 1	1	3.172542431	3.173540164	2837.658	6326.582	4306.641	4392.773
113	Spectrogram 1	1	3.173540164	3.174537896	2837.658	6326.582	4306.641	4392.773
114	Spectrogram 1	1	3.174537896	3.175535629	2837.658	6326.582	4306.641	4392.773
115	Spectrogram 1	1	3.175535629	3.176533361	2837.658	6326.582	4306.641	4392.773
116	Spectrogram 1	1	3.176533361	3.177531093	2837.658	6326.582	4306.641	4392.773
117	Spectrogram 1	1	3.177531093	3.178528826	2837.658	6326.582	4306.641	4392.773
118	Spectrogram 1	1	3.178528826	3.179526558	2837.658	6326.582	4220.508	4306.641
119	Spectrogram 1	1	3.179526558	3.180524291	2837.658	6326.582	4220.508	4306.641
120	Spectrogram 1	1	3.180524291	3.181522023	2837.658	6326.582	4220.508	4306.641
121	Spectrogram 1	1	3.181522023	3.182519756	2837.658	6326.582	4220.508	4306.641
122	Spectrogram 1	1	3.182519756	3.183517488	2837.658	6326.582	4220.508	4306.641
123	Spectrogram 1	1	3.183517488	3.184515220	2837.658	6326.582	4220.508	4306.641
124	Spectrogram 1	1	3.184515220	3.185512953	2837.658	6326.582	3531.445	3445.312
125	Spectrogram 1	1	3.185512953	3.186510685	2837.658	6326.582	3531.445	3445.312
126	Spectrogram 1	1	3.186510685	3.187508418	2837.658	6326.582	3531.445	3445.312
127	Spectrogram 1	1	3.187508418	3.188506150	2837.658	6326.582	3531.445	3445.312
128	Spectrogram 1	1	3.188506150	3.189503883	2837.658	6326.582	3531.445	3445.312
129	Spectrogram 1	1	3.189503883	3.190501615	2837.658	6326.582	3445.312	3445.312
130	Spectrogram 1	1	3.190501615	3.191499347	2837.658	6326.582	3445.312	3445.312
131	Spectrogram 1	1	3.191499347	3.192497080	2837.658	6326.582	3445.312	3445.312
132	Spectrogram 1	1	3.192497080	3.193494812	2837.658	6326.582	3445.312	3445.312
133	Spectrogram 1	1	3.193494812	3.194492545	2837.658	6326.582	3445.312	3445.312
134	Spectrogram 1	1	3.194492545	3.195490277	2837.658	6326.582	3445.312	3445.312
135	Spectrogram 1	1	3.195490277	3.196488010	2837.658	6326.582	3445.312	3445.312
136	Spectrogram 1	1	3.196488010	3.197485742	2837.658	6326.582	3445.312	3445.312
137	Spectrogram 1	1	3.197485742	3.198483474	2837.658	6326.582	3445.312	3445.312
138	Spectrogram 1	1	3.198483474	3.199481207	2837.658	6326.582	3445.312	3445.312
139	Spectrogram 1	1	3.199481207	3.200478939	2837.658	6326.582	3445.312	3445.312
