Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	49.370788296	49.371786028	3167.182	6214.900	3962.109	3875.977
2	Spectrogram 1	1	49.371786028	49.372783761	3167.182	6214.900	3962.109	3875.977
3	Spectrogram 1	1	49.372783761	49.373781493	3167.182	6214.900	3962.109	3875.977
4	Spectrogram 1	1	49.373781493	49.374779226	3167.182	6214.900	3962.109	3875.977
5	Spectrogram 1	1	49.374779226	49.375776958	3167.182	6214.900	4478.906	4392.773
6	Spectrogram 1	1	49.375776958	49.376774691	3167.182	6214.900	4478.906	4392.773
7	Spectrogram 1	1	49.376774691	49.377772423	3167.182	6214.900	4478.906	4392.773
8	Spectrogram 1	1	49.377772423	49.378770155	3167.182	6214.900	4478.906	4392.773
9	Spectrogram 1	1	49.378770155	49.379767888	3167.182	6214.900	4478.906	4392.773
10	Spectrogram 1	1	49.379767888	49.380765620	3167.182	6214.900	4651.172	4651.172
11	Spectrogram 1	1	49.380765620	49.381763353	3167.182	6214.900	4651.172	4651.172
12	Spectrogram 1	1	49.381763353	49.382761085	3167.182	6214.900	4651.172	4651.172
13	Spectrogram 1	1	49.382761085	49.383758818	3167.182	6214.900	4651.172	4651.172
14	Spectrogram 1	1	49.383758818	49.384756550	3167.182	6214.900	4651.172	4651.172
15	Spectrogram 1	1	49.384756550	49.385754282	3167.182	6214.900	4651.172	4651.172
16	Spectrogram 1	1	49.385754282	49.386752015	3167.182	6214.900	4651.172	4651.172
17	Spectrogram 1	1	49.386752015	49.387749747	3167.182	6214.900	4651.172	4651.172
18	Spectrogram 1	1	49.387749747	49.388747480	3167.182	6214.900	4651.172	4651.172
19	Spectrogram 1	1	49.388747480	49.389745212	3167.182	6214.900	4651.172	4651.172
20	Spectrogram 1	1	49.389745212	49.390742945	3167.182	6214.900	4651.172	4651.172
21	Spectrogram 1	1	49.390742945	49.391740677	3167.182	6214.900	4651.172	4651.172
22	Spectrogram 1	1	49.391740677	49.392738409	3167.182	6214.900	5081.836	5081.836
23	Spectrogram 1	1	49.392738409	49.393736142	3167.182	6214.900	5081.836	5081.836
24	Spectrogram 1	1	49.393736142	49.394733874	3167.182	6214.900	5081.836	5081.836
25	Spectrogram 1	1	49.394733874	49.395731607	3167.182	6214.900	5081.836	5081.836
26	Spectrogram 1	1	49.395731607	49.396729339	3167.182	6214.900	5081.836	5081.836
27	Spectrogram 1	1	49.396729339	49.397727072	3167.182	6214.900	5081.836	5081.836
28	Spectrogram 1	1	49.397727072	49.398724804	3167.182	6214.900	5081.836	5081.836
29	Spectrogram 1	1	49.398724804	49.399722536	3167.182	6214.900	5081.836	5081.836
30	Spectrogram 1	1	49.399722536	49.400720269	3167.182	6214.900	5081.836	5081.836
31	Spectrogram 1	1	49.400720269	49.401718001	3167.182	6214.900	5081.836	5081.836
32	Spectrogram 1	1	49.401718001	49.402715734	3167.182	6214.900	5081.836	5081.836
33	Spectrogram 1	1	49.402715734	49.403713466	3167.182	6214.900	5081.836	5081.836
34	Spectrogram 1	1	49.403713466	49.404711198	3167.182	6214.900	5081.836	5081.836
35	Spectrogram 1	1	49.404711198	49.405708931	3167.182	6214.900	5081.836	5081.836
36	Spectrogram 1	1	49.405708931	49.406706663	3167.182	6214.900	5081.836	5081.836
