Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.864802206	5.865802206	3441.500	6650.200	5718.750	5625.000
2	Spectrogram 1	1	5.865802206	5.866802206	3441.500	6650.200	5718.750	5625.000
3	Spectrogram 1	1	5.866802206	5.867802206	3441.500	6650.200	5718.750	5625.000
4	Spectrogram 1	1	5.867802206	5.868802206	3441.500	6650.200	5718.750	5625.000
5	Spectrogram 1	1	5.868802206	5.869802206	3441.500	6650.200	5718.750	5625.000
6	Spectrogram 1	1	5.869802206	5.870802206	3441.500	6650.200	5718.750	5625.000
7	Spectrogram 1	1	5.870802206	5.871802206	3441.500	6650.200	5718.750	5625.000
8	Spectrogram 1	1	5.871802206	5.872802206	3441.500	6650.200	5718.750	5625.000
9	Spectrogram 1	1	5.872802206	5.873802206	3441.500	6650.200	5718.750	5625.000
10	Spectrogram 1	1	5.873802206	5.874802206	3441.500	6650.200	5718.750	5625.000
11	Spectrogram 1	1	5.874802206	5.875802206	3441.500	6650.200	5250.000	5250.000
12	Spectrogram 1	1	5.875802206	5.876802206	3441.500	6650.200	5250.000	5250.000
13	Spectrogram 1	1	5.876802206	5.877802206	3441.500	6650.200	5250.000	5250.000
14	Spectrogram 1	1	5.877802206	5.878802206	3441.500	6650.200	5250.000	5250.000
15	Spectrogram 1	1	5.878802206	5.879802206	3441.500	6650.200	5250.000	5250.000
16	Spectrogram 1	1	5.879802206	5.880802206	3441.500	6650.200	4781.250	4781.250
17	Spectrogram 1	1	5.880802206	5.881802206	3441.500	6650.200	4781.250	4781.250
18	Spectrogram 1	1	5.881802206	5.882802206	3441.500	6650.200	4781.250	4781.250
19	Spectrogram 1	1	5.882802206	5.883802206	3441.500	6650.200	4781.250	4781.250
20	Spectrogram 1	1	5.883802206	5.884802206	3441.500	6650.200	4781.250	4781.250
21	Spectrogram 1	1	5.884802206	5.885802206	3441.500	6650.200	4781.250	4781.250
22	Spectrogram 1	1	5.885802206	5.886802206	3441.500	6650.200	4781.250	4781.250
23	Spectrogram 1	1	5.886802206	5.887802206	3441.500	6650.200	4781.250	4781.250
24	Spectrogram 1	1	5.887802206	5.888802206	3441.500	6650.200	4781.250	4781.250
25	Spectrogram 1	1	5.888802206	5.889802206	3441.500	6650.200	4781.250	4781.250
26	Spectrogram 1	1	5.889802206	5.890802206	3441.500	6650.200	4781.250	4781.250
27	Spectrogram 1	1	5.890802206	5.891802206	3441.500	6650.200	4687.500	4687.500
28	Spectrogram 1	1	5.891802206	5.892802206	3441.500	6650.200	4687.500	4687.500
29	Spectrogram 1	1	5.892802206	5.893802206	3441.500	6650.200	4687.500	4687.500
30	Spectrogram 1	1	5.893802206	5.894802206	3441.500	6650.200	4687.500	4687.500
31	Spectrogram 1	1	5.894802206	5.895802206	3441.500	6650.200	4687.500	4687.500
32	Spectrogram 1	1	5.895802206	5.896802206	3441.500	6650.200	4593.750	4593.750
33	Spectrogram 1	1	5.896802206	5.897802206	3441.500	6650.200	4593.750	4593.750
34	Spectrogram 1	1	5.897802206	5.898802206	3441.500	6650.200	4593.750	4593.750
35	Spectrogram 1	1	5.898802206	5.899802206	3441.500	6650.200	4593.750	4593.750
36	Spectrogram 1	1	5.899802206	5.900802206	3441.500	6650.200	4593.750	4593.750
37	Spectrogram 1	1	5.900802206	5.901802206	3441.500	6650.200	4593.750	4593.750
38	Spectrogram 1	1	5.901802206	5.902802206	3441.500	6650.200	4500.000	4500.000
39	Spectrogram 1	1	5.902802206	5.903802206	3441.500	6650.200	4500.000	4500.000
40	Spectrogram 1	1	5.903802206	5.904802206	3441.500	6650.200	4500.000	4500.000
41	Spectrogram 1	1	5.904802206	5.905802206	3441.500	6650.200	4500.000	4500.000
42	Spectrogram 1	1	5.905802206	5.906802206	3441.500	6650.200	4500.000	4500.000
43	Spectrogram 1	1	5.906802206	5.907802206	3441.500	6650.200	4500.000	4500.000
44	Spectrogram 1	1	5.907802206	5.908802206	3441.500	6650.200	4500.000	4500.000
45	Spectrogram 1	1	5.908802206	5.909802206	3441.500	6650.200	4500.000	4500.000
46	Spectrogram 1	1	5.909802206	5.910802206	3441.500	6650.200	4500.000	4500.000
47	Spectrogram 1	1	5.910802206	5.911802206	3441.500	6650.200	4500.000	4500.000
48	Spectrogram 1	1	5.911802206	5.912802206	3441.500	6650.200	4406.250	4406.250
49	Spectrogram 1	1	5.912802206	5.913802206	3441.500	6650.200	4406.250	4406.250
50	Spectrogram 1	1	5.913802206	5.914802206	3441.500	6650.200	4406.250	4406.250
51	Spectrogram 1	1	5.914802206	5.915802206	3441.500	6650.200	4406.250	4406.250
52	Spectrogram 1	1	5.915802206	5.916802206	3441.500	6650.200	4406.250	4406.250
53	Spectrogram 1	1	5.916802206	5.917802206	3441.500	6650.200	4406.250	4406.250
54	Spectrogram 1	1	5.917802206	5.918802206	3441.500	6650.200	4312.500	4312.500
55	Spectrogram 1	1	5.918802206	5.919802206	3441.500	6650.200	4312.500	4312.500
