Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	4.585667592	4.586667592	2655.738	6579.200	4312.500	4312.500
2	Spectrogram 1	1	4.586667592	4.587667592	2655.738	6579.200	4312.500	4312.500
3	Spectrogram 1	1	4.587667592	4.588667592	2655.738	6579.200	4312.500	4312.500
4	Spectrogram 1	1	4.588667592	4.589667592	2655.738	6579.200	4312.500	4312.500
5	Spectrogram 1	1	4.589667592	4.590667592	2655.738	6579.200	4312.500	4312.500
6	Spectrogram 1	1	4.590667592	4.591667592	2655.738	6579.200	4875.000	4875.000
7	Spectrogram 1	1	4.591667592	4.592667592	2655.738	6579.200	4875.000	4875.000
8	Spectrogram 1	1	4.592667592	4.593667592	2655.738	6579.200	4875.000	4875.000
9	Spectrogram 1	1	4.593667592	4.594667592	2655.738	6579.200	5062.500	5062.500
10	Spectrogram 1	1	4.594667592	4.595667592	2655.738	6579.200	5062.500	5062.500
11	Spectrogram 1	1	4.595667592	4.596667592	2655.738	6579.200	5250.000	5250.000
12	Spectrogram 1	1	4.596667592	4.597667592	2655.738	6579.200	5250.000	5250.000
13	Spectrogram 1	1	4.597667592	4.598667592	2655.738	6579.200	5250.000	5250.000
14	Spectrogram 1	1	4.598667592	4.599667592	2655.738	6579.200	5437.500	5437.500
15	Spectrogram 1	1	4.599667592	4.600667592	2655.738	6579.200	5437.500	5437.500
16	Spectrogram 1	1	4.600667592	4.601667592	2655.738	6579.200	5437.500	5437.500
17	Spectrogram 1	1	4.601667592	4.602667592	2655.738	6579.200	5437.500	5437.500
18	Spectrogram 1	1	4.602667592	4.603667592	2655.738	6579.200	5437.500	5437.500
19	Spectrogram 1	1	4.603667592	4.604667592	2655.738	6579.200	5250.000	5250.000
20	Spectrogram 1	1	4.604667592	4.605667592	2655.738	6579.200	5250.000	5250.000
21	Spectrogram 1	1	4.605667592	4.606667592	2655.738	6579.200	5250.000	5250.000
22	Spectrogram 1	1	4.606667592	4.607667592	2655.738	6579.200	5250.000	5250.000
23	Spectrogram 1	1	4.607667592	4.608667592	2655.738	6579.200	5250.000	5250.000
24	Spectrogram 1	1	4.608667592	4.609667592	2655.738	6579.200	5250.000	5250.000
25	Spectrogram 1	1	4.609667592	4.610667592	2655.738	6579.200	5062.500	5062.500
26	Spectrogram 1	1	4.610667592	4.611667592	2655.738	6579.200	5062.500	5062.500
27	Spectrogram 1	1	4.611667592	4.612667592	2655.738	6579.200	4875.000	4875.000
