Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	62.742081941	62.743079673	3230.300	6460.700	4737.305	3445.312
2	Spectrogram 1	2	62.743079673	62.744077406	3230.300	6460.700	6029.297	6029.297
3	Spectrogram 1	2	62.744077406	62.745075138	3230.300	6460.700	6029.297	6029.297
4	Spectrogram 1	2	62.745075138	62.746072871	3230.300	6460.700	6029.297	6029.297
5	Spectrogram 1	2	62.746072871	62.747070603	3230.300	6460.700	6029.297	6029.297
6	Spectrogram 1	2	62.747070603	62.748068336	3230.300	6460.700	6029.297	6029.297
7	Spectrogram 1	2	62.748068336	62.749066068	3230.300	6460.700	6029.297	6029.297
8	Spectrogram 1	2	62.749066068	62.750063800	3230.300	6460.700	5770.898	5684.766
9	Spectrogram 1	2	62.750063800	62.751061533	3230.300	6460.700	5770.898	5684.766
10	Spectrogram 1	2	62.751061533	62.752059265	3230.300	6460.700	5770.898	5684.766
11	Spectrogram 1	2	62.752059265	62.753056998	3230.300	6460.700	5770.898	5684.766
12	Spectrogram 1	2	62.753056998	62.754054730	3230.300	6460.700	5770.898	5684.766
13	Spectrogram 1	2	62.754054730	62.755052463	3230.300	6460.700	5770.898	5684.766
14	Spectrogram 1	2	62.755052463	62.756050195	3230.300	6460.700	5081.836	5081.836
15	Spectrogram 1	2	62.756050195	62.757047927	3230.300	6460.700	5081.836	5081.836
16	Spectrogram 1	2	62.757047927	62.758045660	3230.300	6460.700	5081.836	5081.836
17	Spectrogram 1	2	62.758045660	62.759043392	3230.300	6460.700	5081.836	5081.836
18	Spectrogram 1	2	62.759043392	62.760041125	3230.300	6460.700	5081.836	5081.836
19	Spectrogram 1	2	62.760041125	62.761038857	3230.300	6460.700	5081.836	5081.836
20	Spectrogram 1	2	62.761038857	62.762036590	3230.300	6460.700	4651.172	4478.906
21	Spectrogram 1	2	62.762036590	62.763034322	3230.300	6460.700	4651.172	4478.906
22	Spectrogram 1	2	62.763034322	62.764032054	3230.300	6460.700	4651.172	4478.906
23	Spectrogram 1	2	62.764032054	62.765029787	3230.300	6460.700	4651.172	4478.906
24	Spectrogram 1	2	62.765029787	62.766027519	3230.300	6460.700	4651.172	4478.906
25	Spectrogram 1	2	62.766027519	62.767025252	3230.300	6460.700	4995.703	5081.836
26	Spectrogram 1	2	62.767025252	62.768022984	3230.300	6460.700	4995.703	5081.836
27	Spectrogram 1	2	62.768022984	62.769020717	3230.300	6460.700	4995.703	5081.836
28	Spectrogram 1	2	62.769020717	62.770018449	3230.300	6460.700	4995.703	5081.836
29	Spectrogram 1	2	62.770018449	62.771016181	3230.300	6460.700	4995.703	5081.836
30	Spectrogram 1	2	62.771016181	62.772013914	3230.300	6460.700	4995.703	5081.836
31	Spectrogram 1	2	62.772013914	62.773011646	3230.300	6460.700	5340.234	5426.367
32	Spectrogram 1	2	62.773011646	62.774009379	3230.300	6460.700	5340.234	5426.367
33	Spectrogram 1	2	62.774009379	62.775007111	3230.300	6460.700	5340.234	5426.367
34	Spectrogram 1	2	62.775007111	62.776004843	3230.300	6460.700	5340.234	5426.367
35	Spectrogram 1	2	62.776004843	62.777002576	3230.300	6460.700	5340.234	5426.367
36	Spectrogram 1	2	62.777002576	62.778000308	3230.300	6460.700	5340.234	5426.367
37	Spectrogram 1	2	62.778000308	62.778998041	3230.300	6460.700	5081.836	5081.836
38	Spectrogram 1	2	62.778998041	62.779995773	3230.300	6460.700	5081.836	5081.836
39	Spectrogram 1	2	62.779995773	62.780993506	3230.300	6460.700	5081.836	5081.836
40	Spectrogram 1	2	62.780993506	62.781991238	3230.300	6460.700	5081.836	5081.836
41	Spectrogram 1	2	62.781991238	62.782988970	3230.300	6460.700	5081.836	5081.836
42	Spectrogram 1	2	62.782988970	62.783986703	3230.300	6460.700	5081.836	5081.836
43	Spectrogram 1	2	62.783986703	62.784984435	3230.300	6460.700	4995.703	4995.703
44	Spectrogram 1	2	62.784984435	62.785982168	3230.300	6460.700	4995.703	4995.703
45	Spectrogram 1	2	62.785982168	62.786979900	3230.300	6460.700	4995.703	4995.703
46	Spectrogram 1	2	62.786979900	62.787977633	3230.300	6460.700	4995.703	4995.703
47	Spectrogram 1	2	62.787977633	62.788975365	3230.300	6460.700	4995.703	4995.703
48	Spectrogram 1	2	62.788975365	62.789973097	3230.300	6460.700	4995.703	4995.703
49	Spectrogram 1	2	62.789973097	62.790970830	3230.300	6460.700	4651.172	4565.039
50	Spectrogram 1	2	62.790970830	62.791968562	3230.300	6460.700	4651.172	4565.039
51	Spectrogram 1	2	62.791968562	62.792966295	3230.300	6460.700	4651.172	4565.039
52	Spectrogram 1	2	62.792966295	62.793964027	3230.300	6460.700	4651.172	4565.039
53	Spectrogram 1	2	62.793964027	62.794961760	3230.300	6460.700	4651.172	4565.039
54	Spectrogram 1	2	62.794961760	62.795959492	3230.300	6460.700	4306.641	4048.242
55	Spectrogram 1	2	62.795959492	62.796957224	3230.300	6460.700	4306.641	4048.242
56	Spectrogram 1	2	62.796957224	62.797954957	3230.300	6460.700	4306.641	4048.242
57	Spectrogram 1	2	62.797954957	62.798952689	3230.300	6460.700	4306.641	4048.242
58	Spectrogram 1	2	62.798952689	62.799950422	3230.300	6460.700	4306.641	4048.242
59	Spectrogram 1	2	62.799950422	62.800948154	3230.300	6460.700	4306.641	4048.242
60	Spectrogram 1	2	62.800948154	62.801945887	3230.300	6460.700	3962.109	3789.844
61	Spectrogram 1	2	62.801945887	62.802943619	3230.300	6460.700	3962.109	3789.844
62	Spectrogram 1	2	62.802943619	62.803941351	3230.300	6460.700	3962.109	3789.844
63	Spectrogram 1	2	62.803941351	62.804939084	3230.300	6460.700	3962.109	3789.844
64	Spectrogram 1	2	62.804939084	62.805936816	3230.300	6460.700	3962.109	3789.844
65	Spectrogram 1	2	62.805936816	62.806934549	3230.300	6460.700	3962.109	3789.844
66	Spectrogram 1	2	62.806934549	62.807932281	3230.300	6460.700	3962.109	3789.844
67	Spectrogram 1	2	62.807932281	62.808930014	3230.300	6460.700	3962.109	3789.844
68	Spectrogram 1	2	62.808930014	62.809927746	3230.300	6460.700	3962.109	3789.844
69	Spectrogram 1	2	62.809927746	62.810925478	3230.300	6460.700	3962.109	3789.844
70	Spectrogram 1	2	62.810925478	62.811923211	3230.300	6460.700	3962.109	3789.844
71	Spectrogram 1	2	62.811923211	62.812920943	3230.300	6460.700	3962.109	3789.844
72	Spectrogram 1	2	62.812920943	62.813918676	3230.300	6460.700	3703.711	3617.578
73	Spectrogram 1	2	62.813918676	62.814916408	3230.300	6460.700	3703.711	3617.578
74	Spectrogram 1	2	62.814916408	62.815914141	3230.300	6460.700	3703.711	3617.578
75	Spectrogram 1	2	62.815914141	62.816911873	3230.300	6460.700	3703.711	3617.578
76	Spectrogram 1	2	62.816911873	62.817909605	3230.300	6460.700	3703.711	3617.578
77	Spectrogram 1	2	62.817909605	62.818907338	3230.300	6460.700	3703.711	3617.578
78	Spectrogram 1	2	62.818907338	62.819905070	3230.300	6460.700	3962.109	3617.578
79	Spectrogram 1	2	62.819905070	62.820902803	3230.300	6460.700	3962.109	3617.578
80	Spectrogram 1	2	62.820902803	62.821900535	3230.300	6460.700	3962.109	3617.578
81	Spectrogram 1	2	62.821900535	62.822898268	3230.300	6460.700	3962.109	3617.578
82	Spectrogram 1	2	62.822898268	62.823896000	3230.300	6460.700	3962.109	3617.578
83	Spectrogram 1	2	62.823896000	62.824893732	3230.300	6460.700	3962.109	3617.578
84	Spectrogram 1	2	62.824893732	62.825891465	3230.300	6460.700	3875.977	3617.578
85	Spectrogram 1	2	62.825891465	62.826889197	3230.300	6460.700	3875.977	3617.578
86	Spectrogram 1	2	62.826889197	62.827886930	3230.300	6460.700	3875.977	3617.578
87	Spectrogram 1	2	62.827886930	62.828884662	3230.300	6460.700	3875.977	3617.578
88	Spectrogram 1	2	62.828884662	62.829882395	3230.300	6460.700	3875.977	3617.578
89	Spectrogram 1	2	62.829882395	62.830880127	3230.300	6460.700	4823.438	3789.844
90	Spectrogram 1	2	62.830880127	62.831877859	3230.300	6460.700	4823.438	3789.844
91	Spectrogram 1	2	62.831877859	62.832875592	3230.300	6460.700	4823.438	3789.844
92	Spectrogram 1	2	62.832875592	62.833873324	3230.300	6460.700	4823.438	3789.844
93	Spectrogram 1	2	62.833873324	62.834871057	3230.300	6460.700	4823.438	3789.844
94	Spectrogram 1	2	62.834871057	62.835868789	3230.300	6460.700	4823.438	3789.844
95	Spectrogram 1	2	62.835868789	62.836866521	3230.300	6460.700	4220.508	3875.977
96	Spectrogram 1	2	62.836866521	62.837864254	3230.300	6460.700	4220.508	3875.977
97	Spectrogram 1	2	62.837864254	62.838861986	3230.300	6460.700	4220.508	3875.977
98	Spectrogram 1	2	62.838861986	62.839859719	3230.300	6460.700	4220.508	3875.977
99	Spectrogram 1	2	62.839859719	62.840857451	3230.300	6460.700	4220.508	3875.977
100	Spectrogram 1	2	62.840857451	62.841855184	3230.300	6460.700	4220.508	3875.977
101	Spectrogram 1	2	62.841855184	62.842852916	3230.300	6460.700	3789.844	3789.844
102	Spectrogram 1	2	62.842852916	62.843850648	3230.300	6460.700	3789.844	3789.844
103	Spectrogram 1	2	62.843850648	62.844848381	3230.300	6460.700	3789.844	3789.844
104	Spectrogram 1	2	62.844848381	62.845846113	3230.300	6460.700	3789.844	3789.844
105	Spectrogram 1	2	62.845846113	62.846843846	3230.300	6460.700	3789.844	3789.844
106	Spectrogram 1	2	62.846843846	62.847841578	3230.300	6460.700	3789.844	3789.844
107	Spectrogram 1	2	62.847841578	62.848839311	3230.300	6460.700	3789.844	3789.844
108	Spectrogram 1	2	62.848839311	62.849837043	3230.300	6460.700	3789.844	3789.844
109	Spectrogram 1	2	62.849837043	62.850834775	3230.300	6460.700	3789.844	3789.844
110	Spectrogram 1	2	62.850834775	62.851832508	3230.300	6460.700	3789.844	3789.844
111	Spectrogram 1	2	62.851832508	62.852830240	3230.300	6460.700	3789.844	3789.844
112	Spectrogram 1	2	62.852830240	62.853827973	3230.300	6460.700	3789.844	3789.844
113	Spectrogram 1	2	62.853827973	62.854825705	3230.300	6460.700	3531.445	3531.445
114	Spectrogram 1	2	62.854825705	62.855823438	3230.300	6460.700	3531.445	3531.445
115	Spectrogram 1	2	62.855823438	62.856821170	3230.300	6460.700	3531.445	3531.445
116	Spectrogram 1	2	62.856821170	62.857818902	3230.300	6460.700	3531.445	3531.445
117	Spectrogram 1	2	62.857818902	62.858816635	3230.300	6460.700	3531.445	3531.445
118	Spectrogram 1	2	62.858816635	62.859814367	3230.300	6460.700	3617.578	3531.445
119	Spectrogram 1	2	62.859814367	62.860812100	3230.300	6460.700	3617.578	3531.445
120	Spectrogram 1	2	62.860812100	62.861809832	3230.300	6460.700	3617.578	3531.445
121	Spectrogram 1	2	62.861809832	62.862807565	3230.300	6460.700	3617.578	3531.445
122	Spectrogram 1	2	62.862807565	62.863805297	3230.300	6460.700	3617.578	3531.445
123	Spectrogram 1	2	62.863805297	62.864803029	3230.300	6460.700	3617.578	3531.445
124	Spectrogram 1	2	62.864803029	62.865800762	3230.300	6460.700	3703.711	3703.711
125	Spectrogram 1	2	62.865800762	62.866798494	3230.300	6460.700	3703.711	3703.711
126	Spectrogram 1	2	62.866798494	62.867796227	3230.300	6460.700	3703.711	3703.711
127	Spectrogram 1	2	62.867796227	62.868793959	3230.300	6460.700	3703.711	3703.711
128	Spectrogram 1	2	62.868793959	62.869791692	3230.300	6460.700	3703.711	3703.711
129	Spectrogram 1	2	62.869791692	62.870789424	3230.300	6460.700	3703.711	3703.711
130	Spectrogram 1	2	62.870789424	62.871787156	3230.300	6460.700	3789.844	3531.445
131	Spectrogram 1	2	62.871787156	62.872784889	3230.300	6460.700	3789.844	3531.445
132	Spectrogram 1	2	62.872784889	62.873782621	3230.300	6460.700	3789.844	3531.445
133	Spectrogram 1	2	62.873782621	62.874780354	3230.300	6460.700	3789.844	3531.445
134	Spectrogram 1	2	62.874780354	62.875778086	3230.300	6460.700	3789.844	3531.445
135	Spectrogram 1	2	62.875778086	62.876775819	3230.300	6460.700	3789.844	3531.445
136	Spectrogram 1	2	62.876775819	62.877773551	3230.300	6460.700	3875.977	3531.445
137	Spectrogram 1	2	62.877773551	62.878771283	3230.300	6460.700	3875.977	3531.445
138	Spectrogram 1	2	62.878771283	62.879769016	3230.300	6460.700	3875.977	3531.445
139	Spectrogram 1	2	62.879769016	62.880766748	3230.300	6460.700	3875.977	3531.445
