Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	33.879717350	33.880717350	2648.300	6626.866	6375.000	6375.000
2	Spectrogram 1	1	33.880717350	33.881717350	2648.300	6626.866	6375.000	6375.000
3	Spectrogram 1	1	33.881717350	33.882717350	2648.300	6626.866	6375.000	6375.000
4	Spectrogram 1	1	33.882717350	33.883717350	2648.300	6626.866	6375.000	6375.000
5	Spectrogram 1	1	33.883717350	33.884717350	2648.300	6626.866	6375.000	6375.000
6	Spectrogram 1	1	33.884717350	33.885717350	2648.300	6626.866	6375.000	6375.000
7	Spectrogram 1	1	33.885717350	33.886717350	2648.300	6626.866	6093.750	6281.250
8	Spectrogram 1	1	33.886717350	33.887717350	2648.300	6626.866	6093.750	6281.250
9	Spectrogram 1	1	33.887717350	33.888717350	2648.300	6626.866	6093.750	6281.250
10	Spectrogram 1	1	33.888717350	33.889717350	2648.300	6626.866	6093.750	6281.250
11	Spectrogram 1	1	33.889717350	33.890717350	2648.300	6626.866	6093.750	6281.250
12	Spectrogram 1	1	33.890717350	33.891717350	2648.300	6626.866	4875.000	4875.000
13	Spectrogram 1	1	33.891717350	33.892717350	2648.300	6626.866	4875.000	4875.000
14	Spectrogram 1	1	33.892717350	33.893717350	2648.300	6626.866	4875.000	4875.000
15	Spectrogram 1	1	33.893717350	33.894717350	2648.300	6626.866	4875.000	4875.000
16	Spectrogram 1	1	33.894717350	33.895717350	2648.300	6626.866	4875.000	4875.000
17	Spectrogram 1	1	33.895717350	33.896717350	2648.300	6626.866	4781.250	4687.500
18	Spectrogram 1	1	33.896717350	33.897717350	2648.300	6626.866	4781.250	4687.500
19	Spectrogram 1	1	33.897717350	33.898717350	2648.300	6626.866	4781.250	4687.500
20	Spectrogram 1	1	33.898717350	33.899717350	2648.300	6626.866	4781.250	4687.500
21	Spectrogram 1	1	33.899717350	33.900717350	2648.300	6626.866	4781.250	4687.500
22	Spectrogram 1	1	33.900717350	33.901717350	2648.300	6626.866	4781.250	4687.500
23	Spectrogram 1	1	33.901717350	33.902717350	2648.300	6626.866	4968.750	4968.750
24	Spectrogram 1	1	33.902717350	33.903717350	2648.300	6626.866	4968.750	4968.750
25	Spectrogram 1	1	33.903717350	33.904717350	2648.300	6626.866	4968.750	4968.750
26	Spectrogram 1	1	33.904717350	33.905717350	2648.300	6626.866	4968.750	4968.750
27	Spectrogram 1	1	33.905717350	33.906717350	2648.300	6626.866	4968.750	4968.750
28	Spectrogram 1	1	33.906717350	33.907717350	2648.300	6626.866	5343.750	5437.500
29	Spectrogram 1	1	33.907717350	33.908717350	2648.300	6626.866	5343.750	5437.500
30	Spectrogram 1	1	33.908717350	33.909717350	2648.300	6626.866	5343.750	5437.500
31	Spectrogram 1	1	33.909717350	33.910717350	2648.300	6626.866	5343.750	5437.500
32	Spectrogram 1	1	33.910717350	33.911717350	2648.300	6626.866	5343.750	5437.500
33	Spectrogram 1	1	33.911717350	33.912717350	2648.300	6626.866	5250.000	5250.000
34	Spectrogram 1	1	33.912717350	33.913717350	2648.300	6626.866	5250.000	5250.000
35	Spectrogram 1	1	33.913717350	33.914717350	2648.300	6626.866	5250.000	5250.000
36	Spectrogram 1	1	33.914717350	33.915717350	2648.300	6626.866	5250.000	5250.000
37	Spectrogram 1	1	33.915717350	33.916717350	2648.300	6626.866	5250.000	5250.000
38	Spectrogram 1	1	33.916717350	33.917717350	2648.300	6626.866	5250.000	5250.000
39	Spectrogram 1	1	33.917717350	33.918717350	2648.300	6626.866	4875.000	4968.750
40	Spectrogram 1	1	33.918717350	33.919717350	2648.300	6626.866	4875.000	4968.750
41	Spectrogram 1	1	33.919717350	33.920717350	2648.300	6626.866	4875.000	4968.750
42	Spectrogram 1	1	33.920717350	33.921717350	2648.300	6626.866	4875.000	4968.750
43	Spectrogram 1	1	33.921717350	33.922717350	2648.300	6626.866	4875.000	4968.750
44	Spectrogram 1	1	33.922717350	33.923717350	2648.300	6626.866	4968.750	5062.500
45	Spectrogram 1	1	33.923717350	33.924717350	2648.300	6626.866	4968.750	5062.500
46	Spectrogram 1	1	33.924717350	33.925717350	2648.300	6626.866	4968.750	5062.500
47	Spectrogram 1	1	33.925717350	33.926717350	2648.300	6626.866	4968.750	5062.500
48	Spectrogram 1	1	33.926717350	33.927717350	2648.300	6626.866	4968.750	5062.500
49	Spectrogram 1	1	33.927717350	33.928717350	2648.300	6626.866	4218.750	4218.750
50	Spectrogram 1	1	33.928717350	33.929717350	2648.300	6626.866	4218.750	4218.750
51	Spectrogram 1	1	33.929717350	33.930717350	2648.300	6626.866	4218.750	4218.750
52	Spectrogram 1	1	33.930717350	33.931717350	2648.300	6626.866	4218.750	4218.750
53	Spectrogram 1	1	33.931717350	33.932717350	2648.300	6626.866	4218.750	4218.750
54	Spectrogram 1	1	33.932717350	33.933717350	2648.300	6626.866	4218.750	4218.750
55	Spectrogram 1	1	33.933717350	33.934717350	2648.300	6626.866	4593.750	3937.500
56	Spectrogram 1	1	33.934717350	33.935717350	2648.300	6626.866	4593.750	3937.500
57	Spectrogram 1	1	33.935717350	33.936717350	2648.300	6626.866	4593.750	3937.500
58	Spectrogram 1	1	33.936717350	33.937717350	2648.300	6626.866	4593.750	3937.500
59	Spectrogram 1	1	33.937717350	33.938717350	2648.300	6626.866	4593.750	3937.500
60	Spectrogram 1	1	33.938717350	33.939717350	2648.300	6626.866	3843.750	3843.750
61	Spectrogram 1	1	33.939717350	33.940717350	2648.300	6626.866	3843.750	3843.750
62	Spectrogram 1	1	33.940717350	33.941717350	2648.300	6626.866	3843.750	3843.750
63	Spectrogram 1	1	33.941717350	33.942717350	2648.300	6626.866	3843.750	3843.750
64	Spectrogram 1	1	33.942717350	33.943717350	2648.300	6626.866	3843.750	3843.750
65	Spectrogram 1	1	33.943717350	33.944717350	2648.300	6626.866	4125.000	3562.500
66	Spectrogram 1	1	33.944717350	33.945717350	2648.300	6626.866	4125.000	3562.500
67	Spectrogram 1	1	33.945717350	33.946717350	2648.300	6626.866	4125.000	3562.500
68	Spectrogram 1	1	33.946717350	33.947717350	2648.300	6626.866	4125.000	3562.500
69	Spectrogram 1	1	33.947717350	33.948717350	2648.300	6626.866	4125.000	3562.500
70	Spectrogram 1	1	33.948717350	33.949717350	2648.300	6626.866	4125.000	3562.500
71	Spectrogram 1	1	33.949717350	33.950717350	2648.300	6626.866	3750.000	3562.500
72	Spectrogram 1	1	33.950717350	33.951717350	2648.300	6626.866	3750.000	3562.500
73	Spectrogram 1	1	33.951717350	33.952717350	2648.300	6626.866	3750.000	3562.500
74	Spectrogram 1	1	33.952717350	33.953717350	2648.300	6626.866	3750.000	3562.500
