Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	19.856914750	19.857912482	2952.500	6017.000	4565.039	4651.172
2	Spectrogram 1	1	19.857912482	19.858910215	2952.500	6017.000	4565.039	4651.172
3	Spectrogram 1	1	19.858910215	19.859907947	2952.500	6017.000	4565.039	4651.172
4	Spectrogram 1	1	19.859907947	19.860905680	2952.500	6017.000	4565.039	4651.172
5	Spectrogram 1	1	19.860905680	19.861903412	2952.500	6017.000	4565.039	4651.172
6	Spectrogram 1	1	19.861903412	19.862901145	2952.500	6017.000	4823.438	4823.438
7	Spectrogram 1	1	19.862901145	19.863898877	2952.500	6017.000	4823.438	4823.438
8	Spectrogram 1	1	19.863898877	19.864896609	2952.500	6017.000	4823.438	4823.438
9	Spectrogram 1	1	19.864896609	19.865894342	2952.500	6017.000	4823.438	4823.438
10	Spectrogram 1	1	19.865894342	19.866892074	2952.500	6017.000	4823.438	4823.438
11	Spectrogram 1	1	19.866892074	19.867889807	2952.500	6017.000	4823.438	4823.438
12	Spectrogram 1	1	19.867889807	19.868887539	2952.500	6017.000	5081.836	5081.836
13	Spectrogram 1	1	19.868887539	19.869885272	2952.500	6017.000	5081.836	5081.836
14	Spectrogram 1	1	19.869885272	19.870883004	2952.500	6017.000	5081.836	5081.836
15	Spectrogram 1	1	19.870883004	19.871880736	2952.500	6017.000	5081.836	5081.836
16	Spectrogram 1	1	19.871880736	19.872878469	2952.500	6017.000	5081.836	5081.836
17	Spectrogram 1	1	19.872878469	19.873876201	2952.500	6017.000	4995.703	4995.703
18	Spectrogram 1	1	19.873876201	19.874873934	2952.500	6017.000	4995.703	4995.703
19	Spectrogram 1	1	19.874873934	19.875871666	2952.500	6017.000	4995.703	4995.703
20	Spectrogram 1	1	19.875871666	19.876869399	2952.500	6017.000	4995.703	4995.703
21	Spectrogram 1	1	19.876869399	19.877867131	2952.500	6017.000	4995.703	4995.703
22	Spectrogram 1	1	19.877867131	19.878864863	2952.500	6017.000	4995.703	4995.703
23	Spectrogram 1	1	19.878864863	19.879862596	2952.500	6017.000	4737.305	4651.172
24	Spectrogram 1	1	19.879862596	19.880860328	2952.500	6017.000	4737.305	4651.172
25	Spectrogram 1	1	19.880860328	19.881858061	2952.500	6017.000	4737.305	4651.172
26	Spectrogram 1	1	19.881858061	19.882855793	2952.500	6017.000	4737.305	4651.172
27	Spectrogram 1	1	19.882855793	19.883853526	2952.500	6017.000	4737.305	4651.172
28	Spectrogram 1	1	19.883853526	19.884851258	2952.500	6017.000	4737.305	4651.172
29	Spectrogram 1	1	19.884851258	19.885848990	2952.500	6017.000	4478.906	4565.039
30	Spectrogram 1	1	19.885848990	19.886846723	2952.500	6017.000	4478.906	4565.039
31	Spectrogram 1	1	19.886846723	19.887844455	2952.500	6017.000	4478.906	4565.039
32	Spectrogram 1	1	19.887844455	19.888842188	2952.500	6017.000	4478.906	4565.039
33	Spectrogram 1	1	19.888842188	19.889839920	2952.500	6017.000	4478.906	4565.039
34	Spectrogram 1	1	19.889839920	19.890837652	2952.500	6017.000	4478.906	4565.039
35	Spectrogram 1	1	19.890837652	19.891835385	2952.500	6017.000	4220.508	4220.508
36	Spectrogram 1	1	19.891835385	19.892833117	2952.500	6017.000	4220.508	4220.508
37	Spectrogram 1	1	19.892833117	19.893830850	2952.500	6017.000	4220.508	4220.508
38	Spectrogram 1	1	19.893830850	19.894828582	2952.500	6017.000	4220.508	4220.508
39	Spectrogram 1	1	19.894828582	19.895826315	2952.500	6017.000	4220.508	4220.508
40	Spectrogram 1	1	19.895826315	19.896824047	2952.500	6017.000	4220.508	4220.508
41	Spectrogram 1	1	19.896824047	19.897821779	2952.500	6017.000	3875.977	3875.977
42	Spectrogram 1	1	19.897821779	19.898819512	2952.500	6017.000	3875.977	3875.977
43	Spectrogram 1	1	19.898819512	19.899817244	2952.500	6017.000	3875.977	3875.977
44	Spectrogram 1	1	19.899817244	19.900814977	2952.500	6017.000	3875.977	3875.977
45	Spectrogram 1	1	19.900814977	19.901812709	2952.500	6017.000	3875.977	3875.977
46	Spectrogram 1	1	19.901812709	19.902810442	2952.500	6017.000	3875.977	3875.977
47	Spectrogram 1	1	19.902810442	19.903808174	2952.500	6017.000	3703.711	3703.711
48	Spectrogram 1	1	19.903808174	19.904805906	2952.500	6017.000	3703.711	3703.711
49	Spectrogram 1	1	19.904805906	19.905803639	2952.500	6017.000	3703.711	3703.711
50	Spectrogram 1	1	19.905803639	19.906801371	2952.500	6017.000	3703.711	3703.711
51	Spectrogram 1	1	19.906801371	19.907799104	2952.500	6017.000	3703.711	3703.711
52	Spectrogram 1	1	19.907799104	19.908796836	2952.500	6017.000	3617.578	3617.578
53	Spectrogram 1	1	19.908796836	19.909794569	2952.500	6017.000	3617.578	3617.578
54	Spectrogram 1	1	19.909794569	19.910792301	2952.500	6017.000	3617.578	3617.578
55	Spectrogram 1	1	19.910792301	19.911790033	2952.500	6017.000	3617.578	3617.578
56	Spectrogram 1	1	19.911790033	19.912787766	2952.500	6017.000	3617.578	3617.578
57	Spectrogram 1	1	19.912787766	19.913785498	2952.500	6017.000	3617.578	3617.578
58	Spectrogram 1	1	19.913785498	19.914783231	2952.500	6017.000	3531.445	3531.445
59	Spectrogram 1	1	19.914783231	19.915780963	2952.500	6017.000	3531.445	3531.445
60	Spectrogram 1	1	19.915780963	19.916778696	2952.500	6017.000	3531.445	3531.445
61	Spectrogram 1	1	19.916778696	19.917776428	2952.500	6017.000	3531.445	3531.445
62	Spectrogram 1	1	19.917776428	19.918774160	2952.500	6017.000	3531.445	3531.445
63	Spectrogram 1	1	19.918774160	19.919771893	2952.500	6017.000	3531.445	3531.445
64	Spectrogram 1	1	19.919771893	19.920769625	2952.500	6017.000	3531.445	3531.445
65	Spectrogram 1	1	19.920769625	19.921767358	2952.500	6017.000	3531.445	3531.445
66	Spectrogram 1	1	19.921767358	19.922765090	2952.500	6017.000	3531.445	3531.445
67	Spectrogram 1	1	19.922765090	19.923762823	2952.500	6017.000	3531.445	3531.445
68	Spectrogram 1	1	19.923762823	19.924760555	2952.500	6017.000	3531.445	3531.445
69	Spectrogram 1	1	19.924760555	19.925758287	2952.500	6017.000	3531.445	3531.445
70	Spectrogram 1	1	19.925758287	19.926756020	2952.500	6017.000	3531.445	3531.445
71	Spectrogram 1	1	19.926756020	19.927753752	2952.500	6017.000	3531.445	3531.445
72	Spectrogram 1	1	19.927753752	19.928751485	2952.500	6017.000	3531.445	3531.445
73	Spectrogram 1	1	19.928751485	19.929749217	2952.500	6017.000	3531.445	3531.445
74	Spectrogram 1	1	19.929749217	19.930746950	2952.500	6017.000	3531.445	3531.445
75	Spectrogram 1	1	19.930746950	19.931744682	2952.500	6017.000	3531.445	3531.445
76	Spectrogram 1	1	19.931744682	19.932742414	2952.500	6017.000	3617.578	3617.578
77	Spectrogram 1	1	19.932742414	19.933740147	2952.500	6017.000	3617.578	3617.578
78	Spectrogram 1	1	19.933740147	19.934737879	2952.500	6017.000	3617.578	3617.578
79	Spectrogram 1	1	19.934737879	19.935735612	2952.500	6017.000	3617.578	3617.578
80	Spectrogram 1	1	19.935735612	19.936733344	2952.500	6017.000	3617.578	3617.578
81	Spectrogram 1	1	19.936733344	19.937731077	2952.500	6017.000	3703.711	3703.711
82	Spectrogram 1	1	19.937731077	19.938728809	2952.500	6017.000	3703.711	3703.711
83	Spectrogram 1	1	19.938728809	19.939726541	2952.500	6017.000	3703.711	3703.711
84	Spectrogram 1	1	19.939726541	19.940724274	2952.500	6017.000	3703.711	3703.711
85	Spectrogram 1	1	19.940724274	19.941722006	2952.500	6017.000	3703.711	3703.711
86	Spectrogram 1	1	19.941722006	19.942719739	2952.500	6017.000	3703.711	3703.711
87	Spectrogram 1	1	19.942719739	19.943717471	2952.500	6017.000	3703.711	3703.711
88	Spectrogram 1	1	19.943717471	19.944715204	2952.500	6017.000	3703.711	3703.711
89	Spectrogram 1	1	19.944715204	19.945712936	2952.500	6017.000	3703.711	3703.711
90	Spectrogram 1	1	19.945712936	19.946710668	2952.500	6017.000	3703.711	3703.711
91	Spectrogram 1	1	19.946710668	19.947708401	2952.500	6017.000	3703.711	3703.711
92	Spectrogram 1	1	19.947708401	19.948706133	2952.500	6017.000	3703.711	3703.711
93	Spectrogram 1	1	19.948706133	19.949703866	2952.500	6017.000	3703.711	3703.711
94	Spectrogram 1	1	19.949703866	19.950701598	2952.500	6017.000	3703.711	3703.711
95	Spectrogram 1	1	19.950701598	19.951699330	2952.500	6017.000	3703.711	3703.711
96	Spectrogram 1	1	19.951699330	19.952697063	2952.500	6017.000	3703.711	3703.711
97	Spectrogram 1	1	19.952697063	19.953694795	2952.500	6017.000	3703.711	3703.711
98	Spectrogram 1	1	19.953694795	19.954692528	2952.500	6017.000	3703.711	3703.711
99	Spectrogram 1	1	19.954692528	19.955690260	2952.500	6017.000	3703.711	3703.711
100	Spectrogram 1	1	19.955690260	19.956687993	2952.500	6017.000	3703.711	3703.711
101	Spectrogram 1	1	19.956687993	19.957685725	2952.500	6017.000	3703.711	3703.711
102	Spectrogram 1	1	19.957685725	19.958683457	2952.500	6017.000	3703.711	3703.711
103	Spectrogram 1	1	19.958683457	19.959681190	2952.500	6017.000	3703.711	3703.711
104	Spectrogram 1	1	19.959681190	19.960678922	2952.500	6017.000	3703.711	3703.711
105	Spectrogram 1	1	19.960678922	19.961676655	2952.500	6017.000	3531.445	3531.445
106	Spectrogram 1	1	19.961676655	19.962674387	2952.500	6017.000	3531.445	3531.445
107	Spectrogram 1	1	19.962674387	19.963672120	2952.500	6017.000	3531.445	3531.445
108	Spectrogram 1	1	19.963672120	19.964669852	2952.500	6017.000	3531.445	3531.445
109	Spectrogram 1	1	19.964669852	19.965667584	2952.500	6017.000	3531.445	3531.445
110	Spectrogram 1	1	19.965667584	19.966665317	2952.500	6017.000	3531.445	3531.445
111	Spectrogram 1	1	19.966665317	19.967663049	2952.500	6017.000	3445.312	3445.312
112	Spectrogram 1	1	19.967663049	19.968660782	2952.500	6017.000	3445.312	3445.312
113	Spectrogram 1	1	19.968660782	19.969658514	2952.500	6017.000	3445.312	3445.312
114	Spectrogram 1	1	19.969658514	19.970656247	2952.500	6017.000	3445.312	3445.312
115	Spectrogram 1	1	19.970656247	19.971653979	2952.500	6017.000	3445.312	3445.312
116	Spectrogram 1	1	19.971653979	19.972651711	2952.500	6017.000	3359.180	3359.180
117	Spectrogram 1	1	19.972651711	19.973649444	2952.500	6017.000	3359.180	3359.180
118	Spectrogram 1	1	19.973649444	19.974647176	2952.500	6017.000	3359.180	3359.180
119	Spectrogram 1	1	19.974647176	19.975644909	2952.500	6017.000	3359.180	3359.180
120	Spectrogram 1	1	19.975644909	19.976642641	2952.500	6017.000	3359.180	3359.180
121	Spectrogram 1	1	19.976642641	19.977640374	2952.500	6017.000	3359.180	3359.180
122	Spectrogram 1	1	19.977640374	19.978638106	2952.500	6017.000	3273.047	3186.914
123	Spectrogram 1	1	19.978638106	19.979635838	2952.500	6017.000	3273.047	3186.914
124	Spectrogram 1	1	19.979635838	19.980633571	2952.500	6017.000	3273.047	3186.914
125	Spectrogram 1	1	19.980633571	19.981631303	2952.500	6017.000	3273.047	3186.914
126	Spectrogram 1	1	19.981631303	19.982629036	2952.500	6017.000	3273.047	3186.914
127	Spectrogram 1	1	19.982629036	19.983626768	2952.500	6017.000	3273.047	3186.914
128	Spectrogram 1	1	19.983626768	19.984624501	2952.500	6017.000	3359.180	3359.180
129	Spectrogram 1	1	19.984624501	19.985622233	2952.500	6017.000	3359.180	3359.180
130	Spectrogram 1	1	19.985622233	19.986619965	2952.500	6017.000	3359.180	3359.180
131	Spectrogram 1	1	19.986619965	19.987617698	2952.500	6017.000	3359.180	3359.180
132	Spectrogram 1	1	19.987617698	19.988615430	2952.500	6017.000	3359.180	3359.180
133	Spectrogram 1	1	19.988615430	19.989613163	2952.500	6017.000	3359.180	3359.180
134	Spectrogram 1	1	19.989613163	19.990610895	2952.500	6017.000	3445.312	3445.312
135	Spectrogram 1	1	19.990610895	19.991608628	2952.500	6017.000	3445.312	3445.312
136	Spectrogram 1	1	19.991608628	19.992606360	2952.500	6017.000	3445.312	3445.312
137	Spectrogram 1	1	19.992606360	19.993604092	2952.500	6017.000	3445.312	3445.312
138	Spectrogram 1	1	19.993604092	19.994601825	2952.500	6017.000	3445.312	3445.312
139	Spectrogram 1	1	19.994601825	19.995599557	2952.500	6017.000	3445.312	3445.312
140	Spectrogram 1	1	19.995599557	19.996597290	2952.500	6017.000	3445.312	3445.312
141	Spectrogram 1	1	19.996597290	19.997595022	2952.500	6017.000	3445.312	3445.312
142	Spectrogram 1	1	19.997595022	19.998592755	2952.500	6017.000	3445.312	3445.312
143	Spectrogram 1	1	19.998592755	19.999590487	2952.500	6017.000	3445.312	3445.312
144	Spectrogram 1	1	19.999590487	20.000588219	2952.500	6017.000	3445.312	3445.312
145	Spectrogram 1	1	20.000588219	20.001585952	2952.500	6017.000	3273.047	3186.914
146	Spectrogram 1	1	20.001585952	20.002583684	2952.500	6017.000	3273.047	3186.914
147	Spectrogram 1	1	20.002583684	20.003581417	2952.500	6017.000	3273.047	3186.914
148	Spectrogram 1	1	20.003581417	20.004579149	2952.500	6017.000	3273.047	3186.914
149	Spectrogram 1	1	20.004579149	20.005576882	2952.500	6017.000	3273.047	3186.914
150	Spectrogram 1	1	20.005576882	20.006574614	2952.500	6017.000	3273.047	3186.914
151	Spectrogram 1	1	20.006574614	20.007572346	2952.500	6017.000	3703.711	3703.711
152	Spectrogram 1	1	20.007572346	20.008570079	2952.500	6017.000	3703.711	3703.711
153	Spectrogram 1	1	20.008570079	20.009567811	2952.500	6017.000	3703.711	3703.711
154	Spectrogram 1	1	20.009567811	20.010565544	2952.500	6017.000	3703.711	3703.711
155	Spectrogram 1	1	20.010565544	20.011563276	2952.500	6017.000	3703.711	3703.711
156	Spectrogram 1	1	20.011563276	20.012561009	2952.500	6017.000	3703.711	3703.711
157	Spectrogram 1	1	20.012561009	20.013558741	2952.500	6017.000	4220.508	4306.641
158	Spectrogram 1	1	20.013558741	20.014556473	2952.500	6017.000	4220.508	4306.641
159	Spectrogram 1	1	20.014556473	20.015554206	2952.500	6017.000	4220.508	4306.641
160	Spectrogram 1	1	20.015554206	20.016551938	2952.500	6017.000	4220.508	4306.641
161	Spectrogram 1	1	20.016551938	20.017549671	2952.500	6017.000	4220.508	4306.641
162	Spectrogram 1	1	20.017549671	20.018547403	2952.500	6017.000	4220.508	4306.641
163	Spectrogram 1	1	20.018547403	20.019545135	2952.500	6017.000	4651.172	4651.172
164	Spectrogram 1	1	20.019545135	20.020542868	2952.500	6017.000	4651.172	4651.172
165	Spectrogram 1	1	20.020542868	20.021540600	2952.500	6017.000	4651.172	4651.172
166	Spectrogram 1	1	20.021540600	20.022538333	2952.500	6017.000	4651.172	4651.172
167	Spectrogram 1	1	20.022538333	20.023536065	2952.500	6017.000	4651.172	4651.172
168	Spectrogram 1	1	20.023536065	20.024533798	2952.500	6017.000	4651.172	4651.172
169	Spectrogram 1	1	20.024533798	20.025531530	2952.500	6017.000	4737.305	4737.305
170	Spectrogram 1	1	20.025531530	20.026529262	2952.500	6017.000	4737.305	4737.305
171	Spectrogram 1	1	20.026529262	20.027526995	2952.500	6017.000	4737.305	4737.305
172	Spectrogram 1	1	20.027526995	20.028524727	2952.500	6017.000	4737.305	4737.305
173	Spectrogram 1	1	20.028524727	20.029522460	2952.500	6017.000	4737.305	4737.305
174	Spectrogram 1	1	20.029522460	20.030520192	2952.500	6017.000	4737.305	4737.305
175	Spectrogram 1	1	20.030520192	20.031517925	2952.500	6017.000	4737.305	4737.305
176	Spectrogram 1	1	20.031517925	20.032515657	2952.500	6017.000	4737.305	4737.305
177	Spectrogram 1	1	20.032515657	20.033513389	2952.500	6017.000	4737.305	4737.305
178	Spectrogram 1	1	20.033513389	20.034511122	2952.500	6017.000	4737.305	4737.305
179	Spectrogram 1	1	20.034511122	20.035508854	2952.500	6017.000	4737.305	4737.305
180	Spectrogram 1	1	20.035508854	20.036506587	2952.500	6017.000	4737.305	4737.305
181	Spectrogram 1	1	20.036506587	20.037504319	2952.500	6017.000	4737.305	4737.305
182	Spectrogram 1	1	20.037504319	20.038502052	2952.500	6017.000	4737.305	4737.305
183	Spectrogram 1	1	20.038502052	20.039499784	2952.500	6017.000	4737.305	4737.305
184	Spectrogram 1	1	20.039499784	20.040497516	2952.500	6017.000	4737.305	4737.305
185	Spectrogram 1	1	20.040497516	20.041495249	2952.500	6017.000	4737.305	4737.305
186	Spectrogram 1	1	20.041495249	20.042492981	2952.500	6017.000	4737.305	4737.305
187	Spectrogram 1	1	20.042492981	20.043490714	2952.500	6017.000	4737.305	4737.305
188	Spectrogram 1	1	20.043490714	20.044488446	2952.500	6017.000	4737.305	4737.305
189	Spectrogram 1	1	20.044488446	20.045486179	2952.500	6017.000	4737.305	4737.305
190	Spectrogram 1	1	20.045486179	20.046483911	2952.500	6017.000	4737.305	4737.305
191	Spectrogram 1	1	20.046483911	20.047481643	2952.500	6017.000	4737.305	4737.305
192	Spectrogram 1	1	20.047481643	20.048479376	2952.500	6017.000	4823.438	4823.438
193	Spectrogram 1	1	20.048479376	20.049477108	2952.500	6017.000	4823.438	4823.438
194	Spectrogram 1	1	20.049477108	20.050474841	2952.500	6017.000	4823.438	4823.438
195	Spectrogram 1	1	20.050474841	20.051472573	2952.500	6017.000	4823.438	4823.438
196	Spectrogram 1	1	20.051472573	20.052470306	2952.500	6017.000	4823.438	4823.438
197	Spectrogram 1	1	20.052470306	20.053468038	2952.500	6017.000	4823.438	4823.438
198	Spectrogram 1	1	20.053468038	20.054465770	2952.500	6017.000	4909.570	4909.570
199	Spectrogram 1	1	20.054465770	20.055463503	2952.500	6017.000	4909.570	4909.570
200	Spectrogram 1	1	20.055463503	20.056461235	2952.500	6017.000	4909.570	4909.570
201	Spectrogram 1	1	20.056461235	20.057458968	2952.500	6017.000	4909.570	4909.570
202	Spectrogram 1	1	20.057458968	20.058456700	2952.500	6017.000	4909.570	4909.570
203	Spectrogram 1	1	20.058456700	20.059454433	2952.500	6017.000	4909.570	4909.570
204	Spectrogram 1	1	20.059454433	20.060452165	2952.500	6017.000	5081.836	5081.836
205	Spectrogram 1	1	20.060452165	20.061449897	2952.500	6017.000	5081.836	5081.836
206	Spectrogram 1	1	20.061449897	20.062447630	2952.500	6017.000	5081.836	5081.836
207	Spectrogram 1	1	20.062447630	20.063445362	2952.500	6017.000	5081.836	5081.836
208	Spectrogram 1	1	20.063445362	20.064443095	2952.500	6017.000	5081.836	5081.836
209	Spectrogram 1	1	20.064443095	20.065440827	2952.500	6017.000	5254.102	5254.102
210	Spectrogram 1	1	20.065440827	20.066438560	2952.500	6017.000	5254.102	5254.102
211	Spectrogram 1	1	20.066438560	20.067436292	2952.500	6017.000	5254.102	5254.102
212	Spectrogram 1	1	20.067436292	20.068434024	2952.500	6017.000	5254.102	5254.102
213	Spectrogram 1	1	20.068434024	20.069431757	2952.500	6017.000	5254.102	5254.102
214	Spectrogram 1	1	20.069431757	20.070429489	2952.500	6017.000	5254.102	5254.102
215	Spectrogram 1	1	20.070429489	20.071427222	2952.500	6017.000	5512.500	5512.500
216	Spectrogram 1	1	20.071427222	20.072424954	2952.500	6017.000	5512.500	5512.500
217	Spectrogram 1	1	20.072424954	20.073422687	2952.500	6017.000	5512.500	5512.500
218	Spectrogram 1	1	20.073422687	20.074420419	2952.500	6017.000	5512.500	5512.500
219	Spectrogram 1	1	20.074420419	20.075418151	2952.500	6017.000	5512.500	5512.500
220	Spectrogram 1	1	20.075418151	20.076415884	2952.500	6017.000	5512.500	5512.500
221	Spectrogram 1	1	20.076415884	20.077413616	2952.500	6017.000	5684.766	5770.898
222	Spectrogram 1	1	20.077413616	20.078411349	2952.500	6017.000	5684.766	5770.898
223	Spectrogram 1	1	20.078411349	20.079409081	2952.500	6017.000	5684.766	5770.898
224	Spectrogram 1	1	20.079409081	20.080406813	2952.500	6017.000	5684.766	5770.898
225	Spectrogram 1	1	20.080406813	20.081404546	2952.500	6017.000	5684.766	5770.898
226	Spectrogram 1	1	20.081404546	20.082402278	2952.500	6017.000	5684.766	5770.898
227	Spectrogram 1	1	20.082402278	20.083400011	2952.500	6017.000	5512.500	5598.633
228	Spectrogram 1	1	20.083400011	20.084397743	2952.500	6017.000	5512.500	5598.633
229	Spectrogram 1	1	20.084397743	20.085395476	2952.500	6017.000	5512.500	5598.633
230	Spectrogram 1	1	20.085395476	20.086393208	2952.500	6017.000	5512.500	5598.633
231	Spectrogram 1	1	20.086393208	20.087390940	2952.500	6017.000	5512.500	5598.633
232	Spectrogram 1	1	20.087390940	20.088388673	2952.500	6017.000	5512.500	5598.633
233	Spectrogram 1	1	20.088388673	20.089386405	2952.500	6017.000	4909.570	4823.438
234	Spectrogram 1	1	20.089386405	20.090384138	2952.500	6017.000	4909.570	4823.438
235	Spectrogram 1	1	20.090384138	20.091381870	2952.500	6017.000	4909.570	4823.438
236	Spectrogram 1	1	20.091381870	20.092379603	2952.500	6017.000	4909.570	4823.438
237	Spectrogram 1	1	20.092379603	20.093377335	2952.500	6017.000	4909.570	4823.438
238	Spectrogram 1	1	20.093377335	20.094375067	2952.500	6017.000	4909.570	4823.438
239	Spectrogram 1	1	20.094375067	20.095372800	2952.500	6017.000	4565.039	4565.039
240	Spectrogram 1	1	20.095372800	20.096370532	2952.500	6017.000	4565.039	4565.039
241	Spectrogram 1	1	20.096370532	20.097368265	2952.500	6017.000	4565.039	4565.039
242	Spectrogram 1	1	20.097368265	20.098365997	2952.500	6017.000	4565.039	4565.039
243	Spectrogram 1	1	20.098365997	20.099363730	2952.500	6017.000	4565.039	4565.039
244	Spectrogram 1	1	20.099363730	20.100361462	2952.500	6017.000	4220.508	4220.508
245	Spectrogram 1	1	20.100361462	20.101359194	2952.500	6017.000	4220.508	4220.508
246	Spectrogram 1	1	20.101359194	20.102356927	2952.500	6017.000	4220.508	4220.508
247	Spectrogram 1	1	20.102356927	20.103354659	2952.500	6017.000	4220.508	4220.508
248	Spectrogram 1	1	20.103354659	20.104352392	2952.500	6017.000	4220.508	4220.508
