Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	3.741285114	3.742282846	3033.900	6507.282	4995.703	4995.703
2	Spectrogram 1	1	3.742282846	3.743280579	3033.900	6507.282	4995.703	4995.703
3	Spectrogram 1	1	3.743280579	3.744278311	3033.900	6507.282	4995.703	4995.703
4	Spectrogram 1	1	3.744278311	3.745276044	3033.900	6507.282	4995.703	4995.703
5	Spectrogram 1	1	3.745276044	3.746273776	3033.900	6507.282	4995.703	4995.703
6	Spectrogram 1	1	3.746273776	3.747271509	3033.900	6507.282	4995.703	4995.703
7	Spectrogram 1	1	3.747271509	3.748269241	3033.900	6507.282	5426.367	5426.367
8	Spectrogram 1	1	3.748269241	3.749266973	3033.900	6507.282	5426.367	5426.367
9	Spectrogram 1	1	3.749266973	3.750264706	3033.900	6507.282	5426.367	5426.367
10	Spectrogram 1	1	3.750264706	3.751262438	3033.900	6507.282	5426.367	5426.367
11	Spectrogram 1	1	3.751262438	3.752260171	3033.900	6507.282	5426.367	5426.367
12	Spectrogram 1	1	3.752260171	3.753257903	3033.900	6507.282	5426.367	5426.367
13	Spectrogram 1	1	3.753257903	3.754255636	3033.900	6507.282	5598.633	5598.633
14	Spectrogram 1	1	3.754255636	3.755253368	3033.900	6507.282	5598.633	5598.633
15	Spectrogram 1	1	3.755253368	3.756251100	3033.900	6507.282	5598.633	5598.633
16	Spectrogram 1	1	3.756251100	3.757248833	3033.900	6507.282	5598.633	5598.633
17	Spectrogram 1	1	3.757248833	3.758246565	3033.900	6507.282	5598.633	5598.633
18	Spectrogram 1	1	3.758246565	3.759244298	3033.900	6507.282	5340.234	5340.234
19	Spectrogram 1	1	3.759244298	3.760242030	3033.900	6507.282	5340.234	5340.234
20	Spectrogram 1	1	3.760242030	3.761239763	3033.900	6507.282	5340.234	5340.234
21	Spectrogram 1	1	3.761239763	3.762237495	3033.900	6507.282	5340.234	5340.234
22	Spectrogram 1	1	3.762237495	3.763235227	3033.900	6507.282	5340.234	5340.234
23	Spectrogram 1	1	3.763235227	3.764232960	3033.900	6507.282	5340.234	5340.234
24	Spectrogram 1	1	3.764232960	3.765230692	3033.900	6507.282	5167.969	5167.969
25	Spectrogram 1	1	3.765230692	3.766228425	3033.900	6507.282	5167.969	5167.969
26	Spectrogram 1	1	3.766228425	3.767226157	3033.900	6507.282	5167.969	5167.969
27	Spectrogram 1	1	3.767226157	3.768223890	3033.900	6507.282	5167.969	5167.969
28	Spectrogram 1	1	3.768223890	3.769221622	3033.900	6507.282	5167.969	5167.969
29	Spectrogram 1	1	3.769221622	3.770219354	3033.900	6507.282	5167.969	5167.969
30	Spectrogram 1	1	3.770219354	3.771217087	3033.900	6507.282	4995.703	4909.570
31	Spectrogram 1	1	3.771217087	3.772214819	3033.900	6507.282	4995.703	4909.570
32	Spectrogram 1	1	3.772214819	3.773212552	3033.900	6507.282	4995.703	4909.570
33	Spectrogram 1	1	3.773212552	3.774210284	3033.900	6507.282	4995.703	4909.570
34	Spectrogram 1	1	3.774210284	3.775208016	3033.900	6507.282	4995.703	4909.570
35	Spectrogram 1	1	3.775208016	3.776205749	3033.900	6507.282	4995.703	4909.570
36	Spectrogram 1	1	3.776205749	3.777203481	3033.900	6507.282	4651.172	4651.172
37	Spectrogram 1	1	3.777203481	3.778201214	3033.900	6507.282	4651.172	4651.172
38	Spectrogram 1	1	3.778201214	3.779198946	3033.900	6507.282	4651.172	4651.172
39	Spectrogram 1	1	3.779198946	3.780196679	3033.900	6507.282	4651.172	4651.172
40	Spectrogram 1	1	3.780196679	3.781194411	3033.900	6507.282	4651.172	4651.172
41	Spectrogram 1	1	3.781194411	3.782192143	3033.900	6507.282	4651.172	4651.172
42	Spectrogram 1	1	3.782192143	3.783189876	3033.900	6507.282	4306.641	4306.641
43	Spectrogram 1	1	3.783189876	3.784187608	3033.900	6507.282	4306.641	4306.641
44	Spectrogram 1	1	3.784187608	3.785185341	3033.900	6507.282	4306.641	4306.641
45	Spectrogram 1	1	3.785185341	3.786183073	3033.900	6507.282	4306.641	4306.641
46	Spectrogram 1	1	3.786183073	3.787180806	3033.900	6507.282	4306.641	4306.641
47	Spectrogram 1	1	3.787180806	3.788178538	3033.900	6507.282	4306.641	4306.641
48	Spectrogram 1	1	3.788178538	3.789176270	3033.900	6507.282	4134.375	4134.375
49	Spectrogram 1	1	3.789176270	3.790174003	3033.900	6507.282	4134.375	4134.375
50	Spectrogram 1	1	3.790174003	3.791171735	3033.900	6507.282	4134.375	4134.375
51	Spectrogram 1	1	3.791171735	3.792169468	3033.900	6507.282	4134.375	4134.375
52	Spectrogram 1	1	3.792169468	3.793167200	3033.900	6507.282	4134.375	4134.375
53	Spectrogram 1	1	3.793167200	3.794164933	3033.900	6507.282	4220.508	3962.109
54	Spectrogram 1	1	3.794164933	3.795162665	3033.900	6507.282	4220.508	3962.109
55	Spectrogram 1	1	3.795162665	3.796160397	3033.900	6507.282	4220.508	3962.109
56	Spectrogram 1	1	3.796160397	3.797158130	3033.900	6507.282	4220.508	3962.109
57	Spectrogram 1	1	3.797158130	3.798155862	3033.900	6507.282	4220.508	3962.109
58	Spectrogram 1	1	3.798155862	3.799153595	3033.900	6507.282	4220.508	3962.109
59	Spectrogram 1	1	3.799153595	3.800151327	3033.900	6507.282	3962.109	3875.977
60	Spectrogram 1	1	3.800151327	3.801149060	3033.900	6507.282	3962.109	3875.977
61	Spectrogram 1	1	3.801149060	3.802146792	3033.900	6507.282	3962.109	3875.977
62	Spectrogram 1	1	3.802146792	3.803144524	3033.900	6507.282	3962.109	3875.977
63	Spectrogram 1	1	3.803144524	3.804142257	3033.900	6507.282	3962.109	3875.977
64	Spectrogram 1	1	3.804142257	3.805139989	3033.900	6507.282	3962.109	3875.977
65	Spectrogram 1	1	3.805139989	3.806137722	3033.900	6507.282	3962.109	3875.977
66	Spectrogram 1	1	3.806137722	3.807135454	3033.900	6507.282	3962.109	3875.977
67	Spectrogram 1	1	3.807135454	3.808133187	3033.900	6507.282	3962.109	3875.977
68	Spectrogram 1	1	3.808133187	3.809130919	3033.900	6507.282	3962.109	3875.977
69	Spectrogram 1	1	3.809130919	3.810128651	3033.900	6507.282	3962.109	3875.977
70	Spectrogram 1	1	3.810128651	3.811126384	3033.900	6507.282	3962.109	3875.977
71	Spectrogram 1	1	3.811126384	3.812124116	3033.900	6507.282	3962.109	3875.977
72	Spectrogram 1	1	3.812124116	3.813121849	3033.900	6507.282	3962.109	3875.977
73	Spectrogram 1	1	3.813121849	3.814119581	3033.900	6507.282	3962.109	3875.977
74	Spectrogram 1	1	3.814119581	3.815117314	3033.900	6507.282	3962.109	3875.977
75	Spectrogram 1	1	3.815117314	3.816115046	3033.900	6507.282	3962.109	3875.977
76	Spectrogram 1	1	3.816115046	3.817112778	3033.900	6507.282	3962.109	3875.977
77	Spectrogram 1	1	3.817112778	3.818110511	3033.900	6507.282	4048.242	4048.242
78	Spectrogram 1	1	3.818110511	3.819108243	3033.900	6507.282	4048.242	4048.242
79	Spectrogram 1	1	3.819108243	3.820105976	3033.900	6507.282	4048.242	4048.242
80	Spectrogram 1	1	3.820105976	3.821103708	3033.900	6507.282	4048.242	4048.242
81	Spectrogram 1	1	3.821103708	3.822101441	3033.900	6507.282	4048.242	4048.242
82	Spectrogram 1	1	3.822101441	3.823099173	3033.900	6507.282	4220.508	4306.641
83	Spectrogram 1	1	3.823099173	3.824096905	3033.900	6507.282	4220.508	4306.641
84	Spectrogram 1	1	3.824096905	3.825094638	3033.900	6507.282	4220.508	4306.641
85	Spectrogram 1	1	3.825094638	3.826092370	3033.900	6507.282	4220.508	4306.641
86	Spectrogram 1	1	3.826092370	3.827090103	3033.900	6507.282	4220.508	4306.641
87	Spectrogram 1	1	3.827090103	3.828087835	3033.900	6507.282	4220.508	4306.641
88	Spectrogram 1	1	3.828087835	3.829085568	3033.900	6507.282	4220.508	4220.508
89	Spectrogram 1	1	3.829085568	3.830083300	3033.900	6507.282	4220.508	4220.508
90	Spectrogram 1	1	3.830083300	3.831081032	3033.900	6507.282	4220.508	4220.508
91	Spectrogram 1	1	3.831081032	3.832078765	3033.900	6507.282	4220.508	4220.508
92	Spectrogram 1	1	3.832078765	3.833076497	3033.900	6507.282	4220.508	4220.508
93	Spectrogram 1	1	3.833076497	3.834074230	3033.900	6507.282	4220.508	4220.508
94	Spectrogram 1	1	3.834074230	3.835071962	3033.900	6507.282	4134.375	4048.242
95	Spectrogram 1	1	3.835071962	3.836069694	3033.900	6507.282	4134.375	4048.242
96	Spectrogram 1	1	3.836069694	3.837067427	3033.900	6507.282	4134.375	4048.242
97	Spectrogram 1	1	3.837067427	3.838065159	3033.900	6507.282	4134.375	4048.242
98	Spectrogram 1	1	3.838065159	3.839062892	3033.900	6507.282	4134.375	4048.242
99	Spectrogram 1	1	3.839062892	3.840060624	3033.900	6507.282	4134.375	4048.242
