Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	3.482297181	3.483294913	2823.900	6017.800	4737.305	4737.305
2	Spectrogram 1	1	3.483294913	3.484292646	2823.900	6017.800	4737.305	4737.305
3	Spectrogram 1	1	3.484292646	3.485290378	2823.900	6017.800	4737.305	4737.305
4	Spectrogram 1	1	3.485290378	3.486288111	2823.900	6017.800	4737.305	4737.305
5	Spectrogram 1	1	3.486288111	3.487285843	2823.900	6017.800	5340.234	5340.234
6	Spectrogram 1	1	3.487285843	3.488283576	2823.900	6017.800	5340.234	5340.234
7	Spectrogram 1	1	3.488283576	3.489281308	2823.900	6017.800	5340.234	5340.234
8	Spectrogram 1	1	3.489281308	3.490279040	2823.900	6017.800	5340.234	5340.234
9	Spectrogram 1	1	3.490279040	3.491276773	2823.900	6017.800	5340.234	5340.234
10	Spectrogram 1	1	3.491276773	3.492274505	2823.900	6017.800	5340.234	5340.234
11	Spectrogram 1	1	3.492274505	3.493272238	2823.900	6017.800	5340.234	5340.234
12	Spectrogram 1	1	3.493272238	3.494269970	2823.900	6017.800	5340.234	5340.234
13	Spectrogram 1	1	3.494269970	3.495267703	2823.900	6017.800	5340.234	5340.234
14	Spectrogram 1	1	3.495267703	3.496265435	2823.900	6017.800	5340.234	5340.234
15	Spectrogram 1	1	3.496265435	3.497263167	2823.900	6017.800	5340.234	5340.234
16	Spectrogram 1	1	3.497263167	3.498260900	2823.900	6017.800	5167.969	5167.969
17	Spectrogram 1	1	3.498260900	3.499258632	2823.900	6017.800	5167.969	5167.969
18	Spectrogram 1	1	3.499258632	3.500256365	2823.900	6017.800	5167.969	5167.969
19	Spectrogram 1	1	3.500256365	3.501254097	2823.900	6017.800	5167.969	5167.969
20	Spectrogram 1	1	3.501254097	3.502251830	2823.900	6017.800	5167.969	5167.969
21	Spectrogram 1	1	3.502251830	3.503249562	2823.900	6017.800	5167.969	5167.969
22	Spectrogram 1	1	3.503249562	3.504247294	2823.900	6017.800	4823.438	4823.438
23	Spectrogram 1	1	3.504247294	3.505245027	2823.900	6017.800	4823.438	4823.438
