Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	34.155842923	34.156840655	3115.800	6198.962	5512.500	5857.031
2	Spectrogram 1	2	34.156840655	34.157838388	3115.800	6198.962	5512.500	5857.031
3	Spectrogram 1	2	34.157838388	34.158836120	3115.800	6198.962	5512.500	5857.031
4	Spectrogram 1	2	34.158836120	34.159833853	3115.800	6198.962	5512.500	5857.031
5	Spectrogram 1	2	34.159833853	34.160831585	3115.800	6198.962	5857.031	5857.031
6	Spectrogram 1	2	34.160831585	34.161829318	3115.800	6198.962	5857.031	5857.031
7	Spectrogram 1	2	34.161829318	34.162827050	3115.800	6198.962	5857.031	5857.031
8	Spectrogram 1	2	34.162827050	34.163824782	3115.800	6198.962	5857.031	5857.031
9	Spectrogram 1	2	34.163824782	34.164822515	3115.800	6198.962	5857.031	5857.031
10	Spectrogram 1	2	34.164822515	34.165820247	3115.800	6198.962	5081.836	4995.703
11	Spectrogram 1	2	34.165820247	34.166817980	3115.800	6198.962	5081.836	4995.703
12	Spectrogram 1	2	34.166817980	34.167815712	3115.800	6198.962	5081.836	4995.703
13	Spectrogram 1	2	34.167815712	34.168813445	3115.800	6198.962	5081.836	4995.703
14	Spectrogram 1	2	34.168813445	34.169811177	3115.800	6198.962	5081.836	4995.703
15	Spectrogram 1	2	34.169811177	34.170808909	3115.800	6198.962	5081.836	4995.703
16	Spectrogram 1	2	34.170808909	34.171806642	3115.800	6198.962	4823.438	4823.438
17	Spectrogram 1	2	34.171806642	34.172804374	3115.800	6198.962	4823.438	4823.438
18	Spectrogram 1	2	34.172804374	34.173802107	3115.800	6198.962	4823.438	4823.438
19	Spectrogram 1	2	34.173802107	34.174799839	3115.800	6198.962	4823.438	4823.438
20	Spectrogram 1	2	34.174799839	34.175797572	3115.800	6198.962	4823.438	4823.438
21	Spectrogram 1	2	34.175797572	34.176795304	3115.800	6198.962	4823.438	4823.438
22	Spectrogram 1	2	34.176795304	34.177793036	3115.800	6198.962	4823.438	4823.438
23	Spectrogram 1	2	34.177793036	34.178790769	3115.800	6198.962	4823.438	4823.438
24	Spectrogram 1	2	34.178790769	34.179788501	3115.800	6198.962	4823.438	4823.438
25	Spectrogram 1	2	34.179788501	34.180786234	3115.800	6198.962	4823.438	4823.438
26	Spectrogram 1	2	34.180786234	34.181783966	3115.800	6198.962	4823.438	4823.438
27	Spectrogram 1	2	34.181783966	34.182781699	3115.800	6198.962	4823.438	4823.438
28	Spectrogram 1	2	34.182781699	34.183779431	3115.800	6198.962	4651.172	4651.172
29	Spectrogram 1	2	34.183779431	34.184777163	3115.800	6198.962	4651.172	4651.172
30	Spectrogram 1	2	34.184777163	34.185774896	3115.800	6198.962	4651.172	4651.172
31	Spectrogram 1	2	34.185774896	34.186772628	3115.800	6198.962	4651.172	4651.172
32	Spectrogram 1	2	34.186772628	34.187770361	3115.800	6198.962	4651.172	4651.172
33	Spectrogram 1	2	34.187770361	34.188768093	3115.800	6198.962	4651.172	4651.172
34	Spectrogram 1	2	34.188768093	34.189765825	3115.800	6198.962	4651.172	4565.039
35	Spectrogram 1	2	34.189765825	34.190763558	3115.800	6198.962	4651.172	4565.039
36	Spectrogram 1	2	34.190763558	34.191761290	3115.800	6198.962	4651.172	4565.039
37	Spectrogram 1	2	34.191761290	34.192759023	3115.800	6198.962	4651.172	4565.039
38	Spectrogram 1	2	34.192759023	34.193756755	3115.800	6198.962	4651.172	4565.039
39	Spectrogram 1	2	34.193756755	34.194754488	3115.800	6198.962	4651.172	4565.039
40	Spectrogram 1	2	34.194754488	34.195752220	3115.800	6198.962	4651.172	4651.172
41	Spectrogram 1	2	34.195752220	34.196749952	3115.800	6198.962	4651.172	4651.172
42	Spectrogram 1	2	34.196749952	34.197747685	3115.800	6198.962	4651.172	4651.172
43	Spectrogram 1	2	34.197747685	34.198745417	3115.800	6198.962	4651.172	4651.172
44	Spectrogram 1	2	34.198745417	34.199743150	3115.800	6198.962	4651.172	4651.172
45	Spectrogram 1	2	34.199743150	34.200740882	3115.800	6198.962	4651.172	4651.172
46	Spectrogram 1	2	34.200740882	34.201738615	3115.800	6198.962	4651.172	4651.172
47	Spectrogram 1	2	34.201738615	34.202736347	3115.800	6198.962	4651.172	4651.172
48	Spectrogram 1	2	34.202736347	34.203734079	3115.800	6198.962	4651.172	4651.172
49	Spectrogram 1	2	34.203734079	34.204731812	3115.800	6198.962	4651.172	4651.172
50	Spectrogram 1	2	34.204731812	34.205729544	3115.800	6198.962	4651.172	4651.172
51	Spectrogram 1	2	34.205729544	34.206727277	3115.800	6198.962	4651.172	4651.172
52	Spectrogram 1	2	34.206727277	34.207725009	3115.800	6198.962	4651.172	4651.172
53	Spectrogram 1	2	34.207725009	34.208722742	3115.800	6198.962	4651.172	4651.172
54	Spectrogram 1	2	34.208722742	34.209720474	3115.800	6198.962	4651.172	4651.172
55	Spectrogram 1	2	34.209720474	34.210718206	3115.800	6198.962	4651.172	4651.172
56	Spectrogram 1	2	34.210718206	34.211715939	3115.800	6198.962	4651.172	4651.172
57	Spectrogram 1	2	34.211715939	34.212713671	3115.800	6198.962	4737.305	4737.305
58	Spectrogram 1	2	34.212713671	34.213711404	3115.800	6198.962	4737.305	4737.305
59	Spectrogram 1	2	34.213711404	34.214709136	3115.800	6198.962	4737.305	4737.305
60	Spectrogram 1	2	34.214709136	34.215706869	3115.800	6198.962	4737.305	4737.305
61	Spectrogram 1	2	34.215706869	34.216704601	3115.800	6198.962	4737.305	4737.305
62	Spectrogram 1	2	34.216704601	34.217702333	3115.800	6198.962	4737.305	4737.305
63	Spectrogram 1	2	34.217702333	34.218700066	3115.800	6198.962	4737.305	4737.305
64	Spectrogram 1	2	34.218700066	34.219697798	3115.800	6198.962	4737.305	4737.305
65	Spectrogram 1	2	34.219697798	34.220695531	3115.800	6198.962	4737.305	4737.305
66	Spectrogram 1	2	34.220695531	34.221693263	3115.800	6198.962	4737.305	4737.305
67	Spectrogram 1	2	34.221693263	34.222690996	3115.800	6198.962	4737.305	4737.305
68	Spectrogram 1	2	34.222690996	34.223688728	3115.800	6198.962	4737.305	4737.305
69	Spectrogram 1	2	34.223688728	34.224686460	3115.800	6198.962	4737.305	4737.305
70	Spectrogram 1	2	34.224686460	34.225684193	3115.800	6198.962	4737.305	4737.305
71	Spectrogram 1	2	34.225684193	34.226681925	3115.800	6198.962	4737.305	4737.305
72	Spectrogram 1	2	34.226681925	34.227679658	3115.800	6198.962	4737.305	4737.305
