Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	11.925654222	11.926651954	3397.432	6414.900	4995.703	5081.836
2	Spectrogram 1	1	11.926651954	11.927649687	3397.432	6414.900	5857.031	5857.031
3	Spectrogram 1	1	11.927649687	11.928647419	3397.432	6414.900	5857.031	5857.031
4	Spectrogram 1	1	11.928647419	11.929645152	3397.432	6414.900	5857.031	5857.031
5	Spectrogram 1	1	11.929645152	11.930642884	3397.432	6414.900	5857.031	5857.031
6	Spectrogram 1	1	11.930642884	11.931640617	3397.432	6414.900	5857.031	5857.031
7	Spectrogram 1	1	11.931640617	11.932638349	3397.432	6414.900	5857.031	5857.031
8	Spectrogram 1	1	11.932638349	11.933636081	3397.432	6414.900	5512.500	5684.766
9	Spectrogram 1	1	11.933636081	11.934633814	3397.432	6414.900	5512.500	5684.766
10	Spectrogram 1	1	11.934633814	11.935631546	3397.432	6414.900	5512.500	5684.766
11	Spectrogram 1	1	11.935631546	11.936629279	3397.432	6414.900	5512.500	5684.766
12	Spectrogram 1	1	11.936629279	11.937627011	3397.432	6414.900	5512.500	5684.766
13	Spectrogram 1	1	11.937627011	11.938624744	3397.432	6414.900	4651.172	4651.172
14	Spectrogram 1	1	11.938624744	11.939622476	3397.432	6414.900	4651.172	4651.172
15	Spectrogram 1	1	11.939622476	11.940620208	3397.432	6414.900	4651.172	4651.172
16	Spectrogram 1	1	11.940620208	11.941617941	3397.432	6414.900	4651.172	4651.172
17	Spectrogram 1	1	11.941617941	11.942615673	3397.432	6414.900	4651.172	4651.172
18	Spectrogram 1	1	11.942615673	11.943613406	3397.432	6414.900	4651.172	4651.172
19	Spectrogram 1	1	11.943613406	11.944611138	3397.432	6414.900	4565.039	4565.039
20	Spectrogram 1	1	11.944611138	11.945608871	3397.432	6414.900	4565.039	4565.039
21	Spectrogram 1	1	11.945608871	11.946606603	3397.432	6414.900	4565.039	4565.039
22	Spectrogram 1	1	11.946606603	11.947604335	3397.432	6414.900	4565.039	4565.039
