Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	14.636700000	14.637697732	3410.612	5965.900	5167.969	5167.969
2	Spectrogram 1	2	14.637697732	14.638695465	3410.612	5965.900	5426.367	5426.367
3	Spectrogram 1	2	14.638695465	14.639693197	3410.612	5965.900	5426.367	5426.367
4	Spectrogram 1	2	14.639693197	14.640690930	3410.612	5965.900	5426.367	5426.367
5	Spectrogram 1	2	14.640690930	14.641688662	3410.612	5965.900	5426.367	5426.367
6	Spectrogram 1	2	14.641688662	14.642686395	3410.612	5965.900	5426.367	5426.367
7	Spectrogram 1	2	14.642686395	14.643684127	3410.612	5965.900	5254.102	5254.102
8	Spectrogram 1	2	14.643684127	14.644681859	3410.612	5965.900	5254.102	5254.102
9	Spectrogram 1	2	14.644681859	14.645679592	3410.612	5965.900	5254.102	5254.102
10	Spectrogram 1	2	14.645679592	14.646677324	3410.612	5965.900	5254.102	5254.102
11	Spectrogram 1	2	14.646677324	14.647675057	3410.612	5965.900	5254.102	5254.102
12	Spectrogram 1	2	14.647675057	14.648672789	3410.612	5965.900	5254.102	5254.102
13	Spectrogram 1	2	14.648672789	14.649670522	3410.612	5965.900	4737.305	4737.305
14	Spectrogram 1	2	14.649670522	14.650668254	3410.612	5965.900	4737.305	4737.305
15	Spectrogram 1	2	14.650668254	14.651665986	3410.612	5965.900	4737.305	4737.305
16	Spectrogram 1	2	14.651665986	14.652663719	3410.612	5965.900	4737.305	4737.305
17	Spectrogram 1	2	14.652663719	14.653661451	3410.612	5965.900	4737.305	4737.305
18	Spectrogram 1	2	14.653661451	14.654659184	3410.612	5965.900	4737.305	4737.305
19	Spectrogram 1	2	14.654659184	14.655656916	3410.612	5965.900	4565.039	4565.039
20	Spectrogram 1	2	14.655656916	14.656654649	3410.612	5965.900	4565.039	4565.039
21	Spectrogram 1	2	14.656654649	14.657652381	3410.612	5965.900	4565.039	4565.039
22	Spectrogram 1	2	14.657652381	14.658650113	3410.612	5965.900	4565.039	4565.039
23	Spectrogram 1	2	14.658650113	14.659647846	3410.612	5965.900	4565.039	4565.039
24	Spectrogram 1	2	14.659647846	14.660645578	3410.612	5965.900	4565.039	4565.039
25	Spectrogram 1	2	14.660645578	14.661643311	3410.612	5965.900	4565.039	4565.039
26	Spectrogram 1	2	14.661643311	14.662641043	3410.612	5965.900	4565.039	4565.039
27	Spectrogram 1	2	14.662641043	14.663638776	3410.612	5965.900	4565.039	4565.039
28	Spectrogram 1	2	14.663638776	14.664636508	3410.612	5965.900	4565.039	4565.039
29	Spectrogram 1	2	14.664636508	14.665634240	3410.612	5965.900	4565.039	4565.039
30	Spectrogram 1	2	14.665634240	14.666631973	3410.612	5965.900	4565.039	4565.039
