Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	2.414408463	2.415406195	3331.295	6598.000	4478.906	4478.906
2	Spectrogram 1	1	2.415406195	2.416403928	3331.295	6598.000	4478.906	4478.906
3	Spectrogram 1	1	2.416403928	2.417401660	3331.295	6598.000	4478.906	4478.906
4	Spectrogram 1	1	2.417401660	2.418399393	3331.295	6598.000	4737.305	4737.305
5	Spectrogram 1	1	2.418399393	2.419397125	3331.295	6598.000	4737.305	4737.305
6	Spectrogram 1	1	2.419397125	2.420394858	3331.295	6598.000	4737.305	4737.305
7	Spectrogram 1	1	2.420394858	2.421392590	3331.295	6598.000	4737.305	4737.305
8	Spectrogram 1	1	2.421392590	2.422390322	3331.295	6598.000	4737.305	4737.305
9	Spectrogram 1	1	2.422390322	2.423388055	3331.295	6598.000	4737.305	4737.305
10	Spectrogram 1	1	2.423388055	2.424385787	3331.295	6598.000	5426.367	5426.367
11	Spectrogram 1	1	2.424385787	2.425383520	3331.295	6598.000	5426.367	5426.367
12	Spectrogram 1	1	2.425383520	2.426381252	3331.295	6598.000	5426.367	5426.367
13	Spectrogram 1	1	2.426381252	2.427378985	3331.295	6598.000	5426.367	5426.367
14	Spectrogram 1	1	2.427378985	2.428376717	3331.295	6598.000	5426.367	5426.367
15	Spectrogram 1	1	2.428376717	2.429374449	3331.295	6598.000	5426.367	5426.367
16	Spectrogram 1	1	2.429374449	2.430372182	3331.295	6598.000	5684.766	5770.898
17	Spectrogram 1	1	2.430372182	2.431369914	3331.295	6598.000	5684.766	5770.898
18	Spectrogram 1	1	2.431369914	2.432367647	3331.295	6598.000	5684.766	5770.898
19	Spectrogram 1	1	2.432367647	2.433365379	3331.295	6598.000	5684.766	5770.898
20	Spectrogram 1	1	2.433365379	2.434363112	3331.295	6598.000	5684.766	5770.898
21	Spectrogram 1	1	2.434363112	2.435360844	3331.295	6598.000	5684.766	5770.898
22	Spectrogram 1	1	2.435360844	2.436358576	3331.295	6598.000	5598.633	5770.898
23	Spectrogram 1	1	2.436358576	2.437356309	3331.295	6598.000	5598.633	5770.898
24	Spectrogram 1	1	2.437356309	2.438354041	3331.295	6598.000	5598.633	5770.898
25	Spectrogram 1	1	2.438354041	2.439351774	3331.295	6598.000	5598.633	5770.898
26	Spectrogram 1	1	2.439351774	2.440349506	3331.295	6598.000	5598.633	5770.898
27	Spectrogram 1	1	2.440349506	2.441347239	3331.295	6598.000	5598.633	5770.898
28	Spectrogram 1	1	2.441347239	2.442344971	3331.295	6598.000	5426.367	5426.367
29	Spectrogram 1	1	2.442344971	2.443342703	3331.295	6598.000	5426.367	5426.367
30	Spectrogram 1	1	2.443342703	2.444340436	3331.295	6598.000	5426.367	5426.367
31	Spectrogram 1	1	2.444340436	2.445338168	3331.295	6598.000	5426.367	5426.367
32	Spectrogram 1	1	2.445338168	2.446335901	3331.295	6598.000	5426.367	5426.367
33	Spectrogram 1	1	2.446335901	2.447333633	3331.295	6598.000	4909.570	4909.570
34	Spectrogram 1	1	2.447333633	2.448331365	3331.295	6598.000	4909.570	4909.570
35	Spectrogram 1	1	2.448331365	2.449329098	3331.295	6598.000	4909.570	4909.570
36	Spectrogram 1	1	2.449329098	2.450326830	3331.295	6598.000	4909.570	4909.570
37	Spectrogram 1	1	2.450326830	2.451324563	3331.295	6598.000	4909.570	4909.570
38	Spectrogram 1	1	2.451324563	2.452322295	3331.295	6598.000	4909.570	4909.570
39	Spectrogram 1	1	2.452322295	2.453320028	3331.295	6598.000	4737.305	4737.305
40	Spectrogram 1	1	2.453320028	2.454317760	3331.295	6598.000	4737.305	4737.305
41	Spectrogram 1	1	2.454317760	2.455315492	3331.295	6598.000	4737.305	4737.305
42	Spectrogram 1	1	2.455315492	2.456313225	3331.295	6598.000	4737.305	4737.305
43	Spectrogram 1	1	2.456313225	2.457310957	3331.295	6598.000	4737.305	4737.305
44	Spectrogram 1	1	2.457310957	2.458308690	3331.295	6598.000	4737.305	4737.305
45	Spectrogram 1	1	2.458308690	2.459306422	3331.295	6598.000	4392.773	4392.773
46	Spectrogram 1	1	2.459306422	2.460304155	3331.295	6598.000	4392.773	4392.773
47	Spectrogram 1	1	2.460304155	2.461301887	3331.295	6598.000	4392.773	4392.773
48	Spectrogram 1	1	2.461301887	2.462299619	3331.295	6598.000	4392.773	4392.773
49	Spectrogram 1	1	2.462299619	2.463297352	3331.295	6598.000	4392.773	4392.773
50	Spectrogram 1	1	2.463297352	2.464295084	3331.295	6598.000	4392.773	4392.773
51	Spectrogram 1	1	2.464295084	2.465292817	3331.295	6598.000	4134.375	4134.375
52	Spectrogram 1	1	2.465292817	2.466290549	3331.295	6598.000	4134.375	4134.375
53	Spectrogram 1	1	2.466290549	2.467288282	3331.295	6598.000	4134.375	4134.375
54	Spectrogram 1	1	2.467288282	2.468286014	3331.295	6598.000	4134.375	4134.375
55	Spectrogram 1	1	2.468286014	2.469283746	3331.295	6598.000	4134.375	4134.375
