Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	3.173840385	3.174838117	3236.000	6472.000	5598.633	5598.633
2	Spectrogram 1	2	3.174838117	3.175835850	3236.000	6472.000	5598.633	5598.633
3	Spectrogram 1	2	3.175835850	3.176833582	3236.000	6472.000	5598.633	5598.633
4	Spectrogram 1	2	3.176833582	3.177831315	3236.000	6472.000	5598.633	5598.633
5	Spectrogram 1	2	3.177831315	3.178829047	3236.000	6472.000	6029.297	6115.430
6	Spectrogram 1	2	3.178829047	3.179826780	3236.000	6472.000	6029.297	6115.430
7	Spectrogram 1	2	3.179826780	3.180824512	3236.000	6472.000	6029.297	6115.430
8	Spectrogram 1	2	3.180824512	3.181822244	3236.000	6472.000	6029.297	6115.430
9	Spectrogram 1	2	3.181822244	3.182819977	3236.000	6472.000	6029.297	6115.430
10	Spectrogram 1	2	3.182819977	3.183817709	3236.000	6472.000	6029.297	6115.430
11	Spectrogram 1	2	3.183817709	3.184815442	3236.000	6472.000	5512.500	5684.766
12	Spectrogram 1	2	3.184815442	3.185813174	3236.000	6472.000	5512.500	5684.766
13	Spectrogram 1	2	3.185813174	3.186810907	3236.000	6472.000	5512.500	5684.766
14	Spectrogram 1	2	3.186810907	3.187808639	3236.000	6472.000	5512.500	5684.766
15	Spectrogram 1	2	3.187808639	3.188806371	3236.000	6472.000	5512.500	5684.766
16	Spectrogram 1	2	3.188806371	3.189804104	3236.000	6472.000	5512.500	5684.766
17	Spectrogram 1	2	3.189804104	3.190801836	3236.000	6472.000	4306.641	4220.508
18	Spectrogram 1	2	3.190801836	3.191799569	3236.000	6472.000	4306.641	4220.508
19	Spectrogram 1	2	3.191799569	3.192797301	3236.000	6472.000	4306.641	4220.508
20	Spectrogram 1	2	3.192797301	3.193795034	3236.000	6472.000	4306.641	4220.508
21	Spectrogram 1	2	3.193795034	3.194792766	3236.000	6472.000	4306.641	4220.508
22	Spectrogram 1	2	3.194792766	3.195790498	3236.000	6472.000	4306.641	4220.508
23	Spectrogram 1	2	3.195790498	3.196788231	3236.000	6472.000	4478.906	4392.773
24	Spectrogram 1	2	3.196788231	3.197785963	3236.000	6472.000	4478.906	4392.773
25	Spectrogram 1	2	3.197785963	3.198783696	3236.000	6472.000	4478.906	4392.773
26	Spectrogram 1	2	3.198783696	3.199781428	3236.000	6472.000	4478.906	4392.773
27	Spectrogram 1	2	3.199781428	3.200779161	3236.000	6472.000	4478.906	4392.773
28	Spectrogram 1	2	3.200779161	3.201776893	3236.000	6472.000	4478.906	4392.773
29	Spectrogram 1	2	3.201776893	3.202774625	3236.000	6472.000	5512.500	5598.633
30	Spectrogram 1	2	3.202774625	3.203772358	3236.000	6472.000	5512.500	5598.633
31	Spectrogram 1	2	3.203772358	3.204770090	3236.000	6472.000	5512.500	5598.633
32	Spectrogram 1	2	3.204770090	3.205767823	3236.000	6472.000	5512.500	5598.633
33	Spectrogram 1	2	3.205767823	3.206765555	3236.000	6472.000	5512.500	5598.633
34	Spectrogram 1	2	3.206765555	3.207763287	3236.000	6472.000	5598.633	5598.633
35	Spectrogram 1	2	3.207763287	3.208761020	3236.000	6472.000	5598.633	5598.633
36	Spectrogram 1	2	3.208761020	3.209758752	3236.000	6472.000	5598.633	5598.633
37	Spectrogram 1	2	3.209758752	3.210756485	3236.000	6472.000	5598.633	5598.633
38	Spectrogram 1	2	3.210756485	3.211754217	3236.000	6472.000	5598.633	5598.633
39	Spectrogram 1	2	3.211754217	3.212751950	3236.000	6472.000	5598.633	5598.633
40	Spectrogram 1	2	3.212751950	3.213749682	3236.000	6472.000	5167.969	5340.234
41	Spectrogram 1	2	3.213749682	3.214747414	3236.000	6472.000	5167.969	5340.234
42	Spectrogram 1	2	3.214747414	3.215745147	3236.000	6472.000	5167.969	5340.234
43	Spectrogram 1	2	3.215745147	3.216742879	3236.000	6472.000	5167.969	5340.234
44	Spectrogram 1	2	3.216742879	3.217740612	3236.000	6472.000	5167.969	5340.234
45	Spectrogram 1	2	3.217740612	3.218738344	3236.000	6472.000	5167.969	5340.234
46	Spectrogram 1	2	3.218738344	3.219736077	3236.000	6472.000	4737.305	4737.305
47	Spectrogram 1	2	3.219736077	3.220733809	3236.000	6472.000	4737.305	4737.305
48	Spectrogram 1	2	3.220733809	3.221731541	3236.000	6472.000	4737.305	4737.305
49	Spectrogram 1	2	3.221731541	3.222729274	3236.000	6472.000	4737.305	4737.305
50	Spectrogram 1	2	3.222729274	3.223727006	3236.000	6472.000	4737.305	4737.305
51	Spectrogram 1	2	3.223727006	3.224724739	3236.000	6472.000	4737.305	4737.305
52	Spectrogram 1	2	3.224724739	3.225722471	3236.000	6472.000	4392.773	4392.773
53	Spectrogram 1	2	3.225722471	3.226720204	3236.000	6472.000	4392.773	4392.773
54	Spectrogram 1	2	3.226720204	3.227717936	3236.000	6472.000	4392.773	4392.773
55	Spectrogram 1	2	3.227717936	3.228715668	3236.000	6472.000	4392.773	4392.773
56	Spectrogram 1	2	3.228715668	3.229713401	3236.000	6472.000	4392.773	4392.773
57	Spectrogram 1	2	3.229713401	3.230711133	3236.000	6472.000	4392.773	4392.773
58	Spectrogram 1	2	3.230711133	3.231708866	3236.000	6472.000	4220.508	4220.508
59	Spectrogram 1	2	3.231708866	3.232706598	3236.000	6472.000	4220.508	4220.508
60	Spectrogram 1	2	3.232706598	3.233704331	3236.000	6472.000	4220.508	4220.508
61	Spectrogram 1	2	3.233704331	3.234702063	3236.000	6472.000	4220.508	4220.508
62	Spectrogram 1	2	3.234702063	3.235699795	3236.000	6472.000	4220.508	4220.508
63	Spectrogram 1	2	3.235699795	3.236697528	3236.000	6472.000	4220.508	4220.508
64	Spectrogram 1	2	3.236697528	3.237695260	3236.000	6472.000	4134.375	4134.375
65	Spectrogram 1	2	3.237695260	3.238692993	3236.000	6472.000	4134.375	4134.375
66	Spectrogram 1	2	3.238692993	3.239690725	3236.000	6472.000	4134.375	4134.375
67	Spectrogram 1	2	3.239690725	3.240688458	3236.000	6472.000	4134.375	4134.375
68	Spectrogram 1	2	3.240688458	3.241686190	3236.000	6472.000	4134.375	4134.375
69	Spectrogram 1	2	3.241686190	3.242683922	3236.000	6472.000	3875.977	3875.977
70	Spectrogram 1	2	3.242683922	3.243681655	3236.000	6472.000	3875.977	3875.977
71	Spectrogram 1	2	3.243681655	3.244679387	3236.000	6472.000	3875.977	3875.977
72	Spectrogram 1	2	3.244679387	3.245677120	3236.000	6472.000	3875.977	3875.977
73	Spectrogram 1	2	3.245677120	3.246674852	3236.000	6472.000	3875.977	3875.977
74	Spectrogram 1	2	3.246674852	3.247672585	3236.000	6472.000	3875.977	3875.977
75	Spectrogram 1	2	3.247672585	3.248670317	3236.000	6472.000	3875.977	3789.844
76	Spectrogram 1	2	3.248670317	3.249668049	3236.000	6472.000	3875.977	3789.844
77	Spectrogram 1	2	3.249668049	3.250665782	3236.000	6472.000	3875.977	3789.844
78	Spectrogram 1	2	3.250665782	3.251663514	3236.000	6472.000	3875.977	3789.844
79	Spectrogram 1	2	3.251663514	3.252661247	3236.000	6472.000	3875.977	3789.844
80	Spectrogram 1	2	3.252661247	3.253658979	3236.000	6472.000	3875.977	3789.844
81	Spectrogram 1	2	3.253658979	3.254656712	3236.000	6472.000	3789.844	3789.844
82	Spectrogram 1	2	3.254656712	3.255654444	3236.000	6472.000	3789.844	3789.844
83	Spectrogram 1	2	3.255654444	3.256652176	3236.000	6472.000	3789.844	3789.844
84	Spectrogram 1	2	3.256652176	3.257649909	3236.000	6472.000	3789.844	3789.844
85	Spectrogram 1	2	3.257649909	3.258647641	3236.000	6472.000	3789.844	3789.844
86	Spectrogram 1	2	3.258647641	3.259645374	3236.000	6472.000	3789.844	3789.844
87	Spectrogram 1	2	3.259645374	3.260643106	3236.000	6472.000	3875.977	3875.977
88	Spectrogram 1	2	3.260643106	3.261640839	3236.000	6472.000	3875.977	3875.977
89	Spectrogram 1	2	3.261640839	3.262638571	3236.000	6472.000	3875.977	3875.977
90	Spectrogram 1	2	3.262638571	3.263636303	3236.000	6472.000	3875.977	3875.977
91	Spectrogram 1	2	3.263636303	3.264634036	3236.000	6472.000	3875.977	3875.977
92	Spectrogram 1	2	3.264634036	3.265631768	3236.000	6472.000	3875.977	3875.977
93	Spectrogram 1	2	3.265631768	3.266629501	3236.000	6472.000	4220.508	4220.508
94	Spectrogram 1	2	3.266629501	3.267627233	3236.000	6472.000	4220.508	4220.508
95	Spectrogram 1	2	3.267627233	3.268624965	3236.000	6472.000	4220.508	4220.508
96	Spectrogram 1	2	3.268624965	3.269622698	3236.000	6472.000	4220.508	4220.508
97	Spectrogram 1	2	3.269622698	3.270620430	3236.000	6472.000	4220.508	4220.508
98	Spectrogram 1	2	3.270620430	3.271618163	3236.000	6472.000	4306.641	4306.641
99	Spectrogram 1	2	3.271618163	3.272615895	3236.000	6472.000	4306.641	4306.641
100	Spectrogram 1	2	3.272615895	3.273613628	3236.000	6472.000	4306.641	4306.641
101	Spectrogram 1	2	3.273613628	3.274611360	3236.000	6472.000	4306.641	4306.641
102	Spectrogram 1	2	3.274611360	3.275609092	3236.000	6472.000	4306.641	4306.641
103	Spectrogram 1	2	3.275609092	3.276606825	3236.000	6472.000	4306.641	4306.641
104	Spectrogram 1	2	3.276606825	3.277604557	3236.000	6472.000	4306.641	4306.641
105	Spectrogram 1	2	3.277604557	3.278602290	3236.000	6472.000	4306.641	4306.641
106	Spectrogram 1	2	3.278602290	3.279600022	3236.000	6472.000	4306.641	4306.641
107	Spectrogram 1	2	3.279600022	3.280597755	3236.000	6472.000	4306.641	4306.641
108	Spectrogram 1	2	3.280597755	3.281595487	3236.000	6472.000	4306.641	4306.641
109	Spectrogram 1	2	3.281595487	3.282593219	3236.000	6472.000	4306.641	4306.641
110	Spectrogram 1	2	3.282593219	3.283590952	3236.000	6472.000	4220.508	4220.508
111	Spectrogram 1	2	3.283590952	3.284588684	3236.000	6472.000	4220.508	4220.508
112	Spectrogram 1	2	3.284588684	3.285586417	3236.000	6472.000	4220.508	4220.508
113	Spectrogram 1	2	3.285586417	3.286584149	3236.000	6472.000	4220.508	4220.508
114	Spectrogram 1	2	3.286584149	3.287581882	3236.000	6472.000	4220.508	4220.508
115	Spectrogram 1	2	3.287581882	3.288579614	3236.000	6472.000	4220.508	4220.508
116	Spectrogram 1	2	3.288579614	3.289577346	3236.000	6472.000	4048.242	3875.977
117	Spectrogram 1	2	3.289577346	3.290575079	3236.000	6472.000	4048.242	3875.977
118	Spectrogram 1	2	3.290575079	3.291572811	3236.000	6472.000	4048.242	3875.977
119	Spectrogram 1	2	3.291572811	3.292570544	3236.000	6472.000	4048.242	3875.977
120	Spectrogram 1	2	3.292570544	3.293568276	3236.000	6472.000	4048.242	3875.977
121	Spectrogram 1	2	3.293568276	3.294566009	3236.000	6472.000	4048.242	3875.977
122	Spectrogram 1	2	3.294566009	3.295563741	3236.000	6472.000	3789.844	3703.711
123	Spectrogram 1	2	3.295563741	3.296561473	3236.000	6472.000	3789.844	3703.711
124	Spectrogram 1	2	3.296561473	3.297559206	3236.000	6472.000	3789.844	3703.711
125	Spectrogram 1	2	3.297559206	3.298556938	3236.000	6472.000	3789.844	3703.711
126	Spectrogram 1	2	3.298556938	3.299554671	3236.000	6472.000	3789.844	3703.711
127	Spectrogram 1	2	3.299554671	3.300552403	3236.000	6472.000	3789.844	3703.711
128	Spectrogram 1	2	3.300552403	3.301550136	3236.000	6472.000	3617.578	3617.578
129	Spectrogram 1	2	3.301550136	3.302547868	3236.000	6472.000	3617.578	3617.578
130	Spectrogram 1	2	3.302547868	3.303545600	3236.000	6472.000	3617.578	3617.578
131	Spectrogram 1	2	3.303545600	3.304543333	3236.000	6472.000	3617.578	3617.578
132	Spectrogram 1	2	3.304543333	3.305541065	3236.000	6472.000	3617.578	3617.578
133	Spectrogram 1	2	3.305541065	3.306538798	3236.000	6472.000	3531.445	3445.312
134	Spectrogram 1	2	3.306538798	3.307536530	3236.000	6472.000	3531.445	3445.312
135	Spectrogram 1	2	3.307536530	3.308534263	3236.000	6472.000	3531.445	3445.312
136	Spectrogram 1	2	3.308534263	3.309531995	3236.000	6472.000	3531.445	3445.312
137	Spectrogram 1	2	3.309531995	3.310529727	3236.000	6472.000	3531.445	3445.312
138	Spectrogram 1	2	3.310529727	3.311527460	3236.000	6472.000	3531.445	3445.312
139	Spectrogram 1	2	3.311527460	3.312525192	3236.000	6472.000	3875.977	3875.977
140	Spectrogram 1	2	3.312525192	3.313522925	3236.000	6472.000	3875.977	3875.977
141	Spectrogram 1	2	3.313522925	3.314520657	3236.000	6472.000	3875.977	3875.977
142	Spectrogram 1	2	3.314520657	3.315518390	3236.000	6472.000	3875.977	3875.977
143	Spectrogram 1	2	3.315518390	3.316516122	3236.000	6472.000	3875.977	3875.977
144	Spectrogram 1	2	3.316516122	3.317513854	3236.000	6472.000	3875.977	3875.977
145	Spectrogram 1	2	3.317513854	3.318511587	3236.000	6472.000	4220.508	4306.641
146	Spectrogram 1	2	3.318511587	3.319509319	3236.000	6472.000	4220.508	4306.641
147	Spectrogram 1	2	3.319509319	3.320507052	3236.000	6472.000	4220.508	4306.641
148	Spectrogram 1	2	3.320507052	3.321504784	3236.000	6472.000	4220.508	4306.641
149	Spectrogram 1	2	3.321504784	3.322502517	3236.000	6472.000	4220.508	4306.641
150	Spectrogram 1	2	3.322502517	3.323500249	3236.000	6472.000	4220.508	4306.641
151	Spectrogram 1	2	3.323500249	3.324497981	3236.000	6472.000	4220.508	4220.508
152	Spectrogram 1	2	3.324497981	3.325495714	3236.000	6472.000	4220.508	4220.508
153	Spectrogram 1	2	3.325495714	3.326493446	3236.000	6472.000	4220.508	4220.508
154	Spectrogram 1	2	3.326493446	3.327491179	3236.000	6472.000	4220.508	4220.508
155	Spectrogram 1	2	3.327491179	3.328488911	3236.000	6472.000	4220.508	4220.508
156	Spectrogram 1	2	3.328488911	3.329486644	3236.000	6472.000	4220.508	4220.508
157	Spectrogram 1	2	3.329486644	3.330484376	3236.000	6472.000	3617.578	3531.445
158	Spectrogram 1	2	3.330484376	3.331482108	3236.000	6472.000	3617.578	3531.445
159	Spectrogram 1	2	3.331482108	3.332479841	3236.000	6472.000	3617.578	3531.445
160	Spectrogram 1	2	3.332479841	3.333477573	3236.000	6472.000	3617.578	3531.445
161	Spectrogram 1	2	3.333477573	3.334475306	3236.000	6472.000	3617.578	3531.445
162	Spectrogram 1	2	3.334475306	3.335473038	3236.000	6472.000	4220.508	4220.508
163	Spectrogram 1	2	3.335473038	3.336470770	3236.000	6472.000	4220.508	4220.508
164	Spectrogram 1	2	3.336470770	3.337468503	3236.000	6472.000	4220.508	4220.508
165	Spectrogram 1	2	3.337468503	3.338466235	3236.000	6472.000	4220.508	4220.508
166	Spectrogram 1	2	3.338466235	3.339463968	3236.000	6472.000	4220.508	4220.508
167	Spectrogram 1	2	3.339463968	3.340461700	3236.000	6472.000	4220.508	4220.508
168	Spectrogram 1	2	3.340461700	3.341459433	3236.000	6472.000	4651.172	4737.305
169	Spectrogram 1	2	3.341459433	3.342457165	3236.000	6472.000	4651.172	4737.305
170	Spectrogram 1	2	3.342457165	3.343454897	3236.000	6472.000	4651.172	4737.305
171	Spectrogram 1	2	3.343454897	3.344452630	3236.000	6472.000	4651.172	4737.305
172	Spectrogram 1	2	3.344452630	3.345450362	3236.000	6472.000	4651.172	4737.305
173	Spectrogram 1	2	3.345450362	3.346448095	3236.000	6472.000	4651.172	4737.305
174	Spectrogram 1	2	3.346448095	3.347445827	3236.000	6472.000	4823.438	4909.570
175	Spectrogram 1	2	3.347445827	3.348443560	3236.000	6472.000	4823.438	4909.570
176	Spectrogram 1	2	3.348443560	3.349441292	3236.000	6472.000	4823.438	4909.570
177	Spectrogram 1	2	3.349441292	3.350439024	3236.000	6472.000	4823.438	4909.570
178	Spectrogram 1	2	3.350439024	3.351436757	3236.000	6472.000	4823.438	4909.570
179	Spectrogram 1	2	3.351436757	3.352434489	3236.000	6472.000	4823.438	4909.570
180	Spectrogram 1	2	3.352434489	3.353432222	3236.000	6472.000	4909.570	4909.570
181	Spectrogram 1	2	3.353432222	3.354429954	3236.000	6472.000	4909.570	4909.570
182	Spectrogram 1	2	3.354429954	3.355427687	3236.000	6472.000	4909.570	4909.570
183	Spectrogram 1	2	3.355427687	3.356425419	3236.000	6472.000	4909.570	4909.570
184	Spectrogram 1	2	3.356425419	3.357423151	3236.000	6472.000	4909.570	4909.570
185	Spectrogram 1	2	3.357423151	3.358420884	3236.000	6472.000	4909.570	4909.570
186	Spectrogram 1	2	3.358420884	3.359418616	3236.000	6472.000	4909.570	4909.570
187	Spectrogram 1	2	3.359418616	3.360416349	3236.000	6472.000	4909.570	4909.570
188	Spectrogram 1	2	3.360416349	3.361414081	3236.000	6472.000	4909.570	4909.570
189	Spectrogram 1	2	3.361414081	3.362411814	3236.000	6472.000	4909.570	4909.570
190	Spectrogram 1	2	3.362411814	3.363409546	3236.000	6472.000	4909.570	4909.570
191	Spectrogram 1	2	3.363409546	3.364407278	3236.000	6472.000	4909.570	4909.570
192	Spectrogram 1	2	3.364407278	3.365405011	3236.000	6472.000	4995.703	5081.836
193	Spectrogram 1	2	3.365405011	3.366402743	3236.000	6472.000	4995.703	5081.836
194	Spectrogram 1	2	3.366402743	3.367400476	3236.000	6472.000	4995.703	5081.836
195	Spectrogram 1	2	3.367400476	3.368398208	3236.000	6472.000	4995.703	5081.836
196	Spectrogram 1	2	3.368398208	3.369395941	3236.000	6472.000	4995.703	5081.836
197	Spectrogram 1	2	3.369395941	3.370393673	3236.000	6472.000	5167.969	5167.969
198	Spectrogram 1	2	3.370393673	3.371391405	3236.000	6472.000	5167.969	5167.969
199	Spectrogram 1	2	3.371391405	3.372389138	3236.000	6472.000	5167.969	5167.969
200	Spectrogram 1	2	3.372389138	3.373386870	3236.000	6472.000	5167.969	5167.969
201	Spectrogram 1	2	3.373386870	3.374384603	3236.000	6472.000	5167.969	5167.969
202	Spectrogram 1	2	3.374384603	3.375382335	3236.000	6472.000	5167.969	5167.969
203	Spectrogram 1	2	3.375382335	3.376380068	3236.000	6472.000	5254.102	5254.102
204	Spectrogram 1	2	3.376380068	3.377377800	3236.000	6472.000	5254.102	5254.102
205	Spectrogram 1	2	3.377377800	3.378375532	3236.000	6472.000	5254.102	5254.102
206	Spectrogram 1	2	3.378375532	3.379373265	3236.000	6472.000	5254.102	5254.102
207	Spectrogram 1	2	3.379373265	3.380370997	3236.000	6472.000	5254.102	5254.102
208	Spectrogram 1	2	3.380370997	3.381368730	3236.000	6472.000	5254.102	5254.102
209	Spectrogram 1	2	3.381368730	3.382366462	3236.000	6472.000	5254.102	5254.102
210	Spectrogram 1	2	3.382366462	3.383364195	3236.000	6472.000	5254.102	5254.102
211	Spectrogram 1	2	3.383364195	3.384361927	3236.000	6472.000	5254.102	5254.102
212	Spectrogram 1	2	3.384361927	3.385359659	3236.000	6472.000	5254.102	5254.102
213	Spectrogram 1	2	3.385359659	3.386357392	3236.000	6472.000	5254.102	5254.102
214	Spectrogram 1	2	3.386357392	3.387355124	3236.000	6472.000	5254.102	5254.102
215	Spectrogram 1	2	3.387355124	3.388352857	3236.000	6472.000	5684.766	5684.766
216	Spectrogram 1	2	3.388352857	3.389350589	3236.000	6472.000	5684.766	5684.766
217	Spectrogram 1	2	3.389350589	3.390348322	3236.000	6472.000	5684.766	5684.766
218	Spectrogram 1	2	3.390348322	3.391346054	3236.000	6472.000	5684.766	5684.766
219	Spectrogram 1	2	3.391346054	3.392343786	3236.000	6472.000	5684.766	5684.766
220	Spectrogram 1	2	3.392343786	3.393341519	3236.000	6472.000	5684.766	5684.766
221	Spectrogram 1	2	3.393341519	3.394339251	3236.000	6472.000	5857.031	5943.164
222	Spectrogram 1	2	3.394339251	3.395336984	3236.000	6472.000	5857.031	5943.164
223	Spectrogram 1	2	3.395336984	3.396334716	3236.000	6472.000	5857.031	5943.164
