Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	12.379100000	12.380100000	3057.800	6000.000	4125.000	4031.250
2	Spectrogram 1	1	12.380100000	12.381100000	3057.800	6000.000	4125.000	4031.250
3	Spectrogram 1	1	12.381100000	12.382100000	3057.800	6000.000	4312.500	4312.500
4	Spectrogram 1	1	12.382100000	12.383100000	3057.800	6000.000	4312.500	4312.500
5	Spectrogram 1	1	12.383100000	12.384100000	3057.800	6000.000	4312.500	4312.500
6	Spectrogram 1	1	12.384100000	12.385100000	3057.800	6000.000	4312.500	4312.500
7	Spectrogram 1	1	12.385100000	12.386100000	3057.800	6000.000	4312.500	4312.500
8	Spectrogram 1	1	12.386100000	12.387100000	3057.800	6000.000	4312.500	4312.500
9	Spectrogram 1	1	12.387100000	12.388100000	3057.800	6000.000	4875.000	4781.250
10	Spectrogram 1	1	12.388100000	12.389100000	3057.800	6000.000	4875.000	4781.250
11	Spectrogram 1	1	12.389100000	12.390100000	3057.800	6000.000	4875.000	4781.250
12	Spectrogram 1	1	12.390100000	12.391100000	3057.800	6000.000	4875.000	4781.250
13	Spectrogram 1	1	12.391100000	12.392100000	3057.800	6000.000	4875.000	4781.250
14	Spectrogram 1	1	12.392100000	12.393100000	3057.800	6000.000	5625.000	5625.000
15	Spectrogram 1	1	12.393100000	12.394100000	3057.800	6000.000	5625.000	5625.000
16	Spectrogram 1	1	12.394100000	12.395100000	3057.800	6000.000	5625.000	5625.000
17	Spectrogram 1	1	12.395100000	12.396100000	3057.800	6000.000	5625.000	5625.000
18	Spectrogram 1	1	12.396100000	12.397100000	3057.800	6000.000	5625.000	5625.000
19	Spectrogram 1	1	12.397100000	12.398100000	3057.800	6000.000	5531.250	5625.000
20	Spectrogram 1	1	12.398100000	12.399100000	3057.800	6000.000	5531.250	5625.000
21	Spectrogram 1	1	12.399100000	12.400100000	3057.800	6000.000	5531.250	5625.000
22	Spectrogram 1	1	12.400100000	12.401100000	3057.800	6000.000	5531.250	5625.000
23	Spectrogram 1	1	12.401100000	12.402100000	3057.800	6000.000	5531.250	5625.000
24	Spectrogram 1	1	12.402100000	12.403100000	3057.800	6000.000	5531.250	5625.000
25	Spectrogram 1	1	12.403100000	12.404100000	3057.800	6000.000	5062.500	5062.500
26	Spectrogram 1	1	12.404100000	12.405100000	3057.800	6000.000	5062.500	5062.500
27	Spectrogram 1	1	12.405100000	12.406100000	3057.800	6000.000	5062.500	5062.500
28	Spectrogram 1	1	12.406100000	12.407100000	3057.800	6000.000	5062.500	5062.500
29	Spectrogram 1	1	12.407100000	12.408100000	3057.800	6000.000	5062.500	5062.500
30	Spectrogram 1	1	12.408100000	12.409100000	3057.800	6000.000	4593.750	4593.750
31	Spectrogram 1	1	12.409100000	12.410100000	3057.800	6000.000	4593.750	4593.750
32	Spectrogram 1	1	12.410100000	12.411100000	3057.800	6000.000	4593.750	4593.750
33	Spectrogram 1	1	12.411100000	12.412100000	3057.800	6000.000	4593.750	4593.750
34	Spectrogram 1	1	12.412100000	12.413100000	3057.800	6000.000	4593.750	4593.750
35	Spectrogram 1	1	12.413100000	12.414100000	3057.800	6000.000	4406.250	4406.250
36	Spectrogram 1	1	12.414100000	12.415100000	3057.800	6000.000	4406.250	4406.250
37	Spectrogram 1	1	12.415100000	12.416100000	3057.800	6000.000	4406.250	4406.250
38	Spectrogram 1	1	12.416100000	12.417100000	3057.800	6000.000	4406.250	4406.250
39	Spectrogram 1	1	12.417100000	12.418100000	3057.800	6000.000	4406.250	4406.250
40	Spectrogram 1	1	12.418100000	12.419100000	3057.800	6000.000	4406.250	4406.250
41	Spectrogram 1	1	12.419100000	12.420100000	3057.800	6000.000	4125.000	4125.000
42	Spectrogram 1	1	12.420100000	12.421100000	3057.800	6000.000	4125.000	4125.000
43	Spectrogram 1	1	12.421100000	12.422100000	3057.800	6000.000	4125.000	4125.000
44	Spectrogram 1	1	12.422100000	12.423100000	3057.800	6000.000	4125.000	4125.000
45	Spectrogram 1	1	12.423100000	12.424100000	3057.800	6000.000	4125.000	4125.000
46	Spectrogram 1	1	12.424100000	12.425100000	3057.800	6000.000	3937.500	3937.500
47	Spectrogram 1	1	12.425100000	12.426100000	3057.800	6000.000	3937.500	3937.500
48	Spectrogram 1	1	12.426100000	12.427100000	3057.800	6000.000	3937.500	3937.500
49	Spectrogram 1	1	12.427100000	12.428100000	3057.800	6000.000	3937.500	3937.500
50	Spectrogram 1	1	12.428100000	12.429100000	3057.800	6000.000	3937.500	3937.500
51	Spectrogram 1	1	12.429100000	12.430100000	3057.800	6000.000	3843.750	3843.750
52	Spectrogram 1	1	12.430100000	12.431100000	3057.800	6000.000	3843.750	3843.750
53	Spectrogram 1	1	12.431100000	12.432100000	3057.800	6000.000	3843.750	3843.750
54	Spectrogram 1	1	12.432100000	12.433100000	3057.800	6000.000	3843.750	3843.750
55	Spectrogram 1	1	12.433100000	12.434100000	3057.800	6000.000	3843.750	3843.750
56	Spectrogram 1	1	12.434100000	12.435100000	3057.800	6000.000	3843.750	3843.750
