Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	1.606614005	1.607611737	3175.000	6094.900	5770.898	5770.898
2	Spectrogram 1	1	1.607611737	1.608609470	3175.000	6094.900	5770.898	5770.898
3	Spectrogram 1	1	1.608609470	1.609607202	3175.000	6094.900	5770.898	5770.898
4	Spectrogram 1	1	1.609607202	1.610604935	3175.000	6094.900	5770.898	5770.898
5	Spectrogram 1	1	1.610604935	1.611602667	3175.000	6094.900	5684.766	5684.766
6	Spectrogram 1	1	1.611602667	1.612600400	3175.000	6094.900	5684.766	5684.766
7	Spectrogram 1	1	1.612600400	1.613598132	3175.000	6094.900	5684.766	5684.766
8	Spectrogram 1	1	1.613598132	1.614595864	3175.000	6094.900	5684.766	5684.766
9	Spectrogram 1	1	1.614595864	1.615593597	3175.000	6094.900	5684.766	5684.766
10	Spectrogram 1	1	1.615593597	1.616591329	3175.000	6094.900	5684.766	5684.766
11	Spectrogram 1	1	1.616591329	1.617589062	3175.000	6094.900	4823.438	4392.773
12	Spectrogram 1	1	1.617589062	1.618586794	3175.000	6094.900	4823.438	4392.773
13	Spectrogram 1	1	1.618586794	1.619584527	3175.000	6094.900	4823.438	4392.773
14	Spectrogram 1	1	1.619584527	1.620582259	3175.000	6094.900	4823.438	4392.773
15	Spectrogram 1	1	1.620582259	1.621579991	3175.000	6094.900	4823.438	4392.773
16	Spectrogram 1	1	1.621579991	1.622577724	3175.000	6094.900	4823.438	4392.773
17	Spectrogram 1	1	1.622577724	1.623575456	3175.000	6094.900	4306.641	4306.641
18	Spectrogram 1	1	1.623575456	1.624573189	3175.000	6094.900	4306.641	4306.641
19	Spectrogram 1	1	1.624573189	1.625570921	3175.000	6094.900	4306.641	4306.641
20	Spectrogram 1	1	1.625570921	1.626568654	3175.000	6094.900	4306.641	4306.641
21	Spectrogram 1	1	1.626568654	1.627566386	3175.000	6094.900	4306.641	4306.641
22	Spectrogram 1	1	1.627566386	1.628564118	3175.000	6094.900	4306.641	4306.641
23	Spectrogram 1	1	1.628564118	1.629561851	3175.000	6094.900	4823.438	4909.570
24	Spectrogram 1	1	1.629561851	1.630559583	3175.000	6094.900	4823.438	4909.570
25	Spectrogram 1	1	1.630559583	1.631557316	3175.000	6094.900	4823.438	4909.570
