Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.263646029	0.264646029	3899.200	7260.500	5812.500	5812.500
2	Spectrogram 1	1	0.264646029	0.265646029	3899.200	7260.500	5812.500	5812.500
3	Spectrogram 1	1	0.265646029	0.266646029	3899.200	7260.500	5812.500	5812.500
4	Spectrogram 1	1	0.266646029	0.267646029	3899.200	7260.500	5812.500	5812.500
5	Spectrogram 1	1	0.267646029	0.268646029	3899.200	7260.500	5812.500	5812.500
6	Spectrogram 1	1	0.268646029	0.269646029	3899.200	7260.500	5812.500	5812.500
7	Spectrogram 1	1	0.269646029	0.270646029	3899.200	7260.500	5531.250	5437.500
8	Spectrogram 1	1	0.270646029	0.271646029	3899.200	7260.500	5531.250	5437.500
9	Spectrogram 1	1	0.271646029	0.272646029	3899.200	7260.500	5531.250	5437.500
10	Spectrogram 1	1	0.272646029	0.273646029	3899.200	7260.500	5531.250	5437.500
11	Spectrogram 1	1	0.273646029	0.274646029	3899.200	7260.500	5531.250	5437.500
12	Spectrogram 1	1	0.274646029	0.275646029	3899.200	7260.500	5062.500	5062.500
13	Spectrogram 1	1	0.275646029	0.276646029	3899.200	7260.500	5062.500	5062.500
14	Spectrogram 1	1	0.276646029	0.277646029	3899.200	7260.500	5062.500	5062.500
15	Spectrogram 1	1	0.277646029	0.278646029	3899.200	7260.500	5062.500	5062.500
16	Spectrogram 1	1	0.278646029	0.279646029	3899.200	7260.500	5062.500	5062.500
17	Spectrogram 1	1	0.279646029	0.280646029	3899.200	7260.500	4875.000	4875.000
18	Spectrogram 1	1	0.280646029	0.281646029	3899.200	7260.500	4875.000	4875.000
19	Spectrogram 1	1	0.281646029	0.282646029	3899.200	7260.500	4875.000	4875.000
20	Spectrogram 1	1	0.282646029	0.283646029	3899.200	7260.500	4875.000	4875.000
21	Spectrogram 1	1	0.283646029	0.284646029	3899.200	7260.500	4875.000	4875.000
22	Spectrogram 1	1	0.284646029	0.285646029	3899.200	7260.500	4875.000	4875.000
23	Spectrogram 1	1	0.285646029	0.286646029	3899.200	7260.500	4875.000	4875.000
24	Spectrogram 1	1	0.286646029	0.287646029	3899.200	7260.500	4875.000	4875.000
25	Spectrogram 1	1	0.287646029	0.288646029	3899.200	7260.500	4875.000	4875.000
26	Spectrogram 1	1	0.288646029	0.289646029	3899.200	7260.500	4875.000	4875.000
