Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	81.641478586	81.642478586	2783.172	6379.700	5156.250	5156.250
2	Spectrogram 1	1	81.642478586	81.643478586	2783.172	6379.700	5156.250	5156.250
3	Spectrogram 1	1	81.643478586	81.644478586	2783.172	6379.700	5156.250	5156.250
4	Spectrogram 1	1	81.644478586	81.645478586	2783.172	6379.700	5156.250	5156.250
5	Spectrogram 1	1	81.645478586	81.646478586	2783.172	6379.700	5531.250	5625.000
6	Spectrogram 1	1	81.646478586	81.647478586	2783.172	6379.700	5531.250	5625.000
7	Spectrogram 1	1	81.647478586	81.648478586	2783.172	6379.700	5531.250	5625.000
8	Spectrogram 1	1	81.648478586	81.649478586	2783.172	6379.700	5531.250	5625.000
9	Spectrogram 1	1	81.649478586	81.650478586	2783.172	6379.700	5531.250	5625.000
10	Spectrogram 1	1	81.650478586	81.651478586	2783.172	6379.700	5812.500	5812.500
11	Spectrogram 1	1	81.651478586	81.652478586	2783.172	6379.700	5812.500	5812.500
12	Spectrogram 1	1	81.652478586	81.653478586	2783.172	6379.700	5812.500	5812.500
13	Spectrogram 1	1	81.653478586	81.654478586	2783.172	6379.700	5812.500	5812.500
14	Spectrogram 1	1	81.654478586	81.655478586	2783.172	6379.700	5812.500	5812.500
15	Spectrogram 1	1	81.655478586	81.656478586	2783.172	6379.700	5812.500	5812.500
16	Spectrogram 1	1	81.656478586	81.657478586	2783.172	6379.700	5343.750	5343.750
17	Spectrogram 1	1	81.657478586	81.658478586	2783.172	6379.700	5343.750	5343.750
18	Spectrogram 1	1	81.658478586	81.659478586	2783.172	6379.700	5343.750	5343.750
19	Spectrogram 1	1	81.659478586	81.660478586	2783.172	6379.700	5343.750	5343.750
20	Spectrogram 1	1	81.660478586	81.661478586	2783.172	6379.700	5343.750	5343.750
21	Spectrogram 1	1	81.661478586	81.662478586	2783.172	6379.700	5062.500	5062.500
22	Spectrogram 1	1	81.662478586	81.663478586	2783.172	6379.700	5062.500	5062.500
23	Spectrogram 1	1	81.663478586	81.664478586	2783.172	6379.700	5062.500	5062.500
24	Spectrogram 1	1	81.664478586	81.665478586	2783.172	6379.700	5062.500	5062.500
25	Spectrogram 1	1	81.665478586	81.666478586	2783.172	6379.700	5062.500	5062.500
26	Spectrogram 1	1	81.666478586	81.667478586	2783.172	6379.700	4593.750	4593.750
27	Spectrogram 1	1	81.667478586	81.668478586	2783.172	6379.700	4593.750	4593.750
28	Spectrogram 1	1	81.668478586	81.669478586	2783.172	6379.700	4593.750	4593.750
29	Spectrogram 1	1	81.669478586	81.670478586	2783.172	6379.700	4593.750	4593.750
30	Spectrogram 1	1	81.670478586	81.671478586	2783.172	6379.700	4593.750	4593.750
31	Spectrogram 1	1	81.671478586	81.672478586	2783.172	6379.700	4593.750	4593.750
32	Spectrogram 1	1	81.672478586	81.673478586	2783.172	6379.700	4406.250	4406.250
33	Spectrogram 1	1	81.673478586	81.674478586	2783.172	6379.700	4406.250	4406.250
34	Spectrogram 1	1	81.674478586	81.675478586	2783.172	6379.700	4406.250	4406.250
35	Spectrogram 1	1	81.675478586	81.676478586	2783.172	6379.700	4406.250	4406.250
36	Spectrogram 1	1	81.676478586	81.677478586	2783.172	6379.700	4406.250	4406.250
37	Spectrogram 1	1	81.677478586	81.678478586	2783.172	6379.700	4218.750	4218.750
38	Spectrogram 1	1	81.678478586	81.679478586	2783.172	6379.700	4218.750	4218.750
39	Spectrogram 1	1	81.679478586	81.680478586	2783.172	6379.700	4218.750	4218.750
40	Spectrogram 1	1	81.680478586	81.681478586	2783.172	6379.700	4218.750	4218.750
41	Spectrogram 1	1	81.681478586	81.682478586	2783.172	6379.700	4218.750	4218.750
42	Spectrogram 1	1	81.682478586	81.683478586	2783.172	6379.700	3843.750	3843.750
43	Spectrogram 1	1	81.683478586	81.684478586	2783.172	6379.700	3843.750	3843.750
44	Spectrogram 1	1	81.684478586	81.685478586	2783.172	6379.700	3843.750	3843.750
45	Spectrogram 1	1	81.685478586	81.686478586	2783.172	6379.700	3843.750	3843.750
46	Spectrogram 1	1	81.686478586	81.687478586	2783.172	6379.700	3843.750	3843.750
47	Spectrogram 1	1	81.687478586	81.688478586	2783.172	6379.700	3843.750	3843.750
48	Spectrogram 1	1	81.688478586	81.689478586	2783.172	6379.700	3562.500	3562.500
49	Spectrogram 1	1	81.689478586	81.690478586	2783.172	6379.700	3562.500	3562.500
50	Spectrogram 1	1	81.690478586	81.691478586	2783.172	6379.700	3562.500	3562.500
51	Spectrogram 1	1	81.691478586	81.692478586	2783.172	6379.700	3562.500	3562.500
52	Spectrogram 1	1	81.692478586	81.693478586	2783.172	6379.700	3562.500	3562.500
53	Spectrogram 1	1	81.693478586	81.694478586	2783.172	6379.700	3281.250	3281.250
54	Spectrogram 1	1	81.694478586	81.695478586	2783.172	6379.700	3281.250	3281.250
55	Spectrogram 1	1	81.695478586	81.696478586	2783.172	6379.700	3281.250	3281.250
