Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.975637707	0.976637707	2649.554	6405.884	5437.500	5437.500
2	Spectrogram 1	1	0.976637707	0.977637707	2649.554	6405.884	5437.500	5437.500
3	Spectrogram 1	1	0.977637707	0.978637707	2649.554	6405.884	5437.500	5437.500
4	Spectrogram 1	1	0.978637707	0.979637707	2649.554	6405.884	6000.000	6093.750
5	Spectrogram 1	1	0.979637707	0.980637707	2649.554	6405.884	6000.000	6093.750
6	Spectrogram 1	1	0.980637707	0.981637707	2649.554	6405.884	6000.000	6093.750
7	Spectrogram 1	1	0.981637707	0.982637707	2649.554	6405.884	6000.000	6093.750
8	Spectrogram 1	1	0.982637707	0.983637707	2649.554	6405.884	6000.000	6093.750
9	Spectrogram 1	1	0.983637707	0.984637707	2649.554	6405.884	6187.500	6187.500
10	Spectrogram 1	1	0.984637707	0.985637707	2649.554	6405.884	6187.500	6187.500
11	Spectrogram 1	1	0.985637707	0.986637707	2649.554	6405.884	6187.500	6187.500
12	Spectrogram 1	1	0.986637707	0.987637707	2649.554	6405.884	6187.500	6187.500
13	Spectrogram 1	1	0.987637707	0.988637707	2649.554	6405.884	6187.500	6187.500
14	Spectrogram 1	1	0.988637707	0.989637707	2649.554	6405.884	6187.500	6187.500
15	Spectrogram 1	1	0.989637707	0.990637707	2649.554	6405.884	5531.250	5437.500
16	Spectrogram 1	1	0.990637707	0.991637707	2649.554	6405.884	5531.250	5437.500
17	Spectrogram 1	1	0.991637707	0.992637707	2649.554	6405.884	5531.250	5437.500
18	Spectrogram 1	1	0.992637707	0.993637707	2649.554	6405.884	5531.250	5437.500
19	Spectrogram 1	1	0.993637707	0.994637707	2649.554	6405.884	5531.250	5437.500
20	Spectrogram 1	1	0.994637707	0.995637707	2649.554	6405.884	4500.000	4500.000
21	Spectrogram 1	1	0.995637707	0.996637707	2649.554	6405.884	4500.000	4500.000
22	Spectrogram 1	1	0.996637707	0.997637707	2649.554	6405.884	4500.000	4500.000
23	Spectrogram 1	1	0.997637707	0.998637707	2649.554	6405.884	4500.000	4500.000
24	Spectrogram 1	1	0.998637707	0.999637707	2649.554	6405.884	4500.000	4500.000
25	Spectrogram 1	1	0.999637707	1.000637707	2649.554	6405.884	4593.750	4593.750
26	Spectrogram 1	1	1.000637707	1.001637707	2649.554	6405.884	4593.750	4593.750
27	Spectrogram 1	1	1.001637707	1.002637707	2649.554	6405.884	4593.750	4593.750
28	Spectrogram 1	1	1.002637707	1.003637707	2649.554	6405.884	4593.750	4593.750
29	Spectrogram 1	1	1.003637707	1.004637707	2649.554	6405.884	4593.750	4593.750
30	Spectrogram 1	1	1.004637707	1.005637707	2649.554	6405.884	4593.750	4593.750
31	Spectrogram 1	1	1.005637707	1.006637707	2649.554	6405.884	4968.750	4968.750
32	Spectrogram 1	1	1.006637707	1.007637707	2649.554	6405.884	4968.750	4968.750
33	Spectrogram 1	1	1.007637707	1.008637707	2649.554	6405.884	4968.750	4968.750
34	Spectrogram 1	1	1.008637707	1.009637707	2649.554	6405.884	4968.750	4968.750
35	Spectrogram 1	1	1.009637707	1.010637707	2649.554	6405.884	4968.750	4968.750
36	Spectrogram 1	1	1.010637707	1.011637707	2649.554	6405.884	5250.000	5250.000
37	Spectrogram 1	1	1.011637707	1.012637707	2649.554	6405.884	5250.000	5250.000
38	Spectrogram 1	1	1.012637707	1.013637707	2649.554	6405.884	5250.000	5250.000
39	Spectrogram 1	1	1.013637707	1.014637707	2649.554	6405.884	5250.000	5250.000
40	Spectrogram 1	1	1.014637707	1.015637707	2649.554	6405.884	5250.000	5250.000
41	Spectrogram 1	1	1.015637707	1.016637707	2649.554	6405.884	5437.500	5437.500
42	Spectrogram 1	1	1.016637707	1.017637707	2649.554	6405.884	5437.500	5437.500
43	Spectrogram 1	1	1.017637707	1.018637707	2649.554	6405.884	5437.500	5437.500
44	Spectrogram 1	1	1.018637707	1.019637707	2649.554	6405.884	5437.500	5437.500
45	Spectrogram 1	1	1.019637707	1.020637707	2649.554	6405.884	5437.500	5437.500
46	Spectrogram 1	1	1.020637707	1.021637707	2649.554	6405.884	5437.500	5437.500
47	Spectrogram 1	1	1.021637707	1.022637707	2649.554	6405.884	5156.250	5062.500
48	Spectrogram 1	1	1.022637707	1.023637707	2649.554	6405.884	5156.250	5062.500
49	Spectrogram 1	1	1.023637707	1.024637707	2649.554	6405.884	5156.250	5062.500
50	Spectrogram 1	1	1.024637707	1.025637707	2649.554	6405.884	5156.250	5062.500
51	Spectrogram 1	1	1.025637707	1.026637707	2649.554	6405.884	5156.250	5062.500
52	Spectrogram 1	1	1.026637707	1.027637707	2649.554	6405.884	4781.250	4781.250
53	Spectrogram 1	1	1.027637707	1.028637707	2649.554	6405.884	4781.250	4781.250
54	Spectrogram 1	1	1.028637707	1.029637707	2649.554	6405.884	4781.250	4781.250
55	Spectrogram 1	1	1.029637707	1.030637707	2649.554	6405.884	4781.250	4781.250
56	Spectrogram 1	1	1.030637707	1.031637707	2649.554	6405.884	4781.250	4781.250
57	Spectrogram 1	1	1.031637707	1.032637707	2649.554	6405.884	4500.000	4500.000
58	Spectrogram 1	1	1.032637707	1.033637707	2649.554	6405.884	4500.000	4500.000
59	Spectrogram 1	1	1.033637707	1.034637707	2649.554	6405.884	4500.000	4500.000
60	Spectrogram 1	1	1.034637707	1.035637707	2649.554	6405.884	4500.000	4500.000
61	Spectrogram 1	1	1.035637707	1.036637707	2649.554	6405.884	4500.000	4500.000
62	Spectrogram 1	1	1.036637707	1.037637707	2649.554	6405.884	4500.000	4500.000
63	Spectrogram 1	1	1.037637707	1.038637707	2649.554	6405.884	4312.500	4125.000
64	Spectrogram 1	1	1.038637707	1.039637707	2649.554	6405.884	4312.500	4125.000
65	Spectrogram 1	1	1.039637707	1.040637707	2649.554	6405.884	4312.500	4125.000
66	Spectrogram 1	1	1.040637707	1.041637707	2649.554	6405.884	4312.500	4125.000
67	Spectrogram 1	1	1.041637707	1.042637707	2649.554	6405.884	4312.500	4125.000
68	Spectrogram 1	1	1.042637707	1.043637707	2649.554	6405.884	3937.500	3937.500
69	Spectrogram 1	1	1.043637707	1.044637707	2649.554	6405.884	3937.500	3937.500
70	Spectrogram 1	1	1.044637707	1.045637707	2649.554	6405.884	3937.500	3937.500
71	Spectrogram 1	1	1.045637707	1.046637707	2649.554	6405.884	3937.500	3937.500
72	Spectrogram 1	1	1.046637707	1.047637707	2649.554	6405.884	3937.500	3937.500
73	Spectrogram 1	1	1.047637707	1.048637707	2649.554	6405.884	3843.750	3750.000
74	Spectrogram 1	1	1.048637707	1.049637707	2649.554	6405.884	3843.750	3750.000
75	Spectrogram 1	1	1.049637707	1.050637707	2649.554	6405.884	3843.750	3750.000
76	Spectrogram 1	1	1.050637707	1.051637707	2649.554	6405.884	3843.750	3750.000
77	Spectrogram 1	1	1.051637707	1.052637707	2649.554	6405.884	3843.750	3750.000
78	Spectrogram 1	1	1.052637707	1.053637707	2649.554	6405.884	3843.750	3750.000
79	Spectrogram 1	1	1.053637707	1.054637707	2649.554	6405.884	3656.250	3656.250
