Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.371148179	0.372148179	3336.300	6672.600	4500.000	4500.000
2	Spectrogram 1	1	0.372148179	0.373148179	3336.300	6672.600	4500.000	4500.000
3	Spectrogram 1	1	0.373148179	0.374148179	3336.300	6672.600	4500.000	4500.000
4	Spectrogram 1	1	0.374148179	0.375148179	3336.300	6672.600	4500.000	4500.000
5	Spectrogram 1	1	0.375148179	0.376148179	3336.300	6672.600	4500.000	4500.000
6	Spectrogram 1	1	0.376148179	0.377148179	3336.300	6672.600	4875.000	4968.750
7	Spectrogram 1	1	0.377148179	0.378148179	3336.300	6672.600	4875.000	4968.750
8	Spectrogram 1	1	0.378148179	0.379148179	3336.300	6672.600	4875.000	4968.750
9	Spectrogram 1	1	0.379148179	0.380148179	3336.300	6672.600	4875.000	4968.750
10	Spectrogram 1	1	0.380148179	0.381148179	3336.300	6672.600	4875.000	4968.750
11	Spectrogram 1	1	0.381148179	0.382148179	3336.300	6672.600	5250.000	5250.000
12	Spectrogram 1	1	0.382148179	0.383148179	3336.300	6672.600	5250.000	5250.000
13	Spectrogram 1	1	0.383148179	0.384148179	3336.300	6672.600	5250.000	5250.000
14	Spectrogram 1	1	0.384148179	0.385148179	3336.300	6672.600	5250.000	5250.000
15	Spectrogram 1	1	0.385148179	0.386148179	3336.300	6672.600	5250.000	5250.000
16	Spectrogram 1	1	0.386148179	0.387148179	3336.300	6672.600	5250.000	5250.000
17	Spectrogram 1	1	0.387148179	0.388148179	3336.300	6672.600	5437.500	5437.500
18	Spectrogram 1	1	0.388148179	0.389148179	3336.300	6672.600	5437.500	5437.500
19	Spectrogram 1	1	0.389148179	0.390148179	3336.300	6672.600	5437.500	5437.500
20	Spectrogram 1	1	0.390148179	0.391148179	3336.300	6672.600	5437.500	5437.500
21	Spectrogram 1	1	0.391148179	0.392148179	3336.300	6672.600	5437.500	5437.500
22	Spectrogram 1	1	0.392148179	0.393148179	3336.300	6672.600	5531.250	5531.250
23	Spectrogram 1	1	0.393148179	0.394148179	3336.300	6672.600	5531.250	5531.250
24	Spectrogram 1	1	0.394148179	0.395148179	3336.300	6672.600	5531.250	5531.250
25	Spectrogram 1	1	0.395148179	0.396148179	3336.300	6672.600	5531.250	5531.250
26	Spectrogram 1	1	0.396148179	0.397148179	3336.300	6672.600	5531.250	5531.250
27	Spectrogram 1	1	0.397148179	0.398148179	3336.300	6672.600	5437.500	5437.500
28	Spectrogram 1	1	0.398148179	0.399148179	3336.300	6672.600	5437.500	5437.500
29	Spectrogram 1	1	0.399148179	0.400148179	3336.300	6672.600	5437.500	5437.500
30	Spectrogram 1	1	0.400148179	0.401148179	3336.300	6672.600	5437.500	5437.500
31	Spectrogram 1	1	0.401148179	0.402148179	3336.300	6672.600	5437.500	5437.500
32	Spectrogram 1	1	0.402148179	0.403148179	3336.300	6672.600	5437.500	5437.500
33	Spectrogram 1	1	0.403148179	0.404148179	3336.300	6672.600	5062.500	4968.750
34	Spectrogram 1	1	0.404148179	0.405148179	3336.300	6672.600	5062.500	4968.750
35	Spectrogram 1	1	0.405148179	0.406148179	3336.300	6672.600	5062.500	4968.750
36	Spectrogram 1	1	0.406148179	0.407148179	3336.300	6672.600	5062.500	4968.750
37	Spectrogram 1	1	0.407148179	0.408148179	3336.300	6672.600	5062.500	4968.750
38	Spectrogram 1	1	0.408148179	0.409148179	3336.300	6672.600	4781.250	4781.250
39	Spectrogram 1	1	0.409148179	0.410148179	3336.300	6672.600	4781.250	4781.250
40	Spectrogram 1	1	0.410148179	0.411148179	3336.300	6672.600	4781.250	4781.250
41	Spectrogram 1	1	0.411148179	0.412148179	3336.300	6672.600	4781.250	4781.250
42	Spectrogram 1	1	0.412148179	0.413148179	3336.300	6672.600	4781.250	4781.250
43	Spectrogram 1	1	0.413148179	0.414148179	3336.300	6672.600	4500.000	4500.000
44	Spectrogram 1	1	0.414148179	0.415148179	3336.300	6672.600	4500.000	4500.000
45	Spectrogram 1	1	0.415148179	0.416148179	3336.300	6672.600	4500.000	4500.000
46	Spectrogram 1	1	0.416148179	0.417148179	3336.300	6672.600	4500.000	4500.000
47	Spectrogram 1	1	0.417148179	0.418148179	3336.300	6672.600	4500.000	4500.000
48	Spectrogram 1	1	0.418148179	0.419148179	3336.300	6672.600	4500.000	4500.000
49	Spectrogram 1	1	0.419148179	0.420148179	3336.300	6672.600	4406.250	4406.250
50	Spectrogram 1	1	0.420148179	0.421148179	3336.300	6672.600	4406.250	4406.250
51	Spectrogram 1	1	0.421148179	0.422148179	3336.300	6672.600	4406.250	4406.250
52	Spectrogram 1	1	0.422148179	0.423148179	3336.300	6672.600	4406.250	4406.250
53	Spectrogram 1	1	0.423148179	0.424148179	3336.300	6672.600	4406.250	4406.250
54	Spectrogram 1	1	0.424148179	0.425148179	3336.300	6672.600	4125.000	4031.250
55	Spectrogram 1	1	0.425148179	0.426148179	3336.300	6672.600	4125.000	4031.250
56	Spectrogram 1	1	0.426148179	0.427148179	3336.300	6672.600	4125.000	4031.250
57	Spectrogram 1	1	0.427148179	0.428148179	3336.300	6672.600	4125.000	4031.250
58	Spectrogram 1	1	0.428148179	0.429148179	3336.300	6672.600	4125.000	4031.250
59	Spectrogram 1	1	0.429148179	0.430148179	3336.300	6672.600	3843.750	3750.000
60	Spectrogram 1	1	0.430148179	0.431148179	3336.300	6672.600	3843.750	3750.000
61	Spectrogram 1	1	0.431148179	0.432148179	3336.300	6672.600	3843.750	3750.000
62	Spectrogram 1	1	0.432148179	0.433148179	3336.300	6672.600	3843.750	3750.000
63	Spectrogram 1	1	0.433148179	0.434148179	3336.300	6672.600	3843.750	3750.000
64	Spectrogram 1	1	0.434148179	0.435148179	3336.300	6672.600	3843.750	3750.000
65	Spectrogram 1	1	0.435148179	0.436148179	3336.300	6672.600	3750.000	3656.250
66	Spectrogram 1	1	0.436148179	0.437148179	3336.300	6672.600	3750.000	3656.250
67	Spectrogram 1	1	0.437148179	0.438148179	3336.300	6672.600	3750.000	3656.250
68	Spectrogram 1	1	0.438148179	0.439148179	3336.300	6672.600	3750.000	3656.250
69	Spectrogram 1	1	0.439148179	0.440148179	3336.300	6672.600	3750.000	3656.250
70	Spectrogram 1	1	0.440148179	0.441148179	3336.300	6672.600	3750.000	3562.500
71	Spectrogram 1	1	0.441148179	0.442148179	3336.300	6672.600	3750.000	3562.500
72	Spectrogram 1	1	0.442148179	0.443148179	3336.300	6672.600	3750.000	3562.500
73	Spectrogram 1	1	0.443148179	0.444148179	3336.300	6672.600	3750.000	3562.500
74	Spectrogram 1	1	0.444148179	0.445148179	3336.300	6672.600	3750.000	3562.500
75	Spectrogram 1	1	0.445148179	0.446148179	3336.300	6672.600	3750.000	3750.000
76	Spectrogram 1	1	0.446148179	0.447148179	3336.300	6672.600	3750.000	3750.000
77	Spectrogram 1	1	0.447148179	0.448148179	3336.300	6672.600	3750.000	3750.000
78	Spectrogram 1	1	0.448148179	0.449148179	3336.300	6672.600	3750.000	3750.000
79	Spectrogram 1	1	0.449148179	0.450148179	3336.300	6672.600	3750.000	3750.000
80	Spectrogram 1	1	0.450148179	0.451148179	3336.300	6672.600	3750.000	3750.000
81	Spectrogram 1	1	0.451148179	0.452148179	3336.300	6672.600	4031.250	3750.000
82	Spectrogram 1	1	0.452148179	0.453148179	3336.300	6672.600	4031.250	3750.000
83	Spectrogram 1	1	0.453148179	0.454148179	3336.300	6672.600	4031.250	3750.000
84	Spectrogram 1	1	0.454148179	0.455148179	3336.300	6672.600	4031.250	3750.000
85	Spectrogram 1	1	0.455148179	0.456148179	3336.300	6672.600	4031.250	3750.000
86	Spectrogram 1	1	0.456148179	0.457148179	3336.300	6672.600	3750.000	3750.000
87	Spectrogram 1	1	0.457148179	0.458148179	3336.300	6672.600	3750.000	3750.000
88	Spectrogram 1	1	0.458148179	0.459148179	3336.300	6672.600	3750.000	3750.000
89	Spectrogram 1	1	0.459148179	0.460148179	3336.300	6672.600	3750.000	3750.000
90	Spectrogram 1	1	0.460148179	0.461148179	3336.300	6672.600	3750.000	3750.000
91	Spectrogram 1	1	0.461148179	0.462148179	3336.300	6672.600	3750.000	3750.000
92	Spectrogram 1	1	0.462148179	0.463148179	3336.300	6672.600	3750.000	3750.000
93	Spectrogram 1	1	0.463148179	0.464148179	3336.300	6672.600	3750.000	3750.000
94	Spectrogram 1	1	0.464148179	0.465148179	3336.300	6672.600	3750.000	3750.000
95	Spectrogram 1	1	0.465148179	0.466148179	3336.300	6672.600	3750.000	3750.000
96	Spectrogram 1	1	0.466148179	0.467148179	3336.300	6672.600	3750.000	3750.000
97	Spectrogram 1	1	0.467148179	0.468148179	3336.300	6672.600	3656.250	3656.250
98	Spectrogram 1	1	0.468148179	0.469148179	3336.300	6672.600	3656.250	3656.250
99	Spectrogram 1	1	0.469148179	0.470148179	3336.300	6672.600	3656.250	3656.250
100	Spectrogram 1	1	0.470148179	0.471148179	3336.300	6672.600	3656.250	3656.250
101	Spectrogram 1	1	0.471148179	0.472148179	3336.300	6672.600	3656.250	3656.250
102	Spectrogram 1	1	0.472148179	0.473148179	3336.300	6672.600	3656.250	3656.250
103	Spectrogram 1	1	0.473148179	0.474148179	3336.300	6672.600	3656.250	3656.250
104	Spectrogram 1	1	0.474148179	0.475148179	3336.300	6672.600	3656.250	3656.250
105	Spectrogram 1	1	0.475148179	0.476148179	3336.300	6672.600	3656.250	3656.250
106	Spectrogram 1	1	0.476148179	0.477148179	3336.300	6672.600	3656.250	3656.250
107	Spectrogram 1	1	0.477148179	0.478148179	3336.300	6672.600	3750.000	3750.000
108	Spectrogram 1	1	0.478148179	0.479148179	3336.300	6672.600	3750.000	3750.000
109	Spectrogram 1	1	0.479148179	0.480148179	3336.300	6672.600	3750.000	3750.000
110	Spectrogram 1	1	0.480148179	0.481148179	3336.300	6672.600	3750.000	3750.000
111	Spectrogram 1	1	0.481148179	0.482148179	3336.300	6672.600	3750.000	3750.000
112	Spectrogram 1	1	0.482148179	0.483148179	3336.300	6672.600	3750.000	3750.000
113	Spectrogram 1	1	0.483148179	0.484148179	3336.300	6672.600	3937.500	3750.000
114	Spectrogram 1	1	0.484148179	0.485148179	3336.300	6672.600	3937.500	3750.000
115	Spectrogram 1	1	0.485148179	0.486148179	3336.300	6672.600	3937.500	3750.000
116	Spectrogram 1	1	0.486148179	0.487148179	3336.300	6672.600	3937.500	3750.000
