Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	35.904358511	35.905358511	2717.000	6478.900	5156.250	5062.500
2	Spectrogram 1	1	35.905358511	35.906358511	2717.000	6478.900	5156.250	5062.500
3	Spectrogram 1	1	35.906358511	35.907358511	2717.000	6478.900	5906.250	5906.250
4	Spectrogram 1	1	35.907358511	35.908358511	2717.000	6478.900	5906.250	5906.250
5	Spectrogram 1	1	35.908358511	35.909358511	2717.000	6478.900	5906.250	5906.250
6	Spectrogram 1	1	35.909358511	35.910358511	2717.000	6478.900	5906.250	5906.250
7	Spectrogram 1	1	35.910358511	35.911358511	2717.000	6478.900	5906.250	5906.250
8	Spectrogram 1	1	35.911358511	35.912358511	2717.000	6478.900	5906.250	5906.250
9	Spectrogram 1	1	35.912358511	35.913358511	2717.000	6478.900	6187.500	6281.250
10	Spectrogram 1	1	35.913358511	35.914358511	2717.000	6478.900	6187.500	6281.250
11	Spectrogram 1	1	35.914358511	35.915358511	2717.000	6478.900	6187.500	6281.250
12	Spectrogram 1	1	35.915358511	35.916358511	2717.000	6478.900	6187.500	6281.250
13	Spectrogram 1	1	35.916358511	35.917358511	2717.000	6478.900	6187.500	6281.250
14	Spectrogram 1	1	35.917358511	35.918358511	2717.000	6478.900	4968.750	4968.750
15	Spectrogram 1	1	35.918358511	35.919358511	2717.000	6478.900	4968.750	4968.750
16	Spectrogram 1	1	35.919358511	35.920358511	2717.000	6478.900	4968.750	4968.750
17	Spectrogram 1	1	35.920358511	35.921358511	2717.000	6478.900	4968.750	4968.750
18	Spectrogram 1	1	35.921358511	35.922358511	2717.000	6478.900	4968.750	4968.750
19	Spectrogram 1	1	35.922358511	35.923358511	2717.000	6478.900	4406.250	4312.500
20	Spectrogram 1	1	35.923358511	35.924358511	2717.000	6478.900	4406.250	4312.500
21	Spectrogram 1	1	35.924358511	35.925358511	2717.000	6478.900	4406.250	4312.500
22	Spectrogram 1	1	35.925358511	35.926358511	2717.000	6478.900	4406.250	4312.500
23	Spectrogram 1	1	35.926358511	35.927358511	2717.000	6478.900	4406.250	4312.500
24	Spectrogram 1	1	35.927358511	35.928358511	2717.000	6478.900	4406.250	4312.500
25	Spectrogram 1	1	35.928358511	35.929358511	2717.000	6478.900	4312.500	4218.750
26	Spectrogram 1	1	35.929358511	35.930358511	2717.000	6478.900	4312.500	4218.750
27	Spectrogram 1	1	35.930358511	35.931358511	2717.000	6478.900	4312.500	4218.750
28	Spectrogram 1	1	35.931358511	35.932358511	2717.000	6478.900	4312.500	4218.750
29	Spectrogram 1	1	35.932358511	35.933358511	2717.000	6478.900	4312.500	4218.750
30	Spectrogram 1	1	35.933358511	35.934358511	2717.000	6478.900	4968.750	4875.000
31	Spectrogram 1	1	35.934358511	35.935358511	2717.000	6478.900	4968.750	4875.000
32	Spectrogram 1	1	35.935358511	35.936358511	2717.000	6478.900	4968.750	4875.000
33	Spectrogram 1	1	35.936358511	35.937358511	2717.000	6478.900	4968.750	4875.000
34	Spectrogram 1	1	35.937358511	35.938358511	2717.000	6478.900	4968.750	4875.000
35	Spectrogram 1	1	35.938358511	35.939358511	2717.000	6478.900	5343.750	5437.500
36	Spectrogram 1	1	35.939358511	35.940358511	2717.000	6478.900	5343.750	5437.500
37	Spectrogram 1	1	35.940358511	35.941358511	2717.000	6478.900	5343.750	5437.500
38	Spectrogram 1	1	35.941358511	35.942358511	2717.000	6478.900	5343.750	5437.500
39	Spectrogram 1	1	35.942358511	35.943358511	2717.000	6478.900	5343.750	5437.500
40	Spectrogram 1	1	35.943358511	35.944358511	2717.000	6478.900	5343.750	5437.500
41	Spectrogram 1	1	35.944358511	35.945358511	2717.000	6478.900	4875.000	4875.000
42	Spectrogram 1	1	35.945358511	35.946358511	2717.000	6478.900	4875.000	4875.000
43	Spectrogram 1	1	35.946358511	35.947358511	2717.000	6478.900	4875.000	4875.000
44	Spectrogram 1	1	35.947358511	35.948358511	2717.000	6478.900	4875.000	4875.000
45	Spectrogram 1	1	35.948358511	35.949358511	2717.000	6478.900	4875.000	4875.000
46	Spectrogram 1	1	35.949358511	35.950358511	2717.000	6478.900	4687.500	4593.750
47	Spectrogram 1	1	35.950358511	35.951358511	2717.000	6478.900	4687.500	4593.750
48	Spectrogram 1	1	35.951358511	35.952358511	2717.000	6478.900	4687.500	4593.750
49	Spectrogram 1	1	35.952358511	35.953358511	2717.000	6478.900	4687.500	4593.750
50	Spectrogram 1	1	35.953358511	35.954358511	2717.000	6478.900	4687.500	4593.750
51	Spectrogram 1	1	35.954358511	35.955358511	2717.000	6478.900	4312.500	4312.500
52	Spectrogram 1	1	35.955358511	35.956358511	2717.000	6478.900	4312.500	4312.500
53	Spectrogram 1	1	35.956358511	35.957358511	2717.000	6478.900	4312.500	4312.500
54	Spectrogram 1	1	35.957358511	35.958358511	2717.000	6478.900	4312.500	4312.500
55	Spectrogram 1	1	35.958358511	35.959358511	2717.000	6478.900	4312.500	4312.500
56	Spectrogram 1	1	35.959358511	35.960358511	2717.000	6478.900	4312.500	4312.500
57	Spectrogram 1	1	35.960358511	35.961358511	2717.000	6478.900	4125.000	4125.000
58	Spectrogram 1	1	35.961358511	35.962358511	2717.000	6478.900	4125.000	4125.000
59	Spectrogram 1	1	35.962358511	35.963358511	2717.000	6478.900	4125.000	4125.000
60	Spectrogram 1	1	35.963358511	35.964358511	2717.000	6478.900	4125.000	4125.000
61	Spectrogram 1	1	35.964358511	35.965358511	2717.000	6478.900	4125.000	4125.000
62	Spectrogram 1	1	35.965358511	35.966358511	2717.000	6478.900	3750.000	3750.000
63	Spectrogram 1	1	35.966358511	35.967358511	2717.000	6478.900	3750.000	3750.000
64	Spectrogram 1	1	35.967358511	35.968358511	2717.000	6478.900	3750.000	3750.000
65	Spectrogram 1	1	35.968358511	35.969358511	2717.000	6478.900	3750.000	3750.000
66	Spectrogram 1	1	35.969358511	35.970358511	2717.000	6478.900	3750.000	3750.000
67	Spectrogram 1	1	35.970358511	35.971358511	2717.000	6478.900	3656.250	3656.250
68	Spectrogram 1	1	35.971358511	35.972358511	2717.000	6478.900	3656.250	3656.250
69	Spectrogram 1	1	35.972358511	35.973358511	2717.000	6478.900	3656.250	3656.250
70	Spectrogram 1	1	35.973358511	35.974358511	2717.000	6478.900	3656.250	3656.250
71	Spectrogram 1	1	35.974358511	35.975358511	2717.000	6478.900	3656.250	3656.250
72	Spectrogram 1	1	35.975358511	35.976358511	2717.000	6478.900	3656.250	3656.250
73	Spectrogram 1	1	35.976358511	35.977358511	2717.000	6478.900	3562.500	3562.500
74	Spectrogram 1	1	35.977358511	35.978358511	2717.000	6478.900	3562.500	3562.500
75	Spectrogram 1	1	35.978358511	35.979358511	2717.000	6478.900	3562.500	3562.500
76	Spectrogram 1	1	35.979358511	35.980358511	2717.000	6478.900	3562.500	3562.500
77	Spectrogram 1	1	35.980358511	35.981358511	2717.000	6478.900	3562.500	3562.500
78	Spectrogram 1	1	35.981358511	35.982358511	2717.000	6478.900	3562.500	3562.500
79	Spectrogram 1	1	35.982358511	35.983358511	2717.000	6478.900	3562.500	3562.500
80	Spectrogram 1	1	35.983358511	35.984358511	2717.000	6478.900	3562.500	3562.500
81	Spectrogram 1	1	35.984358511	35.985358511	2717.000	6478.900	3562.500	3562.500
82	Spectrogram 1	1	35.985358511	35.986358511	2717.000	6478.900	3562.500	3562.500
83	Spectrogram 1	1	35.986358511	35.987358511	2717.000	6478.900	3656.250	3656.250
84	Spectrogram 1	1	35.987358511	35.988358511	2717.000	6478.900	3656.250	3656.250
85	Spectrogram 1	1	35.988358511	35.989358511	2717.000	6478.900	3656.250	3656.250
86	Spectrogram 1	1	35.989358511	35.990358511	2717.000	6478.900	3656.250	3656.250
87	Spectrogram 1	1	35.990358511	35.991358511	2717.000	6478.900	3656.250	3656.250
88	Spectrogram 1	1	35.991358511	35.992358511	2717.000	6478.900	3656.250	3656.250
89	Spectrogram 1	1	35.992358511	35.993358511	2717.000	6478.900	3750.000	3750.000
90	Spectrogram 1	1	35.993358511	35.994358511	2717.000	6478.900	3750.000	3750.000
91	Spectrogram 1	1	35.994358511	35.995358511	2717.000	6478.900	3750.000	3750.000
92	Spectrogram 1	1	35.995358511	35.996358511	2717.000	6478.900	3750.000	3750.000
93	Spectrogram 1	1	35.996358511	35.997358511	2717.000	6478.900	3750.000	3750.000
94	Spectrogram 1	1	35.997358511	35.998358511	2717.000	6478.900	3843.750	3843.750
95	Spectrogram 1	1	35.998358511	35.999358511	2717.000	6478.900	3843.750	3843.750
96	Spectrogram 1	1	35.999358511	36.000358511	2717.000	6478.900	3843.750	3843.750
97	Spectrogram 1	1	36.000358511	36.001358511	2717.000	6478.900	3843.750	3843.750
98	Spectrogram 1	1	36.001358511	36.002358511	2717.000	6478.900	3843.750	3843.750
99	Spectrogram 1	1	36.002358511	36.003358511	2717.000	6478.900	3656.250	3656.250
100	Spectrogram 1	1	36.003358511	36.004358511	2717.000	6478.900	3656.250	3656.250
101	Spectrogram 1	1	36.004358511	36.005358511	2717.000	6478.900	3656.250	3656.250
102	Spectrogram 1	1	36.005358511	36.006358511	2717.000	6478.900	3656.250	3656.250
103	Spectrogram 1	1	36.006358511	36.007358511	2717.000	6478.900	3656.250	3656.250
104	Spectrogram 1	1	36.007358511	36.008358511	2717.000	6478.900	3656.250	3656.250
105	Spectrogram 1	1	36.008358511	36.009358511	2717.000	6478.900	3562.500	3562.500
106	Spectrogram 1	1	36.009358511	36.010358511	2717.000	6478.900	3562.500	3562.500
107	Spectrogram 1	1	36.010358511	36.011358511	2717.000	6478.900	3562.500	3562.500
108	Spectrogram 1	1	36.011358511	36.012358511	2717.000	6478.900	3562.500	3562.500
109	Spectrogram 1	1	36.012358511	36.013358511	2717.000	6478.900	3562.500	3562.500
110	Spectrogram 1	1	36.013358511	36.014358511	2717.000	6478.900	3375.000	3375.000
111	Spectrogram 1	1	36.014358511	36.015358511	2717.000	6478.900	3375.000	3375.000
112	Spectrogram 1	1	36.015358511	36.016358511	2717.000	6478.900	3375.000	3375.000
113	Spectrogram 1	1	36.016358511	36.017358511	2717.000	6478.900	3375.000	3375.000
114	Spectrogram 1	1	36.017358511	36.018358511	2717.000	6478.900	3375.000	3375.000
115	Spectrogram 1	1	36.018358511	36.019358511	2717.000	6478.900	3281.250	3281.250
116	Spectrogram 1	1	36.019358511	36.020358511	2717.000	6478.900	3281.250	3281.250
117	Spectrogram 1	1	36.020358511	36.021358511	2717.000	6478.900	3281.250	3281.250
118	Spectrogram 1	1	36.021358511	36.022358511	2717.000	6478.900	3281.250	3281.250
119	Spectrogram 1	1	36.022358511	36.023358511	2717.000	6478.900	3281.250	3281.250
120	Spectrogram 1	1	36.023358511	36.024358511	2717.000	6478.900	3281.250	3281.250
121	Spectrogram 1	1	36.024358511	36.025358511	2717.000	6478.900	3375.000	3281.250
122	Spectrogram 1	1	36.025358511	36.026358511	2717.000	6478.900	3375.000	3281.250
123	Spectrogram 1	1	36.026358511	36.027358511	2717.000	6478.900	3375.000	3281.250
124	Spectrogram 1	1	36.027358511	36.028358511	2717.000	6478.900	3375.000	3281.250
125	Spectrogram 1	1	36.028358511	36.029358511	2717.000	6478.900	3375.000	3281.250
126	Spectrogram 1	1	36.029358511	36.030358511	2717.000	6478.900	3187.500	3187.500
127	Spectrogram 1	1	36.030358511	36.031358511	2717.000	6478.900	3187.500	3187.500
128	Spectrogram 1	1	36.031358511	36.032358511	2717.000	6478.900	3187.500	3187.500
129	Spectrogram 1	1	36.032358511	36.033358511	2717.000	6478.900	3187.500	3187.500
130	Spectrogram 1	1	36.033358511	36.034358511	2717.000	6478.900	3187.500	3187.500
131	Spectrogram 1	1	36.034358511	36.035358511	2717.000	6478.900	3468.750	3468.750
132	Spectrogram 1	1	36.035358511	36.036358511	2717.000	6478.900	3468.750	3468.750
133	Spectrogram 1	1	36.036358511	36.037358511	2717.000	6478.900	3468.750	3468.750
134	Spectrogram 1	1	36.037358511	36.038358511	2717.000	6478.900	3468.750	3468.750
135	Spectrogram 1	1	36.038358511	36.039358511	2717.000	6478.900	3468.750	3468.750
136	Spectrogram 1	1	36.039358511	36.040358511	2717.000	6478.900	3468.750	3468.750
137	Spectrogram 1	1	36.040358511	36.041358511	2717.000	6478.900	4125.000	4125.000
138	Spectrogram 1	1	36.041358511	36.042358511	2717.000	6478.900	4125.000	4125.000
