Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	8.991958412	8.992958412	3222.259	5984.356	4312.500	4312.500
2	Spectrogram 1	1	8.992958412	8.993958412	3222.259	5984.356	4312.500	4312.500
3	Spectrogram 1	1	8.993958412	8.994958412	3222.259	5984.356	4312.500	4312.500
4	Spectrogram 1	1	8.994958412	8.995958412	3222.259	5984.356	4968.750	4968.750
5	Spectrogram 1	1	8.995958412	8.996958412	3222.259	5984.356	4968.750	4968.750
6	Spectrogram 1	1	8.996958412	8.997958412	3222.259	5984.356	4968.750	4968.750
7	Spectrogram 1	1	8.997958412	8.998958412	3222.259	5984.356	4968.750	4968.750
8	Spectrogram 1	1	8.998958412	8.999958412	3222.259	5984.356	4968.750	4968.750
9	Spectrogram 1	1	8.999958412	9.000958412	3222.259	5984.356	5156.250	5156.250
10	Spectrogram 1	1	9.000958412	9.001958412	3222.259	5984.356	5156.250	5156.250
11	Spectrogram 1	1	9.001958412	9.002958412	3222.259	5984.356	5156.250	5156.250
12	Spectrogram 1	1	9.002958412	9.003958412	3222.259	5984.356	5156.250	5156.250
13	Spectrogram 1	1	9.003958412	9.004958412	3222.259	5984.356	5156.250	5156.250
14	Spectrogram 1	1	9.004958412	9.005958412	3222.259	5984.356	5156.250	5156.250
15	Spectrogram 1	1	9.005958412	9.006958412	3222.259	5984.356	5156.250	5156.250
16	Spectrogram 1	1	9.006958412	9.007958412	3222.259	5984.356	5156.250	5156.250
17	Spectrogram 1	1	9.007958412	9.008958412	3222.259	5984.356	5156.250	5156.250
18	Spectrogram 1	1	9.008958412	9.009958412	3222.259	5984.356	5156.250	5156.250
19	Spectrogram 1	1	9.009958412	9.010958412	3222.259	5984.356	5156.250	5156.250
20	Spectrogram 1	1	9.010958412	9.011958412	3222.259	5984.356	4875.000	4875.000
21	Spectrogram 1	1	9.011958412	9.012958412	3222.259	5984.356	4875.000	4875.000
22	Spectrogram 1	1	9.012958412	9.013958412	3222.259	5984.356	4875.000	4875.000
23	Spectrogram 1	1	9.013958412	9.014958412	3222.259	5984.356	4875.000	4875.000
24	Spectrogram 1	1	9.014958412	9.015958412	3222.259	5984.356	4875.000	4875.000
25	Spectrogram 1	1	9.015958412	9.016958412	3222.259	5984.356	4500.000	4500.000
26	Spectrogram 1	1	9.016958412	9.017958412	3222.259	5984.356	4500.000	4500.000
27	Spectrogram 1	1	9.017958412	9.018958412	3222.259	5984.356	4500.000	4500.000
28	Spectrogram 1	1	9.018958412	9.019958412	3222.259	5984.356	4500.000	4500.000
29	Spectrogram 1	1	9.019958412	9.020958412	3222.259	5984.356	4500.000	4500.000
30	Spectrogram 1	1	9.020958412	9.021958412	3222.259	5984.356	4312.500	4312.500
31	Spectrogram 1	1	9.021958412	9.022958412	3222.259	5984.356	4312.500	4312.500
32	Spectrogram 1	1	9.022958412	9.023958412	3222.259	5984.356	4312.500	4312.500
33	Spectrogram 1	1	9.023958412	9.024958412	3222.259	5984.356	4312.500	4312.500
34	Spectrogram 1	1	9.024958412	9.025958412	3222.259	5984.356	4312.500	4312.500
35	Spectrogram 1	1	9.025958412	9.026958412	3222.259	5984.356	4312.500	4312.500
36	Spectrogram 1	1	9.026958412	9.027958412	3222.259	5984.356	4218.750	4218.750
37	Spectrogram 1	1	9.027958412	9.028958412	3222.259	5984.356	4218.750	4218.750
38	Spectrogram 1	1	9.028958412	9.029958412	3222.259	5984.356	4218.750	4218.750
39	Spectrogram 1	1	9.029958412	9.030958412	3222.259	5984.356	4218.750	4218.750
40	Spectrogram 1	1	9.030958412	9.031958412	3222.259	5984.356	4218.750	4218.750
41	Spectrogram 1	1	9.031958412	9.032958412	3222.259	5984.356	4125.000	4031.250
42	Spectrogram 1	1	9.032958412	9.033958412	3222.259	5984.356	4125.000	4031.250
43	Spectrogram 1	1	9.033958412	9.034958412	3222.259	5984.356	4125.000	4031.250
44	Spectrogram 1	1	9.034958412	9.035958412	3222.259	5984.356	4125.000	4031.250
45	Spectrogram 1	1	9.035958412	9.036958412	3222.259	5984.356	4125.000	4031.250
46	Spectrogram 1	1	9.036958412	9.037958412	3222.259	5984.356	3937.500	3937.500
47	Spectrogram 1	1	9.037958412	9.038958412	3222.259	5984.356	3937.500	3937.500
48	Spectrogram 1	1	9.038958412	9.039958412	3222.259	5984.356	3937.500	3937.500
49	Spectrogram 1	1	9.039958412	9.040958412	3222.259	5984.356	3937.500	3937.500
