Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	10.281837172	10.282837172	2746.500	6295.800	3750.000	3750.000
2	Spectrogram 1	1	10.282837172	10.283837172	2746.500	6295.800	3750.000	3750.000
3	Spectrogram 1	1	10.283837172	10.284837172	2746.500	6295.800	3750.000	3750.000
4	Spectrogram 1	1	10.284837172	10.285837172	2746.500	6295.800	4125.000	4125.000
5	Spectrogram 1	1	10.285837172	10.286837172	2746.500	6295.800	4125.000	4125.000
6	Spectrogram 1	1	10.286837172	10.287837172	2746.500	6295.800	4125.000	4125.000
7	Spectrogram 1	1	10.287837172	10.288837172	2746.500	6295.800	4125.000	4125.000
8	Spectrogram 1	1	10.288837172	10.289837172	2746.500	6295.800	4125.000	4125.000
9	Spectrogram 1	1	10.289837172	10.290837172	2746.500	6295.800	4125.000	4125.000
10	Spectrogram 1	1	10.290837172	10.291837172	2746.500	6295.800	4500.000	4500.000
11	Spectrogram 1	1	10.291837172	10.292837172	2746.500	6295.800	4500.000	4500.000
12	Spectrogram 1	1	10.292837172	10.293837172	2746.500	6295.800	4500.000	4500.000
13	Spectrogram 1	1	10.293837172	10.294837172	2746.500	6295.800	4500.000	4500.000
14	Spectrogram 1	1	10.294837172	10.295837172	2746.500	6295.800	4500.000	4500.000
15	Spectrogram 1	1	10.295837172	10.296837172	2746.500	6295.800	4968.750	4968.750
16	Spectrogram 1	1	10.296837172	10.297837172	2746.500	6295.800	4968.750	4968.750
17	Spectrogram 1	1	10.297837172	10.298837172	2746.500	6295.800	4968.750	4968.750
18	Spectrogram 1	1	10.298837172	10.299837172	2746.500	6295.800	4968.750	4968.750
19	Spectrogram 1	1	10.299837172	10.300837172	2746.500	6295.800	4968.750	4968.750
20	Spectrogram 1	1	10.300837172	10.301837172	2746.500	6295.800	5156.250	5156.250
21	Spectrogram 1	1	10.301837172	10.302837172	2746.500	6295.800	5156.250	5156.250
22	Spectrogram 1	1	10.302837172	10.303837172	2746.500	6295.800	5156.250	5156.250
23	Spectrogram 1	1	10.303837172	10.304837172	2746.500	6295.800	5156.250	5156.250
24	Spectrogram 1	1	10.304837172	10.305837172	2746.500	6295.800	5156.250	5156.250
25	Spectrogram 1	1	10.305837172	10.306837172	2746.500	6295.800	5156.250	5156.250
26	Spectrogram 1	1	10.306837172	10.307837172	2746.500	6295.800	5062.500	5062.500
27	Spectrogram 1	1	10.307837172	10.308837172	2746.500	6295.800	5062.500	5062.500
28	Spectrogram 1	1	10.308837172	10.309837172	2746.500	6295.800	5062.500	5062.500
29	Spectrogram 1	1	10.309837172	10.310837172	2746.500	6295.800	5062.500	5062.500
30	Spectrogram 1	1	10.310837172	10.311837172	2746.500	6295.800	5062.500	5062.500
31	Spectrogram 1	1	10.311837172	10.312837172	2746.500	6295.800	4687.500	4687.500
32	Spectrogram 1	1	10.312837172	10.313837172	2746.500	6295.800	4687.500	4687.500
33	Spectrogram 1	1	10.313837172	10.314837172	2746.500	6295.800	4687.500	4687.500
34	Spectrogram 1	1	10.314837172	10.315837172	2746.500	6295.800	4687.500	4687.500
35	Spectrogram 1	1	10.315837172	10.316837172	2746.500	6295.800	4687.500	4687.500
36	Spectrogram 1	1	10.316837172	10.317837172	2746.500	6295.800	4406.250	4312.500
37	Spectrogram 1	1	10.317837172	10.318837172	2746.500	6295.800	4406.250	4312.500
38	Spectrogram 1	1	10.318837172	10.319837172	2746.500	6295.800	4406.250	4312.500
39	Spectrogram 1	1	10.319837172	10.320837172	2746.500	6295.800	4406.250	4312.500
40	Spectrogram 1	1	10.320837172	10.321837172	2746.500	6295.800	4406.250	4312.500
41	Spectrogram 1	1	10.321837172	10.322837172	2746.500	6295.800	4406.250	4312.500
42	Spectrogram 1	1	10.322837172	10.323837172	2746.500	6295.800	4218.750	4125.000
43	Spectrogram 1	1	10.323837172	10.324837172	2746.500	6295.800	4218.750	4125.000
44	Spectrogram 1	1	10.324837172	10.325837172	2746.500	6295.800	4218.750	4125.000
45	Spectrogram 1	1	10.325837172	10.326837172	2746.500	6295.800	4218.750	4125.000
46	Spectrogram 1	1	10.326837172	10.327837172	2746.500	6295.800	4218.750	4125.000
47	Spectrogram 1	1	10.327837172	10.328837172	2746.500	6295.800	4031.250	4031.250
48	Spectrogram 1	1	10.328837172	10.329837172	2746.500	6295.800	4031.250	4031.250
49	Spectrogram 1	1	10.329837172	10.330837172	2746.500	6295.800	4031.250	4031.250
50	Spectrogram 1	1	10.330837172	10.331837172	2746.500	6295.800	4031.250	4031.250
51	Spectrogram 1	1	10.331837172	10.332837172	2746.500	6295.800	4031.250	4031.250
52	Spectrogram 1	1	10.332837172	10.333837172	2746.500	6295.800	3937.500	3937.500
53	Spectrogram 1	1	10.333837172	10.334837172	2746.500	6295.800	3937.500	3937.500
54	Spectrogram 1	1	10.334837172	10.335837172	2746.500	6295.800	3937.500	3937.500
55	Spectrogram 1	1	10.335837172	10.336837172	2746.500	6295.800	3937.500	3937.500
56	Spectrogram 1	1	10.336837172	10.337837172	2746.500	6295.800	3937.500	3937.500
57	Spectrogram 1	1	10.337837172	10.338837172	2746.500	6295.800	3937.500	3937.500
58	Spectrogram 1	1	10.338837172	10.339837172	2746.500	6295.800	3843.750	3843.750
59	Spectrogram 1	1	10.339837172	10.340837172	2746.500	6295.800	3843.750	3843.750
60	Spectrogram 1	1	10.340837172	10.341837172	2746.500	6295.800	3843.750	3843.750
61	Spectrogram 1	1	10.341837172	10.342837172	2746.500	6295.800	3843.750	3843.750
62	Spectrogram 1	1	10.342837172	10.343837172	2746.500	6295.800	3843.750	3843.750
63	Spectrogram 1	1	10.343837172	10.344837172	2746.500	6295.800	3750.000	3750.000
64	Spectrogram 1	1	10.344837172	10.345837172	2746.500	6295.800	3750.000	3750.000
65	Spectrogram 1	1	10.345837172	10.346837172	2746.500	6295.800	3750.000	3750.000
66	Spectrogram 1	1	10.346837172	10.347837172	2746.500	6295.800	3750.000	3750.000
67	Spectrogram 1	1	10.347837172	10.348837172	2746.500	6295.800	3750.000	3750.000
68	Spectrogram 1	1	10.348837172	10.349837172	2746.500	6295.800	3562.500	3562.500
69	Spectrogram 1	1	10.349837172	10.350837172	2746.500	6295.800	3562.500	3562.500
70	Spectrogram 1	1	10.350837172	10.351837172	2746.500	6295.800	3562.500	3562.500
71	Spectrogram 1	1	10.351837172	10.352837172	2746.500	6295.800	3562.500	3562.500
72	Spectrogram 1	1	10.352837172	10.353837172	2746.500	6295.800	3562.500	3562.500
73	Spectrogram 1	1	10.353837172	10.354837172	2746.500	6295.800	3562.500	3562.500
74	Spectrogram 1	1	10.354837172	10.355837172	2746.500	6295.800	3656.250	3656.250
75	Spectrogram 1	1	10.355837172	10.356837172	2746.500	6295.800	3656.250	3656.250
76	Spectrogram 1	1	10.356837172	10.357837172	2746.500	6295.800	3656.250	3656.250
77	Spectrogram 1	1	10.357837172	10.358837172	2746.500	6295.800	3656.250	3656.250
78	Spectrogram 1	1	10.358837172	10.359837172	2746.500	6295.800	3656.250	3656.250
79	Spectrogram 1	1	10.359837172	10.360837172	2746.500	6295.800	3750.000	3843.750
80	Spectrogram 1	1	10.360837172	10.361837172	2746.500	6295.800	3750.000	3843.750
81	Spectrogram 1	1	10.361837172	10.362837172	2746.500	6295.800	3750.000	3843.750
