Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.010980433	0.011980433	3012.552	6816.628	6000.000	6000.000
2	Spectrogram 1	1	0.011980433	0.012980433	3012.552	6816.628	6000.000	6000.000
3	Spectrogram 1	1	0.012980433	0.013980433	3012.552	6816.628	5906.250	5906.250
4	Spectrogram 1	1	0.013980433	0.014980433	3012.552	6816.628	5906.250	5906.250
5	Spectrogram 1	1	0.014980433	0.015980433	3012.552	6816.628	5906.250	5906.250
6	Spectrogram 1	1	0.015980433	0.016980433	3012.552	6816.628	5906.250	5906.250
7	Spectrogram 1	1	0.016980433	0.017980433	3012.552	6816.628	5906.250	5906.250
8	Spectrogram 1	1	0.017980433	0.018980433	3012.552	6816.628	5906.250	5906.250
9	Spectrogram 1	1	0.018980433	0.019980433	3012.552	6816.628	4968.750	4968.750
10	Spectrogram 1	1	0.019980433	0.020980433	3012.552	6816.628	4968.750	4968.750
11	Spectrogram 1	1	0.020980433	0.021980433	3012.552	6816.628	4968.750	4968.750
12	Spectrogram 1	1	0.021980433	0.022980433	3012.552	6816.628	4968.750	4968.750
13	Spectrogram 1	1	0.022980433	0.023980433	3012.552	6816.628	4968.750	4968.750
14	Spectrogram 1	1	0.023980433	0.024980433	3012.552	6816.628	5250.000	5250.000
15	Spectrogram 1	1	0.024980433	0.025980433	3012.552	6816.628	5250.000	5250.000
16	Spectrogram 1	1	0.025980433	0.026980433	3012.552	6816.628	5250.000	5250.000
17	Spectrogram 1	1	0.026980433	0.027980433	3012.552	6816.628	5250.000	5250.000
18	Spectrogram 1	1	0.027980433	0.028980433	3012.552	6816.628	5250.000	5250.000
19	Spectrogram 1	1	0.028980433	0.029980433	3012.552	6816.628	5812.500	5906.250
20	Spectrogram 1	1	0.029980433	0.030980433	3012.552	6816.628	5812.500	5906.250
21	Spectrogram 1	1	0.030980433	0.031980433	3012.552	6816.628	5812.500	5906.250
22	Spectrogram 1	1	0.031980433	0.032980433	3012.552	6816.628	5812.500	5906.250
23	Spectrogram 1	1	0.032980433	0.033980433	3012.552	6816.628	5812.500	5906.250
24	Spectrogram 1	1	0.033980433	0.034980433	3012.552	6816.628	5812.500	5906.250
25	Spectrogram 1	1	0.034980433	0.035980433	3012.552	6816.628	6187.500	6187.500
26	Spectrogram 1	1	0.035980433	0.036980433	3012.552	6816.628	6187.500	6187.500
27	Spectrogram 1	1	0.036980433	0.037980433	3012.552	6816.628	6187.500	6187.500
28	Spectrogram 1	1	0.037980433	0.038980433	3012.552	6816.628	6187.500	6187.500
29	Spectrogram 1	1	0.038980433	0.039980433	3012.552	6816.628	6187.500	6187.500
30	Spectrogram 1	1	0.039980433	0.040980433	3012.552	6816.628	5906.250	5906.250
31	Spectrogram 1	1	0.040980433	0.041980433	3012.552	6816.628	5906.250	5906.250
32	Spectrogram 1	1	0.041980433	0.042980433	3012.552	6816.628	5906.250	5906.250
33	Spectrogram 1	1	0.042980433	0.043980433	3012.552	6816.628	5906.250	5906.250
34	Spectrogram 1	1	0.043980433	0.044980433	3012.552	6816.628	5906.250	5906.250
35	Spectrogram 1	1	0.044980433	0.045980433	3012.552	6816.628	5437.500	5437.500
36	Spectrogram 1	1	0.045980433	0.046980433	3012.552	6816.628	5437.500	5437.500
37	Spectrogram 1	1	0.046980433	0.047980433	3012.552	6816.628	5437.500	5437.500
38	Spectrogram 1	1	0.047980433	0.048980433	3012.552	6816.628	5437.500	5437.500
39	Spectrogram 1	1	0.048980433	0.049980433	3012.552	6816.628	5437.500	5437.500
40	Spectrogram 1	1	0.049980433	0.050980433	3012.552	6816.628	5437.500	5437.500
41	Spectrogram 1	1	0.050980433	0.051980433	3012.552	6816.628	5062.500	5062.500
42	Spectrogram 1	1	0.051980433	0.052980433	3012.552	6816.628	5062.500	5062.500
43	Spectrogram 1	1	0.052980433	0.053980433	3012.552	6816.628	5062.500	5062.500
44	Spectrogram 1	1	0.053980433	0.054980433	3012.552	6816.628	5062.500	5062.500
45	Spectrogram 1	1	0.054980433	0.055980433	3012.552	6816.628	5062.500	5062.500
46	Spectrogram 1	1	0.055980433	0.056980433	3012.552	6816.628	4781.250	4781.250
47	Spectrogram 1	1	0.056980433	0.057980433	3012.552	6816.628	4781.250	4781.250
