Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	2	2.267062546	2.268060278	3175.926	6406.773	4392.773	4392.773
2	Spectrogram 1	2	2.268060278	2.269058011	3175.926	6406.773	4392.773	4392.773
3	Spectrogram 1	2	2.269058011	2.270055743	3175.926	6406.773	4392.773	4392.773
4	Spectrogram 1	2	2.270055743	2.271053476	3175.926	6406.773	4392.773	4392.773
5	Spectrogram 1	2	2.271053476	2.272051208	3175.926	6406.773	4392.773	4392.773
6	Spectrogram 1	2	2.272051208	2.273048941	3175.926	6406.773	4392.773	4392.773
7	Spectrogram 1	2	2.273048941	2.274046673	3175.926	6406.773	4995.703	4995.703
8	Spectrogram 1	2	2.274046673	2.275044405	3175.926	6406.773	4995.703	4995.703
9	Spectrogram 1	2	2.275044405	2.276042138	3175.926	6406.773	4995.703	4995.703
10	Spectrogram 1	2	2.276042138	2.277039870	3175.926	6406.773	4995.703	4995.703
11	Spectrogram 1	2	2.277039870	2.278037603	3175.926	6406.773	4995.703	4995.703
12	Spectrogram 1	2	2.278037603	2.279035335	3175.926	6406.773	5426.367	5426.367
13	Spectrogram 1	2	2.279035335	2.280033068	3175.926	6406.773	5426.367	5426.367
14	Spectrogram 1	2	2.280033068	2.281030800	3175.926	6406.773	5426.367	5426.367
15	Spectrogram 1	2	2.281030800	2.282028532	3175.926	6406.773	5426.367	5426.367
16	Spectrogram 1	2	2.282028532	2.283026265	3175.926	6406.773	5426.367	5426.367
17	Spectrogram 1	2	2.283026265	2.284023997	3175.926	6406.773	5426.367	5426.367
18	Spectrogram 1	2	2.284023997	2.285021730	3175.926	6406.773	5598.633	5598.633
19	Spectrogram 1	2	2.285021730	2.286019462	3175.926	6406.773	5598.633	5598.633
20	Spectrogram 1	2	2.286019462	2.287017195	3175.926	6406.773	5598.633	5598.633
21	Spectrogram 1	2	2.287017195	2.288014927	3175.926	6406.773	5598.633	5598.633
22	Spectrogram 1	2	2.288014927	2.289012659	3175.926	6406.773	5598.633	5598.633
23	Spectrogram 1	2	2.289012659	2.290010392	3175.926	6406.773	5598.633	5598.633
24	Spectrogram 1	2	2.290010392	2.291008124	3175.926	6406.773	5512.500	5426.367
25	Spectrogram 1	2	2.291008124	2.292005857	3175.926	6406.773	5512.500	5426.367
26	Spectrogram 1	2	2.292005857	2.293003589	3175.926	6406.773	5512.500	5426.367
27	Spectrogram 1	2	2.293003589	2.294001322	3175.926	6406.773	5512.500	5426.367
28	Spectrogram 1	2	2.294001322	2.294999054	3175.926	6406.773	5512.500	5426.367
29	Spectrogram 1	2	2.294999054	2.295996786	3175.926	6406.773	5512.500	5426.367
30	Spectrogram 1	2	2.295996786	2.296994519	3175.926	6406.773	5081.836	5081.836
31	Spectrogram 1	2	2.296994519	2.297992251	3175.926	6406.773	5081.836	5081.836
32	Spectrogram 1	2	2.297992251	2.298989984	3175.926	6406.773	5081.836	5081.836
33	Spectrogram 1	2	2.298989984	2.299987716	3175.926	6406.773	5081.836	5081.836
34	Spectrogram 1	2	2.299987716	2.300985448	3175.926	6406.773	5081.836	5081.836
35	Spectrogram 1	2	2.300985448	2.301983181	3175.926	6406.773	5081.836	5081.836
36	Spectrogram 1	2	2.301983181	2.302980913	3175.926	6406.773	5254.102	5512.500
37	Spectrogram 1	2	2.302980913	2.303978646	3175.926	6406.773	5254.102	5512.500
38	Spectrogram 1	2	2.303978646	2.304976378	3175.926	6406.773	5254.102	5512.500
39	Spectrogram 1	2	2.304976378	2.305974111	3175.926	6406.773	5254.102	5512.500
40	Spectrogram 1	2	2.305974111	2.306971843	3175.926	6406.773	5254.102	5512.500
41	Spectrogram 1	2	2.306971843	2.307969575	3175.926	6406.773	5254.102	5512.500
42	Spectrogram 1	2	2.307969575	2.308967308	3175.926	6406.773	4392.773	4392.773
43	Spectrogram 1	2	2.308967308	2.309965040	3175.926	6406.773	4392.773	4392.773
44	Spectrogram 1	2	2.309965040	2.310962773	3175.926	6406.773	4392.773	4392.773
45	Spectrogram 1	2	2.310962773	2.311960505	3175.926	6406.773	4392.773	4392.773
46	Spectrogram 1	2	2.311960505	2.312958238	3175.926	6406.773	4392.773	4392.773
47	Spectrogram 1	2	2.312958238	2.313955970	3175.926	6406.773	4220.508	4220.508
48	Spectrogram 1	2	2.313955970	2.314953702	3175.926	6406.773	4220.508	4220.508
49	Spectrogram 1	2	2.314953702	2.315951435	3175.926	6406.773	4220.508	4220.508
50	Spectrogram 1	2	2.315951435	2.316949167	3175.926	6406.773	4220.508	4220.508
51	Spectrogram 1	2	2.316949167	2.317946900	3175.926	6406.773	4220.508	4220.508
52	Spectrogram 1	2	2.317946900	2.318944632	3175.926	6406.773	4220.508	4220.508
53	Spectrogram 1	2	2.318944632	2.319942365	3175.926	6406.773	3962.109	3962.109
54	Spectrogram 1	2	2.319942365	2.320940097	3175.926	6406.773	3962.109	3962.109
55	Spectrogram 1	2	2.320940097	2.321937829	3175.926	6406.773	3962.109	3962.109
56	Spectrogram 1	2	2.321937829	2.322935562	3175.926	6406.773	3962.109	3962.109
57	Spectrogram 1	2	2.322935562	2.323933294	3175.926	6406.773	3962.109	3962.109
58	Spectrogram 1	2	2.323933294	2.324931027	3175.926	6406.773	3962.109	3962.109
59	Spectrogram 1	2	2.324931027	2.325928759	3175.926	6406.773	3962.109	3703.711
60	Spectrogram 1	2	2.325928759	2.326926492	3175.926	6406.773	3962.109	3703.711
61	Spectrogram 1	2	2.326926492	2.327924224	3175.926	6406.773	3962.109	3703.711
62	Spectrogram 1	2	2.327924224	2.328921956	3175.926	6406.773	3962.109	3703.711
63	Spectrogram 1	2	2.328921956	2.329919689	3175.926	6406.773	3962.109	3703.711
64	Spectrogram 1	2	2.329919689	2.330917421	3175.926	6406.773	3962.109	3703.711
65	Spectrogram 1	2	2.330917421	2.331915154	3175.926	6406.773	4737.305	5254.102
66	Spectrogram 1	2	2.331915154	2.332912886	3175.926	6406.773	4737.305	5254.102
67	Spectrogram 1	2	2.332912886	2.333910619	3175.926	6406.773	4737.305	5254.102
68	Spectrogram 1	2	2.333910619	2.334908351	3175.926	6406.773	4737.305	5254.102
69	Spectrogram 1	2	2.334908351	2.335906083	3175.926	6406.773	4737.305	5254.102
70	Spectrogram 1	2	2.335906083	2.336903816	3175.926	6406.773	4737.305	5254.102
71	Spectrogram 1	2	2.336903816	2.337901548	3175.926	6406.773	4306.641	4306.641
72	Spectrogram 1	2	2.337901548	2.338899281	3175.926	6406.773	4306.641	4306.641
73	Spectrogram 1	2	2.338899281	2.339897013	3175.926	6406.773	4306.641	4306.641
74	Spectrogram 1	2	2.339897013	2.340894746	3175.926	6406.773	4306.641	4306.641
75	Spectrogram 1	2	2.340894746	2.341892478	3175.926	6406.773	4306.641	4306.641
76	Spectrogram 1	2	2.341892478	2.342890210	3175.926	6406.773	4306.641	4220.508
77	Spectrogram 1	2	2.342890210	2.343887943	3175.926	6406.773	4306.641	4220.508
78	Spectrogram 1	2	2.343887943	2.344885675	3175.926	6406.773	4306.641	4220.508
79	Spectrogram 1	2	2.344885675	2.345883408	3175.926	6406.773	4306.641	4220.508
80	Spectrogram 1	2	2.345883408	2.346881140	3175.926	6406.773	4306.641	4220.508
81	Spectrogram 1	2	2.346881140	2.347878873	3175.926	6406.773	4306.641	4220.508
82	Spectrogram 1	2	2.347878873	2.348876605	3175.926	6406.773	4220.508	4392.773
83	Spectrogram 1	2	2.348876605	2.349874337	3175.926	6406.773	4220.508	4392.773
