Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	28.801602464	28.802602464	3115.369	6788.225	4687.500	4312.500
2	Spectrogram 1	1	28.802602464	28.803602464	3115.369	6788.225	5906.250	5906.250
3	Spectrogram 1	1	28.803602464	28.804602464	3115.369	6788.225	5906.250	5906.250
4	Spectrogram 1	1	28.804602464	28.805602464	3115.369	6788.225	5906.250	5906.250
5	Spectrogram 1	1	28.805602464	28.806602464	3115.369	6788.225	5906.250	5906.250
6	Spectrogram 1	1	28.806602464	28.807602464	3115.369	6788.225	5906.250	5906.250
7	Spectrogram 1	1	28.807602464	28.808602464	3115.369	6788.225	5906.250	6000.000
8	Spectrogram 1	1	28.808602464	28.809602464	3115.369	6788.225	5906.250	6000.000
9	Spectrogram 1	1	28.809602464	28.810602464	3115.369	6788.225	5906.250	6000.000
10	Spectrogram 1	1	28.810602464	28.811602464	3115.369	6788.225	5906.250	6000.000
11	Spectrogram 1	1	28.811602464	28.812602464	3115.369	6788.225	5906.250	6000.000
12	Spectrogram 1	1	28.812602464	28.813602464	3115.369	6788.225	5906.250	6000.000
13	Spectrogram 1	1	28.813602464	28.814602464	3115.369	6788.225	4875.000	4781.250
14	Spectrogram 1	1	28.814602464	28.815602464	3115.369	6788.225	4875.000	4781.250
15	Spectrogram 1	1	28.815602464	28.816602464	3115.369	6788.225	4875.000	4781.250
16	Spectrogram 1	1	28.816602464	28.817602464	3115.369	6788.225	4875.000	4781.250
17	Spectrogram 1	1	28.817602464	28.818602464	3115.369	6788.225	4875.000	4781.250
18	Spectrogram 1	1	28.818602464	28.819602464	3115.369	6788.225	5343.750	5437.500
19	Spectrogram 1	1	28.819602464	28.820602464	3115.369	6788.225	5343.750	5437.500
20	Spectrogram 1	1	28.820602464	28.821602464	3115.369	6788.225	5343.750	5437.500
21	Spectrogram 1	1	28.821602464	28.822602464	3115.369	6788.225	5343.750	5437.500
22	Spectrogram 1	1	28.822602464	28.823602464	3115.369	6788.225	5343.750	5437.500
23	Spectrogram 1	1	28.823602464	28.824602464	3115.369	6788.225	5812.500	5812.500
24	Spectrogram 1	1	28.824602464	28.825602464	3115.369	6788.225	5812.500	5812.500
25	Spectrogram 1	1	28.825602464	28.826602464	3115.369	6788.225	5812.500	5812.500
26	Spectrogram 1	1	28.826602464	28.827602464	3115.369	6788.225	5812.500	5812.500
27	Spectrogram 1	1	28.827602464	28.828602464	3115.369	6788.225	5812.500	5812.500
28	Spectrogram 1	1	28.828602464	28.829602464	3115.369	6788.225	5812.500	5812.500
29	Spectrogram 1	1	28.829602464	28.830602464	3115.369	6788.225	6000.000	6000.000
30	Spectrogram 1	1	28.830602464	28.831602464	3115.369	6788.225	6000.000	6000.000
31	Spectrogram 1	1	28.831602464	28.832602464	3115.369	6788.225	6000.000	6000.000
32	Spectrogram 1	1	28.832602464	28.833602464	3115.369	6788.225	6000.000	6000.000
33	Spectrogram 1	1	28.833602464	28.834602464	3115.369	6788.225	6000.000	6000.000
34	Spectrogram 1	1	28.834602464	28.835602464	3115.369	6788.225	5625.000	5625.000
35	Spectrogram 1	1	28.835602464	28.836602464	3115.369	6788.225	5625.000	5625.000
36	Spectrogram 1	1	28.836602464	28.837602464	3115.369	6788.225	5625.000	5625.000
37	Spectrogram 1	1	28.837602464	28.838602464	3115.369	6788.225	5625.000	5625.000
38	Spectrogram 1	1	28.838602464	28.839602464	3115.369	6788.225	5625.000	5625.000
39	Spectrogram 1	1	28.839602464	28.840602464	3115.369	6788.225	5156.250	5062.500
40	Spectrogram 1	1	28.840602464	28.841602464	3115.369	6788.225	5156.250	5062.500
41	Spectrogram 1	1	28.841602464	28.842602464	3115.369	6788.225	5156.250	5062.500
42	Spectrogram 1	1	28.842602464	28.843602464	3115.369	6788.225	5156.250	5062.500
43	Spectrogram 1	1	28.843602464	28.844602464	3115.369	6788.225	5156.250	5062.500
44	Spectrogram 1	1	28.844602464	28.845602464	3115.369	6788.225	5156.250	5062.500
45	Spectrogram 1	1	28.845602464	28.846602464	3115.369	6788.225	4687.500	4687.500
46	Spectrogram 1	1	28.846602464	28.847602464	3115.369	6788.225	4687.500	4687.500
47	Spectrogram 1	1	28.847602464	28.848602464	3115.369	6788.225	4687.500	4687.500
48	Spectrogram 1	1	28.848602464	28.849602464	3115.369	6788.225	4687.500	4687.500
49	Spectrogram 1	1	28.849602464	28.850602464	3115.369	6788.225	4687.500	4687.500
50	Spectrogram 1	1	28.850602464	28.851602464	3115.369	6788.225	4218.750	4218.750
51	Spectrogram 1	1	28.851602464	28.852602464	3115.369	6788.225	4218.750	4218.750
52	Spectrogram 1	1	28.852602464	28.853602464	3115.369	6788.225	4218.750	4218.750
53	Spectrogram 1	1	28.853602464	28.854602464	3115.369	6788.225	4218.750	4218.750
54	Spectrogram 1	1	28.854602464	28.855602464	3115.369	6788.225	4218.750	4218.750
55	Spectrogram 1	1	28.855602464	28.856602464	3115.369	6788.225	3750.000	3750.000
56	Spectrogram 1	1	28.856602464	28.857602464	3115.369	6788.225	3750.000	3750.000
57	Spectrogram 1	1	28.857602464	28.858602464	3115.369	6788.225	3750.000	3750.000
