Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.447294014	5.448294014	2956.500	6386.449	4125.000	4031.250
2	Spectrogram 1	1	5.448294014	5.449294014	2956.500	6386.449	5062.500	5062.500
3	Spectrogram 1	1	5.449294014	5.450294014	2956.500	6386.449	5062.500	5062.500
4	Spectrogram 1	1	5.450294014	5.451294014	2956.500	6386.449	5062.500	5062.500
5	Spectrogram 1	1	5.451294014	5.452294014	2956.500	6386.449	5062.500	5062.500
6	Spectrogram 1	1	5.452294014	5.453294014	2956.500	6386.449	5062.500	5062.500
7	Spectrogram 1	1	5.453294014	5.454294014	2956.500	6386.449	4781.250	4781.250
8	Spectrogram 1	1	5.454294014	5.455294014	2956.500	6386.449	4781.250	4781.250
9	Spectrogram 1	1	5.455294014	5.456294014	2956.500	6386.449	4781.250	4781.250
10	Spectrogram 1	1	5.456294014	5.457294014	2956.500	6386.449	4781.250	4781.250
11	Spectrogram 1	1	5.457294014	5.458294014	2956.500	6386.449	4781.250	4781.250
12	Spectrogram 1	1	5.458294014	5.459294014	2956.500	6386.449	5062.500	5062.500
13	Spectrogram 1	1	5.459294014	5.460294014	2956.500	6386.449	5062.500	5062.500
14	Spectrogram 1	1	5.460294014	5.461294014	2956.500	6386.449	5062.500	5062.500
15	Spectrogram 1	1	5.461294014	5.462294014	2956.500	6386.449	5062.500	5062.500
16	Spectrogram 1	1	5.462294014	5.463294014	2956.500	6386.449	5062.500	5062.500
17	Spectrogram 1	1	5.463294014	5.464294014	2956.500	6386.449	5062.500	5062.500
18	Spectrogram 1	1	5.464294014	5.465294014	2956.500	6386.449	5437.500	5531.250
19	Spectrogram 1	1	5.465294014	5.466294014	2956.500	6386.449	5437.500	5531.250
20	Spectrogram 1	1	5.466294014	5.467294014	2956.500	6386.449	5437.500	5531.250
21	Spectrogram 1	1	5.467294014	5.468294014	2956.500	6386.449	5437.500	5531.250
22	Spectrogram 1	1	5.468294014	5.469294014	2956.500	6386.449	5437.500	5531.250
23	Spectrogram 1	1	5.469294014	5.470294014	2956.500	6386.449	5625.000	5531.250
24	Spectrogram 1	1	5.470294014	5.471294014	2956.500	6386.449	5625.000	5531.250
25	Spectrogram 1	1	5.471294014	5.472294014	2956.500	6386.449	5625.000	5531.250
26	Spectrogram 1	1	5.472294014	5.473294014	2956.500	6386.449	5625.000	5531.250
27	Spectrogram 1	1	5.473294014	5.474294014	2956.500	6386.449	5625.000	5531.250
28	Spectrogram 1	1	5.474294014	5.475294014	2956.500	6386.449	5625.000	5625.000
29	Spectrogram 1	1	5.475294014	5.476294014	2956.500	6386.449	5625.000	5625.000
30	Spectrogram 1	1	5.476294014	5.477294014	2956.500	6386.449	5625.000	5625.000
31	Spectrogram 1	1	5.477294014	5.478294014	2956.500	6386.449	5625.000	5625.000
32	Spectrogram 1	1	5.478294014	5.479294014	2956.500	6386.449	5625.000	5625.000
33	Spectrogram 1	1	5.479294014	5.480294014	2956.500	6386.449	5625.000	5625.000
34	Spectrogram 1	1	5.480294014	5.481294014	2956.500	6386.449	5062.500	5062.500
35	Spectrogram 1	1	5.481294014	5.482294014	2956.500	6386.449	5062.500	5062.500
36	Spectrogram 1	1	5.482294014	5.483294014	2956.500	6386.449	5062.500	5062.500
37	Spectrogram 1	1	5.483294014	5.484294014	2956.500	6386.449	5062.500	5062.500
38	Spectrogram 1	1	5.484294014	5.485294014	2956.500	6386.449	5062.500	5062.500
39	Spectrogram 1	1	5.485294014	5.486294014	2956.500	6386.449	4500.000	4500.000
40	Spectrogram 1	1	5.486294014	5.487294014	2956.500	6386.449	4500.000	4500.000
41	Spectrogram 1	1	5.487294014	5.488294014	2956.500	6386.449	4500.000	4500.000
42	Spectrogram 1	1	5.488294014	5.489294014	2956.500	6386.449	4500.000	4500.000
43	Spectrogram 1	1	5.489294014	5.490294014	2956.500	6386.449	4500.000	4500.000
44	Spectrogram 1	1	5.490294014	5.491294014	2956.500	6386.449	4218.750	4218.750
45	Spectrogram 1	1	5.491294014	5.492294014	2956.500	6386.449	4218.750	4218.750
46	Spectrogram 1	1	5.492294014	5.493294014	2956.500	6386.449	4218.750	4218.750
47	Spectrogram 1	1	5.493294014	5.494294014	2956.500	6386.449	4218.750	4218.750
48	Spectrogram 1	1	5.494294014	5.495294014	2956.500	6386.449	4218.750	4218.750
49	Spectrogram 1	1	5.495294014	5.496294014	2956.500	6386.449	4218.750	4218.750
50	Spectrogram 1	1	5.496294014	5.497294014	2956.500	6386.449	3937.500	3937.500
51	Spectrogram 1	1	5.497294014	5.498294014	2956.500	6386.449	3937.500	3937.500
52	Spectrogram 1	1	5.498294014	5.499294014	2956.500	6386.449	3937.500	3937.500
53	Spectrogram 1	1	5.499294014	5.500294014	2956.500	6386.449	3937.500	3937.500
