Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	43.739400000	43.740397732	2878.012	6818.675	5512.500	5512.500
2	Spectrogram 1	1	43.740397732	43.741395465	2878.012	6818.675	5512.500	5512.500
3	Spectrogram 1	1	43.741395465	43.742393197	2878.012	6818.675	5512.500	5512.500
4	Spectrogram 1	1	43.742393197	43.743390930	2878.012	6818.675	5512.500	5512.500
5	Spectrogram 1	1	43.743390930	43.744388662	2878.012	6818.675	4392.773	4392.773
6	Spectrogram 1	1	43.744388662	43.745386395	2878.012	6818.675	4392.773	4392.773
7	Spectrogram 1	1	43.745386395	43.746384127	2878.012	6818.675	4392.773	4392.773
8	Spectrogram 1	1	43.746384127	43.747381859	2878.012	6818.675	4392.773	4392.773
9	Spectrogram 1	1	43.747381859	43.748379592	2878.012	6818.675	4392.773	4392.773
10	Spectrogram 1	1	43.748379592	43.749377324	2878.012	6818.675	4392.773	4392.773
11	Spectrogram 1	1	43.749377324	43.750375057	2878.012	6818.675	4392.773	4392.773
12	Spectrogram 1	1	43.750375057	43.751372789	2878.012	6818.675	4392.773	4392.773
13	Spectrogram 1	1	43.751372789	43.752370522	2878.012	6818.675	4392.773	4392.773
14	Spectrogram 1	1	43.752370522	43.753368254	2878.012	6818.675	4392.773	4392.773
15	Spectrogram 1	1	43.753368254	43.754365986	2878.012	6818.675	4392.773	4392.773
16	Spectrogram 1	1	43.754365986	43.755363719	2878.012	6818.675	4392.773	4392.773
17	Spectrogram 1	1	43.755363719	43.756361451	2878.012	6818.675	3875.977	3875.977
18	Spectrogram 1	1	43.756361451	43.757359184	2878.012	6818.675	3875.977	3875.977
19	Spectrogram 1	1	43.757359184	43.758356916	2878.012	6818.675	3875.977	3875.977
20	Spectrogram 1	1	43.758356916	43.759354649	2878.012	6818.675	3875.977	3875.977
21	Spectrogram 1	1	43.759354649	43.760352381	2878.012	6818.675	3875.977	3875.977
22	Spectrogram 1	1	43.760352381	43.761350113	2878.012	6818.675	3875.977	3875.977
23	Spectrogram 1	1	43.761350113	43.762347846	2878.012	6818.675	6632.227	6632.227
24	Spectrogram 1	1	43.762347846	43.763345578	2878.012	6818.675	6632.227	6632.227
25	Spectrogram 1	1	43.763345578	43.764343311	2878.012	6818.675	6632.227	6632.227
26	Spectrogram 1	1	43.764343311	43.765341043	2878.012	6818.675	6632.227	6632.227
27	Spectrogram 1	1	43.765341043	43.766338776	2878.012	6818.675	6632.227	6632.227
28	Spectrogram 1	1	43.766338776	43.767336508	2878.012	6818.675	6201.562	6201.562
29	Spectrogram 1	1	43.767336508	43.768334240	2878.012	6818.675	6201.562	6201.562
30	Spectrogram 1	1	43.768334240	43.769331973	2878.012	6818.675	6201.562	6201.562
31	Spectrogram 1	1	43.769331973	43.770329705	2878.012	6818.675	6201.562	6201.562
32	Spectrogram 1	1	43.770329705	43.771327438	2878.012	6818.675	6201.562	6201.562
33	Spectrogram 1	1	43.771327438	43.772325170	2878.012	6818.675	6201.562	6201.562
34	Spectrogram 1	1	43.772325170	43.773322902	2878.012	6818.675	5943.164	5943.164
35	Spectrogram 1	1	43.773322902	43.774320635	2878.012	6818.675	5943.164	5943.164
