Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	21.032130592	21.033128324	3175.200	6111.236	4478.906	4478.906
2	Spectrogram 1	1	21.033128324	21.034126057	3175.200	6111.236	4478.906	4478.906
3	Spectrogram 1	1	21.034126057	21.035123789	3175.200	6111.236	4478.906	4478.906
4	Spectrogram 1	1	21.035123789	21.036121522	3175.200	6111.236	4478.906	4478.906
5	Spectrogram 1	1	21.036121522	21.037119254	3175.200	6111.236	4478.906	4478.906
6	Spectrogram 1	1	21.037119254	21.038116987	3175.200	6111.236	4478.906	4478.906
7	Spectrogram 1	1	21.038116987	21.039114719	3175.200	6111.236	4478.906	4478.906
8	Spectrogram 1	1	21.039114719	21.040112451	3175.200	6111.236	4478.906	4478.906
9	Spectrogram 1	1	21.040112451	21.041110184	3175.200	6111.236	3962.109	3962.109
10	Spectrogram 1	1	21.041110184	21.042107916	3175.200	6111.236	3962.109	3962.109
11	Spectrogram 1	1	21.042107916	21.043105649	3175.200	6111.236	3962.109	3962.109
12	Spectrogram 1	1	21.043105649	21.044103381	3175.200	6111.236	3962.109	3962.109
13	Spectrogram 1	1	21.044103381	21.045101114	3175.200	6111.236	3962.109	3962.109
14	Spectrogram 1	1	21.045101114	21.046098846	3175.200	6111.236	3962.109	3962.109
15	Spectrogram 1	1	21.046098846	21.047096578	3175.200	6111.236	4220.508	3445.312
16	Spectrogram 1	1	21.047096578	21.048094311	3175.200	6111.236	4220.508	3445.312
17	Spectrogram 1	1	21.048094311	21.049092043	3175.200	6111.236	4220.508	3445.312
18	Spectrogram 1	1	21.049092043	21.050089776	3175.200	6111.236	4220.508	3445.312
19	Spectrogram 1	1	21.050089776	21.051087508	3175.200	6111.236	4220.508	3445.312
20	Spectrogram 1	1	21.051087508	21.052085241	3175.200	6111.236	4220.508	3445.312
21	Spectrogram 1	1	21.052085241	21.053082973	3175.200	6111.236	4220.508	3273.047
22	Spectrogram 1	1	21.053082973	21.054080705	3175.200	6111.236	4220.508	3273.047
23	Spectrogram 1	1	21.054080705	21.055078438	3175.200	6111.236	4220.508	3273.047
24	Spectrogram 1	1	21.055078438	21.056076170	3175.200	6111.236	4220.508	3273.047
25	Spectrogram 1	1	21.056076170	21.057073903	3175.200	6111.236	4220.508	3273.047
26	Spectrogram 1	1	21.057073903	21.058071635	3175.200	6111.236	4220.508	3273.047
27	Spectrogram 1	1	21.058071635	21.059069368	3175.200	6111.236	3962.109	3186.914
28	Spectrogram 1	1	21.059069368	21.060067100	3175.200	6111.236	3962.109	3186.914
29	Spectrogram 1	1	21.060067100	21.061064832	3175.200	6111.236	3962.109	3186.914
30	Spectrogram 1	1	21.061064832	21.062062565	3175.200	6111.236	3962.109	3186.914
31	Spectrogram 1	1	21.062062565	21.063060297	3175.200	6111.236	3962.109	3186.914
32	Spectrogram 1	1	21.063060297	21.064058030	3175.200	6111.236	5857.031	5943.164
33	Spectrogram 1	1	21.064058030	21.065055762	3175.200	6111.236	5857.031	5943.164
34	Spectrogram 1	1	21.065055762	21.066053494	3175.200	6111.236	5857.031	5943.164
35	Spectrogram 1	1	21.066053494	21.067051227	3175.200	6111.236	5857.031	5943.164
36	Spectrogram 1	1	21.067051227	21.068048959	3175.200	6111.236	5857.031	5943.164
37	Spectrogram 1	1	21.068048959	21.069046692	3175.200	6111.236	5857.031	5943.164
38	Spectrogram 1	1	21.069046692	21.070044424	3175.200	6111.236	5857.031	5857.031
39	Spectrogram 1	1	21.070044424	21.071042157	3175.200	6111.236	5857.031	5857.031
40	Spectrogram 1	1	21.071042157	21.072039889	3175.200	6111.236	5857.031	5857.031
41	Spectrogram 1	1	21.072039889	21.073037621	3175.200	6111.236	5857.031	5857.031
42	Spectrogram 1	1	21.073037621	21.074035354	3175.200	6111.236	5857.031	5857.031
43	Spectrogram 1	1	21.074035354	21.075033086	3175.200	6111.236	5857.031	5857.031
44	Spectrogram 1	1	21.075033086	21.076030819	3175.200	6111.236	5684.766	5684.766
45	Spectrogram 1	1	21.076030819	21.077028551	3175.200	6111.236	5684.766	5684.766
46	Spectrogram 1	1	21.077028551	21.078026284	3175.200	6111.236	5684.766	5684.766
47	Spectrogram 1	1	21.078026284	21.079024016	3175.200	6111.236	5684.766	5684.766
48	Spectrogram 1	1	21.079024016	21.080021748	3175.200	6111.236	5684.766	5684.766
49	Spectrogram 1	1	21.080021748	21.081019481	3175.200	6111.236	5684.766	5684.766
50	Spectrogram 1	1	21.081019481	21.082017213	3175.200	6111.236	5254.102	5857.031
51	Spectrogram 1	1	21.082017213	21.083014946	3175.200	6111.236	5254.102	5857.031
52	Spectrogram 1	1	21.083014946	21.084012678	3175.200	6111.236	5254.102	5857.031
53	Spectrogram 1	1	21.084012678	21.085010411	3175.200	6111.236	5254.102	5857.031
54	Spectrogram 1	1	21.085010411	21.086008143	3175.200	6111.236	5254.102	5857.031
55	Spectrogram 1	1	21.086008143	21.087005875	3175.200	6111.236	5254.102	5857.031
56	Spectrogram 1	1	21.087005875	21.088003608	3175.200	6111.236	4995.703	5943.164
57	Spectrogram 1	1	21.088003608	21.089001340	3175.200	6111.236	4995.703	5943.164
58	Spectrogram 1	1	21.089001340	21.089999073	3175.200	6111.236	4995.703	5943.164
59	Spectrogram 1	1	21.089999073	21.090996805	3175.200	6111.236	4995.703	5943.164
60	Spectrogram 1	1	21.090996805	21.091994538	3175.200	6111.236	4995.703	5943.164
61	Spectrogram 1	1	21.091994538	21.092992270	3175.200	6111.236	3359.180	3359.180
62	Spectrogram 1	1	21.092992270	21.093990002	3175.200	6111.236	3359.180	3359.180
63	Spectrogram 1	1	21.093990002	21.094987735	3175.200	6111.236	3359.180	3359.180
64	Spectrogram 1	1	21.094987735	21.095985467	3175.200	6111.236	3359.180	3359.180
65	Spectrogram 1	1	21.095985467	21.096983200	3175.200	6111.236	3359.180	3359.180
66	Spectrogram 1	1	21.096983200	21.097980932	3175.200	6111.236	3359.180	3359.180
67	Spectrogram 1	1	21.097980932	21.098978665	3175.200	6111.236	3445.312	3445.312
68	Spectrogram 1	1	21.098978665	21.099976397	3175.200	6111.236	3445.312	3445.312
69	Spectrogram 1	1	21.099976397	21.100974129	3175.200	6111.236	3445.312	3445.312
70	Spectrogram 1	1	21.100974129	21.101971862	3175.200	6111.236	3445.312	3445.312
71	Spectrogram 1	1	21.101971862	21.102969594	3175.200	6111.236	3445.312	3445.312
72	Spectrogram 1	1	21.102969594	21.103967327	3175.200	6111.236	3445.312	3445.312
73	Spectrogram 1	1	21.103967327	21.104965059	3175.200	6111.236	3617.578	3617.578
74	Spectrogram 1	1	21.104965059	21.105962792	3175.200	6111.236	3617.578	3617.578
75	Spectrogram 1	1	21.105962792	21.106960524	3175.200	6111.236	3617.578	3617.578
76	Spectrogram 1	1	21.106960524	21.107958256	3175.200	6111.236	3617.578	3617.578
77	Spectrogram 1	1	21.107958256	21.108955989	3175.200	6111.236	3617.578	3617.578
78	Spectrogram 1	1	21.108955989	21.109953721	3175.200	6111.236	3617.578	3617.578
79	Spectrogram 1	1	21.109953721	21.110951454	3175.200	6111.236	3703.711	3703.711
80	Spectrogram 1	1	21.110951454	21.111949186	3175.200	6111.236	3703.711	3703.711
81	Spectrogram 1	1	21.111949186	21.112946919	3175.200	6111.236	3703.711	3703.711
82	Spectrogram 1	1	21.112946919	21.113944651	3175.200	6111.236	3703.711	3703.711
83	Spectrogram 1	1	21.113944651	21.114942383	3175.200	6111.236	3703.711	3703.711
84	Spectrogram 1	1	21.114942383	21.115940116	3175.200	6111.236	3703.711	3703.711
85	Spectrogram 1	1	21.115940116	21.116937848	3175.200	6111.236	3875.977	3875.977
86	Spectrogram 1	1	21.116937848	21.117935581	3175.200	6111.236	3875.977	3875.977
87	Spectrogram 1	1	21.117935581	21.118933313	3175.200	6111.236	3875.977	3875.977
88	Spectrogram 1	1	21.118933313	21.119931046	3175.200	6111.236	3875.977	3875.977
89	Spectrogram 1	1	21.119931046	21.120928778	3175.200	6111.236	3875.977	3875.977
90	Spectrogram 1	1	21.120928778	21.121926510	3175.200	6111.236	3875.977	3875.977
91	Spectrogram 1	1	21.121926510	21.122924243	3175.200	6111.236	4048.242	4048.242
92	Spectrogram 1	1	21.122924243	21.123921975	3175.200	6111.236	4048.242	4048.242
93	Spectrogram 1	1	21.123921975	21.124919708	3175.200	6111.236	4048.242	4048.242
94	Spectrogram 1	1	21.124919708	21.125917440	3175.200	6111.236	4048.242	4048.242
95	Spectrogram 1	1	21.125917440	21.126915172	3175.200	6111.236	4048.242	4048.242
96	Spectrogram 1	1	21.126915172	21.127912905	3175.200	6111.236	4220.508	4220.508
97	Spectrogram 1	1	21.127912905	21.128910637	3175.200	6111.236	4220.508	4220.508
98	Spectrogram 1	1	21.128910637	21.129908370	3175.200	6111.236	4220.508	4220.508
99	Spectrogram 1	1	21.129908370	21.130906102	3175.200	6111.236	4220.508	4220.508
100	Spectrogram 1	1	21.130906102	21.131903835	3175.200	6111.236	4220.508	4220.508
101	Spectrogram 1	1	21.131903835	21.132901567	3175.200	6111.236	4220.508	4220.508
102	Spectrogram 1	1	21.132901567	21.133899299	3175.200	6111.236	4392.773	4392.773
103	Spectrogram 1	1	21.133899299	21.134897032	3175.200	6111.236	4392.773	4392.773
104	Spectrogram 1	1	21.134897032	21.135894764	3175.200	6111.236	4392.773	4392.773
105	Spectrogram 1	1	21.135894764	21.136892497	3175.200	6111.236	4392.773	4392.773
106	Spectrogram 1	1	21.136892497	21.137890229	3175.200	6111.236	4392.773	4392.773
107	Spectrogram 1	1	21.137890229	21.138887962	3175.200	6111.236	4392.773	4392.773
