Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	5.877218111	5.878215843	2655.000	6165.000	5340.234	5340.234
2	Spectrogram 1	1	5.878215843	5.879213576	2655.000	6165.000	5340.234	5340.234
3	Spectrogram 1	1	5.879213576	5.880211308	2655.000	6165.000	5340.234	5340.234
4	Spectrogram 1	1	5.880211308	5.881209041	2655.000	6165.000	5340.234	5340.234
5	Spectrogram 1	1	5.881209041	5.882206773	2655.000	6165.000	5340.234	5340.234
6	Spectrogram 1	1	5.882206773	5.883204506	2655.000	6165.000	5340.234	5340.234
7	Spectrogram 1	1	5.883204506	5.884202238	2655.000	6165.000	4565.039	3962.109
8	Spectrogram 1	1	5.884202238	5.885199970	2655.000	6165.000	4565.039	3962.109
9	Spectrogram 1	1	5.885199970	5.886197703	2655.000	6165.000	4565.039	3962.109
10	Spectrogram 1	1	5.886197703	5.887195435	2655.000	6165.000	4565.039	3962.109
11	Spectrogram 1	1	5.887195435	5.888193168	2655.000	6165.000	4565.039	3962.109
12	Spectrogram 1	1	5.888193168	5.889190900	2655.000	6165.000	4565.039	3962.109
13	Spectrogram 1	1	5.889190900	5.890188633	2655.000	6165.000	4306.641	5340.234
14	Spectrogram 1	1	5.890188633	5.891186365	2655.000	6165.000	4306.641	5340.234
15	Spectrogram 1	1	5.891186365	5.892184097	2655.000	6165.000	4306.641	5340.234
16	Spectrogram 1	1	5.892184097	5.893181830	2655.000	6165.000	4306.641	5340.234
17	Spectrogram 1	1	5.893181830	5.894179562	2655.000	6165.000	4306.641	5340.234
18	Spectrogram 1	1	5.894179562	5.895177295	2655.000	6165.000	4306.641	5340.234
19	Spectrogram 1	1	5.895177295	5.896175027	2655.000	6165.000	4220.508	4220.508
20	Spectrogram 1	1	5.896175027	5.897172760	2655.000	6165.000	4220.508	4220.508
21	Spectrogram 1	1	5.897172760	5.898170492	2655.000	6165.000	4220.508	4220.508
22	Spectrogram 1	1	5.898170492	5.899168224	2655.000	6165.000	4220.508	4220.508
23	Spectrogram 1	1	5.899168224	5.900165957	2655.000	6165.000	4220.508	4220.508
24	Spectrogram 1	1	5.900165957	5.901163689	2655.000	6165.000	4220.508	4220.508
25	Spectrogram 1	1	5.901163689	5.902161422	2655.000	6165.000	3962.109	3100.781
26	Spectrogram 1	1	5.902161422	5.903159154	2655.000	6165.000	3962.109	3100.781
27	Spectrogram 1	1	5.903159154	5.904156887	2655.000	6165.000	3962.109	3100.781
28	Spectrogram 1	1	5.904156887	5.905154619	2655.000	6165.000	3962.109	3100.781
29	Spectrogram 1	1	5.905154619	5.906152351	2655.000	6165.000	3962.109	3100.781
30	Spectrogram 1	1	5.906152351	5.907150084	2655.000	6165.000	3875.977	3875.977
31	Spectrogram 1	1	5.907150084	5.908147816	2655.000	6165.000	3875.977	3875.977
32	Spectrogram 1	1	5.908147816	5.909145549	2655.000	6165.000	3875.977	3875.977
33	Spectrogram 1	1	5.909145549	5.910143281	2655.000	6165.000	3875.977	3875.977
34	Spectrogram 1	1	5.910143281	5.911141013	2655.000	6165.000	3875.977	3875.977
35	Spectrogram 1	1	5.911141013	5.912138746	2655.000	6165.000	3875.977	3875.977
36	Spectrogram 1	1	5.912138746	5.913136478	2655.000	6165.000	3875.977	3875.977
37	Spectrogram 1	1	5.913136478	5.914134211	2655.000	6165.000	3875.977	3875.977
38	Spectrogram 1	1	5.914134211	5.915131943	2655.000	6165.000	3875.977	3875.977
39	Spectrogram 1	1	5.915131943	5.916129676	2655.000	6165.000	3875.977	3875.977
40	Spectrogram 1	1	5.916129676	5.917127408	2655.000	6165.000	3875.977	3875.977
41	Spectrogram 1	1	5.917127408	5.918125140	2655.000	6165.000	3875.977	3875.977
42	Spectrogram 1	1	5.918125140	5.919122873	2655.000	6165.000	3789.844	3789.844
43	Spectrogram 1	1	5.919122873	5.920120605	2655.000	6165.000	3789.844	3789.844
44	Spectrogram 1	1	5.920120605	5.921118338	2655.000	6165.000	3789.844	3789.844
45	Spectrogram 1	1	5.921118338	5.922116070	2655.000	6165.000	3789.844	3789.844
46	Spectrogram 1	1	5.922116070	5.923113803	2655.000	6165.000	3789.844	3789.844
47	Spectrogram 1	1	5.923113803	5.924111535	2655.000	6165.000	3789.844	3789.844
48	Spectrogram 1	1	5.924111535	5.925109267	2655.000	6165.000	3875.977	3875.977
49	Spectrogram 1	1	5.925109267	5.926107000	2655.000	6165.000	3875.977	3875.977
50	Spectrogram 1	1	5.926107000	5.927104732	2655.000	6165.000	3875.977	3875.977
51	Spectrogram 1	1	5.927104732	5.928102465	2655.000	6165.000	3875.977	3875.977
52	Spectrogram 1	1	5.928102465	5.929100197	2655.000	6165.000	3875.977	3875.977
53	Spectrogram 1	1	5.929100197	5.930097930	2655.000	6165.000	3875.977	3875.977
54	Spectrogram 1	1	5.930097930	5.931095662	2655.000	6165.000	4048.242	3962.109
55	Spectrogram 1	1	5.931095662	5.932093394	2655.000	6165.000	4048.242	3962.109
56	Spectrogram 1	1	5.932093394	5.933091127	2655.000	6165.000	4048.242	3962.109
57	Spectrogram 1	1	5.933091127	5.934088859	2655.000	6165.000	4048.242	3962.109
58	Spectrogram 1	1	5.934088859	5.935086592	2655.000	6165.000	4048.242	3962.109
59	Spectrogram 1	1	5.935086592	5.936084324	2655.000	6165.000	4048.242	3962.109
60	Spectrogram 1	1	5.936084324	5.937082057	2655.000	6165.000	4048.242	4048.242
61	Spectrogram 1	1	5.937082057	5.938079789	2655.000	6165.000	4048.242	4048.242
62	Spectrogram 1	1	5.938079789	5.939077521	2655.000	6165.000	4048.242	4048.242
63	Spectrogram 1	1	5.939077521	5.940075254	2655.000	6165.000	4048.242	4048.242
64	Spectrogram 1	1	5.940075254	5.941072986	2655.000	6165.000	4048.242	4048.242
65	Spectrogram 1	1	5.941072986	5.942070719	2655.000	6165.000	4565.039	4737.305
66	Spectrogram 1	1	5.942070719	5.943068451	2655.000	6165.000	4565.039	4737.305
67	Spectrogram 1	1	5.943068451	5.944066184	2655.000	6165.000	4565.039	4737.305
68	Spectrogram 1	1	5.944066184	5.945063916	2655.000	6165.000	4565.039	4737.305
69	Spectrogram 1	1	5.945063916	5.946061648	2655.000	6165.000	4565.039	4737.305
70	Spectrogram 1	1	5.946061648	5.947059381	2655.000	6165.000	4565.039	4737.305
71	Spectrogram 1	1	5.947059381	5.948057113	2655.000	6165.000	3445.312	3445.312
72	Spectrogram 1	1	5.948057113	5.949054846	2655.000	6165.000	3445.312	3445.312
73	Spectrogram 1	1	5.949054846	5.950052578	2655.000	6165.000	3445.312	3445.312
74	Spectrogram 1	1	5.950052578	5.951050311	2655.000	6165.000	3445.312	3445.312
75	Spectrogram 1	1	5.951050311	5.952048043	2655.000	6165.000	3445.312	3445.312
76	Spectrogram 1	1	5.952048043	5.953045775	2655.000	6165.000	3445.312	3445.312
77	Spectrogram 1	1	5.953045775	5.954043508	2655.000	6165.000	3617.578	3617.578
78	Spectrogram 1	1	5.954043508	5.955041240	2655.000	6165.000	3617.578	3617.578
79	Spectrogram 1	1	5.955041240	5.956038973	2655.000	6165.000	3617.578	3617.578
80	Spectrogram 1	1	5.956038973	5.957036705	2655.000	6165.000	3617.578	3617.578
81	Spectrogram 1	1	5.957036705	5.958034438	2655.000	6165.000	3617.578	3617.578
82	Spectrogram 1	1	5.958034438	5.959032170	2655.000	6165.000	3617.578	3617.578
83	Spectrogram 1	1	5.959032170	5.960029902	2655.000	6165.000	3789.844	3789.844
84	Spectrogram 1	1	5.960029902	5.961027635	2655.000	6165.000	3789.844	3789.844
85	Spectrogram 1	1	5.961027635	5.962025367	2655.000	6165.000	3789.844	3789.844
86	Spectrogram 1	1	5.962025367	5.963023100	2655.000	6165.000	3789.844	3789.844
87	Spectrogram 1	1	5.963023100	5.964020832	2655.000	6165.000	3789.844	3789.844
88	Spectrogram 1	1	5.964020832	5.965018565	2655.000	6165.000	3789.844	3789.844
89	Spectrogram 1	1	5.965018565	5.966016297	2655.000	6165.000	3962.109	3962.109
90	Spectrogram 1	1	5.966016297	5.967014029	2655.000	6165.000	3962.109	3962.109
91	Spectrogram 1	1	5.967014029	5.968011762	2655.000	6165.000	3962.109	3962.109
92	Spectrogram 1	1	5.968011762	5.969009494	2655.000	6165.000	3962.109	3962.109
93	Spectrogram 1	1	5.969009494	5.970007227	2655.000	6165.000	3962.109	3962.109
94	Spectrogram 1	1	5.970007227	5.971004959	2655.000	6165.000	4134.375	4134.375
95	Spectrogram 1	1	5.971004959	5.972002691	2655.000	6165.000	4134.375	4134.375
96	Spectrogram 1	1	5.972002691	5.973000424	2655.000	6165.000	4134.375	4134.375
97	Spectrogram 1	1	5.973000424	5.973998156	2655.000	6165.000	4134.375	4134.375
98	Spectrogram 1	1	5.973998156	5.974995889	2655.000	6165.000	4134.375	4134.375
99	Spectrogram 1	1	5.974995889	5.975993621	2655.000	6165.000	4134.375	4134.375
100	Spectrogram 1	1	5.975993621	5.976991354	2655.000	6165.000	4220.508	4220.508
101	Spectrogram 1	1	5.976991354	5.977989086	2655.000	6165.000	4220.508	4220.508
102	Spectrogram 1	1	5.977989086	5.978986818	2655.000	6165.000	4220.508	4220.508
103	Spectrogram 1	1	5.978986818	5.979984551	2655.000	6165.000	4220.508	4220.508
104	Spectrogram 1	1	5.979984551	5.980982283	2655.000	6165.000	4220.508	4220.508
