Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	30.983057222	30.984054954	2334.375	5878.125	4995.703	4909.570
2	Spectrogram 1	1	30.984054954	30.985052687	2334.375	5878.125	4651.172	4565.039
3	Spectrogram 1	1	30.985052687	30.986050419	2334.375	5878.125	4651.172	4565.039
4	Spectrogram 1	1	30.986050419	30.987048152	2334.375	5878.125	4651.172	4565.039
5	Spectrogram 1	1	30.987048152	30.988045884	2334.375	5878.125	4651.172	4565.039
6	Spectrogram 1	1	30.988045884	30.989043617	2334.375	5878.125	4651.172	4565.039
7	Spectrogram 1	1	30.989043617	30.990041349	2334.375	5878.125	4651.172	4565.039
8	Spectrogram 1	1	30.990041349	30.991039081	2334.375	5878.125	4995.703	4995.703
9	Spectrogram 1	1	30.991039081	30.992036814	2334.375	5878.125	4995.703	4995.703
10	Spectrogram 1	1	30.992036814	30.993034546	2334.375	5878.125	4995.703	4995.703
11	Spectrogram 1	1	30.993034546	30.994032279	2334.375	5878.125	4995.703	4995.703
12	Spectrogram 1	1	30.994032279	30.995030011	2334.375	5878.125	4995.703	4995.703
13	Spectrogram 1	1	30.995030011	30.996027744	2334.375	5878.125	4995.703	4995.703
14	Spectrogram 1	1	30.996027744	30.997025476	2334.375	5878.125	4995.703	5081.836
15	Spectrogram 1	1	30.997025476	30.998023208	2334.375	5878.125	4995.703	5081.836
16	Spectrogram 1	1	30.998023208	30.999020941	2334.375	5878.125	4995.703	5081.836
17	Spectrogram 1	1	30.999020941	31.000018673	2334.375	5878.125	4995.703	5081.836
18	Spectrogram 1	1	31.000018673	31.001016406	2334.375	5878.125	4995.703	5081.836
19	Spectrogram 1	1	31.001016406	31.002014138	2334.375	5878.125	4995.703	5081.836
20	Spectrogram 1	1	31.002014138	31.003011871	2334.375	5878.125	3875.977	4306.641
21	Spectrogram 1	1	31.003011871	31.004009603	2334.375	5878.125	3875.977	4306.641
22	Spectrogram 1	1	31.004009603	31.005007335	2334.375	5878.125	3875.977	4306.641
23	Spectrogram 1	1	31.005007335	31.006005068	2334.375	5878.125	3875.977	4306.641
24	Spectrogram 1	1	31.006005068	31.007002800	2334.375	5878.125	3875.977	4306.641
25	Spectrogram 1	1	31.007002800	31.008000533	2334.375	5878.125	5512.500	5512.500
26	Spectrogram 1	1	31.008000533	31.008998265	2334.375	5878.125	5512.500	5512.500
27	Spectrogram 1	1	31.008998265	31.009995998	2334.375	5878.125	5512.500	5512.500
28	Spectrogram 1	1	31.009995998	31.010993730	2334.375	5878.125	5512.500	5512.500
29	Spectrogram 1	1	31.010993730	31.011991462	2334.375	5878.125	5512.500	5512.500
30	Spectrogram 1	1	31.011991462	31.012989195	2334.375	5878.125	5512.500	5512.500
31	Spectrogram 1	1	31.012989195	31.013986927	2334.375	5878.125	5426.367	5426.367
32	Spectrogram 1	1	31.013986927	31.014984660	2334.375	5878.125	5426.367	5426.367
33	Spectrogram 1	1	31.014984660	31.015982392	2334.375	5878.125	5426.367	5426.367
34	Spectrogram 1	1	31.015982392	31.016980124	2334.375	5878.125	5426.367	5426.367
35	Spectrogram 1	1	31.016980124	31.017977857	2334.375	5878.125	5426.367	5426.367
36	Spectrogram 1	1	31.017977857	31.018975589	2334.375	5878.125	5426.367	5426.367
37	Spectrogram 1	1	31.018975589	31.019973322	2334.375	5878.125	5426.367	5426.367
38	Spectrogram 1	1	31.019973322	31.020971054	2334.375	5878.125	5426.367	5426.367
39	Spectrogram 1	1	31.020971054	31.021968787	2334.375	5878.125	5426.367	5426.367
40	Spectrogram 1	1	31.021968787	31.022966519	2334.375	5878.125	5426.367	5426.367
41	Spectrogram 1	1	31.022966519	31.023964251	2334.375	5878.125	5426.367	5426.367
42	Spectrogram 1	1	31.023964251	31.024961984	2334.375	5878.125	5426.367	5426.367
43	Spectrogram 1	1	31.024961984	31.025959716	2334.375	5878.125	5340.234	5340.234
44	Spectrogram 1	1	31.025959716	31.026957449	2334.375	5878.125	5340.234	5340.234
45	Spectrogram 1	1	31.026957449	31.027955181	2334.375	5878.125	5340.234	5340.234
