Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	17.353098267	17.354095999	2149.528	6136.557	4565.039	4565.039
2	Spectrogram 1	1	17.354095999	17.355093732	2149.528	6136.557	5167.969	5426.367
3	Spectrogram 1	1	17.355093732	17.356091464	2149.528	6136.557	5167.969	5426.367
4	Spectrogram 1	1	17.356091464	17.357089197	2149.528	6136.557	5167.969	5426.367
5	Spectrogram 1	1	17.357089197	17.358086929	2149.528	6136.557	5167.969	5426.367
6	Spectrogram 1	1	17.358086929	17.359084662	2149.528	6136.557	5167.969	5426.367
7	Spectrogram 1	1	17.359084662	17.360082394	2149.528	6136.557	5167.969	5426.367
8	Spectrogram 1	1	17.360082394	17.361080126	2149.528	6136.557	4565.039	4565.039
9	Spectrogram 1	1	17.361080126	17.362077859	2149.528	6136.557	4565.039	4565.039
10	Spectrogram 1	1	17.362077859	17.363075591	2149.528	6136.557	4565.039	4565.039
11	Spectrogram 1	1	17.363075591	17.364073324	2149.528	6136.557	4565.039	4565.039
12	Spectrogram 1	1	17.364073324	17.365071056	2149.528	6136.557	4565.039	4565.039
13	Spectrogram 1	1	17.365071056	17.366068789	2149.528	6136.557	4565.039	4565.039
14	Spectrogram 1	1	17.366068789	17.367066521	2149.528	6136.557	5167.969	5167.969
15	Spectrogram 1	1	17.367066521	17.368064253	2149.528	6136.557	5167.969	5167.969
16	Spectrogram 1	1	17.368064253	17.369061986	2149.528	6136.557	5167.969	5167.969
17	Spectrogram 1	1	17.369061986	17.370059718	2149.528	6136.557	5167.969	5167.969
18	Spectrogram 1	1	17.370059718	17.371057451	2149.528	6136.557	5167.969	5167.969
19	Spectrogram 1	1	17.371057451	17.372055183	2149.528	6136.557	4995.703	5426.367
20	Spectrogram 1	1	17.372055183	17.373052916	2149.528	6136.557	4995.703	5426.367
21	Spectrogram 1	1	17.373052916	17.374050648	2149.528	6136.557	4995.703	5426.367
22	Spectrogram 1	1	17.374050648	17.375048380	2149.528	6136.557	4995.703	5426.367
23	Spectrogram 1	1	17.375048380	17.376046113	2149.528	6136.557	4995.703	5426.367
24	Spectrogram 1	1	17.376046113	17.377043845	2149.528	6136.557	4995.703	5426.367
25	Spectrogram 1	1	17.377043845	17.378041578	2149.528	6136.557	4220.508	4306.641
26	Spectrogram 1	1	17.378041578	17.379039310	2149.528	6136.557	4220.508	4306.641
27	Spectrogram 1	1	17.379039310	17.380037043	2149.528	6136.557	4220.508	4306.641
28	Spectrogram 1	1	17.380037043	17.381034775	2149.528	6136.557	4220.508	4306.641
29	Spectrogram 1	1	17.381034775	17.382032507	2149.528	6136.557	4220.508	4306.641
30	Spectrogram 1	1	17.382032507	17.383030240	2149.528	6136.557	4220.508	4306.641
31	Spectrogram 1	1	17.383030240	17.384027972	2149.528	6136.557	5512.500	5512.500
32	Spectrogram 1	1	17.384027972	17.385025705	2149.528	6136.557	5512.500	5512.500
