Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	3.206579023	3.207576755	2273.906	6063.750	4478.906	4220.508
2	Spectrogram 1	1	3.207576755	3.208574488	2273.906	6063.750	4565.039	4392.773
3	Spectrogram 1	1	3.208574488	3.209572220	2273.906	6063.750	4565.039	4392.773
4	Spectrogram 1	1	3.209572220	3.210569953	2273.906	6063.750	4565.039	4392.773
5	Spectrogram 1	1	3.210569953	3.211567685	2273.906	6063.750	4565.039	4392.773
6	Spectrogram 1	1	3.211567685	3.212565418	2273.906	6063.750	4565.039	4392.773
7	Spectrogram 1	1	3.212565418	3.213563150	2273.906	6063.750	4134.375	4134.375
8	Spectrogram 1	1	3.213563150	3.214560882	2273.906	6063.750	4134.375	4134.375
9	Spectrogram 1	1	3.214560882	3.215558615	2273.906	6063.750	4134.375	4134.375
10	Spectrogram 1	1	3.215558615	3.216556347	2273.906	6063.750	4134.375	4134.375
11	Spectrogram 1	1	3.216556347	3.217554080	2273.906	6063.750	4134.375	4134.375
12	Spectrogram 1	1	3.217554080	3.218551812	2273.906	6063.750	4134.375	4134.375
13	Spectrogram 1	1	3.218551812	3.219549545	2273.906	6063.750	4134.375	4134.375
14	Spectrogram 1	1	3.219549545	3.220547277	2273.906	6063.750	4134.375	4134.375
15	Spectrogram 1	1	3.220547277	3.221545009	2273.906	6063.750	4134.375	4134.375
16	Spectrogram 1	1	3.221545009	3.222542742	2273.906	6063.750	4134.375	4134.375
17	Spectrogram 1	1	3.222542742	3.223540474	2273.906	6063.750	4134.375	4134.375
18	Spectrogram 1	1	3.223540474	3.224538207	2273.906	6063.750	4134.375	4134.375
19	Spectrogram 1	1	3.224538207	3.225535939	2273.906	6063.750	3186.914	3186.914
20	Spectrogram 1	1	3.225535939	3.226533672	2273.906	6063.750	3186.914	3186.914
21	Spectrogram 1	1	3.226533672	3.227531404	2273.906	6063.750	3186.914	3186.914
22	Spectrogram 1	1	3.227531404	3.228529136	2273.906	6063.750	3186.914	3186.914
23	Spectrogram 1	1	3.228529136	3.229526869	2273.906	6063.750	3186.914	3186.914
24	Spectrogram 1	1	3.229526869	3.230524601	2273.906	6063.750	3186.914	3186.914
25	Spectrogram 1	1	3.230524601	3.231522334	2273.906	6063.750	5340.234	5340.234
26	Spectrogram 1	1	3.231522334	3.232520066	2273.906	6063.750	5340.234	5340.234
