Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	92.199015228	92.200012960	2398.700	5889.600	4995.703	4823.438
2	Spectrogram 1	1	92.200012960	92.201010693	2398.700	5889.600	4995.703	4823.438
3	Spectrogram 1	1	92.201010693	92.202008425	2398.700	5889.600	4995.703	4823.438
4	Spectrogram 1	1	92.202008425	92.203006158	2398.700	5889.600	4995.703	4823.438
5	Spectrogram 1	1	92.203006158	92.204003890	2398.700	5889.600	4995.703	4823.438
6	Spectrogram 1	1	92.204003890	92.205001623	2398.700	5889.600	4220.508	4134.375
7	Spectrogram 1	1	92.205001623	92.205999355	2398.700	5889.600	4220.508	4134.375
8	Spectrogram 1	1	92.205999355	92.206997087	2398.700	5889.600	4220.508	4134.375
9	Spectrogram 1	1	92.206997087	92.207994820	2398.700	5889.600	4220.508	4134.375
10	Spectrogram 1	1	92.207994820	92.208992552	2398.700	5889.600	4220.508	4134.375
11	Spectrogram 1	1	92.208992552	92.209990285	2398.700	5889.600	4823.438	4995.703
12	Spectrogram 1	1	92.209990285	92.210988017	2398.700	5889.600	4823.438	4995.703
13	Spectrogram 1	1	92.210988017	92.211985750	2398.700	5889.600	4823.438	4995.703
14	Spectrogram 1	1	92.211985750	92.212983482	2398.700	5889.600	4823.438	4995.703
15	Spectrogram 1	1	92.212983482	92.213981214	2398.700	5889.600	4823.438	4995.703
16	Spectrogram 1	1	92.213981214	92.214978947	2398.700	5889.600	4823.438	4995.703
17	Spectrogram 1	1	92.214978947	92.215976679	2398.700	5889.600	4737.305	4995.703
18	Spectrogram 1	1	92.215976679	92.216974412	2398.700	5889.600	4737.305	4995.703
19	Spectrogram 1	1	92.216974412	92.217972144	2398.700	5889.600	4737.305	4995.703
20	Spectrogram 1	1	92.217972144	92.218969877	2398.700	5889.600	4737.305	4995.703
21	Spectrogram 1	1	92.218969877	92.219967609	2398.700	5889.600	4737.305	4995.703
22	Spectrogram 1	1	92.219967609	92.220965341	2398.700	5889.600	4737.305	4995.703
23	Spectrogram 1	1	92.220965341	92.221963074	2398.700	5889.600	4134.375	4220.508
24	Spectrogram 1	1	92.221963074	92.222960806	2398.700	5889.600	4134.375	4220.508
25	Spectrogram 1	1	92.222960806	92.223958539	2398.700	5889.600	4134.375	4220.508
26	Spectrogram 1	1	92.223958539	92.224956271	2398.700	5889.600	4134.375	4220.508
27	Spectrogram 1	1	92.224956271	92.225954004	2398.700	5889.600	4134.375	4220.508
28	Spectrogram 1	1	92.225954004	92.226951736	2398.700	5889.600	4134.375	4220.508
29	Spectrogram 1	1	92.226951736	92.227949468	2398.700	5889.600	4909.570	4995.703
30	Spectrogram 1	1	92.227949468	92.228947201	2398.700	5889.600	4909.570	4995.703
31	Spectrogram 1	1	92.228947201	92.229944933	2398.700	5889.600	4909.570	4995.703
32	Spectrogram 1	1	92.229944933	92.230942666	2398.700	5889.600	4909.570	4995.703
33	Spectrogram 1	1	92.230942666	92.231940398	2398.700	5889.600	4909.570	4995.703
34	Spectrogram 1	1	92.231940398	92.232938130	2398.700	5889.600	4909.570	4995.703
35	Spectrogram 1	1	92.232938130	92.233935863	2398.700	5889.600	4995.703	5426.367
36	Spectrogram 1	1	92.233935863	92.234933595	2398.700	5889.600	4995.703	5426.367
37	Spectrogram 1	1	92.234933595	92.235931328	2398.700	5889.600	4995.703	5426.367
38	Spectrogram 1	1	92.235931328	92.236929060	2398.700	5889.600	4995.703	5426.367
39	Spectrogram 1	1	92.236929060	92.237926793	2398.700	5889.600	4995.703	5426.367
40	Spectrogram 1	1	92.237926793	92.238924525	2398.700	5889.600	4823.438	4823.438
41	Spectrogram 1	1	92.238924525	92.239922257	2398.700	5889.600	4823.438	4823.438
42	Spectrogram 1	1	92.239922257	92.240919990	2398.700	5889.600	4823.438	4823.438
43	Spectrogram 1	1	92.240919990	92.241917722	2398.700	5889.600	4823.438	4823.438
44	Spectrogram 1	1	92.241917722	92.242915455	2398.700	5889.600	4823.438	4823.438
45	Spectrogram 1	1	92.242915455	92.243913187	2398.700	5889.600	4823.438	4823.438
46	Spectrogram 1	1	92.243913187	92.244910920	2398.700	5889.600	4995.703	4995.703
47	Spectrogram 1	1	92.244910920	92.245908652	2398.700	5889.600	4995.703	4995.703
48	Spectrogram 1	1	92.245908652	92.246906384	2398.700	5889.600	4995.703	4995.703
49	Spectrogram 1	1	92.246906384	92.247904117	2398.700	5889.600	4995.703	4995.703
50	Spectrogram 1	1	92.247904117	92.248901849	2398.700	5889.600	4995.703	4995.703
51	Spectrogram 1	1	92.248901849	92.249899582	2398.700	5889.600	4995.703	4995.703
52	Spectrogram 1	1	92.249899582	92.250897314	2398.700	5889.600	4737.305	4737.305
53	Spectrogram 1	1	92.250897314	92.251895047	2398.700	5889.600	4737.305	4737.305
54	Spectrogram 1	1	92.251895047	92.252892779	2398.700	5889.600	4737.305	4737.305
55	Spectrogram 1	1	92.252892779	92.253890511	2398.700	5889.600	4737.305	4737.305
56	Spectrogram 1	1	92.253890511	92.254888244	2398.700	5889.600	4737.305	4737.305
57	Spectrogram 1	1	92.254888244	92.255885976	2398.700	5889.600	4737.305	4737.305
58	Spectrogram 1	1	92.255885976	92.256883709	2398.700	5889.600	4995.703	4995.703
59	Spectrogram 1	1	92.256883709	92.257881441	2398.700	5889.600	4995.703	4995.703
60	Spectrogram 1	1	92.257881441	92.258879174	2398.700	5889.600	4995.703	4995.703
61	Spectrogram 1	1	92.258879174	92.259876906	2398.700	5889.600	4995.703	4995.703
62	Spectrogram 1	1	92.259876906	92.260874638	2398.700	5889.600	4995.703	4995.703
63	Spectrogram 1	1	92.260874638	92.261872371	2398.700	5889.600	4995.703	4995.703
64	Spectrogram 1	1	92.261872371	92.262870103	2398.700	5889.600	4909.570	4909.570
65	Spectrogram 1	1	92.262870103	92.263867836	2398.700	5889.600	4909.570	4909.570
66	Spectrogram 1	1	92.263867836	92.264865568	2398.700	5889.600	4909.570	4909.570
67	Spectrogram 1	1	92.264865568	92.265863301	2398.700	5889.600	4909.570	4909.570
68	Spectrogram 1	1	92.265863301	92.266861033	2398.700	5889.600	4909.570	4909.570
69	Spectrogram 1	1	92.266861033	92.267858765	2398.700	5889.600	4909.570	4909.570
70	Spectrogram 1	1	92.267858765	92.268856498	2398.700	5889.600	5081.836	5081.836
71	Spectrogram 1	1	92.268856498	92.269854230	2398.700	5889.600	5081.836	5081.836
72	Spectrogram 1	1	92.269854230	92.270851963	2398.700	5889.600	5081.836	5081.836
73	Spectrogram 1	1	92.270851963	92.271849695	2398.700	5889.600	5081.836	5081.836
74	Spectrogram 1	1	92.271849695	92.272847428	2398.700	5889.600	5081.836	5081.836
75	Spectrogram 1	1	92.272847428	92.273845160	2398.700	5889.600	4995.703	4995.703
76	Spectrogram 1	1	92.273845160	92.274842892	2398.700	5889.600	4995.703	4995.703
77	Spectrogram 1	1	92.274842892	92.275840625	2398.700	5889.600	4995.703	4995.703
78	Spectrogram 1	1	92.275840625	92.276838357	2398.700	5889.600	4995.703	4995.703
79	Spectrogram 1	1	92.276838357	92.277836090	2398.700	5889.600	4995.703	4995.703
80	Spectrogram 1	1	92.277836090	92.278833822	2398.700	5889.600	4995.703	4995.703
81	Spectrogram 1	1	92.278833822	92.279831555	2398.700	5889.600	3703.711	2756.250
82	Spectrogram 1	1	92.279831555	92.280829287	2398.700	5889.600	3703.711	2756.250
83	Spectrogram 1	1	92.280829287	92.281827019	2398.700	5889.600	3703.711	2756.250
84	Spectrogram 1	1	92.281827019	92.282824752	2398.700	5889.600	3703.711	2756.250
85	Spectrogram 1	1	92.282824752	92.283822484	2398.700	5889.600	3703.711	2756.250
86	Spectrogram 1	1	92.283822484	92.284820217	2398.700	5889.600	3703.711	2756.250
