Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	20.954295195	20.955292927	2205.000	5688.900	4737.305	5512.500
2	Spectrogram 1	1	20.955292927	20.956290660	2205.000	5688.900	4737.305	5512.500
3	Spectrogram 1	1	20.956290660	20.957288392	2205.000	5688.900	4737.305	5512.500
4	Spectrogram 1	1	20.957288392	20.958286125	2205.000	5688.900	4737.305	5512.500
5	Spectrogram 1	1	20.958286125	20.959283857	2205.000	5688.900	4737.305	5512.500
6	Spectrogram 1	1	20.959283857	20.960281590	2205.000	5688.900	4478.906	4478.906
7	Spectrogram 1	1	20.960281590	20.961279322	2205.000	5688.900	4478.906	4478.906
8	Spectrogram 1	1	20.961279322	20.962277054	2205.000	5688.900	4478.906	4478.906
9	Spectrogram 1	1	20.962277054	20.963274787	2205.000	5688.900	4478.906	4478.906
10	Spectrogram 1	1	20.963274787	20.964272519	2205.000	5688.900	4478.906	4478.906
11	Spectrogram 1	1	20.964272519	20.965270252	2205.000	5688.900	4651.172	4651.172
12	Spectrogram 1	1	20.965270252	20.966267984	2205.000	5688.900	4651.172	4651.172
13	Spectrogram 1	1	20.966267984	20.967265717	2205.000	5688.900	4651.172	4651.172
14	Spectrogram 1	1	20.967265717	20.968263449	2205.000	5688.900	4651.172	4651.172
15	Spectrogram 1	1	20.968263449	20.969261181	2205.000	5688.900	4651.172	4651.172
16	Spectrogram 1	1	20.969261181	20.970258914	2205.000	5688.900	4651.172	4651.172
17	Spectrogram 1	1	20.970258914	20.971256646	2205.000	5688.900	4392.773	4220.508
18	Spectrogram 1	1	20.971256646	20.972254379	2205.000	5688.900	4392.773	4220.508
19	Spectrogram 1	1	20.972254379	20.973252111	2205.000	5688.900	4392.773	4220.508
20	Spectrogram 1	1	20.973252111	20.974249844	2205.000	5688.900	4392.773	4220.508
21	Spectrogram 1	1	20.974249844	20.975247576	2205.000	5688.900	4392.773	4220.508
22	Spectrogram 1	1	20.975247576	20.976245308	2205.000	5688.900	4392.773	4220.508
23	Spectrogram 1	1	20.976245308	20.977243041	2205.000	5688.900	4737.305	4651.172
24	Spectrogram 1	1	20.977243041	20.978240773	2205.000	5688.900	4737.305	4651.172
25	Spectrogram 1	1	20.978240773	20.979238506	2205.000	5688.900	4737.305	4651.172
26	Spectrogram 1	1	20.979238506	20.980236238	2205.000	5688.900	4737.305	4651.172
27	Spectrogram 1	1	20.980236238	20.981233971	2205.000	5688.900	4737.305	4651.172
28	Spectrogram 1	1	20.981233971	20.982231703	2205.000	5688.900	4737.305	4651.172
29	Spectrogram 1	1	20.982231703	20.983229435	2205.000	5688.900	4565.039	4478.906
30	Spectrogram 1	1	20.983229435	20.984227168	2205.000	5688.900	4565.039	4478.906
31	Spectrogram 1	1	20.984227168	20.985224900	2205.000	5688.900	4565.039	4478.906
32	Spectrogram 1	1	20.985224900	20.986222633	2205.000	5688.900	4565.039	4478.906
33	Spectrogram 1	1	20.986222633	20.987220365	2205.000	5688.900	4565.039	4478.906
34	Spectrogram 1	1	20.987220365	20.988218097	2205.000	5688.900	4565.039	4478.906
35	Spectrogram 1	1	20.988218097	20.989215830	2205.000	5688.900	4823.438	4823.438
36	Spectrogram 1	1	20.989215830	20.990213562	2205.000	5688.900	4823.438	4823.438
37	Spectrogram 1	1	20.990213562	20.991211295	2205.000	5688.900	4823.438	4823.438
38	Spectrogram 1	1	20.991211295	20.992209027	2205.000	5688.900	4823.438	4823.438
39	Spectrogram 1	1	20.992209027	20.993206760	2205.000	5688.900	4823.438	4823.438
40	Spectrogram 1	1	20.993206760	20.994204492	2205.000	5688.900	4823.438	4823.438
41	Spectrogram 1	1	20.994204492	20.995202224	2205.000	5688.900	4823.438	4823.438
42	Spectrogram 1	1	20.995202224	20.996199957	2205.000	5688.900	4823.438	4823.438
43	Spectrogram 1	1	20.996199957	20.997197689	2205.000	5688.900	4823.438	4823.438
44	Spectrogram 1	1	20.997197689	20.998195422	2205.000	5688.900	4823.438	4823.438
45	Spectrogram 1	1	20.998195422	20.999193154	2205.000	5688.900	4823.438	4823.438
46	Spectrogram 1	1	20.999193154	21.000190887	2205.000	5688.900	4823.438	4823.438
47	Spectrogram 1	1	21.000190887	21.001188619	2205.000	5688.900	4823.438	4823.438
48	Spectrogram 1	1	21.001188619	21.002186351	2205.000	5688.900	4823.438	4823.438
49	Spectrogram 1	1	21.002186351	21.003184084	2205.000	5688.900	4823.438	4823.438
50	Spectrogram 1	1	21.003184084	21.004181816	2205.000	5688.900	4823.438	4823.438
51	Spectrogram 1	1	21.004181816	21.005179549	2205.000	5688.900	4823.438	4823.438
52	Spectrogram 1	1	21.005179549	21.006177281	2205.000	5688.900	4823.438	4823.438
53	Spectrogram 1	1	21.006177281	21.007175014	2205.000	5688.900	4823.438	4823.438
54	Spectrogram 1	1	21.007175014	21.008172746	2205.000	5688.900	4823.438	4823.438
55	Spectrogram 1	1	21.008172746	21.009170478	2205.000	5688.900	4823.438	4823.438
56	Spectrogram 1	1	21.009170478	21.010168211	2205.000	5688.900	4823.438	4823.438
57	Spectrogram 1	1	21.010168211	21.011165943	2205.000	5688.900	4823.438	4823.438
58	Spectrogram 1	1	21.011165943	21.012163676	2205.000	5688.900	4651.172	4651.172
59	Spectrogram 1	1	21.012163676	21.013161408	2205.000	5688.900	4651.172	4651.172
60	Spectrogram 1	1	21.013161408	21.014159141	2205.000	5688.900	4651.172	4651.172
61	Spectrogram 1	1	21.014159141	21.015156873	2205.000	5688.900	4651.172	4651.172
62	Spectrogram 1	1	21.015156873	21.016154605	2205.000	5688.900	4651.172	4651.172
63	Spectrogram 1	1	21.016154605	21.017152338	2205.000	5688.900	4651.172	4651.172
64	Spectrogram 1	1	21.017152338	21.018150070	2205.000	5688.900	4478.906	4478.906
