Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	0.382981423	0.383979155	3123.750	6648.664	6373.828	6373.828
2	Spectrogram 1	1	0.383979155	0.384976888	3123.750	6648.664	6373.828	6373.828
3	Spectrogram 1	1	0.384976888	0.385974620	3123.750	6648.664	6373.828	6373.828
4	Spectrogram 1	1	0.385974620	0.386972353	3123.750	6648.664	6201.562	4478.906
5	Spectrogram 1	1	0.386972353	0.387970085	3123.750	6648.664	6201.562	4478.906
6	Spectrogram 1	1	0.387970085	0.388967818	3123.750	6648.664	6201.562	4478.906
7	Spectrogram 1	1	0.388967818	0.389965550	3123.750	6648.664	6201.562	4478.906
8	Spectrogram 1	1	0.389965550	0.390963282	3123.750	6648.664	6201.562	4478.906
9	Spectrogram 1	1	0.390963282	0.391961015	3123.750	6648.664	6201.562	4478.906
10	Spectrogram 1	1	0.391961015	0.392958747	3123.750	6648.664	5167.969	5254.102
11	Spectrogram 1	1	0.392958747	0.393956480	3123.750	6648.664	5167.969	5254.102
12	Spectrogram 1	1	0.393956480	0.394954212	3123.750	6648.664	5167.969	5254.102
13	Spectrogram 1	1	0.394954212	0.395951945	3123.750	6648.664	5167.969	5254.102
14	Spectrogram 1	1	0.395951945	0.396949677	3123.750	6648.664	5167.969	5254.102
15	Spectrogram 1	1	0.396949677	0.397947409	3123.750	6648.664	5167.969	5254.102
16	Spectrogram 1	1	0.397947409	0.398945142	3123.750	6648.664	5598.633	5598.633
17	Spectrogram 1	1	0.398945142	0.399942874	3123.750	6648.664	5598.633	5598.633
18	Spectrogram 1	1	0.399942874	0.400940607	3123.750	6648.664	5598.633	5598.633
19	Spectrogram 1	1	0.400940607	0.401938339	3123.750	6648.664	5598.633	5598.633
20	Spectrogram 1	1	0.401938339	0.402936072	3123.750	6648.664	5598.633	5598.633
21	Spectrogram 1	1	0.402936072	0.403933804	3123.750	6648.664	5598.633	5598.633
22	Spectrogram 1	1	0.403933804	0.404931536	3123.750	6648.664	5770.898	5770.898
23	Spectrogram 1	1	0.404931536	0.405929269	3123.750	6648.664	5770.898	5770.898
24	Spectrogram 1	1	0.405929269	0.406927001	3123.750	6648.664	5770.898	5770.898
25	Spectrogram 1	1	0.406927001	0.407924734	3123.750	6648.664	5770.898	5770.898
26	Spectrogram 1	1	0.407924734	0.408922466	3123.750	6648.664	5770.898	5770.898
27	Spectrogram 1	1	0.408922466	0.409920199	3123.750	6648.664	5684.766	5684.766
28	Spectrogram 1	1	0.409920199	0.410917931	3123.750	6648.664	5684.766	5684.766
29	Spectrogram 1	1	0.410917931	0.411915663	3123.750	6648.664	5684.766	5684.766
30	Spectrogram 1	1	0.411915663	0.412913396	3123.750	6648.664	5684.766	5684.766
31	Spectrogram 1	1	0.412913396	0.413911128	3123.750	6648.664	5684.766	5684.766
32	Spectrogram 1	1	0.413911128	0.414908861	3123.750	6648.664	5684.766	5684.766
33	Spectrogram 1	1	0.414908861	0.415906593	3123.750	6648.664	5167.969	5254.102
34	Spectrogram 1	1	0.415906593	0.416904325	3123.750	6648.664	5167.969	5254.102
35	Spectrogram 1	1	0.416904325	0.417902058	3123.750	6648.664	5167.969	5254.102
36	Spectrogram 1	1	0.417902058	0.418899790	3123.750	6648.664	5167.969	5254.102
37	Spectrogram 1	1	0.418899790	0.419897523	3123.750	6648.664	5167.969	5254.102
38	Spectrogram 1	1	0.419897523	0.420895255	3123.750	6648.664	5167.969	5254.102
39	Spectrogram 1	1	0.420895255	0.421892988	3123.750	6648.664	4565.039	4565.039
40	Spectrogram 1	1	0.421892988	0.422890720	3123.750	6648.664	4565.039	4565.039
41	Spectrogram 1	1	0.422890720	0.423888452	3123.750	6648.664	4565.039	4565.039
42	Spectrogram 1	1	0.423888452	0.424886185	3123.750	6648.664	4565.039	4565.039
43	Spectrogram 1	1	0.424886185	0.425883917	3123.750	6648.664	4565.039	4565.039
44	Spectrogram 1	1	0.425883917	0.426881650	3123.750	6648.664	4565.039	4565.039
45	Spectrogram 1	1	0.426881650	0.427879382	3123.750	6648.664	4306.641	4306.641
46	Spectrogram 1	1	0.427879382	0.428877115	3123.750	6648.664	4306.641	4306.641
47	Spectrogram 1	1	0.428877115	0.429874847	3123.750	6648.664	4306.641	4306.641
48	Spectrogram 1	1	0.429874847	0.430872579	3123.750	6648.664	4306.641	4306.641
49	Spectrogram 1	1	0.430872579	0.431870312	3123.750	6648.664	4306.641	4306.641
50	Spectrogram 1	1	0.431870312	0.432868044	3123.750	6648.664	4306.641	4306.641
51	Spectrogram 1	1	0.432868044	0.433865777	3123.750	6648.664	4134.375	4134.375
52	Spectrogram 1	1	0.433865777	0.434863509	3123.750	6648.664	4134.375	4134.375
53	Spectrogram 1	1	0.434863509	0.435861242	3123.750	6648.664	4134.375	4134.375
54	Spectrogram 1	1	0.435861242	0.436858974	3123.750	6648.664	4134.375	4134.375
55	Spectrogram 1	1	0.436858974	0.437856706	3123.750	6648.664	4134.375	4134.375
56	Spectrogram 1	1	0.437856706	0.438854439	3123.750	6648.664	3875.977	3875.977
57	Spectrogram 1	1	0.438854439	0.439852171	3123.750	6648.664	3875.977	3875.977
58	Spectrogram 1	1	0.439852171	0.440849904	3123.750	6648.664	3875.977	3875.977
59	Spectrogram 1	1	0.440849904	0.441847636	3123.750	6648.664	3875.977	3875.977
60	Spectrogram 1	1	0.441847636	0.442845369	3123.750	6648.664	3875.977	3875.977
61	Spectrogram 1	1	0.442845369	0.443843101	3123.750	6648.664	3875.977	3875.977
62	Spectrogram 1	1	0.443843101	0.444840833	3123.750	6648.664	3789.844	3703.711
63	Spectrogram 1	1	0.444840833	0.445838566	3123.750	6648.664	3789.844	3703.711
64	Spectrogram 1	1	0.445838566	0.446836298	3123.750	6648.664	3789.844	3703.711
65	Spectrogram 1	1	0.446836298	0.447834031	3123.750	6648.664	3789.844	3703.711
66	Spectrogram 1	1	0.447834031	0.448831763	3123.750	6648.664	3789.844	3703.711
67	Spectrogram 1	1	0.448831763	0.449829496	3123.750	6648.664	3789.844	3703.711
68	Spectrogram 1	1	0.449829496	0.450827228	3123.750	6648.664	3703.711	3703.711
69	Spectrogram 1	1	0.450827228	0.451824960	3123.750	6648.664	3703.711	3703.711
70	Spectrogram 1	1	0.451824960	0.452822693	3123.750	6648.664	3703.711	3703.711
71	Spectrogram 1	1	0.452822693	0.453820425	3123.750	6648.664	3703.711	3703.711
72	Spectrogram 1	1	0.453820425	0.454818158	3123.750	6648.664	3703.711	3703.711
