Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
88	Spectrogram 1	2	8.492924675	8.493924675	2886.792	6516.321	3281.250	3187.500
89	Spectrogram 1	2	8.493924675	8.494924675	2886.792	6516.321	3281.250	3187.500
90	Spectrogram 1	2	8.494924675	8.495924675	2886.792	6516.321	3281.250	3187.500
91	Spectrogram 1	2	8.495924675	8.496924675	2886.792	6516.321	3281.250	3187.500
92	Spectrogram 1	2	8.496924675	8.497924675	2886.792	6516.321	3281.250	3187.500
93	Spectrogram 1	2	8.497924675	8.498924675	2886.792	6516.321	3281.250	3187.500
67	Spectrogram 1	2	8.471924675	8.472924675	2886.792	6516.321	3937.500	3656.250
68	Spectrogram 1	2	8.472924675	8.473924675	2886.792	6516.321	3937.500	3656.250
69	Spectrogram 1	2	8.473924675	8.474924675	2886.792	6516.321	3937.500	3656.250
70	Spectrogram 1	2	8.474924675	8.475924675	2886.792	6516.321	3937.500	3656.250
71	Spectrogram 1	2	8.475924675	8.476924675	2886.792	6516.321	3937.500	3656.250
72	Spectrogram 1	2	8.476924675	8.477924675	2886.792	6516.321	3750.000	3656.250
73	Spectrogram 1	2	8.477924675	8.478924675	2886.792	6516.321	3750.000	3656.250
74	Spectrogram 1	2	8.478924675	8.479924675	2886.792	6516.321	3750.000	3656.250
75	Spectrogram 1	2	8.479924675	8.480924675	2886.792	6516.321	3750.000	3656.250
76	Spectrogram 1	2	8.480924675	8.481924675	2886.792	6516.321	3750.000	3656.250
77	Spectrogram 1	2	8.481924675	8.482924675	2886.792	6516.321	3750.000	3656.250
78	Spectrogram 1	2	8.482924675	8.483924675	2886.792	6516.321	3750.000	3656.250
79	Spectrogram 1	2	8.483924675	8.484924675	2886.792	6516.321	3750.000	3656.250
80	Spectrogram 1	2	8.484924675	8.485924675	2886.792	6516.321	3750.000	3656.250
81	Spectrogram 1	2	8.485924675	8.486924675	2886.792	6516.321	3750.000	3656.250
82	Spectrogram 1	2	8.486924675	8.487924675	2886.792	6516.321	3750.000	3656.250
62	Spectrogram 1	2	8.466924675	8.467924675	2886.792	6516.321	3937.500	3750.000
63	Spectrogram 1	2	8.467924675	8.468924675	2886.792	6516.321	3937.500	3750.000
64	Spectrogram 1	2	8.468924675	8.469924675	2886.792	6516.321	3937.500	3750.000
65	Spectrogram 1	2	8.469924675	8.470924675	2886.792	6516.321	3937.500	3750.000
66	Spectrogram 1	2	8.470924675	8.471924675	2886.792	6516.321	3937.500	3750.000
222	Spectrogram 1	2	8.626924675	8.627924675	2886.792	6516.321	4781.250	3750.000
223	Spectrogram 1	2	8.627924675	8.628569099	2886.792	6516.321	4781.250	3750.000
216	Spectrogram 1	2	8.620924675	8.621924675	2886.792	6516.321	3843.750	3843.750
217	Spectrogram 1	2	8.621924675	8.622924675	2886.792	6516.321	3843.750	3843.750
218	Spectrogram 1	2	8.622924675	8.623924675	2886.792	6516.321	3843.750	3843.750
219	Spectrogram 1	2	8.623924675	8.624924675	2886.792	6516.321	3843.750	3843.750
220	Spectrogram 1	2	8.624924675	8.625924675	2886.792	6516.321	3843.750	3843.750
221	Spectrogram 1	2	8.625924675	8.626924675	2886.792	6516.321	3843.750	3843.750
56	Spectrogram 1	2	8.460924675	8.461924675	2886.792	6516.321	4312.500	3937.500
57	Spectrogram 1	2	8.461924675	8.462924675	2886.792	6516.321	4312.500	3937.500
58	Spectrogram 1	2	8.462924675	8.463924675	2886.792	6516.321	4312.500	3937.500
59	Spectrogram 1	2	8.463924675	8.464924675	2886.792	6516.321	4312.500	3937.500
60	Spectrogram 1	2	8.464924675	8.465924675	2886.792	6516.321	4312.500	3937.500
61	Spectrogram 1	2	8.465924675	8.466924675	2886.792	6516.321	4312.500	3937.500
211	Spectrogram 1	2	8.615924675	8.616924675	2886.792	6516.321	4031.250	3937.500
212	Spectrogram 1	2	8.616924675	8.617924675	2886.792	6516.321	4031.250	3937.500
213	Spectrogram 1	2	8.617924675	8.618924675	2886.792	6516.321	4031.250	3937.500
214	Spectrogram 1	2	8.618924675	8.619924675	2886.792	6516.321	4031.250	3937.500
