Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	4.434000000	4.435000000	3044.100	7195.122	3562.500	3281.250
2	Spectrogram 1	1	4.435000000	4.436000000	3044.100	7195.122	6093.750	6093.750
3	Spectrogram 1	1	4.436000000	4.437000000	3044.100	7195.122	6093.750	6093.750
4	Spectrogram 1	1	4.437000000	4.438000000	3044.100	7195.122	6093.750	6093.750
5	Spectrogram 1	1	4.438000000	4.439000000	3044.100	7195.122	6093.750	6093.750
6	Spectrogram 1	1	4.439000000	4.440000000	3044.100	7195.122	6093.750	6093.750
7	Spectrogram 1	1	4.440000000	4.441000000	3044.100	7195.122	5906.250	6000.000
8	Spectrogram 1	1	4.441000000	4.442000000	3044.100	7195.122	5906.250	6000.000
9	Spectrogram 1	1	4.442000000	4.443000000	3044.100	7195.122	5906.250	6000.000
10	Spectrogram 1	1	4.443000000	4.444000000	3044.100	7195.122	5906.250	6000.000
11	Spectrogram 1	1	4.444000000	4.445000000	3044.100	7195.122	5906.250	6000.000
12	Spectrogram 1	1	4.445000000	4.446000000	3044.100	7195.122	5250.000	4781.250
13	Spectrogram 1	1	4.446000000	4.447000000	3044.100	7195.122	5250.000	4781.250
14	Spectrogram 1	1	4.447000000	4.448000000	3044.100	7195.122	5250.000	4781.250
15	Spectrogram 1	1	4.448000000	4.449000000	3044.100	7195.122	5250.000	4781.250
16	Spectrogram 1	1	4.449000000	4.450000000	3044.100	7195.122	5250.000	4781.250
17	Spectrogram 1	1	4.450000000	4.451000000	3044.100	7195.122	5250.000	4781.250
18	Spectrogram 1	1	4.451000000	4.452000000	3044.100	7195.122	5062.500	5062.500
19	Spectrogram 1	1	4.452000000	4.453000000	3044.100	7195.122	5062.500	5062.500
20	Spectrogram 1	1	4.453000000	4.454000000	3044.100	7195.122	5062.500	5062.500
21	Spectrogram 1	1	4.454000000	4.455000000	3044.100	7195.122	5062.500	5062.500
22	Spectrogram 1	1	4.455000000	4.456000000	3044.100	7195.122	5062.500	5062.500
23	Spectrogram 1	1	4.456000000	4.457000000	3044.100	7195.122	5625.000	5625.000
24	Spectrogram 1	1	4.457000000	4.458000000	3044.100	7195.122	5625.000	5625.000
25	Spectrogram 1	1	4.458000000	4.459000000	3044.100	7195.122	5625.000	5625.000
26	Spectrogram 1	1	4.459000000	4.460000000	3044.100	7195.122	5625.000	5625.000
27	Spectrogram 1	1	4.460000000	4.461000000	3044.100	7195.122	5625.000	5625.000
28	Spectrogram 1	1	4.461000000	4.462000000	3044.100	7195.122	5812.500	5812.500
29	Spectrogram 1	1	4.462000000	4.463000000	3044.100	7195.122	5812.500	5812.500
30	Spectrogram 1	1	4.463000000	4.464000000	3044.100	7195.122	5812.500	5812.500
31	Spectrogram 1	1	4.464000000	4.465000000	3044.100	7195.122	5812.500	5812.500
32	Spectrogram 1	1	4.465000000	4.466000000	3044.100	7195.122	5812.500	5812.500
33	Spectrogram 1	1	4.466000000	4.467000000	3044.100	7195.122	5812.500	5812.500
34	Spectrogram 1	1	4.467000000	4.468000000	3044.100	7195.122	5812.500	5812.500
35	Spectrogram 1	1	4.468000000	4.469000000	3044.100	7195.122	5812.500	5812.500
36	Spectrogram 1	1	4.469000000	4.470000000	3044.100	7195.122	5812.500	5812.500
37	Spectrogram 1	1	4.470000000	4.471000000	3044.100	7195.122	5812.500	5812.500
38	Spectrogram 1	1	4.471000000	4.472000000	3044.100	7195.122	5812.500	5812.500
39	Spectrogram 1	1	4.472000000	4.473000000	3044.100	7195.122	5343.750	5812.500
40	Spectrogram 1	1	4.473000000	4.474000000	3044.100	7195.122	5343.750	5812.500
41	Spectrogram 1	1	4.474000000	4.475000000	3044.100	7195.122	5343.750	5812.500
42	Spectrogram 1	1	4.475000000	4.476000000	3044.100	7195.122	5343.750	5812.500
43	Spectrogram 1	1	4.476000000	4.477000000	3044.100	7195.122	5343.750	5812.500
44	Spectrogram 1	1	4.477000000	4.478000000	3044.100	7195.122	5062.500	5718.750
45	Spectrogram 1	1	4.478000000	4.479000000	3044.100	7195.122	5062.500	5718.750
46	Spectrogram 1	1	4.479000000	4.480000000	3044.100	7195.122	5062.500	5718.750
47	Spectrogram 1	1	4.480000000	4.481000000	3044.100	7195.122	5062.500	5718.750
48	Spectrogram 1	1	4.481000000	4.482000000	3044.100	7195.122	5062.500	5718.750
49	Spectrogram 1	1	4.482000000	4.483000000	3044.100	7195.122	5062.500	5718.750
50	Spectrogram 1	1	4.483000000	4.484000000	3044.100	7195.122	4687.500	4593.750
51	Spectrogram 1	1	4.484000000	4.485000000	3044.100	7195.122	4687.500	4593.750
52	Spectrogram 1	1	4.485000000	4.486000000	3044.100	7195.122	4687.500	4593.750
53	Spectrogram 1	1	4.486000000	4.487000000	3044.100	7195.122	4687.500	4593.750
54	Spectrogram 1	1	4.487000000	4.488000000	3044.100	7195.122	4687.500	4593.750
55	Spectrogram 1	1	4.488000000	4.489000000	3044.100	7195.122	4500.000	4500.000
56	Spectrogram 1	1	4.489000000	4.490000000	3044.100	7195.122	4500.000	4500.000
57	Spectrogram 1	1	4.490000000	4.491000000	3044.100	7195.122	4500.000	4500.000
58	Spectrogram 1	1	4.491000000	4.492000000	3044.100	7195.122	4500.000	4500.000
59	Spectrogram 1	1	4.492000000	4.493000000	3044.100	7195.122	4500.000	4500.000
60	Spectrogram 1	1	4.493000000	4.494000000	3044.100	7195.122	3937.500	3937.500
61	Spectrogram 1	1	4.494000000	4.495000000	3044.100	7195.122	3937.500	3937.500
62	Spectrogram 1	1	4.495000000	4.496000000	3044.100	7195.122	3937.500	3937.500
63	Spectrogram 1	1	4.496000000	4.497000000	3044.100	7195.122	3937.500	3937.500
64	Spectrogram 1	1	4.497000000	4.498000000	3044.100	7195.122	3937.500	3937.500
65	Spectrogram 1	1	4.498000000	4.499000000	3044.100	7195.122	3937.500	3937.500
