Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	1.894428872	1.895428872	3185.841	7061.947	6562.500	6562.500
2	Spectrogram 1	1	1.895428872	1.896428872	3185.841	7061.947	6562.500	6562.500
3	Spectrogram 1	1	1.896428872	1.897428872	3185.841	7061.947	6562.500	6562.500
4	Spectrogram 1	1	1.897428872	1.898428872	3185.841	7061.947	6562.500	6750.000
5	Spectrogram 1	1	1.898428872	1.899428872	3185.841	7061.947	6562.500	6750.000
6	Spectrogram 1	1	1.899428872	1.900428872	3185.841	7061.947	6562.500	6750.000
7	Spectrogram 1	1	1.900428872	1.901428872	3185.841	7061.947	6750.000	6750.000
8	Spectrogram 1	1	1.901428872	1.902428872	3185.841	7061.947	6750.000	6750.000
9	Spectrogram 1	1	1.902428872	1.903428872	3185.841	7061.947	6750.000	6750.000
10	Spectrogram 1	1	1.903428872	1.904428872	3185.841	7061.947	6750.000	6750.000
11	Spectrogram 1	1	1.904428872	1.905428872	3185.841	7061.947	6750.000	6750.000
12	Spectrogram 1	1	1.905428872	1.906428872	3185.841	7061.947	6375.000	6187.500
13	Spectrogram 1	1	1.906428872	1.907428872	3185.841	7061.947	6375.000	6187.500
14	Spectrogram 1	1	1.907428872	1.908428872	3185.841	7061.947	6375.000	6187.500
15	Spectrogram 1	1	1.908428872	1.909428872	3185.841	7061.947	5625.000	5437.500
16	Spectrogram 1	1	1.909428872	1.910428872	3185.841	7061.947	5625.000	5437.500
17	Spectrogram 1	1	1.910428872	1.911428872	3185.841	7061.947	5250.000	5250.000
18	Spectrogram 1	1	1.911428872	1.912428872	3185.841	7061.947	5250.000	5250.000
19	Spectrogram 1	1	1.912428872	1.913428872	3185.841	7061.947	5250.000	5250.000
20	Spectrogram 1	1	1.913428872	1.914428872	3185.841	7061.947	5062.500	5062.500
21	Spectrogram 1	1	1.914428872	1.915428872	3185.841	7061.947	5062.500	5062.500
22	Spectrogram 1	1	1.915428872	1.916428872	3185.841	7061.947	5062.500	5062.500
