Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	52.637831419	52.638831419	2715.789	6352.900	5906.250	5906.250
2	Spectrogram 1	1	52.638831419	52.639831419	2715.789	6352.900	5906.250	5906.250
3	Spectrogram 1	1	52.639831419	52.640831419	2715.789	6352.900	5906.250	5906.250
4	Spectrogram 1	1	52.640831419	52.641831419	2715.789	6352.900	5906.250	5906.250
5	Spectrogram 1	1	52.641831419	52.642831419	2715.789	6352.900	5906.250	5906.250
6	Spectrogram 1	1	52.642831419	52.643831419	2715.789	6352.900	5906.250	5906.250
7	Spectrogram 1	1	52.643831419	52.644831419	2715.789	6352.900	5906.250	5906.250
8	Spectrogram 1	1	52.644831419	52.645831419	2715.789	6352.900	5906.250	5906.250
9	Spectrogram 1	1	52.645831419	52.646831419	2715.789	6352.900	5906.250	5906.250
10	Spectrogram 1	1	52.646831419	52.647831419	2715.789	6352.900	5906.250	5906.250
11	Spectrogram 1	1	52.647831419	52.648831419	2715.789	6352.900	5625.000	5812.500
12	Spectrogram 1	1	52.648831419	52.649831419	2715.789	6352.900	5625.000	5812.500
13	Spectrogram 1	1	52.649831419	52.650831419	2715.789	6352.900	5625.000	5812.500
14	Spectrogram 1	1	52.650831419	52.651831419	2715.789	6352.900	5625.000	5812.500
15	Spectrogram 1	1	52.651831419	52.652831419	2715.789	6352.900	5625.000	5812.500
16	Spectrogram 1	1	52.652831419	52.653831419	2715.789	6352.900	4781.250	4687.500
17	Spectrogram 1	1	52.653831419	52.654831419	2715.789	6352.900	4781.250	4687.500
18	Spectrogram 1	1	52.654831419	52.655831419	2715.789	6352.900	4781.250	4687.500
19	Spectrogram 1	1	52.655831419	52.656831419	2715.789	6352.900	4781.250	4687.500
20	Spectrogram 1	1	52.656831419	52.657831419	2715.789	6352.900	4781.250	4687.500
21	Spectrogram 1	1	52.657831419	52.658831419	2715.789	6352.900	4781.250	4687.500
22	Spectrogram 1	1	52.658831419	52.659831419	2715.789	6352.900	4593.750	4500.000
23	Spectrogram 1	1	52.659831419	52.660831419	2715.789	6352.900	4593.750	4500.000
24	Spectrogram 1	1	52.660831419	52.661831419	2715.789	6352.900	4593.750	4500.000
25	Spectrogram 1	1	52.661831419	52.662831419	2715.789	6352.900	4593.750	4500.000
26	Spectrogram 1	1	52.662831419	52.663831419	2715.789	6352.900	4593.750	4500.000
27	Spectrogram 1	1	52.663831419	52.664831419	2715.789	6352.900	4687.500	4687.500
28	Spectrogram 1	1	52.664831419	52.665831419	2715.789	6352.900	4687.500	4687.500
29	Spectrogram 1	1	52.665831419	52.666831419	2715.789	6352.900	4687.500	4687.500
30	Spectrogram 1	1	52.666831419	52.667831419	2715.789	6352.900	4687.500	4687.500
31	Spectrogram 1	1	52.667831419	52.668831419	2715.789	6352.900	4687.500	4687.500
32	Spectrogram 1	1	52.668831419	52.669831419	2715.789	6352.900	4968.750	4687.500
33	Spectrogram 1	1	52.669831419	52.670831419	2715.789	6352.900	4968.750	4687.500
34	Spectrogram 1	1	52.670831419	52.671831419	2715.789	6352.900	4968.750	4687.500
35	Spectrogram 1	1	52.671831419	52.672831419	2715.789	6352.900	4968.750	4687.500
36	Spectrogram 1	1	52.672831419	52.673831419	2715.789	6352.900	4968.750	4687.500
37	Spectrogram 1	1	52.673831419	52.674831419	2715.789	6352.900	4968.750	4687.500
38	Spectrogram 1	1	52.674831419	52.675831419	2715.789	6352.900	5250.000	5250.000
39	Spectrogram 1	1	52.675831419	52.676831419	2715.789	6352.900	5250.000	5250.000
40	Spectrogram 1	1	52.676831419	52.677831419	2715.789	6352.900	5250.000	5250.000
41	Spectrogram 1	1	52.677831419	52.678831419	2715.789	6352.900	5250.000	5250.000
42	Spectrogram 1	1	52.678831419	52.679831419	2715.789	6352.900	5250.000	5250.000
43	Spectrogram 1	1	52.679831419	52.680831419	2715.789	6352.900	5062.500	5156.250
44	Spectrogram 1	1	52.680831419	52.681831419	2715.789	6352.900	5062.500	5156.250
45	Spectrogram 1	1	52.681831419	52.682831419	2715.789	6352.900	5062.500	5156.250
46	Spectrogram 1	1	52.682831419	52.683831419	2715.789	6352.900	5062.500	5156.250
47	Spectrogram 1	1	52.683831419	52.684831419	2715.789	6352.900	5062.500	5156.250
48	Spectrogram 1	1	52.684831419	52.685831419	2715.789	6352.900	4593.750	4687.500
49	Spectrogram 1	1	52.685831419	52.686831419	2715.789	6352.900	4593.750	4687.500
50	Spectrogram 1	1	52.686831419	52.687831419	2715.789	6352.900	4593.750	4687.500
51	Spectrogram 1	1	52.687831419	52.688831419	2715.789	6352.900	4593.750	4687.500
52	Spectrogram 1	1	52.688831419	52.689831419	2715.789	6352.900	4593.750	4687.500
53	Spectrogram 1	1	52.689831419	52.690831419	2715.789	6352.900	4593.750	4687.500
54	Spectrogram 1	1	52.690831419	52.691831419	2715.789	6352.900	4218.750	4218.750
