Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	9.865000000	9.866000000	3146.700	6560.000	5906.250	6281.250
2	Spectrogram 1	1	9.866000000	9.867000000	3146.700	6560.000	5906.250	6281.250
3	Spectrogram 1	1	9.867000000	9.868000000	3146.700	6560.000	5906.250	6281.250
4	Spectrogram 1	1	9.868000000	9.869000000	3146.700	6560.000	5906.250	6281.250
5	Spectrogram 1	1	9.869000000	9.870000000	3146.700	6560.000	6187.500	6187.500
6	Spectrogram 1	1	9.870000000	9.871000000	3146.700	6560.000	6187.500	6187.500
7	Spectrogram 1	1	9.871000000	9.872000000	3146.700	6560.000	6187.500	6187.500
8	Spectrogram 1	1	9.872000000	9.873000000	3146.700	6560.000	6187.500	6187.500
9	Spectrogram 1	1	9.873000000	9.874000000	3146.700	6560.000	6187.500	6187.500
10	Spectrogram 1	1	9.874000000	9.875000000	3146.700	6560.000	6187.500	6187.500
11	Spectrogram 1	1	9.875000000	9.876000000	3146.700	6560.000	6093.750	6093.750
12	Spectrogram 1	1	9.876000000	9.877000000	3146.700	6560.000	6093.750	6093.750
13	Spectrogram 1	1	9.877000000	9.878000000	3146.700	6560.000	6093.750	6093.750
14	Spectrogram 1	1	9.878000000	9.879000000	3146.700	6560.000	6093.750	6093.750
15	Spectrogram 1	1	9.879000000	9.880000000	3146.700	6560.000	6093.750	6093.750
16	Spectrogram 1	1	9.880000000	9.881000000	3146.700	6560.000	5250.000	5250.000
17	Spectrogram 1	1	9.881000000	9.882000000	3146.700	6560.000	5250.000	5250.000
18	Spectrogram 1	1	9.882000000	9.883000000	3146.700	6560.000	5250.000	5250.000
19	Spectrogram 1	1	9.883000000	9.884000000	3146.700	6560.000	5250.000	5250.000
20	Spectrogram 1	1	9.884000000	9.885000000	3146.700	6560.000	5250.000	5250.000
21	Spectrogram 1	1	9.885000000	9.886000000	3146.700	6560.000	4968.750	4875.000
22	Spectrogram 1	1	9.886000000	9.887000000	3146.700	6560.000	4968.750	4875.000
23	Spectrogram 1	1	9.887000000	9.888000000	3146.700	6560.000	4968.750	4875.000
24	Spectrogram 1	1	9.888000000	9.889000000	3146.700	6560.000	4968.750	4875.000
25	Spectrogram 1	1	9.889000000	9.890000000	3146.700	6560.000	4968.750	4875.000
26	Spectrogram 1	1	9.890000000	9.891000000	3146.700	6560.000	4968.750	4875.000
27	Spectrogram 1	1	9.891000000	9.892000000	3146.700	6560.000	5062.500	5062.500
28	Spectrogram 1	1	9.892000000	9.893000000	3146.700	6560.000	5062.500	5062.500
