Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	45.540800000	45.541800000	3160.334	6407.253	5437.500	5437.500
2	Spectrogram 1	1	45.541800000	45.542800000	3160.334	6407.253	5437.500	5437.500
3	Spectrogram 1	1	45.542800000	45.543800000	3160.334	6407.253	5437.500	5437.500
4	Spectrogram 1	1	45.543800000	45.544800000	3160.334	6407.253	5062.500	5156.250
5	Spectrogram 1	1	45.544800000	45.545800000	3160.334	6407.253	5062.500	5156.250
6	Spectrogram 1	1	45.545800000	45.546800000	3160.334	6407.253	5062.500	5156.250
7	Spectrogram 1	1	45.546800000	45.547800000	3160.334	6407.253	5062.500	5156.250
8	Spectrogram 1	1	45.547800000	45.548800000	3160.334	6407.253	5062.500	5156.250
9	Spectrogram 1	1	45.548800000	45.549800000	3160.334	6407.253	5062.500	5156.250
10	Spectrogram 1	1	45.549800000	45.550800000	3160.334	6407.253	4593.750	4593.750
11	Spectrogram 1	1	45.550800000	45.551800000	3160.334	6407.253	4593.750	4593.750
12	Spectrogram 1	1	45.551800000	45.552800000	3160.334	6407.253	4593.750	4593.750
13	Spectrogram 1	1	45.552800000	45.553800000	3160.334	6407.253	4593.750	4593.750
14	Spectrogram 1	1	45.553800000	45.554800000	3160.334	6407.253	4593.750	4593.750
15	Spectrogram 1	1	45.554800000	45.555800000	3160.334	6407.253	5156.250	5250.000
16	Spectrogram 1	1	45.555800000	45.556800000	3160.334	6407.253	5156.250	5250.000
17	Spectrogram 1	1	45.556800000	45.557800000	3160.334	6407.253	5156.250	5250.000
18	Spectrogram 1	1	45.557800000	45.558800000	3160.334	6407.253	5156.250	5250.000
19	Spectrogram 1	1	45.558800000	45.559800000	3160.334	6407.253	5156.250	5250.000
20	Spectrogram 1	1	45.559800000	45.560800000	3160.334	6407.253	5437.500	5437.500
21	Spectrogram 1	1	45.560800000	45.561800000	3160.334	6407.253	5437.500	5437.500
22	Spectrogram 1	1	45.561800000	45.562800000	3160.334	6407.253	5437.500	5437.500
23	Spectrogram 1	1	45.562800000	45.563800000	3160.334	6407.253	5437.500	5437.500
24	Spectrogram 1	1	45.563800000	45.564800000	3160.334	6407.253	5437.500	5437.500
25	Spectrogram 1	1	45.564800000	45.565800000	3160.334	6407.253	5437.500	5437.500
26	Spectrogram 1	1	45.565800000	45.566800000	3160.334	6407.253	6000.000	6093.750
27	Spectrogram 1	1	45.566800000	45.567800000	3160.334	6407.253	6000.000	6093.750
28	Spectrogram 1	1	45.567800000	45.568800000	3160.334	6407.253	6000.000	6093.750
29	Spectrogram 1	1	45.568800000	45.569800000	3160.334	6407.253	6000.000	6093.750
30	Spectrogram 1	1	45.569800000	45.570800000	3160.334	6407.253	6000.000	6093.750
31	Spectrogram 1	1	45.570800000	45.571800000	3160.334	6407.253	5437.500	6093.750
32	Spectrogram 1	1	45.571800000	45.572800000	3160.334	6407.253	5437.500	6093.750
33	Spectrogram 1	1	45.572800000	45.573800000	3160.334	6407.253	5437.500	6093.750
