Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	65.835000000	65.836000000	3104.900	6475.609	4968.750	6468.750
2	Spectrogram 1	1	65.836000000	65.837000000	3104.900	6475.609	4968.750	6468.750
3	Spectrogram 1	1	65.837000000	65.838000000	3104.900	6475.609	4125.000	4125.000
4	Spectrogram 1	1	65.838000000	65.839000000	3104.900	6475.609	4125.000	4125.000
5	Spectrogram 1	1	65.839000000	65.840000000	3104.900	6475.609	4125.000	4125.000
6	Spectrogram 1	1	65.840000000	65.841000000	3104.900	6475.609	4125.000	4125.000
7	Spectrogram 1	1	65.841000000	65.842000000	3104.900	6475.609	4125.000	4125.000
8	Spectrogram 1	1	65.842000000	65.843000000	3104.900	6475.609	4125.000	4125.000
9	Spectrogram 1	1	65.843000000	65.844000000	3104.900	6475.609	4500.000	4406.250
10	Spectrogram 1	1	65.844000000	65.845000000	3104.900	6475.609	4500.000	4406.250
11	Spectrogram 1	1	65.845000000	65.846000000	3104.900	6475.609	4500.000	4406.250
12	Spectrogram 1	1	65.846000000	65.847000000	3104.900	6475.609	4500.000	4406.250
13	Spectrogram 1	1	65.847000000	65.848000000	3104.900	6475.609	4500.000	4406.250
14	Spectrogram 1	1	65.848000000	65.849000000	3104.900	6475.609	5062.500	5156.250
15	Spectrogram 1	1	65.849000000	65.850000000	3104.900	6475.609	5062.500	5156.250
16	Spectrogram 1	1	65.850000000	65.851000000	3104.900	6475.609	5062.500	5156.250
17	Spectrogram 1	1	65.851000000	65.852000000	3104.900	6475.609	5062.500	5156.250
18	Spectrogram 1	1	65.852000000	65.853000000	3104.900	6475.609	5062.500	5156.250
19	Spectrogram 1	1	65.853000000	65.854000000	3104.900	6475.609	5437.500	5437.500
20	Spectrogram 1	1	65.854000000	65.855000000	3104.900	6475.609	5437.500	5437.500
21	Spectrogram 1	1	65.855000000	65.856000000	3104.900	6475.609	5437.500	5437.500
22	Spectrogram 1	1	65.856000000	65.857000000	3104.900	6475.609	5437.500	5437.500
23	Spectrogram 1	1	65.857000000	65.858000000	3104.900	6475.609	5437.500	5437.500
24	Spectrogram 1	1	65.858000000	65.859000000	3104.900	6475.609	5437.500	5437.500
25	Spectrogram 1	1	65.859000000	65.860000000	3104.900	6475.609	5531.250	5531.250
26	Spectrogram 1	1	65.860000000	65.861000000	3104.900	6475.609	5531.250	5531.250
27	Spectrogram 1	1	65.861000000	65.862000000	3104.900	6475.609	5531.250	5531.250
28	Spectrogram 1	1	65.862000000	65.863000000	3104.900	6475.609	5531.250	5531.250
29	Spectrogram 1	1	65.863000000	65.864000000	3104.900	6475.609	5531.250	5531.250
30	Spectrogram 1	1	65.864000000	65.865000000	3104.900	6475.609	5718.750	5718.750
31	Spectrogram 1	1	65.865000000	65.866000000	3104.900	6475.609	5718.750	5718.750
32	Spectrogram 1	1	65.866000000	65.867000000	3104.900	6475.609	5718.750	5718.750
33	Spectrogram 1	1	65.867000000	65.868000000	3104.900	6475.609	5718.750	5718.750
34	Spectrogram 1	1	65.868000000	65.869000000	3104.900	6475.609	5718.750	5718.750
35	Spectrogram 1	1	65.869000000	65.870000000	3104.900	6475.609	5531.250	5531.250
36	Spectrogram 1	1	65.870000000	65.871000000	3104.900	6475.609	5531.250	5531.250
37	Spectrogram 1	1	65.871000000	65.872000000	3104.900	6475.609	5531.250	5531.250
38	Spectrogram 1	1	65.872000000	65.873000000	3104.900	6475.609	5531.250	5531.250
39	Spectrogram 1	1	65.873000000	65.874000000	3104.900	6475.609	5531.250	5531.250
40	Spectrogram 1	1	65.874000000	65.875000000	3104.900	6475.609	5531.250	5531.250
41	Spectrogram 1	1	65.875000000	65.876000000	3104.900	6475.609	5437.500	5531.250
42	Spectrogram 1	1	65.876000000	65.877000000	3104.900	6475.609	5437.500	5531.250
43	Spectrogram 1	1	65.877000000	65.878000000	3104.900	6475.609	5437.500	5531.250
44	Spectrogram 1	1	65.878000000	65.879000000	3104.900	6475.609	5437.500	5531.250
45	Spectrogram 1	1	65.879000000	65.880000000	3104.900	6475.609	5437.500	5531.250
46	Spectrogram 1	1	65.880000000	65.881000000	3104.900	6475.609	4500.000	4500.000
47	Spectrogram 1	1	65.881000000	65.882000000	3104.900	6475.609	4500.000	4500.000
48	Spectrogram 1	1	65.882000000	65.883000000	3104.900	6475.609	4500.000	4500.000
49	Spectrogram 1	1	65.883000000	65.884000000	3104.900	6475.609	4500.000	4500.000
50	Spectrogram 1	1	65.884000000	65.885000000	3104.900	6475.609	4500.000	4500.000
51	Spectrogram 1	1	65.885000000	65.886000000	3104.900	6475.609	4218.750	4218.750
52	Spectrogram 1	1	65.886000000	65.887000000	3104.900	6475.609	4218.750	4218.750
53	Spectrogram 1	1	65.887000000	65.888000000	3104.900	6475.609	4218.750	4218.750
54	Spectrogram 1	1	65.888000000	65.889000000	3104.900	6475.609	4218.750	4218.750
55	Spectrogram 1	1	65.889000000	65.890000000	3104.900	6475.609	4218.750	4218.750
56	Spectrogram 1	1	65.890000000	65.891000000	3104.900	6475.609	4218.750	4218.750
57	Spectrogram 1	1	65.891000000	65.892000000	3104.900	6475.609	4031.250	4031.250
58	Spectrogram 1	1	65.892000000	65.893000000	3104.900	6475.609	4031.250	4031.250
59	Spectrogram 1	1	65.893000000	65.894000000	3104.900	6475.609	4031.250	4031.250
60	Spectrogram 1	1	65.894000000	65.895000000	3104.900	6475.609	4031.250	4031.250
61	Spectrogram 1	1	65.895000000	65.896000000	3104.900	6475.609	4031.250	4031.250
62	Spectrogram 1	1	65.896000000	65.897000000	3104.900	6475.609	3750.000	3750.000
63	Spectrogram 1	1	65.897000000	65.898000000	3104.900	6475.609	3750.000	3750.000
64	Spectrogram 1	1	65.898000000	65.899000000	3104.900	6475.609	3750.000	3750.000
65	Spectrogram 1	1	65.899000000	65.900000000	3104.900	6475.609	3750.000	3750.000
66	Spectrogram 1	1	65.900000000	65.901000000	3104.900	6475.609	3750.000	3750.000
67	Spectrogram 1	1	65.901000000	65.902000000	3104.900	6475.609	3656.250	3656.250
68	Spectrogram 1	1	65.902000000	65.903000000	3104.900	6475.609	3656.250	3656.250
69	Spectrogram 1	1	65.903000000	65.904000000	3104.900	6475.609	3656.250	3656.250
70	Spectrogram 1	1	65.904000000	65.905000000	3104.900	6475.609	3656.250	3656.250
71	Spectrogram 1	1	65.905000000	65.906000000	3104.900	6475.609	3656.250	3656.250
72	Spectrogram 1	1	65.906000000	65.907000000	3104.900	6475.609	3656.250	3656.250
73	Spectrogram 1	1	65.907000000	65.908000000	3104.900	6475.609	3562.500	3562.500
74	Spectrogram 1	1	65.908000000	65.909000000	3104.900	6475.609	3562.500	3562.500
75	Spectrogram 1	1	65.909000000	65.910000000	3104.900	6475.609	3562.500	3562.500
76	Spectrogram 1	1	65.910000000	65.911000000	3104.900	6475.609	3562.500	3562.500
77	Spectrogram 1	1	65.911000000	65.912000000	3104.900	6475.609	3562.500	3562.500
78	Spectrogram 1	1	65.912000000	65.913000000	3104.900	6475.609	3562.500	3562.500
79	Spectrogram 1	1	65.913000000	65.914000000	3104.900	6475.609	3562.500	3562.500
80	Spectrogram 1	1	65.914000000	65.915000000	3104.900	6475.609	3562.500	3562.500
81	Spectrogram 1	1	65.915000000	65.916000000	3104.900	6475.609	3562.500	3562.500
82	Spectrogram 1	1	65.916000000	65.917000000	3104.900	6475.609	3562.500	3562.500
83	Spectrogram 1	1	65.917000000	65.918000000	3104.900	6475.609	4218.750	3562.500
84	Spectrogram 1	1	65.918000000	65.919000000	3104.900	6475.609	4218.750	3562.500
85	Spectrogram 1	1	65.919000000	65.920000000	3104.900	6475.609	4218.750	3562.500
86	Spectrogram 1	1	65.920000000	65.921000000	3104.900	6475.609	4218.750	3562.500
87	Spectrogram 1	1	65.921000000	65.922000000	3104.900	6475.609	4218.750	3562.500
88	Spectrogram 1	1	65.922000000	65.923000000	3104.900	6475.609	4218.750	3562.500
89	Spectrogram 1	1	65.923000000	65.924000000	3104.900	6475.609	3750.000	3656.250
90	Spectrogram 1	1	65.924000000	65.925000000	3104.900	6475.609	3750.000	3656.250
91	Spectrogram 1	1	65.925000000	65.926000000	3104.900	6475.609	3750.000	3656.250
92	Spectrogram 1	1	65.926000000	65.927000000	3104.900	6475.609	3750.000	3656.250
93	Spectrogram 1	1	65.927000000	65.928000000	3104.900	6475.609	3750.000	3656.250
94	Spectrogram 1	1	65.928000000	65.929000000	3104.900	6475.609	3656.250	3656.250
95	Spectrogram 1	1	65.929000000	65.930000000	3104.900	6475.609	3656.250	3656.250
96	Spectrogram 1	1	65.930000000	65.931000000	3104.900	6475.609	3656.250	3656.250
97	Spectrogram 1	1	65.931000000	65.932000000	3104.900	6475.609	3656.250	3656.250
98	Spectrogram 1	1	65.932000000	65.933000000	3104.900	6475.609	3656.250	3656.250
99	Spectrogram 1	1	65.933000000	65.934000000	3104.900	6475.609	3656.250	3656.250
100	Spectrogram 1	1	65.934000000	65.935000000	3104.900	6475.609	3656.250	3656.250
101	Spectrogram 1	1	65.935000000	65.936000000	3104.900	6475.609	3656.250	3656.250
102	Spectrogram 1	1	65.936000000	65.937000000	3104.900	6475.609	3656.250	3656.250
103	Spectrogram 1	1	65.937000000	65.938000000	3104.900	6475.609	3656.250	3656.250
104	Spectrogram 1	1	65.938000000	65.939000000	3104.900	6475.609	3656.250	3656.250
105	Spectrogram 1	1	65.939000000	65.940000000	3104.900	6475.609	3562.500	3562.500
106	Spectrogram 1	1	65.940000000	65.941000000	3104.900	6475.609	3562.500	3562.500
107	Spectrogram 1	1	65.941000000	65.942000000	3104.900	6475.609	3562.500	3562.500
108	Spectrogram 1	1	65.942000000	65.943000000	3104.900	6475.609	3562.500	3562.500
109	Spectrogram 1	1	65.943000000	65.944000000	3104.900	6475.609	3562.500	3562.500
110	Spectrogram 1	1	65.944000000	65.945000000	3104.900	6475.609	3468.750	3468.750
111	Spectrogram 1	1	65.945000000	65.946000000	3104.900	6475.609	3468.750	3468.750
112	Spectrogram 1	1	65.946000000	65.947000000	3104.900	6475.609	3468.750	3468.750
113	Spectrogram 1	1	65.947000000	65.948000000	3104.900	6475.609	3468.750	3468.750
114	Spectrogram 1	1	65.948000000	65.949000000	3104.900	6475.609	3468.750	3468.750
115	Spectrogram 1	1	65.949000000	65.950000000	3104.900	6475.609	3281.250	3281.250
116	Spectrogram 1	1	65.950000000	65.951000000	3104.900	6475.609	3281.250	3281.250
117	Spectrogram 1	1	65.951000000	65.952000000	3104.900	6475.609	3281.250	3281.250
118	Spectrogram 1	1	65.952000000	65.953000000	3104.900	6475.609	3281.250	3281.250
119	Spectrogram 1	1	65.953000000	65.954000000	3104.900	6475.609	3281.250	3281.250
120	Spectrogram 1	1	65.954000000	65.955000000	3104.900	6475.609	3281.250	3281.250
121	Spectrogram 1	1	65.955000000	65.956000000	3104.900	6475.609	3281.250	3281.250
122	Spectrogram 1	1	65.956000000	65.957000000	3104.900	6475.609	3281.250	3281.250
123	Spectrogram 1	1	65.957000000	65.958000000	3104.900	6475.609	3281.250	3281.250
124	Spectrogram 1	1	65.958000000	65.959000000	3104.900	6475.609	3281.250	3281.250
125	Spectrogram 1	1	65.959000000	65.960000000	3104.900	6475.609	3281.250	3281.250
126	Spectrogram 1	1	65.960000000	65.961000000	3104.900	6475.609	3375.000	3281.250
127	Spectrogram 1	1	65.961000000	65.962000000	3104.900	6475.609	3375.000	3281.250
128	Spectrogram 1	1	65.962000000	65.963000000	3104.900	6475.609	3375.000	3281.250
129	Spectrogram 1	1	65.963000000	65.964000000	3104.900	6475.609	3375.000	3281.250
130	Spectrogram 1	1	65.964000000	65.965000000	3104.900	6475.609	3375.000	3281.250
131	Spectrogram 1	1	65.965000000	65.966000000	3104.900	6475.609	3375.000	3281.250
132	Spectrogram 1	1	65.966000000	65.967000000	3104.900	6475.609	3375.000	3281.250
133	Spectrogram 1	1	65.967000000	65.968000000	3104.900	6475.609	3375.000	3281.250
134	Spectrogram 1	1	65.968000000	65.969000000	3104.900	6475.609	3375.000	3281.250
135	Spectrogram 1	1	65.969000000	65.970000000	3104.900	6475.609	3375.000	3281.250
136	Spectrogram 1	1	65.970000000	65.971000000	3104.900	6475.609	3375.000	3281.250
137	Spectrogram 1	1	65.971000000	65.972000000	3104.900	6475.609	3843.750	3656.250
138	Spectrogram 1	1	65.972000000	65.973000000	3104.900	6475.609	3843.750	3656.250
139	Spectrogram 1	1	65.973000000	65.974000000	3104.900	6475.609	3843.750	3656.250
140	Spectrogram 1	1	65.974000000	65.975000000	3104.900	6475.609	3843.750	3656.250
141	Spectrogram 1	1	65.975000000	65.976000000	3104.900	6475.609	3843.750	3656.250
142	Spectrogram 1	1	65.976000000	65.977000000	3104.900	6475.609	4406.250	4125.000
143	Spectrogram 1	1	65.977000000	65.978000000	3104.900	6475.609	4406.250	4125.000
144	Spectrogram 1	1	65.978000000	65.979000000	3104.900	6475.609	4406.250	4125.000
145	Spectrogram 1	1	65.979000000	65.980000000	3104.900	6475.609	4406.250	4125.000
146	Spectrogram 1	1	65.980000000	65.981000000	3104.900	6475.609	4406.250	4125.000
147	Spectrogram 1	1	65.981000000	65.982000000	3104.900	6475.609	5531.250	5531.250
148	Spectrogram 1	1	65.982000000	65.983000000	3104.900	6475.609	5531.250	5531.250
149	Spectrogram 1	1	65.983000000	65.984000000	3104.900	6475.609	5531.250	5531.250
150	Spectrogram 1	1	65.984000000	65.985000000	3104.900	6475.609	5531.250	5531.250
151	Spectrogram 1	1	65.985000000	65.986000000	3104.900	6475.609	5531.250	5531.250
152	Spectrogram 1	1	65.986000000	65.987000000	3104.900	6475.609	5531.250	5531.250
153	Spectrogram 1	1	65.987000000	65.988000000	3104.900	6475.609	5812.500	5812.500
154	Spectrogram 1	1	65.988000000	65.989000000	3104.900	6475.609	5812.500	5812.500
155	Spectrogram 1	1	65.989000000	65.990000000	3104.900	6475.609	5812.500	5812.500
156	Spectrogram 1	1	65.990000000	65.991000000	3104.900	6475.609	5812.500	5812.500
157	Spectrogram 1	1	65.991000000	65.992000000	3104.900	6475.609	5812.500	5812.500
158	Spectrogram 1	1	65.992000000	65.993000000	3104.900	6475.609	5812.500	5812.500
159	Spectrogram 1	1	65.993000000	65.994000000	3104.900	6475.609	5812.500	5812.500
160	Spectrogram 1	1	65.994000000	65.995000000	3104.900	6475.609	5812.500	5812.500
161	Spectrogram 1	1	65.995000000	65.996000000	3104.900	6475.609	5812.500	5812.500
162	Spectrogram 1	1	65.996000000	65.997000000	3104.900	6475.609	5812.500	5812.500
163	Spectrogram 1	1	65.997000000	65.998000000	3104.900	6475.609	5812.500	5812.500
164	Spectrogram 1	1	65.998000000	65.999000000	3104.900	6475.609	5812.500	5812.500
165	Spectrogram 1	1	65.999000000	66.000000000	3104.900	6475.609	5812.500	5812.500
