Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	4.273446442	4.274446442	2926.800	6522.600	4687.500	3281.250
2	Spectrogram 1	1	4.274446442	4.275446442	2926.800	6522.600	4125.000	4218.750
3	Spectrogram 1	1	4.275446442	4.276446442	2926.800	6522.600	4125.000	4218.750
4	Spectrogram 1	1	4.276446442	4.277446442	2926.800	6522.600	4125.000	4218.750
5	Spectrogram 1	1	4.277446442	4.278446442	2926.800	6522.600	4125.000	4218.750
6	Spectrogram 1	1	4.278446442	4.279446442	2926.800	6522.600	4125.000	4218.750
7	Spectrogram 1	1	4.279446442	4.280446442	2926.800	6522.600	4125.000	4218.750
8	Spectrogram 1	1	4.280446442	4.281446442	2926.800	6522.600	4406.250	4406.250
9	Spectrogram 1	1	4.281446442	4.282446442	2926.800	6522.600	4406.250	4406.250
10	Spectrogram 1	1	4.282446442	4.283446442	2926.800	6522.600	4406.250	4406.250
11	Spectrogram 1	1	4.283446442	4.284446442	2926.800	6522.600	4406.250	4406.250
12	Spectrogram 1	1	4.284446442	4.285446442	2926.800	6522.600	4406.250	4406.250
13	Spectrogram 1	1	4.285446442	4.286446442	2926.800	6522.600	4593.750	4593.750
14	Spectrogram 1	1	4.286446442	4.287446442	2926.800	6522.600	4593.750	4593.750
15	Spectrogram 1	1	4.287446442	4.288446442	2926.800	6522.600	4593.750	4593.750
16	Spectrogram 1	1	4.288446442	4.289446442	2926.800	6522.600	4593.750	4593.750
17	Spectrogram 1	1	4.289446442	4.290446442	2926.800	6522.600	4593.750	4593.750
18	Spectrogram 1	1	4.290446442	4.291446442	2926.800	6522.600	4875.000	4875.000
19	Spectrogram 1	1	4.291446442	4.292446442	2926.800	6522.600	4875.000	4875.000
20	Spectrogram 1	1	4.292446442	4.293446442	2926.800	6522.600	4875.000	4875.000
21	Spectrogram 1	1	4.293446442	4.294446442	2926.800	6522.600	4875.000	4875.000
22	Spectrogram 1	1	4.294446442	4.295446442	2926.800	6522.600	4875.000	4875.000
23	Spectrogram 1	1	4.295446442	4.296446442	2926.800	6522.600	4875.000	4875.000
24	Spectrogram 1	1	4.296446442	4.297446442	2926.800	6522.600	6000.000	6000.000
25	Spectrogram 1	1	4.297446442	4.298446442	2926.800	6522.600	6000.000	6000.000
26	Spectrogram 1	1	4.298446442	4.299446442	2926.800	6522.600	6000.000	6000.000
27	Spectrogram 1	1	4.299446442	4.300446442	2926.800	6522.600	6000.000	6000.000
