Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Peak Freq (Hz)
1	Spectrogram 1	1	30.653500000	30.654500000	2886.076	6303.797	4500.000	4500.000
2	Spectrogram 1	1	30.654500000	30.655500000	2886.076	6303.797	4500.000	4500.000
3	Spectrogram 1	1	30.655500000	30.656500000	2886.076	6303.797	4500.000	4500.000
4	Spectrogram 1	1	30.656500000	30.657500000	2886.076	6303.797	4500.000	4500.000
5	Spectrogram 1	1	30.657500000	30.658500000	2886.076	6303.797	4500.000	4500.000
6	Spectrogram 1	1	30.658500000	30.659500000	2886.076	6303.797	4968.750	4968.750
7	Spectrogram 1	1	30.659500000	30.660500000	2886.076	6303.797	4968.750	4968.750
8	Spectrogram 1	1	30.660500000	30.661500000	2886.076	6303.797	4968.750	4968.750
9	Spectrogram 1	1	30.661500000	30.662500000	2886.076	6303.797	4968.750	4968.750
10	Spectrogram 1	1	30.662500000	30.663500000	2886.076	6303.797	4968.750	4968.750
11	Spectrogram 1	1	30.663500000	30.664500000	2886.076	6303.797	5343.750	5343.750
12	Spectrogram 1	1	30.664500000	30.665500000	2886.076	6303.797	5343.750	5343.750
13	Spectrogram 1	1	30.665500000	30.666500000	2886.076	6303.797	5343.750	5343.750
14	Spectrogram 1	1	30.666500000	30.667500000	2886.076	6303.797	5343.750	5343.750
15	Spectrogram 1	1	30.667500000	30.668500000	2886.076	6303.797	5343.750	5343.750
16	Spectrogram 1	1	30.668500000	30.669500000	2886.076	6303.797	5343.750	5343.750
17	Spectrogram 1	1	30.669500000	30.670500000	2886.076	6303.797	5156.250	5250.000
18	Spectrogram 1	1	30.670500000	30.671500000	2886.076	6303.797	5156.250	5250.000
19	Spectrogram 1	1	30.671500000	30.672500000	2886.076	6303.797	5156.250	5250.000
20	Spectrogram 1	1	30.672500000	30.673500000	2886.076	6303.797	5156.250	5250.000
21	Spectrogram 1	1	30.673500000	30.674500000	2886.076	6303.797	5156.250	5250.000
22	Spectrogram 1	1	30.674500000	30.675500000	2886.076	6303.797	4687.500	4593.750
23	Spectrogram 1	1	30.675500000	30.676500000	2886.076	6303.797	4687.500	4593.750
24	Spectrogram 1	1	30.676500000	30.677500000	2886.076	6303.797	4687.500	4593.750
25	Spectrogram 1	1	30.677500000	30.678500000	2886.076	6303.797	4687.500	4593.750
26	Spectrogram 1	1	30.678500000	30.679500000	2886.076	6303.797	4687.500	4593.750
27	Spectrogram 1	1	30.679500000	30.680500000	2886.076	6303.797	4406.250	4406.250
28	Spectrogram 1	1	30.680500000	30.681500000	2886.076	6303.797	4406.250	4406.250
29	Spectrogram 1	1	30.681500000	30.682500000	2886.076	6303.797	4406.250	4406.250
30	Spectrogram 1	1	30.682500000	30.683500000	2886.076	6303.797	4406.250	4406.250
31	Spectrogram 1	1	30.683500000	30.684500000	2886.076	6303.797	4406.250	4406.250
32	Spectrogram 1	1	30.684500000	30.685500000	2886.076	6303.797	4406.250	4406.250
33	Spectrogram 1	1	30.685500000	30.686500000	2886.076	6303.797	4218.750	4218.750
34	Spectrogram 1	1	30.686500000	30.687500000	2886.076	6303.797	4218.750	4218.750
35	Spectrogram 1	1	30.687500000	30.688500000	2886.076	6303.797	4218.750	4218.750
36	Spectrogram 1	1	30.688500000	30.689500000	2886.076	6303.797	4218.750	4218.750
37	Spectrogram 1	1	30.689500000	30.690500000	2886.076	6303.797	4218.750	4218.750
38	Spectrogram 1	1	30.690500000	30.691500000	2886.076	6303.797	3937.500	3937.500
39	Spectrogram 1	1	30.691500000	30.692500000	2886.076	6303.797	3937.500	3937.500
40	Spectrogram 1	1	30.692500000	30.693500000	2886.076	6303.797	3937.500	3937.500
41	Spectrogram 1	1	30.693500000	30.694500000	2886.076	6303.797	3937.500	3937.500
42	Spectrogram 1	1	30.694500000	30.695500000	2886.076	6303.797	3937.500	3937.500
43	Spectrogram 1	1	30.695500000	30.696500000	2886.076	6303.797	3656.250	3656.250
44	Spectrogram 1	1	30.696500000	30.697500000	2886.076	6303.797	3656.250	3656.250
45	Spectrogram 1	1	30.697500000	30.698500000	2886.076	6303.797	3656.250	3656.250
46	Spectrogram 1	1	30.698500000	30.699500000	2886.076	6303.797	3656.250	3656.250
47	Spectrogram 1	1	30.699500000	30.700500000	2886.076	6303.797	3656.250	3656.250
48	Spectrogram 1	1	30.700500000	30.701500000	2886.076	6303.797	3656.250	3656.250
